b_number,cog_desc,cog_id,cog_category,,cog_letter,cog_class
b4471,L-serine ammonia-lyase (EC 4.3.1.17),COG1760,amino acid transport and metabolism,,E,metabolism
b3116,L-threonine/L-serine transporter,COG0814,amino acid transport and metabolism,,E,metabolism
b3117,L-threonine ammonia-lyase (EC 4.3.1.19),COG1171,amino acid transport and metabolism,,E,metabolism
b3161,tryptophan transporter of high affinity,COG0814,amino acid transport and metabolism,,E,metabolism
b3172,argininosuccinate synthase (EC 6.3.4.5),COG0137,amino acid transport and metabolism,,E,metabolism
b3212,glutamate synthase (NADPH) large subunit (EC 1.4.1.13),COG0069,amino acid transport and metabolism,,E,metabolism
b3213,glutamate synthase (NADPH) small subunit (EC 1.4.1.13),COG0493,amino acid transport and metabolism,,E,metabolism
b3225,N-acetylneuraminate lyase,COG0329,amino acid transport and metabolism,,E,metabolism
b3269,"amino acid ABC transporter membrane protein 1, PAAT family (TC 3.A.1.3.-)",COG4597,amino acid transport and metabolism,,E,metabolism
b3270,"amino acid ABC transporter membrane protein 2, PAAT family (TC 3.A.1.3.-)",COG0765,amino acid transport and metabolism,,E,metabolism
b3271,"amino acid ABC transporter ATP-binding protein, PAAT family (TC 3.A.1.3.-)",COG1126,amino acid transport and metabolism,,E,metabolism
b3281,shikimate dehydrogenase (EC 1.1.1.25),COG0169,amino acid transport and metabolism,,E,metabolism
b3359,acetylornithine aminotransferase apoenzyme (EC 2.6.1.11)/succinyldiaminopimelate aminotransferase apoenzyme (EC 2.6.1.17),COG4992,amino acid transport and metabolism,,E,metabolism
b3360,"aminodeoxychorismate synthase, glutamine amidotransferase subunit (EC 2.6.1.85)",COG0512,amino acid transport and metabolism,,E,metabolism
b3370,"fructoselysine transporter, APC superfamily (TC 2.A.3)",COG0531,amino acid transport and metabolism,,E,metabolism
b3381,predicted amino acid racemase,COG3457,amino acid transport and metabolism,,E,metabolism
b3389,3-dehydroquinate synthase (EC 4.2.3.4),COG0337,amino acid transport and metabolism,,E,metabolism
b3390,shikimate kinase (EC 2.7.1.71),COG0703,amino acid transport and metabolism,,E,metabolism
b3433,aspartate semialdehyde dehydrogenase (EC 1.2.1.11),COG0136,amino acid transport and metabolism,,E,metabolism
b3434,predicted antibiotic transporter,COG2095,amino acid transport and metabolism,,E,metabolism
b3447,gamma-glutamyltransferase 1 (EC:2.3.2.2). Threonine peptidase. MEROPS family T03,COG0405,amino acid transport and metabolism,,E,metabolism
b3454,L-isoleucine ABC transporter ATP-binding protein/L-leucine ABC transporter ATP-binding protein/L-valine ABC transporter ATP-binding protein,COG0410,amino acid transport and metabolism,,E,metabolism
b3455,L-isoleucine ABC transporter ATP-binding protein/L-leucine ABC transporter ATP-binding protein/L-valine ABC transporter ATP-binding protein,COG0411,amino acid transport and metabolism,,E,metabolism
b3456,L-isoleucine ABC transporter membrane protein/L-leucine ABC transporter membrane protein/L-valine ABC transporter membrane protein,COG4177,amino acid transport and metabolism,,E,metabolism
b3457,L-isoleucine ABC transporter membrane protein/L-leucine ABC transporter membrane protein/L-valine ABC transporter membrane protein,COG0559,amino acid transport and metabolism,,E,metabolism
b3458,L-leucine-binding protein,COG0683,amino acid transport and metabolism,,E,metabolism
b3460,L-isoleucine-binding protein/L-leucine-binding protein/L-valine-binding protein,COG0683,amino acid transport and metabolism,,E,metabolism
b3476,"Nickel-binding, heme-binding periplasmic protein",COG0747,amino acid transport and metabolism,,E,metabolism
b3477,nickel transporter subunit,COG0601,amino acid transport and metabolism,,E,metabolism
b3478,nickel transporter subunit,COG1173,amino acid transport and metabolism,,E,metabolism
b3479,nickel transporter subunit,COG0444,amino acid transport and metabolism,,E,metabolism
b3480,nickel transporter subunit,COG1124,amino acid transport and metabolism,,E,metabolism
b3496,dipeptide and tripeptide permease B,COG3104,amino acid transport and metabolism,,E,metabolism
b3498,oligopeptidase A (EC:3.4.24.70). Metallo peptidase. MEROPS family M03A,COG0339,amino acid transport and metabolism,,E,metabolism
b3517,glutamate decarboxylase (EC 4.1.1.15),COG0076,amino acid transport and metabolism,,E,metabolism
b3539,predicted transporter,COG0814,amino acid transport and metabolism,,E,metabolism
b3540,dipeptide transporter,COG4608,amino acid transport and metabolism,,E,metabolism
b3541,dipeptide/heme transporter,COG0444,amino acid transport and metabolism,,E,metabolism
b3542,dipeptide/heme transporter,COG1173,amino acid transport and metabolism,,E,metabolism
b3543,dipeptide/heme transporter,COG0601,amino acid transport and metabolism,,E,metabolism
b3544,dipeptide transporter,COG0747,amino acid transport and metabolism,,E,metabolism
b3550,predicted acyltransferase with acyl-CoA N-acyltransferase domain,COG1246,amino acid transport and metabolism,,E,metabolism
b3572,valine-pyruvate aminotransferase apoenzyme (EC 2.6.1.66),COG3977,amino acid transport and metabolism,,E,metabolism
b3607,serine O-acetyltransferase (EC 2.3.1.30),COG1045,amino acid transport and metabolism,,E,metabolism
b3616,L-threonine 3-dehydrogenase (EC 1.1.1.103),COG1063,amino acid transport and metabolism,,E,metabolism
b3653,glutamate transporter,COG0786,amino acid transport and metabolism,,E,metabolism
b3660,predicted inner membrane protein,COG5006,amino acid transport and metabolism,,E,metabolism
b3671,"acetolactate synthase, large subunit (EC 2.2.1.6)",COG0028,amino acid transport and metabolism,,E,metabolism
b3708,tryptophanase (EC 4.1.99.1),COG3033,amino acid transport and metabolism,,E,metabolism
b3709,tryptophan transporter of low affinity,COG0814,amino acid transport and metabolism,,E,metabolism
b3744,aspartate-ammonia ligase (EC 6.3.1.1),COG2502,amino acid transport and metabolism,,E,metabolism
b3770,branched chain amino acid aminotransferase apoenzyme (EC 2.6.1.42),COG0115,amino acid transport and metabolism,,E,metabolism
b3771,dihydroxyacid dehydratase (EC 4.2.1.9),COG0129,amino acid transport and metabolism,,E,metabolism
b3772,L-threonine ammonia-lyase (EC 4.3.1.19),COG1171,amino acid transport and metabolism,,E,metabolism
b3774,ketol-acid reductoisomerase (EC 1.1.1.86),COG0059,amino acid transport and metabolism,,E,metabolism
b3795,"amino acid/polyamine/organocation transporter, APC superfamily (TC 2.A.3)",COG1113,amino acid transport and metabolism,,E,metabolism
b3809,diaminopimelate epimerase (EC 5.1.1.7),COG0253,amino acid transport and metabolism,,E,metabolism
b3823,threonine efflux pump,COG1280,amino acid transport and metabolism,,E,metabolism
b3824,"homoserine, homoserine lactone and S-methyl-methionine efflux pump",COG1280,amino acid transport and metabolism,,E,metabolism
b3827,predicted inner membrane protein,COG0697,amino acid transport and metabolism,,E,metabolism
b3829,methionine synthase (B12-independent) (EC 2.1.1.14),COG0620,amino acid transport and metabolism,,E,metabolism
b3847,Xaa-Pro dipeptidase (EC:3.4.13.9). Metallo peptidase. MEROPS family M24B,COG0006,amino acid transport and metabolism,,E,metabolism
b3870,L-glutamine synthetase (EC 6.3.1.2),COG0174,amino acid transport and metabolism,,E,metabolism
b3898,predicted peptidase,COG1363,amino acid transport and metabolism,,E,metabolism
b3938,"methionine repressor, MetJ",COG3060,amino acid transport and metabolism,,E,metabolism
b3939,cystathionine gamma-synthase (EC 2.5.1.48),COG0626,amino acid transport and metabolism,,E,metabolism
b3940,aspartate kinase (EC 2.7.2.4)/homoserine dehydrogenase (EC 1.1.1.3),COG0527,amino acid transport and metabolism,,E,metabolism
b3941,"5,10-methylenetetrahydrofolate reductase (NAD(P)) (EC 1.5.1.20)",COG0685,amino acid transport and metabolism,,E,metabolism
b3957,acetylornithine deacetylase (EC 3.5.1.16),COG0624,amino acid transport and metabolism,,E,metabolism
b3958,N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38),COG0002,amino acid transport and metabolism,,E,metabolism
b3959,N-acetylglutamate kinase (EC 2.7.2.8),COG0548,amino acid transport and metabolism,,E,metabolism
b3960,argininosuccinate lyase (EC 4.3.2.1),COG0165,amino acid transport and metabolism,,E,metabolism
b4013,homoserine O-succinyltransferase (EC 2.3.1.46),COG1897,amino acid transport and metabolism,,E,metabolism
b4019,methionine synthase (B12-dependent) (EC 2.1.1.13),COG1410,amino acid transport and metabolism,,E,metabolism
b4021,dipeptidase E (EC:3.4.13.21). Serine peptidase. MEROPS family S51,COG3340,amino acid transport and metabolism,,E,metabolism
b4024,aspartate kinase (EC 2.7.2.4),COG0527,amino acid transport and metabolism,,E,metabolism
b4054,aromatic amino acid aminotransferase apoenzyme (EC 2.6.1.57),COG1448,amino acid transport and metabolism,,E,metabolism
b4115,"arginine:agmatine antiporter, APA family (TC 2.A.3.2.5)",COG0531,amino acid transport and metabolism,,E,metabolism
b4117,arginine decarboxylase (EC 4.1.1.19),COG1982,amino acid transport and metabolism,,E,metabolism
b4130,predicted dipeptide and tripeptide permease,COG3104,amino acid transport and metabolism,,E,metabolism
b4131,L-lysine decarboxylase (EC 4.1.1.18),COG1982,amino acid transport and metabolism,,E,metabolism
b4132,"cadaverine:lysine antiporter, APA family (TC 2.A.3.2.2)",COG0531,amino acid transport and metabolism,,E,metabolism
b4139,aspartate ammonia-lyase,COG1027,amino acid transport and metabolism,,E,metabolism
b4141,"amino acid exporter, AAE family (TC 2.A.3.13)",COG0531,amino acid transport and metabolism,,E,metabolism
b4146,"L-lysine 2,3-aminomutase (EC 5.4.3.2)",COG1509,amino acid transport and metabolism,,E,metabolism
b4156,"amino acid/polyamine/organocation transporter, APC superfamily (TC 2.A.3)",COG0531,amino acid transport and metabolism,,E,metabolism
b4186,glutathionylspermidine synthase homolog,COG0754,amino acid transport and metabolism,,E,metabolism
b4208,"D-serine/D-alanine/glycine:proton symporter, AAT family (TC 2.A.3.1.7)",COG1113,amino acid transport and metabolism,,E,metabolism
b4210,"inner membrane protein, DMT transporter family",COG0697,amino acid transport and metabolism,,E,metabolism
b4254,ornithine carbamoyltransferase (EC 2.1.3.3),COG0078,amino acid transport and metabolism,,E,metabolism
b4256,predicted acetyltransferase,COG1246,amino acid transport and metabolism,,E,metabolism
b4260,aminopeptidase A. Metallo peptidase. MEROPS family M17,COG0260,amino acid transport and metabolism,,E,metabolism
b4267,L-idonate 5-dehydrogenase (EC 1.1.1.264),COG1063,amino acid transport and metabolism,,E,metabolism
b4297,KpLE2 phage-like element; predicted dehydratase,COG0129,amino acid transport and metabolism,,E,metabolism
b4298,KpLE2 phage-like element; predicted lyase/synthase,COG0329,amino acid transport and metabolism,,E,metabolism
b4305,KpLE2 phage-like element; predicted endoglucanase with Zn-dependent exopeptidase domain,COG1363,amino acid transport and metabolism,,E,metabolism
b4340,"transcriptional regulator, GntR family",COG1167,amino acid transport and metabolism,,E,metabolism
b4358,L-galactonate oxidoreductase,COG1063,amino acid transport and metabolism,,E,metabolism
b4388,phosphoserine phosphatase (EC 3.1.3.3),COG0560,amino acid transport and metabolism,,E,metabolism
