cog,gene_name,gene_product
"Secondary metabolites, biosynthesis, transport, and catabolism",fabB,β-ketoacyl-[acyl carrier protein] synthase I
Lipid transport and metabolism,fabD,[acyl-carrier-protein] S-malonyltransferase
"Secondary metabolites, biosynthesis, transport, and catabolism",fabF,β-ketoacyl-[acyl carrier protein] synthase II
Lipid transport and metabolism,fabH,β-ketoacyl-[acyl carrier protein] synthase III
Lipid transport and metabolism,fabI,enoyl-[acyl-carrier-protein] reductase
Transcription,fabR,DNA-binding transcriptional repressor FabR
Lipid transport and metabolism,fabZ,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase
Lipid transport and metabolism,fadA,3-ketoacyl-CoA thiolase
Lipid transport and metabolism,fadB,"dodecenoyl-CoA &delta;-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase"
"Secondary metabolites, biosynthesis, transport, and catabolism",fadD,long-chain-fatty-acid-CoA ligase
Lipid transport and metabolism,fadE,acyl-CoA dehydrogenase
Energy production and conversion,fadH,DIENOYLCOAREDUCT-MONOMER
Lipid transport and metabolism,fadI,3-ketoacyl-CoA thiolase FadI
Lipid transport and metabolism,fadJ,3-hydroxyacyl-CoA dehydrogenase FadJ
"Secondary metabolites, biosynthesis, transport, and catabolism",fadK,short chain acyl-CoA synthetase
Lipid transport and metabolism,fadL,long-chain fatty acid outer membrane channel / bacteriophage T2 receptor
Lipid transport and metabolism,fadM,thioesterase III
Transcription,fadR,DNA-binding transcriptional dual regulator FadR
Carbohydrate transport and metabolism,fbaA,fructose-bisphosphate aldolase class II
Carbohydrate transport and metabolism,fbaB,fructose-bisphosphate aldolase class I
Carbohydrate transport and metabolism,fbp,"fructose-1,6-bisphosphatase 1"
Energy production and conversion,fdhD,sulfurtransferase for molybdenum cofactor sulfuration
"Post-translational modification, protein turnover, and chaperones",fdhE,formate dehydrogenase formation protein
No Specific COG Annotation,fdhF,formate dehydrogenase H
Energy production and conversion,fdnG,formate dehydrogenase N subunit α
Energy production and conversion,fdoG,formate dehydrogenase O subunit α
Energy production and conversion,fdoH,formate dehydrogenase O subunit β
Energy production and conversion,fdoI,formate dehydrogenase O subunit γ
Energy production and conversion,fdx,"oxidized ferredoxin // ""reduced ferredoxin"""
Energy production and conversion,feaB,phenylacetaldehyde dehydrogenase
Transcription,feaR,DNA-binding transcriptional activator FeaR
Inorganic ion transport and metabolism,fecA,ferric citrate outer membrane transporter
Inorganic ion transport and metabolism,fecB,ferric citrate ABC transporter periplasmic binding protein
Inorganic ion transport and metabolism,fecC,ferric citrate ABC transporter membrane subunit FecC
Inorganic ion transport and metabolism,fecD,ferric citrate ABC transporter membrane subunit FecD
Inorganic ion transport and metabolism,fecE,ferric citrate ABC transporter ATP binding subunit
Transcription,fecI,RNA polymerase sigma factor FecI
Inorganic ion transport and metabolism,fecR,"regulator for fec operon, periplasmic"
Inorganic ion transport and metabolism,feoA,ferrous iron transport protein A
Inorganic ion transport and metabolism,feoB,Fe2+ transporter FeoB
No Specific COG Annotation,feoC,ferrous iron transport protein FeoC
Inorganic ion transport and metabolism,fepA,ferric enterobactin outer membrane transporter
Inorganic ion transport and metabolism,fepB,ferric enterobactin ABC transporter periplasmic binding protein
Inorganic ion transport and metabolism,fepC,ferric enterobactin ABC transporter ATP binding subunit
Inorganic ion transport and metabolism,fepD,ferric enterobactin ABC transporter membrane subunit FebD
Inorganic ion transport and metabolism,fepG,ferric enterobactin ABC transporter membrane subunit FepG
Inorganic ion transport and metabolism,fes,ferric enterobactin esterase
Inorganic ion transport and metabolism,fetA,putative iron ABC exporter ATP-binding subunit FetA
"Intracellular trafficking, secretion, and vesicular transport",ffh,signal recognition particle protein component
Transcription,fhlA,DNA-binding transcriptional activator FhlA
Inorganic ion transport and metabolism,fhuA,ferrichrome outer membrane transporter/phage receptor
Inorganic ion transport and metabolism,fhuB,iron(III) hydroxamate ABC transporter membrane subunit
Inorganic ion transport and metabolism,fhuC,iron(III) hydroxamate ABC transporter ATP binding subunit
Inorganic ion transport and metabolism,fhuD,iron(III) hydroxamate ABC transporter periplasmic binding protein
Inorganic ion transport and metabolism,fhuE,ferric coprogen/ferric rhodotorulic acid outer membrane transporter
Inorganic ion transport and metabolism,fhuF,hydroxamate siderophore iron reductase
Signal transduction mechanisms,fic,putative adenosine monophosphate-protein transferase Fic
Inorganic ion transport and metabolism,fieF,Zn2+/Fe2+/Cd2+ exporter
Cell motility,fimA,type 1 fimbriae major subunit
No Specific COG Annotation,fimB,regulator for fimA
Extracellular structures,fimC,type 1 fimbriae periplasmic chaperone
No Specific COG Annotation,fimE,regulator for fimA
Cell motility,fimF,type 1 fimbriae minor subunit FimF
Cell motility,fimG,type 1 fimbriae minor subunit FimG
No Specific COG Annotation,fimH,type 1 fimbriae D-mannose specific adhesin
Cell motility,fimI,putative fimbrial protein FimI
Transcription,fis,DNA-binding transcriptional dual regulator Fis
Inorganic ion transport and metabolism,fiu,putative iron siderophore outer membrane transporter
Energy production and conversion,fixB,putative electron transfer flavoprotein FixB
"Post-translational modification, protein turnover, and chaperones",fklB,FKBP-type peptidyl-prolyl cis-trans isomerase FklB
"Post-translational modification, protein turnover, and chaperones",fkpA,peptidyl-prolyl cis-trans isomerase FkpA
"Post-translational modification, protein turnover, and chaperones",fkpB,peptidyl-prolyl cis-trans isomerase FkpB
Energy production and conversion,fldA,"oxidized flavodoxin 1 // ""flavodoxin 1"""
Energy production and conversion,fldB,"oxidized flavodoxin 2 // ""flavodoxin 2"""
Cell motility,flgA,flagellar basal body P-ring formation protein FlgA
Cell motility,flgB,flagellar basal-body rod protein FlgB
Cell motility,flgC,flagellar basal-body rod protein FlgC
Cell motility,flgD,"flagellar biosynthesis, initiation of hook assembly"
Cell motility,flgE,flagellar hook protein FlgE
Cell motility,flgF,flagellar basal-body rod protein FlgF
Cell motility,flgG,flagellar basal-body rod protein FlgG
Cell motility,flgH,flagellar L-ring protein
Cell motility,flgI,flagellar P-ring protein
Cell motility,flgK,flagellar hook-filament junction protein 1
Cell motility,flgL,flagellar hook-filament junction protein 2
Transcription,flgM,anti-sigma factor for FliA (&sigma;28)
"Intracellular trafficking, secretion, and vesicular transport",flgN,flagellar biosynthesis protein FlgN
Cell motility,flhA,flagellar biosynthesis protein FlhA
No Specific COG Annotation,flhC,DNA-binding transcriptional dual regulator FlhC
No Specific COG Annotation,flhD,DNA-binding transcriptional dual regulator FlhD
Transcription,fliA,"RNA polymerase, sigma 28 (sigma F) factor"
Cell motility,fliC,flagellar filament structural protein
Cell motility,fliD,flagellar filament capping protein
Cell motility,fliE,flagellar basal-body protein FliE
"Intracellular trafficking, secretion, and vesicular transport",fliF,flagellar basal-body MS-ring and collar protein
Cell motility,fliG,flagellar motor switch protein FliG
Cell motility,fliJ,flagellar biosynthesis protein FliJ
Cell motility,fliK,flagellar hook-length control protein
Cell motility,fliL,flagellar protein FliL
Cell motility,fliM,flagellar motor switch protein FliM
"Intracellular trafficking, secretion, and vesicular transport",fliN,flagellar motor switch protein FliN
"Intracellular trafficking, secretion, and vesicular transport",fliS,flagellar biosynthesis protein FliS
Signal transduction mechanisms,fliY,cystine ABC transporter periplasmic binding protein
No Specific COG Annotation,fliZ,DNA-binding transcriptional regulator FliZ
"Intracellular trafficking, secretion, and vesicular transport",flih,flagellar biosynthesis protein FliH
"Intracellular trafficking, secretion, and vesicular transport",flii,flagellum-specific ATP synthase FliI
No Specific COG Annotation,flk,putative flagella assembly protein
No Specific COG Annotation,flu,CP4-44 prophage; self recognizing antigen 43 (Ag43) autotransporter
No Specific COG Annotation,flxA,Qin prophage; protein FlxA
"Translation, ribosomal structure, and biogenesis",fmt,10-formyltetrahydrofolate:L-methionyl-tRNAfMet N-formyltransferase
Signal transduction mechanisms,fnr,DNA-binding transcriptional dual regulator FNR
Inorganic ion transport and metabolism,focA,formate channel FocA
Coenzyme transport and metabolism,folA,dihydrofolate reductase
Coenzyme transport and metabolism,folB,dihydroneopterin aldolase
Coenzyme transport and metabolism,folC,bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase
Coenzyme transport and metabolism,folD,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase"
Coenzyme transport and metabolism,folE,GTP cyclohydrolase 1
Coenzyme transport and metabolism,folK,H2PTERIDINEPYROPHOSPHOKIN-MONOMER
"Secondary metabolites, biosynthesis, transport, and catabolism",folM,dihydromonapterin reductase
Coenzyme transport and metabolism,folP,dihydropteroate synthase
Coenzyme transport and metabolism,folX,dihydroneopterin triphosphate 2'-epimerase
Energy production and conversion,fpr,flavodoxin/ferredoxin-NADP+ reductase
Lipid transport and metabolism,frc,formyl-CoA transferase
Energy production and conversion,frdA,fumarate reductase flavoprotein subunit
Energy production and conversion,frdB,fumarate reductase iron-sulfur protein
Energy production and conversion,frdC,fumarate reductase membrane protein FrdC
Energy production and conversion,frdD,fumarate reductase membrane protein FrdD
Energy production and conversion,fre,flavin reductase
Cell wall/membrane/envelope biogenesis,frlB,fructoselysine 6-phosphate deglycase
Carbohydrate transport and metabolism,frlC,fructoselysine 3-epimerase
Transcription,frlR,putative DNA-binding transcriptional regulator FrlR
General function prediction only,frmA,S-(hydroxymethyl)glutathione dehydrogenase
Defense Mechanisms,frmB,S-formylglutathione hydrolase FrmB
Transcription,frmR,DNA-binding transcriptional repressor FrmR
"Translation, ribosomal structure, and biogenesis",frr,ribosome-recycling factor
No Specific COG Annotation,frsA,fermentation-respiration switch protein
Carbohydrate transport and metabolism,fruA,fructose-specific PTS multiphosphoryl transfer protein FruA
Signal transduction mechanisms,fruB,"FruB - his299 phosphorylated // ""fructose-specific PTS multiphosphoryl transfer protein FruB"""
Carbohydrate transport and metabolism,fruK,1-phosphofructokinase
Aminio acid transport and metabolism,frvX,peptidase M42 family protein FrvX
Carbohydrate transport and metabolism,frwB,putative PTS enzyme IIB component FrwB
Signal transduction mechanisms,fryA,putative PTS multiphosphoryl transfer protein FryA
Carbohydrate transport and metabolism,fsaA,fructose-6-phosphate aldolase 1
Carbohydrate transport and metabolism,fsaB,fructose-6-phosphate aldolase 2
Inorganic ion transport and metabolism,fsr,FSR-MONOMER
Inorganic ion transport and metabolism,ftnA,ferritin iron storage protein
Inorganic ion transport and metabolism,ftnB,putative ferritin-like protein
"Cell cycle control, cell division, chromosome partitioning",ftsA,cell division protein FtsA
"Cell cycle control, cell division, chromosome partitioning",ftsB,cell division protein FtsB
"Cell cycle control, cell division, chromosome partitioning",ftsE,cell division protein FtsE
"Post-translational modification, protein turnover, and chaperones",ftsH,ATP-dependent zinc metalloprotease FtsH
Cell wall/membrane/envelope biogenesis,ftsI,peptidoglycan DD-transpeptidase FtsI
No Specific COG Annotation,ftsK,cell division DNA translocase FtsK
"Cell cycle control, cell division, chromosome partitioning",ftsL,cell division protein FtsL
"Cell cycle control, cell division, chromosome partitioning",ftsN,cell division protein FtsN
Inorganic ion transport and metabolism,ftsP,cell division protein required during stress conditions
"Cell cycle control, cell division, chromosome partitioning",ftsQ,cell division protein FtsQ
"Cell cycle control, cell division, chromosome partitioning",ftsW,essential cell division protein FtsW
"Cell cycle control, cell division, chromosome partitioning",ftsX,cell division protein FtsX
"Intracellular trafficking, secretion, and vesicular transport",ftsY,signal recognition particle receptor
"Cell cycle control, cell division, chromosome partitioning",ftsZ,cell division protein FtsZ
Carbohydrate transport and metabolism,fucI,L-fucose isomerase
Carbohydrate transport and metabolism,fucK,L-fuculokinase
Energy production and conversion,fucO,"L-1,2-propanediol oxidoreductase"
Transcription,fucR,DNA-binding transcriptional activator FucR
Carbohydrate transport and metabolism,fucU,L-fucose mutarotase
Energy production and conversion,fumA,fumarase A
Energy production and conversion,fumB,fumarase B
Energy production and conversion,fumC,fumarase C
Inorganic ion transport and metabolism,fur,DNA-binding transcriptional dual regulator Fur
"Translation, ribosomal structure, and biogenesis",fusA,elongation factor G
General function prediction only,fxsA,protein FxsA
Energy production and conversion,gabD,succinate-semialdehyde dehydrogenase (NADP+) GabD
Aminio acid transport and metabolism,gabP,4-aminobutanoate:H+ symporter
Aminio acid transport and metabolism,gabT,4-aminobutyrate aminotransferase GabT
Aminio acid transport and metabolism,gadA,glutamate decarboxylase A
Aminio acid transport and metabolism,gadB,glutamate decarboxylase B
Aminio acid transport and metabolism,gadC,XASA-MONOMER
No Specific COG Annotation,gadE,DNA-binding transcriptional activator GadE
Transcription,gadW,DNA-binding transcriptional dual regulator GadW
Transcription,gadX,DNA-binding transcriptional dual regulator GadX
Cell wall/membrane/envelope biogenesis,galE,UDP-glucose 4-epimerase
Cell wall/membrane/envelope biogenesis,galF,"UTP:glucose-1-phosphate uridylyltransferase, low activity"
Carbohydrate transport and metabolism,galK,GALACTOKIN-MONOMER
Carbohydrate transport and metabolism,galM,galactose-1-epimerase
Carbohydrate transport and metabolism,galP,galactose:H+ symporter
Transcription,galR,DNA-binding transcriptional dual regulator GalR
Transcription,galS,DNA-binding transcriptional dual regulator GalS
Carbohydrate transport and metabolism,galT,galactose-1-phosphate uridylyltransferase
Cell wall/membrane/envelope biogenesis,galU,UTP-glucose-1-phosphate uridylyltransferase
Carbohydrate transport and metabolism,gapA,glyceraldehyde-3-phosphate dehydrogenase A
Carbohydrate transport and metabolism,garD,GALACTARDEHYDRA-MONOMER
Carbohydrate transport and metabolism,garK,glycerate 2-kinase 1
Carbohydrate transport and metabolism,garL,α-dehydro-β-deoxy-D-glucarate aldolase
Lipid transport and metabolism,garR,TSA-REDUCT-MONOMER
Signal transduction mechanisms,gatA,galactitol-specific PTS enzyme IIA component
Carbohydrate transport and metabolism,gatB,galactitol-specific PTS enzyme IIB component
Carbohydrate transport and metabolism,gatC,galactitol-specific PTS enzyme IIC component
Aminio acid transport and metabolism,gatD,galactitol-1-phosphate 5-dehydrogenase
No Specific COG Annotation,gatR,"DNA-binding transcriptional repressor GatR, N-terminal fragment"
Carbohydrate transport and metabolism,gatY,"tagatose-1,6-bisphosphate aldolase 2 subunit GatY"
Carbohydrate transport and metabolism,gatZ,"tagatose-1,6-bisphosphate aldolase 2 subunit GatZ"
Carbohydrate transport and metabolism,gcd,quinoprotein glucose dehydrogenase
"Secondary metabolites, biosynthesis, transport, and catabolism",gcl,glyoxylate carboligase
Transcription,gcvA,DNA-binding transcriptional dual regulator GcvA
Aminio acid transport and metabolism,gcvH,"lipoyl-GcvH-protein // ""glycine cleavage system H protein"""
Aminio acid transport and metabolism,gcvP,glycine decarboxylase
Aminio acid transport and metabolism,gcvR,putative transcriptional regulator GcvR
Aminio acid transport and metabolism,gcvT,GCVT-MONOMER
Aminio acid transport and metabolism,gdhA,glutamate dehydrogenase
No Specific COG Annotation,gfcA,threonine-rich inner membrane protein GfcA
No Specific COG Annotation,gfcD,putative lipoprotein GfcD
Cell wall/membrane/envelope biogenesis,gfcE,putative exopolysaccharide export lipoprotein GfcE
Aminio acid transport and metabolism,ggt,"glutathione hydrolase, small subunit // ""glutathione hydrolase, large subunit"" // ""glutathione hydrolase proenzyme"""
General function prediction only,ghrA,glyoxylate/hydroxypyruvate reductase A
Energy production and conversion,ghrB,glyoxylate reductase
Nucleotide transport and metabolism,ghxP,guanine/hypoxanthine transporter GhxP
Energy production and conversion,glcA,glycolate/lactate:H+ symporter GlcA
Energy production and conversion,glcB,MALSYNG-MONOMER
Transcription,glcC,DNA-binding transcriptional dual regulator GlcC
Energy production and conversion,glcD,"glycolate dehydrogenase, putative FAD-linked subunit"
Energy production and conversion,glcE,"glycolate dehydrogenase, putative FAD-binding subunit"
Energy production and conversion,glcF,"glycolate dehydrogenase, putative iron-sulfur subunit"
Function unknown,glcG,putative heme-binding protein GlcG
Energy production and conversion,gldA,"L-1,2-propanediol dehydrogenase / glycerol dehydrogenase"
Cell wall/membrane/envelope biogenesis,glf,GALPMUT-MONOMER
Carbohydrate transport and metabolism,glgA,glycogen synthase
Carbohydrate transport and metabolism,glgB,GLYCOGEN-BRANCH-MONOMER
Carbohydrate transport and metabolism,glgC,glucose-1-phosphate adenylyltransferase
Carbohydrate transport and metabolism,glgP,glycogen phosphorylase
No Specific COG Annotation,glgS,surface composition regulator
Carbohydrate transport and metabolism,glgX,EG10381-MONOMER
Carbohydrate transport and metabolism,glk,glucokinase
Carbohydrate transport and metabolism,glmM,phosphoglucosamine mutase
Cell wall/membrane/envelope biogenesis,glmS,L-glutamine-D-fructose-6-phosphate aminotransferase
Cell wall/membrane/envelope biogenesis,glmU,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase
Aminio acid transport and metabolism,glnA,"adenylyl-[glutamine synthetase] // ""glutamine synthetase"""
Signal transduction mechanisms,glnB,"uridylyl-[protein PII] // ""nitrogen regulatory protein PII-1"""
"Post-translational modification, protein turnover, and chaperones",glnD,PII uridylyltransferase / uridylyl removing enzyme
"Post-translational modification, protein turnover, and chaperones",glnE,fused glutamine synthetase deadenylase/glutamine synthetase adenylyltransferase
Signal transduction mechanisms,glnG,"NtrC-phosphorylated monomer // ""DNA-binding transcriptional dual regulator NtrC"""
Signal transduction mechanisms,glnH,L-glutamine ABC transporter periplasmic binding protein
Signal transduction mechanisms,glnK,"uridylyl-[GlnK] // ""nitrogen regulator GlnK"""
Signal transduction mechanisms,glnL,sensory histidine kinase NtrB
Aminio acid transport and metabolism,glnP,L-glutamine ABC transporter membrane subunit
Aminio acid transport and metabolism,glnQ,L-glutamine ABC transporter ATP binding subunit
"Translation, ribosomal structure, and biogenesis",glnS,glutamine-tRNA ligase
"Secondary metabolites, biosynthesis, transport, and catabolism",gloA,glyoxalase I
General function prediction only,gloB,hydroxyacylglutathione hydrolase GloB
Energy production and conversion,glpA,anaerobic glycerol-3-phosphate dehydrogenase subunit A
Aminio acid transport and metabolism,glpB,anaerobic glycerol-3-phosphate dehydrogenase subunit B
Energy production and conversion,glpC,anaerobic glycerol-3-phosphate dehydrogenase subunit C
Energy production and conversion,glpD,aerobic glycerol 3-phosphate dehydrogenase
Inorganic ion transport and metabolism,glpE,thiosulfate sulfurtransferase GlpE
Carbohydrate transport and metabolism,glpF,glycerol facilitator
"Post-translational modification, protein turnover, and chaperones",glpG,rhomboid protease GlpG
Energy production and conversion,glpK,glycerol kinase
Lipid transport and metabolism,glpQ,glycerophosphoryl diester phosphodiesterase GlpQ
Transcription,glpR,DNA-binding transcriptional repressor GlpR
Carbohydrate transport and metabolism,glpT,GLPT-MONOMER
Carbohydrate transport and metabolism,glpX,"fructose-1,6-bisphosphatase 2"
Signal transduction mechanisms,glrK,"sensory histidine kinase GlrK - phosphorylated // ""sensory histidine kinase GlrK"""
Signal transduction mechanisms,glrR,"Pasp56 DNA-binding transcriptional activator GlrR // ""DNA-binding transcriptional activator GlrR"""
Aminio acid transport and metabolism,glsA,glutaminase 1
Energy production and conversion,gltA,citrate synthase
Aminio acid transport and metabolism,gltB,glutamate synthase subunit GltB
Aminio acid transport and metabolism,gltD,glutamate synthase subunit GltD
No Specific COG Annotation,gltF,periplasmic protein GltF
Signal transduction mechanisms,gltI,glutamate/aspartate ABC transporter periplasmic binding protein
Aminio acid transport and metabolism,gltJ,glutamate/aspartate ABC transporter membrane subunit GltJ
Aminio acid transport and metabolism,gltK,glutamate/aspartate ABC transporter membrane subunit GltK
Aminio acid transport and metabolism,gltL,glutamate/aspartate ABC transporter ATP binding subunit
Energy production and conversion,gltP,glutamate/aspartate : H+ symporter GltP
Aminio acid transport and metabolism,gltS,glutamate:sodium symporter
"Translation, ribosomal structure, and biogenesis",gltX,glutamate-tRNA ligase
Carbohydrate transport and metabolism,glxK,glycerate 2-kinase 2
Lipid transport and metabolism,glxR,tartronate semialdehyde reductase 2
Aminio acid transport and metabolism,glyA,serine hydroxymethyltransferase
"Translation, ribosomal structure, and biogenesis",glyQ,glycine-tRNA ligase subunit α
"Translation, ribosomal structure, and biogenesis",glyS,glycine-tRNA ligase subunit β
Cell wall/membrane/envelope biogenesis,gmd,"GDP-mannose 4,6-dehydratase"
Carbohydrate transport and metabolism,gmhA,D-sedoheptulose 7-phosphate isomerase
Aminio acid transport and metabolism,gmhB,"D-glycero-β-D-manno-heptose-1,7-bisphosphate 7-phosphatase"
Nucleotide transport and metabolism,gmk,guanylate kinase
No Specific COG Annotation,gmr,cyclic di-GMP phosphodiesterase PdeR
Carbohydrate transport and metabolism,gnd,"6-phosphogluconate dehydrogenase, decarboxylating"
No Specific COG Annotation,gnsA,putative phosphatidylethanolamine synthesis regulator GnsA
No Specific COG Annotation,gnsB,Qin prophage; protein GnsB
Carbohydrate transport and metabolism,gntK,"D-gluconate kinase, thermostable"
General function prediction only,gntP,fructuronate transporter
Transcription,gntR,DNA-binding transcriptional repressor GntR
General function prediction only,gntT,high-affinity gluconate transporter
General function prediction only,gntU,low-affinity gluconate transporter
Energy production and conversion,gor,glutathione reductase (NADPH)
Energy production and conversion,gph,GPH-MONOMER
Carbohydrate transport and metabolism,gpmA,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
Carbohydrate transport and metabolism,gpmB,putative phosphatase
Carbohydrate transport and metabolism,gpmI,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
Inorganic ion transport and metabolism,gppA,"guanosine-5'-triphosphate,3'-diphosphate phosphatase"
General function prediction only,gpr,L-glyceraldehyde 3-phosphate reductase
Energy production and conversion,gpsA,glycerol-3-phosphate dehydrogenase
Nucleotide transport and metabolism,gpt,xanthine-guanine phsophoribosyltransferase
Coenzyme transport and metabolism,grcA,stress-induced alternate pyruvate formate-lyase subunit
Transcription,greA,transcription elongation factor GreA
Transcription,greB,transcription elongation factor GreB
"Post-translational modification, protein turnover, and chaperones",groL,chaperonin GroEL
"Post-translational modification, protein turnover, and chaperones",groS,cochaperonin GroES
"Post-translational modification, protein turnover, and chaperones",grpE,nucleotide exchange factor GrpE
"Post-translational modification, protein turnover, and chaperones",grxA,"oxidized glutaredoxin 1 // ""reduced glutaredoxin 1"""
"Post-translational modification, protein turnover, and chaperones",grxB,"oxidized glutaredoxin 2 // ""reduced glutaredoxin 2"""
"Post-translational modification, protein turnover, and chaperones",grxC,"oxidized glutaredoxin 3 // ""glutaredoxin 3"""
"Post-translational modification, protein turnover, and chaperones",grxD,glutaredoxin 4
Coenzyme transport and metabolism,gshA,glutamate-cysteine ligase
"Translation, ribosomal structure, and biogenesis",gshB,glutathione synthetase
"Post-translational modification, protein turnover, and chaperones",gsiA,glutathione ABC transporter ATP binding subunit GsiA
Aminio acid transport and metabolism,gsiB,glutathione ABC transporter periplasmic binding protein
Inorganic ion transport and metabolism,gsiC,glutathione ABC transporter membrane subunit GsiC
Inorganic ion transport and metabolism,gsiD,glutathione ABC transporter membrane subunit GsiD
Carbohydrate transport and metabolism,gsk,inosine/guanosine kinase
No Specific COG Annotation,gspB,putative general secretion pathway protein B
"Intracellular trafficking, secretion, and vesicular transport",gspC,Type II secretion system protein GspC
"Intracellular trafficking, secretion, and vesicular transport",gspD,Type II secretion system protein GspD
"Intracellular trafficking, secretion, and vesicular transport",gsph,Type II secretion system protein GspH
Aminio acid transport and metabolism,gss,fused glutathionylspermidine amidase / glutathionylspermidine synthetase
"Post-translational modification, protein turnover, and chaperones",gstA,glutathione S-transferase GstA
"Post-translational modification, protein turnover, and chaperones",gstB,glutathione S-transferase GstB
Nucleotide transport and metabolism,guaA,GMP synthetase
Nucleotide transport and metabolism,guaB,inosine 5'-monophosphate dehydrogenase
Nucleotide transport and metabolism,guaC,GMP reductase
General function prediction only,guaD,G7502-MONOMER
General function prediction only,gudD,D-glucarate dehydratase
Transcription,gutM,DNA-binding transcriptional activator GutM
Carbohydrate transport and metabolism,gutQ,D-arabinose 5-phosphate isomerase GutQ
"Replication, recombination, and repair",gyrA,DNA gyrase subunit A
"Replication, recombination, and repair",gyrB,DNA gyrase subunit B
"Secondary metabolites, biosynthesis, transport, and catabolism",hcaB,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase"
Inorganic ion transport and metabolism,hcaC,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit
Lipid transport and metabolism,hcaD,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit
Inorganic ion transport and metabolism,hcaE,putative 3-phenylpropionate/cinnamate dioxygenase subunit α
Transcription,hcaR,DNA-binding transcriptional dual regulator HcaR
No Specific COG Annotation,hcaT,putative 3-phenylpropionate transporter
General function prediction only,hchA,protein/nucleic acid deglycase 1
Energy production and conversion,hcr,G6456-MONOMER
No Specific COG Annotation,hda,inibitor of reinitiation of DNA replication
No Specific COG Annotation,hdeA,periplasmic acid stress chaperone HdeA
No Specific COG Annotation,hdeB,periplasmic acid stress chaperone HdeB
Function unknown,hdeD,acid-resistance membrane protein
Transcription,hdfR,DNA-binding transcriptional dual regulator HdfR
"Secondary metabolites, biosynthesis, transport, and catabolism",hdhA,7-α-hydroxysteroid dehydrogenase
"Replication, recombination, and repair",helD,DNA helicase IV
Coenzyme transport and metabolism,hemA,glutamyl-tRNA reductase
Coenzyme transport and metabolism,hemB,porphobilinogen synthase
Coenzyme transport and metabolism,hemC,OHMETHYLBILANESYN-MONOMER
Coenzyme transport and metabolism,hemD,UROGENIIISYN-MONOMER
Coenzyme transport and metabolism,hemE,uroporphyrinogen decarboxylase
Coenzyme transport and metabolism,hemF,coproporphyrinogen III oxidase
Coenzyme transport and metabolism,hemG,protoporphyrinogen oxidase
Coenzyme transport and metabolism,hemH,PROTOHEME-FERROCHELAT-MONOMER
Coenzyme transport and metabolism,hemL,glutamate-1-semialdehyde aminotransferase
Coenzyme transport and metabolism,hemN,coproporphyrinogen III dehydrogenase
Function unknown,hemX,PF04375 family protein HemX
Function unknown,hemY,protein HemY
"Post-translational modification, protein turnover, and chaperones",hflC,regulator of FtsH protease
Signal transduction mechanisms,hflD,lysogenization regulator
"Post-translational modification, protein turnover, and chaperones",hflK,regulator of FtsH protease
"Translation, ribosomal structure, and biogenesis",hflX,ribosome rescue factor HflX
Signal transduction mechanisms,hfq,RNA-binding protein Hfq
No Specific COG Annotation,hha,haemolysin expression-modulating protein Hha
Defense Mechanisms,hicB,antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB
Defense Mechanisms,higA,antitoxin/DNA-binding transcriptional repressor HigA
"Translation, ribosomal structure, and biogenesis",higB,ribosome-dependent mRNA interferase toxin HigB
General function prediction only,hinT,purine nucleoside phosphoramidase
Signal transduction mechanisms,hipA,"phosphorylated serine/threonine kinase HipA // ""serine/threonine kinase HipA"""
Transcription,hipB,antitoxin/DNA-binding transcriptional repressor HipB
Aminio acid transport and metabolism,hisA,PRIBFAICARPISOM-MONOMER
Aminio acid transport and metabolism,hisB,imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase
Aminio acid transport and metabolism,hisC,histidinol-phosphate aminotransferase
Aminio acid transport and metabolism,hisD,histidinal/histidinol dehydrogenase
Aminio acid transport and metabolism,hisF,imidazole glycerol phosphate synthase subunit HisF
Aminio acid transport and metabolism,hisG,ATP phosphoribosyltransferase
Aminio acid transport and metabolism,hisH,imidazole glycerol phosphate synthase subunit HisH
Aminio acid transport and metabolism,hisI,putative bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase
Signal transduction mechanisms,hisJ,histidine ABC transporter periplasmic binding protein
No Specific COG Annotation,hisL,his operon leader peptide
Aminio acid transport and metabolism,hisM,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM"
Aminio acid transport and metabolism,hisP,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit"
Aminio acid transport and metabolism,hisQ,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisQ"
