cog,complex,complex_annotation,func,gene_name
Aminio acid transport and metabolism,ABC-4-CPLX,L-arginine ABC transporter membrane subunit ArtQ,L-arginine ABC transporter membrane subunit ArtQ,artQ
Signal transduction mechanisms,ABC-4-CPLX,L-arginine ABC transporter periplasmic binding protein,L-arginine ABC transporter periplasmic binding protein,artJ
Carbohydrate transport and metabolism,EIISGA,L-ascorbate specific PTS enzyme IIB component,L-ascorbate specific PTS enzyme IIB component,ulaB
Signal transduction mechanisms,EIISGA,L-ascorbate specific PTS enzyme IIA component,L-ascorbate specific PTS enzyme IIA component,ulaC
Carbohydrate transport and metabolism,CPLX0-7848,L-ascorbate-6-phosphate lactonase,L-ascorbate-6-phosphate lactonase,ulaG
"Intracellular trafficking, secretion, and vesicular transport",ANSA-CPLX,L-asparaginase 1,L-asparaginase 1,ansA
"Intracellular trafficking, secretion, and vesicular transport",ANSB-CPLX,L-asparaginase 2,L-asparaginase 2,ansB
Aminio acid transport and metabolism,CPLX0-246,L-cysteine desulfurase,L-cysteine desulfurase,sufS
Carbohydrate transport and metabolism,CPLX0-7631,L-fucose isomerase,L-fucose isomerase,fucI
Carbohydrate transport and metabolism,CPLX0-7645,L-fucose mutarotase,L-fucose mutarotase,fucU
Aminio acid transport and metabolism,ABC-12-CPLX,L-glutamine ABC transporter membrane subunit,L-glutamine ABC transporter membrane subunit,glnP
Aminio acid transport and metabolism,ABC-12-CPLX,L-glutamine ABC transporter ATP binding subunit,L-glutamine ABC transporter ATP binding subunit,glnQ
Signal transduction mechanisms,ABC-12-CPLX,L-glutamine ABC transporter periplasmic binding protein,L-glutamine ABC transporter periplasmic binding protein,glnH
Cell wall/membrane/envelope biogenesis,L-GLN-FRUCT-6-P-AMINOTRANS-CPLX,L-glutamine-D-fructose-6-phosphate aminotransferase,L-glutamine-D-fructose-6-phosphate aminotransferase,glmS
Aminio acid transport and metabolism,METNIQ-METHIONINE-ABC-CPLX,L-methionine/D-methionine ABC transporter membrane subunit,L-methionine/D-methionine ABC transporter membrane subunit,metI
Aminio acid transport and metabolism,METNIQ-METHIONINE-ABC-CPLX,L-methionine/D-methionine ABC transporter ATP binding subunit,L-methionine/D-methionine ABC transporter ATP binding subunit,metN
Inorganic ion transport and metabolism,METNIQ-METHIONINE-ABC-CPLX,L-methionine/D-methionine ABC transporter membrane anchored binding protein,L-methionine/D-methionine ABC transporter membrane anchored binding protein,metQ
Carbohydrate transport and metabolism,CPLX0-7652,L-rhamnose isomerase,L-rhamnose isomerase,rhaA
Aminio acid transport and metabolism,CPLX0-7622,L-serine deaminase III,L-serine deaminase III,tdcG
Aminio acid transport and metabolism,CPLX0-7684,"L-valine exporter, YgaZ component","L-valine exporter, YgaZ component",ygaZ
No Specific COG Annotation,CPLX0-7684,"L-valine exporter, YgaH component","L-valine exporter, YgaH component",ygaH
"Post-translational modification, protein turnover, and chaperones",CPLX0-2881,Lon protease,Lon protease,lon
Signal transduction mechanisms,CPLX0-841,antitoxin of the MazF-MazE toxin-antitoxin system MazE,antitoxin of the MazF-MazE toxin-antitoxin system MazE,mazE
Signal transduction mechanisms,CPLX0-1242,antitoxin of the MazF-MazE toxin-antitoxin system MazE,antitoxin of the MazF-MazE toxin-antitoxin system MazE,mazE
Defense Mechanisms,CPLX0-1242,endoribonuclease toxin MazF,endoribonuclease toxin MazF,mazF
Defense Mechanisms,CPLX0-1241,endoribonuclease toxin MazF,endoribonuclease toxin MazF,mazF
Defense Mechanisms,CPLX0-2661,5-methylcytosine-specific restriction enzyme subunit McrB,5-methylcytosine-specific restriction enzyme subunit McrB,mcrB
Defense Mechanisms,CPLX0-2661,5-methylcytosine-specific restriction enzyme subunit McrC,5-methylcytosine-specific restriction enzyme subunit McrC,mcrC
Transcription,CPLX0-7796,DNA-binding transcriptional repressor MetJ,DNA-binding transcriptional repressor MetJ,metJ
Carbohydrate transport and metabolism,CPLX0-8255,"EIIBCglc - phosphorylated // ""glucose-specific PTS enzyme IIBC component""","EIIBCglc - phosphorylated // ""glucose-specific PTS enzyme IIBC component""",ptsG
Transcription,CPLX0-8255,DNA-binding transcriptional repressor Mlc,DNA-binding transcriptional repressor Mlc,mlc
Transcription,CPLX0-7672,DNA-binding transcriptional dual regulator MntR,DNA-binding transcriptional dual regulator MntR,mntR
Transcription,CPLX0-7822,antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,mqsA
No Specific COG Annotation,CPLX0-7822,mRNA interferase / toxin of the MqsR-MqsA toxin-antitoxin system,mRNA interferase / toxin of the MqsR-MqsA toxin-antitoxin system,mqsR
Transcription,MONOMER0-2461,transcriptional repressor MtlR,transcriptional repressor MtlR,mtlR
No Specific COG Annotation,MONOMER0-2461,hemolysin E,hemolysin E,hlyE
"Cell cycle control, cell division, chromosome partitioning",CPLX0-7697,chromosome partitioning protein MukE,chromosome partitioning protein MukE,mukE
"Cell cycle control, cell division, chromosome partitioning",CPLX0-7697,chromosome partitioning protein MukF,chromosome partitioning protein MukF,mukF
"Cell cycle control, cell division, chromosome partitioning",CPLX0-7698,chromosome partitioning protein MukF,chromosome partitioning protein MukF,mukF
"Replication, recombination, and repair",MUTHLS-CPLX,DNA mismatch repair protein MutH,DNA mismatch repair protein MutH,mutH
"Replication, recombination, and repair",MUTHLS-CPLX,DNA mismatch repair protein MutL,DNA mismatch repair protein MutL,mutL
"Replication, recombination, and repair",MUTHLS-CPLX,DNA mismatch repair protein MutS,DNA mismatch repair protein MutS,mutS
Carbohydrate transport and metabolism,CPLX-167,N-acetylglucosamine-specific PTS enzyme IIABC component,N-acetylglucosamine-specific PTS enzyme IIABC component,nagE
Aminio acid transport and metabolism,N-ACETYLTRANSFER-CPLX,N-acetylglutamate synthase,N-acetylglutamate synthase,argA
Carbohydrate transport and metabolism,CPLX0-7,Enzyme IIAGlc,Enzyme IIAGlc,crr
Carbohydrate transport and metabolism,CPLX0-7,N-acetylmuramic acid-specific PTS enzyme IICB component / anhydro-N-acetylmuramic acid transporter,N-acetylmuramic acid-specific PTS enzyme IICB component / anhydro-N-acetylmuramic acid transporter,murP
"Translation, ribosomal structure, and biogenesis",CPLX0-8182,"N6-L-threonylcarbamoyladenine synthase, TsaB subunit","N6-L-threonylcarbamoyladenine synthase, TsaB subunit",tsaB
"Translation, ribosomal structure, and biogenesis",CPLX0-8182,"N6-L-threonylcarbamoyladenine synthase, TsaD subunit","N6-L-threonylcarbamoyladenine synthase, TsaD subunit",tsaD
"Translation, ribosomal structure, and biogenesis",CPLX0-8182,"N6-L-threonylcarbamoyladenine synthase, TsaE subunit","N6-L-threonylcarbamoyladenine synthase, TsaE subunit",tsaE
"Translation, ribosomal structure, and biogenesis",CPLX0-8181,"N6-L-threonylcarbamoyladenine synthase, TsaB subunit","N6-L-threonylcarbamoyladenine synthase, TsaB subunit",tsaB
"Translation, ribosomal structure, and biogenesis",CPLX0-8181,"N6-L-threonylcarbamoyladenine synthase, TsaD subunit","N6-L-threonylcarbamoyladenine synthase, TsaD subunit",tsaD
Nucleotide transport and metabolism,CPLX0-682,NAD kinase,NAD kinase,nadK
Coenzyme transport and metabolism,NAD-SYNTH-CPLX,"NAD synthetase, NH3-dependent","NAD synthetase, NH3-dependent",nadE
Energy production and conversion,DIHYDROPTERIREDUCT-CPLX,NAD(P)H nitroreductase NfsB,NAD(P)H nitroreductase NfsB,nfnB
Energy production and conversion,CPLX0-7632,NAD(P)H:quinone oxidoreductase,NAD(P)H:quinone oxidoreductase,wrbA
Aminio acid transport and metabolism,CPLX0-7788,NAD-dependent dihydropyrimidine dehydrogenase subunit PreT,NAD-dependent dihydropyrimidine dehydrogenase subunit PreT,preT
Nucleotide transport and metabolism,CPLX0-7788,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,yeiA
Energy production and conversion,MALIC-NAD-CPLX,NAD+-dependent malate dehydrogenase,NAD+-dependent malate dehydrogenase,maeA
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase subunit A,NADH:quinone oxidoreductase subunit A,nuoA
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase subunit B,NADH:quinone oxidoreductase subunit B,nuoB
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase subunit CD,NADH:quinone oxidoreductase subunit CD,nuoC
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase subunit E,NADH:quinone oxidoreductase subunit E,nuoE
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase subunit F,NADH:quinone oxidoreductase subunit F,nuoF
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase subunit G,NADH:quinone oxidoreductase subunit G,nuoG
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase subunit H,NADH:quinone oxidoreductase subunit H,nuoH
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase subunit I,NADH:quinone oxidoreductase subunit I,nuoI
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase subunit J,NADH:quinone oxidoreductase subunit J,nuoJ
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase subunit K,NADH:quinone oxidoreductase subunit K,nuoK
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase subunit N,NADH:quinone oxidoreductase subunit N,nuoN
Inorganic ion transport and metabolism,NADH-DHI-CPLX,NADH:quinone oxidoreductase subunit L,NADH:quinone oxidoreductase subunit L,nuoL
Energy production and conversion,CPLX0-3361,NADH:quinone oxidoreductase subunit B,NADH:quinone oxidoreductase subunit B,nuoB
Energy production and conversion,CPLX0-3361,NADH:quinone oxidoreductase subunit CD,NADH:quinone oxidoreductase subunit CD,nuoC
Energy production and conversion,CPLX0-3361,NADH:quinone oxidoreductase subunit E,NADH:quinone oxidoreductase subunit E,nuoE
Energy production and conversion,CPLX0-3361,NADH:quinone oxidoreductase subunit F,NADH:quinone oxidoreductase subunit F,nuoF
Energy production and conversion,CPLX0-3361,NADH:quinone oxidoreductase subunit G,NADH:quinone oxidoreductase subunit G,nuoG
Energy production and conversion,CPLX0-3361,NADH:quinone oxidoreductase subunit I,NADH:quinone oxidoreductase subunit I,nuoI
Energy production and conversion,MALIC-NADP-CPLX,NADP+-dependent malate dehydrogenase,NADP+-dependent malate dehydrogenase,maeB
Energy production and conversion,CPLX0-224,NADPH-dependent FMN reductase,NADPH-dependent FMN reductase,ssuE
Energy production and conversion,CPLX0-7667,NADPH-dependent aldehyde reductase YqhD,NADPH-dependent aldehyde reductase YqhD,yqhD
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-7927,NADPH-dependent curcumin/dihydrocurcumin reductase,NADPH-dependent curcumin/dihydrocurcumin reductase,curA
Energy production and conversion,CPLX0-244,NADPH-dependent nitroreductase NfsA,NADPH-dependent nitroreductase NfsA,nfsA
General function prediction only,CPLX0-253,NADPH:quinone oxidoreductase MdaB,NADPH:quinone oxidoreductase MdaB,mdaB
Coenzyme transport and metabolism,CPLXECOLI-7943,NMN aminohydrolase,NMN aminohydrolase,pncC
Inorganic ion transport and metabolism,CPLX0-7629,Na+:H+ antiporter NhaA,Na+:H+ antiporter NhaA,nhaA
Aminio acid transport and metabolism,ABC-20-CPLX,Ni(2+) ABC transporter periplasmic binding protein,Ni(2+) ABC transporter periplasmic binding protein,nikA
Inorganic ion transport and metabolism,ABC-20-CPLX,Ni(2+) ABC transporter membrane subunit NikC,Ni(2+) ABC transporter membrane subunit NikC,nikC
Transcription,CPLX0-7707,DNA-binding transcriptional repressor NikR,DNA-binding transcriptional repressor NikR,nikR
"Translation, ribosomal structure, and biogenesis",CPLX0-7879,30S ribosomal subunit protein S10,30S ribosomal subunit protein S10,rpsJ
Transcription,CPLX0-7879,transcription antitermination protein NusB,transcription antitermination protein NusB,nusB
Transcription,CPLX0-8285,"OmpR-Phosphorylated // ""DNA-binding transcriptional dual regulator OmpR""","OmpR-Phosphorylated // ""DNA-binding transcriptional dual regulator OmpR""",ompR
Cell wall/membrane/envelope biogenesis,CPLX0-3933,outer membrane protein assembly factor BamA,outer membrane protein assembly factor BamA,bamA
Cell wall/membrane/envelope biogenesis,CPLX0-3933,outer membrane protein assembly factor BamB,outer membrane protein assembly factor BamB,bamB
Cell wall/membrane/envelope biogenesis,CPLX0-3933,outer membrane protein assembly factor BamD,outer membrane protein assembly factor BamD,bamD
Cell wall/membrane/envelope biogenesis,CPLX0-3933,outer membrane protein assembly factor BamE,outer membrane protein assembly factor BamE,bamE
Function unknown,CPLX0-3933,outer membrane protein assembly factor BamC,outer membrane protein assembly factor BamC,bamC
Coenzyme transport and metabolism,CPLX0-8185,PF10636 family protein YdiE,PF10636 family protein YdiE,ydiE
Signal transduction mechanisms,CPLX0-7938,"HPr - phosphorylated // ""phosphocarrier protein HPr""","HPr - phosphorylated // ""phosphocarrier protein HPr""",ptsH
Energy production and conversion,CPLX0-7988,"phenylacetyl-CoA 1,2-epoxidase, reductase subunit","phenylacetyl-CoA 1,2-epoxidase, reductase subunit",paaE
Signal transduction mechanisms,PHOSPHO-PHOQ,sensor histidine kinase PhoQ,sensor histidine kinase PhoQ,phoQ
Signal transduction mechanisms,PHOSPHO-PHOR,sensor histidine kinase PhoR,sensor histidine kinase PhoR,phoR
Defense Mechanisms,CPLX0-7928,Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,relB
Nucleotide transport and metabolism,CPLX0-7974,RNA decapping hydrolase,RNA decapping hydrolase,nudC
Transcription,CPLX0-221,RNA polymerase sigma factor FecI,RNA polymerase sigma factor FecI,fecI
Transcription,CPLX0-221,RNA polymerase subunit α,RNA polymerase subunit α,rpoA
Transcription,CPLX0-221,RNA polymerase subunit β,RNA polymerase subunit β,rpoB
Transcription,CPLX0-221,RNA polymerase subunit β',RNA polymerase subunit β',rpoC
Transcription,RNAPE-CPLX,RNA polymerase subunit α,RNA polymerase subunit α,rpoA
Transcription,RNAPE-CPLX,RNA polymerase subunit β,RNA polymerase subunit β,rpoB
Transcription,RNAPE-CPLX,RNA polymerase subunit β',RNA polymerase subunit β',rpoC
Transcription,RNAPE-CPLX,RNA polymerase sigma E factor,RNA polymerase sigma E factor,rpoE
Transcription,CPLX0-222,"RNA polymerase, sigma 28 (sigma F) factor","RNA polymerase, sigma 28 (sigma F) factor",fliA
Transcription,CPLX0-222,RNA polymerase subunit α,RNA polymerase subunit α,rpoA
Transcription,CPLX0-222,RNA polymerase subunit β,RNA polymerase subunit β,rpoB
Transcription,CPLX0-222,RNA polymerase subunit β',RNA polymerase subunit β',rpoC
Transcription,RNAP32-CPLX,RNA polymerase subunit α,RNA polymerase subunit α,rpoA
Transcription,RNAP32-CPLX,RNA polymerase subunit β,RNA polymerase subunit β,rpoB
Transcription,RNAP32-CPLX,RNA polymerase subunit β',RNA polymerase subunit β',rpoC
Transcription,RNAP32-CPLX,"RNA polymerase, sigma 32 (sigma H) factor","RNA polymerase, sigma 32 (sigma H) factor",rpoH
Transcription,RNAP54-CPLX,RNA polymerase subunit α,RNA polymerase subunit α,rpoA
Transcription,RNAP54-CPLX,RNA polymerase subunit β,RNA polymerase subunit β,rpoB
Transcription,RNAP54-CPLX,RNA polymerase subunit β',RNA polymerase subunit β',rpoC
Transcription,RNAP54-CPLX,"RNA polymerase, sigma 54 (sigma N) factor","RNA polymerase, sigma 54 (sigma N) factor",rpoN
Transcription,RNAP70-CPLX,RNA polymerase subunit α,RNA polymerase subunit α,rpoA
Transcription,RNAP70-CPLX,RNA polymerase subunit β,RNA polymerase subunit β,rpoB
Transcription,RNAP70-CPLX,RNA polymerase subunit β',RNA polymerase subunit β',rpoC
Transcription,RNAP70-CPLX,"RNA polymerase, sigma 70 (sigma D) factor","RNA polymerase, sigma 70 (sigma D) factor",rpoD
Transcription,RNAPS-CPLX,RNA polymerase subunit α,RNA polymerase subunit α,rpoA
Transcription,RNAPS-CPLX,RNA polymerase subunit β,RNA polymerase subunit β,rpoB
Transcription,RNAPS-CPLX,RNA polymerase subunit β',RNA polymerase subunit β',rpoC
Transcription,RNAPS-CPLX,"RNA polymerase, sigma S (sigma 38) factor","RNA polymerase, sigma S (sigma 38) factor",rpoS
Transcription,APORNAP-CPLX,RNA polymerase subunit α,RNA polymerase subunit α,rpoA
Transcription,APORNAP-CPLX,RNA polymerase subunit β,RNA polymerase subunit β,rpoB
Transcription,APORNAP-CPLX,RNA polymerase subunit β',RNA polymerase subunit β',rpoC
Signal transduction mechanisms,CPLX0-1461,RNA-binding protein Hfq,RNA-binding protein Hfq,hfq
"Translation, ribosomal structure, and biogenesis",CPLX0-1621,RNase G,RNase G,rng
Transcription,CPLX0-3281,RNase III,RNase III,rnc
"Translation, ribosomal structure, and biogenesis",CPLX0-1382,RNase P protein component,RNase P protein component,rnpA
"Replication, recombination, and repair",CPLX0-3602,RNase T,RNase T,rnt
Signal transduction mechanisms,CPLX0-7998,RNase adaptor protein,RNase adaptor protein,yhbJ
Transcription,PC00084,DNA-binding transcriptional activator RcsA,DNA-binding transcriptional activator RcsA,rcsA
Transcription,PC00084,"Pasp56 RcsB // ""DNA-binding transcriptional activator RcsB""","Pasp56 RcsB // ""DNA-binding transcriptional activator RcsB""",rcsB
Transcription,CPLX0-7916,"Pasp56 RcsB // ""DNA-binding transcriptional activator RcsB""","Pasp56 RcsB // ""DNA-binding transcriptional activator RcsB""",rcsB
"Replication, recombination, and repair",RECFOR-CPLX,DNA repair protein RecF,DNA repair protein RecF,recF
"Replication, recombination, and repair",RECFOR-CPLX,DNA repair protein RecO,DNA repair protein RecO,recO
"Replication, recombination, and repair",RECFOR-CPLX,DNA repair protein RecR,DNA repair protein RecR,recR
Defense Mechanisms,CPLX0-7791,Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,relB
Defense Mechanisms,CPLX0-7791,Qin prophage; mRNA interferase toxin RelE,Qin prophage; mRNA interferase toxin RelE,relE
No Specific COG Annotation,CPLX0-7909,"CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system","CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system",rnlA
No Specific COG Annotation,CPLX0-7909,CP4-57 prophage; antitoxin RnlB,CP4-57 prophage; antitoxin RnlB,yfjO
"Translation, ribosomal structure, and biogenesis",CPLX0-8208,30S ribosomal subunit protein S6,30S ribosomal subunit protein S6,rpsF
"Translation, ribosomal structure, and biogenesis",CPLX0-8208,30S ribosomal subunit protein S18,30S ribosomal subunit protein S18,rpsR
Cell wall/membrane/envelope biogenesis,SEC-SECRETION-CPLX,membrane protein insertase YidC,membrane protein insertase YidC,yidC
"Intracellular trafficking, secretion, and vesicular transport",SEC-SECRETION-CPLX,Sec translocon accessory complex subunit SecD,Sec translocon accessory complex subunit SecD,secD
"Intracellular trafficking, secretion, and vesicular transport",SEC-SECRETION-CPLX,Sec translocon subunit SecE,Sec translocon subunit SecE,secE
"Intracellular trafficking, secretion, and vesicular transport",SEC-SECRETION-CPLX,Sec translocon accessory complex subunit SecF,Sec translocon accessory complex subunit SecF,secF
"Intracellular trafficking, secretion, and vesicular transport",SEC-SECRETION-CPLX,Sec translocon subunit SecG,Sec translocon subunit SecG,secG
"Intracellular trafficking, secretion, and vesicular transport",SEC-SECRETION-CPLX,Sec translocon subunit SecY,Sec translocon subunit SecY,secY
"Intracellular trafficking, secretion, and vesicular transport",SEC-SECRETION-CPLX,Sec translocon accessory complex subunit YajC,Sec translocon accessory complex subunit YajC,yajC
Cell wall/membrane/envelope biogenesis,SECD-SECF-YAJC-YIDC-CPLX,membrane protein insertase YidC,membrane protein insertase YidC,yidC
"Intracellular trafficking, secretion, and vesicular transport",SECD-SECF-YAJC-YIDC-CPLX,Sec translocon accessory complex subunit SecD,Sec translocon accessory complex subunit SecD,secD
"Intracellular trafficking, secretion, and vesicular transport",SECD-SECF-YAJC-YIDC-CPLX,Sec translocon accessory complex subunit SecF,Sec translocon accessory complex subunit SecF,secF
"Intracellular trafficking, secretion, and vesicular transport",SECD-SECF-YAJC-YIDC-CPLX,Sec translocon accessory complex subunit YajC,Sec translocon accessory complex subunit YajC,yajC
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-8046,SecB chaperone,SecB chaperone,secB
"Intracellular trafficking, secretion, and vesicular transport",SECE-G-Y-CPLX,Sec translocon subunit SecE,Sec translocon subunit SecE,secE
"Intracellular trafficking, secretion, and vesicular transport",SECE-G-Y-CPLX,Sec translocon subunit SecG,Sec translocon subunit SecG,secG
"Intracellular trafficking, secretion, and vesicular transport",SECE-G-Y-CPLX,Sec translocon subunit SecY,Sec translocon subunit SecY,secY
"Translation, ribosomal structure, and biogenesis",CPLX0-8053,selenocysteine synthase,selenocysteine synthase,selA
"Intracellular trafficking, secretion, and vesicular transport",SRP-CPLX,signal recognition particle protein component,signal recognition particle protein component,ffh
"Post-translational modification, protein turnover, and chaperones",CPLX0-1341,Fe-S cluster scaffold complex subunit SufB,Fe-S cluster scaffold complex subunit SufB,sufB
"Post-translational modification, protein turnover, and chaperones",CPLX0-1341,Fe-S cluster scaffold complex subunit SufC,Fe-S cluster scaffold complex subunit SufC,sufC
"Post-translational modification, protein turnover, and chaperones",CPLX0-1341,Fe-S cluster scaffold complex subunit SufD,Fe-S cluster scaffold complex subunit SufD,sufD
Signal transduction mechanisms,TAP-GLN,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""","chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",cheA
Signal transduction mechanisms,TAP-GLN,chemotaxis protein CheW,chemotaxis protein CheW,cheW
Signal transduction mechanisms,TAP-GLN,methyl-accepting chemotaxis protein Tap,methyl-accepting chemotaxis protein Tap,tap
Signal transduction mechanisms,TAP-GLUME,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""","chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",cheA
Signal transduction mechanisms,TAP-GLUME,chemotaxis protein CheW,chemotaxis protein CheW,cheW
Signal transduction mechanisms,TAP-GLUME,methyl-accepting chemotaxis protein Tap,methyl-accepting chemotaxis protein Tap,tap
Signal transduction mechanisms,TAP-GLU,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""","chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",cheA
Signal transduction mechanisms,TAP-GLU,chemotaxis protein CheW,chemotaxis protein CheW,cheW
Signal transduction mechanisms,TAP-GLU,methyl-accepting chemotaxis protein Tap,methyl-accepting chemotaxis protein Tap,tap
Signal transduction mechanisms,TAR-GLN,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""","chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",cheA
Signal transduction mechanisms,TAR-GLN,chemotaxis protein CheW,chemotaxis protein CheW,cheW
Signal transduction mechanisms,TAR-GLN,methyl-accepting chemotaxis protein Tar,methyl-accepting chemotaxis protein Tar,tar
Signal transduction mechanisms,TAR-GLUME,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""","chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",cheA
Signal transduction mechanisms,TAR-GLUME,chemotaxis protein CheW,chemotaxis protein CheW,cheW
Signal transduction mechanisms,TAR-GLUME,methyl-accepting chemotaxis protein Tar,methyl-accepting chemotaxis protein Tar,tar
Signal transduction mechanisms,TAR-GLU,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""","chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",cheA
Signal transduction mechanisms,TAR-GLU,chemotaxis protein CheW,chemotaxis protein CheW,cheW
Signal transduction mechanisms,TAR-GLU,methyl-accepting chemotaxis protein Tar,methyl-accepting chemotaxis protein Tar,tar
Cell wall/membrane/envelope biogenesis,CPLX0-2201,peptidoglycan-associated outer membrane lipoprotein Pal,peptidoglycan-associated outer membrane lipoprotein Pal,pal
Cell wall/membrane/envelope biogenesis,CPLX0-2201,Tol-Pal system protein TolA,Tol-Pal system protein TolA,tolA
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-2201,Tol-Pal system periplasmic protein TolB,Tol-Pal system periplasmic protein TolB,tolB
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-2201,Tol-Pal system protein TolQ,Tol-Pal system protein TolQ,tolQ
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-2201,Tol-Pal system protein TolR,Tol-Pal system protein TolR,tolR
Transcription,PHOSPHO-TORR,DNA-binding transcriptional dual regulator TorR,DNA-binding transcriptional dual regulator TorR,torR
Transcription,CPLX0-2821,DNA-binding transcriptional dual regulator TorR,DNA-binding transcriptional dual regulator TorR,torR
Signal transduction mechanisms,TRG-GLN,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""","chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",cheA
Signal transduction mechanisms,TRG-GLN,chemotaxis protein CheW,chemotaxis protein CheW,cheW
Signal transduction mechanisms,TRG-GLN,methyl-accepting chemotaxis protein Trg,methyl-accepting chemotaxis protein Trg,trg
Signal transduction mechanisms,TRG-GLUME,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""","chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",cheA
Signal transduction mechanisms,TRG-GLUME,chemotaxis protein CheW,chemotaxis protein CheW,cheW
Signal transduction mechanisms,TRG-GLUME,methyl-accepting chemotaxis protein Trg,methyl-accepting chemotaxis protein Trg,trg
Signal transduction mechanisms,TRG-GLU,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""","chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",cheA
Signal transduction mechanisms,TRG-GLU,chemotaxis protein CheW,chemotaxis protein CheW,cheW
Signal transduction mechanisms,TRG-GLU,methyl-accepting chemotaxis protein Trg,methyl-accepting chemotaxis protein Trg,trg
Signal transduction mechanisms,TSR-GLN,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""","chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",cheA
Signal transduction mechanisms,TSR-GLN,chemotaxis protein CheW,chemotaxis protein CheW,cheW
Signal transduction mechanisms,TSR-GLN,methyl-accepting chemotaxis protein Tsr,methyl-accepting chemotaxis protein Tsr,tsr
Signal transduction mechanisms,TSR-GLUME,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""","chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",cheA
Signal transduction mechanisms,TSR-GLUME,chemotaxis protein CheW,chemotaxis protein CheW,cheW
Signal transduction mechanisms,TSR-GLUME,methyl-accepting chemotaxis protein Tsr,methyl-accepting chemotaxis protein Tsr,tsr
Signal transduction mechanisms,TSR-GLU,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""","chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",cheA
Signal transduction mechanisms,TSR-GLU,chemotaxis protein CheW,chemotaxis protein CheW,cheW
Signal transduction mechanisms,TSR-GLU,methyl-accepting chemotaxis protein Tsr,methyl-accepting chemotaxis protein Tsr,tsr
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-3382,Type II secretion system protein GspC,Type II secretion system protein GspC,gspC
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-3382,Type II secretion system protein GspD,Type II secretion system protein GspD,gspD
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-3382,Type II secretion system protein GspH,Type II secretion system protein GspH,gsph
Cell wall/membrane/envelope biogenesis,CPLX0-8016,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,lpxD
