cog_class,cog_class_letter,cog_desc,desc,gene,go_biological_process,go_id,uniprot
Metabolism,Energy production and conversion,Energy production and conversion,Succinyl-CoA ligase [ADP-forming] subunit beta ,sucC,succinyl-CoA metabolic process,GO:0006104,P0A836
Metabolism,Energy production and conversion,Energy production and conversion,Succinyl-CoA ligase [ADP-forming] subunit beta ,sucC,tricarboxylic acid cycle,GO:0006099,P0A836
Poorly Characterized,General function prediction only,General function prediction only,Multifunctional protein surE ,surE,UMP catabolic process,GO:0046050,P0A840
Not Assigned,Not Assigned,Not Assigned,Sec-independent protein translocase protein tatE ,tatE,protein transport by the Tat complex,GO:0043953,P0A843
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Queuine tRNA-ribosyltransferase ,tgt,queuosine biosynthetic process,GO:0008616,P0A847
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Queuine tRNA-ribosyltransferase ,tgt,tRNA-guanine transglycosylation,GO:0101030,P0A847
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Queuine tRNA-ribosyltransferase ,tgt,tRNA wobble guanine modification,GO:0002099,P0A847
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Trigger factor ,tig,'de novo' cotranslational protein folding,GO:0051083,P0A850
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Trigger factor ,tig,cell cycle,GO:0007049,P0A850
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Trigger factor ,tig,cell division,GO:0051301,P0A850
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Trigger factor ,tig,chaperone-mediated protein folding,GO:0061077,P0A850
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Trigger factor ,tig,protein transport,GO:0015031,P0A850
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Trigger factor ,tig,protein unfolding,GO:0043335,P0A850
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Trigger factor ,tig,response to heat,GO:0009408,P0A850
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophanase ,tnaA,protein homotetramerization,GO:0051289,P0A853
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophanase ,tnaA,tryptophan catabolic process,GO:0006569,P0A853
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein tolB ,tolB,bacteriocin transport,GO:0043213,P0A855
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein tolB ,tolB,cell cycle,GO:0007049,P0A855
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein tolB ,tolB,cell division,GO:0051301,P0A855
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein tolB ,tolB,cellular response to bacteriocin,GO:0071237,P0A855
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein tolB ,tolB,protein import,GO:0017038,P0A855
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein tolB ,tolB,protein transport,GO:0015031,P0A855
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Triosephosphate isomerase ,tpiA,gluconeogenesis,GO:0006094,P0A858
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Triosephosphate isomerase ,tpiA,glyceraldehyde-3-phosphate biosynthetic process,GO:0046166,P0A858
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Triosephosphate isomerase ,tpiA,glycerol catabolic process,GO:0019563,P0A858
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Triosephosphate isomerase ,tpiA,glycolytic process,GO:0006096,P0A858
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Thiol peroxidase ,tpx,cell redox homeostasis,GO:0045454,P0A862
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Thiol peroxidase ,tpx,cellular response to oxidative stress,GO:0034599,P0A862
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Transaldolase A ,talA,carbohydrate metabolic process,GO:0005975,P0A867
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Transaldolase A ,talA,pentose-phosphate shunt,GO:0006098,P0A867
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Transaldolase B ,talB,carbohydrate metabolic process,GO:0005975,P0A870
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Transaldolase B ,talB,"pentose-phosphate shunt, non-oxidative branch",GO:0009052,P0A870
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",tRNA (guanine-N(1)-)-methyltransferase ,trmD,tRNA methylation,GO:0030488,P0A873
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",tRNA (guanine-N(1)-)-methyltransferase ,trmD,tRNA N1-guanine methylation,GO:0002939,P0A873
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan synthase alpha chain ,trpA,aromatic amino acid family biosynthetic process,GO:0009073,P0A877
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan synthase alpha chain ,trpA,tryptophan biosynthetic process,GO:0000162,P0A877
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan synthase beta chain ,trpB,aromatic amino acid family biosynthetic process,GO:0009073,P0A879
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan synthase beta chain ,trpB,tryptophan biosynthetic process,GO:0000162,P0A879
Information Storage and Processing,Transcription,Transcription,Trp operon repressor ,trpR,"negative regulation of transcription, DNA-templated",GO:0045892,P0A881
Information Storage and Processing,Transcription,Transcription,Trp operon repressor ,trpR,"regulation of transcription, DNA-templated",GO:0006355,P0A881
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Thymidylate synthase ,thyA,dTMP biosynthetic process,GO:0006231,P0A884
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Thymidylate synthase ,thyA,dTTP biosynthetic process,GO:0006235,P0A884
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Thymidylate synthase ,thyA,methylation,GO:0032259,P0A884
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Thymidylate synthase ,thyA,regulation of translation,GO:0006417,P0A884
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Thymidylate synthase ,thyA,response to radiation,GO:0009314,P0A884
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Ubiquinone/menaquinone biosynthesis methyltransferase ubiE ,ubiE,aerobic respiration,GO:0009060,P0A887
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Ubiquinone/menaquinone biosynthesis methyltransferase ubiE ,ubiE,menaquinone biosynthetic process,GO:0009234,P0A887
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Ubiquinone/menaquinone biosynthesis methyltransferase ubiE ,ubiE,methylation,GO:0032259,P0A887
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Ubiquinone/menaquinone biosynthesis methyltransferase ubiE ,ubiE,ubiquinone biosynthetic process,GO:0006744,P0A887
Not Assigned,Not Assigned,Not Assigned,Sulfurtransferase tusA ,tusA,Mo-molybdopterin cofactor biosynthetic process,GO:0006777,P0A890
Not Assigned,Not Assigned,Not Assigned,Sulfurtransferase tusA ,tusA,tRNA wobble position uridine thiolation,GO:0002143,P0A890
Poorly Characterized,General function prediction only,General function prediction only,UPF0042 nucleotide-binding protein yhbJ ,yhbJ,protein homotetramerization,GO:0051289,P0A894
Poorly Characterized,General function prediction only,General function prediction only,UPF0042 nucleotide-binding protein yhbJ ,yhbJ,RNA destabilization,GO:0050779,P0A894
Poorly Characterized,General function prediction only,General function prediction only,Probable rRNA maturation factor YbeY ,ybeY,endonucleolytic cleavage involved in rRNA processing,GO:0000478,P0A898
Poorly Characterized,General function prediction only,General function prediction only,Probable rRNA maturation factor YbeY ,ybeY,maturation of SSU-rRNA,GO:0030490,P0A898
Poorly Characterized,General function prediction only,General function prediction only,Probable rRNA maturation factor YbeY ,ybeY,response to heat,GO:0009408,P0A898
Poorly Characterized,General function prediction only,General function prediction only,Probable rRNA maturation factor YbeY ,ybeY,ribosomal small subunit biogenesis,GO:0042274,P0A898
Poorly Characterized,General function prediction only,General function prediction only,Probable rRNA maturation factor YbeY ,ybeY,ribosome biogenesis,GO:0042254,P0A898
Poorly Characterized,General function prediction only,General function prediction only,Probable rRNA maturation factor YbeY ,ybeY,rRNA processing,GO:0006364,P0A898
Poorly Characterized,General function prediction only,General function prediction only,Probable rRNA maturation factor YbeY ,ybeY,transcription antitermination,GO:0031564,P0A898
Poorly Characterized,General function prediction only,General function prediction only,Probable rRNA maturation factor YbeY ,ybeY,translation,GO:0006412,P0A898
Poorly Characterized,Function unknown,Function unknown,UPF0082 protein yebC ,yebC,"regulation of transcription, DNA-templated",GO:0006355,P0A8A0
Poorly Characterized,Function unknown,Function unknown,UPF0082 protein yebC ,yebC,response to ionizing radiation,GO:0010212,P0A8A0
Poorly Characterized,Function unknown,Function unknown,UPF0082 protein yeeN ,yeeN,"regulation of transcription, DNA-templated",GO:0006355,P0A8A2
Poorly Characterized,Function unknown,Function unknown,Putative phosphotransferase ydiA ,ppsR,protein dephosphorylation,GO:0006470,P0A8A4
Poorly Characterized,Function unknown,Function unknown,Ribosome maturation factor rimP ,rimP,ribosomal small subunit assembly,GO:0000028,P0A8A8
Poorly Characterized,Function unknown,Function unknown,Ribosome maturation factor rimP ,rimP,ribosomal small subunit biogenesis,GO:0042274,P0A8A8
Poorly Characterized,Function unknown,Function unknown,Ribosome maturation factor rimP ,rimP,translation,GO:0006412,P0A8A8
Poorly Characterized,Function unknown,Function unknown,UPF0133 protein ybaB ,ybaB,response to radiation,GO:0009314,P0A8B5
Information Storage and Processing,Transcription,Transcription,Transcriptional repressor NrdR ,nrdR,"negative regulation of transcription, DNA-templated",GO:0045892,P0A8D0
Poorly Characterized,General function prediction only,General function prediction only,UPF0189 protein ymdB ,ymdB,negative regulation of endoribonuclease activity,GO:0060702,P0A8D6
Poorly Characterized,General function prediction only,General function prediction only,UPF0189 protein ymdB ,ymdB,purine nucleoside metabolic process,GO:0042278,P0A8D6
Poorly Characterized,General function prediction only,General function prediction only,UPF0189 protein ymdB ,ymdB,regulation of single-species biofilm formation on inanimate substrate,GO:1900231,P0A8D6
Poorly Characterized,General function prediction only,General function prediction only,UPF0189 protein ymdB ,ymdB,response to antibiotic,GO:0046677,P0A8D6
Poorly Characterized,Function unknown,Function unknown,UPF0234 protein yajQ ,yajQ,cellular response to DNA damage stimulus,GO:0006974,P0A8E7
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Uracil phosphoribosyltransferase ,upp,nucleoside metabolic process,GO:0009116,P0A8F0
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Uracil phosphoribosyltransferase ,upp,UMP salvage,GO:0044206,P0A8F0
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Uracil phosphoribosyltransferase ,upp,uracil salvage,GO:0006223,P0A8F0
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Uridine kinase ,udk,CTP salvage,GO:0044211,P0A8F4
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Uridine kinase ,udk,UMP salvage,GO:0044206,P0A8F4
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein B ,uvrB,nucleotide-excision repair,GO:0006289,P0A8F8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein B ,uvrB,response to radiation,GO:0009314,P0A8F8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein B ,uvrB,SOS response,GO:0009432,P0A8F8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein C ,uvrC,cellular response to DNA damage stimulus,GO:0006974,P0A8G0
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein C ,uvrC,nucleotide-excision repair,GO:0006289,P0A8G0
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein C ,uvrC,response to radiation,GO:0009314,P0A8G0
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein C ,uvrC,SOS response,GO:0009432,P0A8G0
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Uronate isomerase ,uxaC,D-galacturonate catabolic process,GO:0019698,P0A8G3
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Uronate isomerase ,uxaC,D-glucuronate catabolic process,GO:0042840,P0A8G3
Poorly Characterized,General function prediction only,General function prediction only,Flavoprotein wrbA ,wrbA,oxidation-reduction process,GO:0055114,P0A8G6
Poorly Characterized,General function prediction only,General function prediction only,Flavoprotein wrbA ,wrbA,protein homotetramerization,GO:0051289,P0A8G6
Poorly Characterized,General function prediction only,General function prediction only,Flavoprotein wrbA ,wrbA,response to oxidative stress,GO:0006979,P0A8G6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Exodeoxyribonuclease 7 small subunit ,xseB,DNA catabolic process,GO:0006308,P0A8G9
Poorly Characterized,Function unknown,Function unknown,Der GTPase-activating protein YihI ,yihI,negative regulation of ribosome biogenesis,GO:0090071,P0A8H6
Poorly Characterized,Function unknown,Function unknown,Der GTPase-activating protein YihI ,yihI,positive regulation of GTPase activity,GO:0043547,P0A8H6
Poorly Characterized,Function unknown,Function unknown,Der GTPase-activating protein YihI ,yihI,ribosome biogenesis,GO:0042254,P0A8H6
Poorly Characterized,Function unknown,Function unknown,UPF0243 zinc-binding protein yacG ,yacG,"regulation of transcription, DNA-templated",GO:0006355,P0A8H8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Putative Holliday junction resolvase ,yqgF,ribosome biogenesis,GO:0042254,P0A8I1
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Putative Holliday junction resolvase ,yqgF,rRNA 5'-end processing,GO:0000967,P0A8I1
Poorly Characterized,Function unknown,Function unknown,UPF0246 protein yaaA ,yaaA,response to hydroperoxide,GO:0033194,P0A8I3
Not Assigned,Not Assigned,Not Assigned,tRNA (guanine-N(7)-)-methyltransferase ,trmB,RNA (guanine-N7)-methylation,GO:0036265,P0A8I5
Not Assigned,Not Assigned,Not Assigned,tRNA (guanine-N(7)-)-methyltransferase ,trmB,tRNA methylation,GO:0030488,P0A8I5
Poorly Characterized,Function unknown,Function unknown,Ribosomal RNA large subunit methyltransferase H ,rlmH,rRNA base methylation,GO:0070475,P0A8I8
Poorly Characterized,Function unknown,Function unknown,Ribosomal RNA large subunit methyltransferase H ,rlmH,rRNA methylation,GO:0031167,P0A8I8
Poorly Characterized,General function prediction only,General function prediction only,Primosomal protein 1 ,dnaT,DNA-dependent DNA replication,GO:0006261,P0A8J2
Poorly Characterized,General function prediction only,General function prediction only,Primosomal protein 1 ,dnaT,"DNA replication, synthesis of RNA primer",GO:0006269,P0A8J2
Poorly Characterized,General function prediction only,General function prediction only,Primosomal protein 1 ,dnaT,pre-replicative complex assembly involved in nuclear cell cycle DNA replication,GO:0006267,P0A8J2
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",ATP-dependent RNA helicase rhlB ,rhlB,RNA catabolic process,GO:0006401,P0A8J8
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Phosphatidylserine decarboxylase proenzyme ,psd,phosphatidylethanolamine biosynthetic process,GO:0006646,P0A8K1
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Phosphatidylserine decarboxylase proenzyme ,psd,protein autoprocessing,GO:0016540,P0A8K1
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Phosphatidylserine decarboxylase proenzyme ,psd,zymogen activation,GO:0031638,P0A8K1
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Seryl-tRNA synthetase ,serS,selenocysteine biosynthetic process,GO:0016260,P0A8L1
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Seryl-tRNA synthetase ,serS,selenocysteinyl-tRNA(Sec) biosynthetic process,GO:0097056,P0A8L1
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Seryl-tRNA synthetase ,serS,seryl-tRNA aminoacylation,GO:0006434,P0A8L1
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Asparaginyl-tRNA synthetase ,asnS,asparaginyl-tRNA aminoacylation,GO:0006421,P0A8M0
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Asparaginyl-tRNA synthetase ,asnS,tRNA aminoacylation for protein translation,GO:0006418,P0A8M0
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Threonyl-tRNA synthetase ,thrS,negative regulation of translational initiation,GO:0045947,P0A8M3
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Threonyl-tRNA synthetase ,thrS,regulation of translation,GO:0006417,P0A8M3
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Threonyl-tRNA synthetase ,thrS,response to antibiotic,GO:0046677,P0A8M3
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Threonyl-tRNA synthetase ,thrS,threonyl-tRNA aminoacylation,GO:0006435,P0A8M3
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Threonyl-tRNA synthetase ,thrS,tRNA aminoacylation,GO:0043039,P0A8M3
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Threonyl-tRNA synthetase ,thrS,tRNA aminoacylation for protein translation,GO:0006418,P0A8M3
Poorly Characterized,Function unknown,Function unknown,UPF0268 protein ycbG ,matP,cell cycle,GO:0007049,P0A8N0
Poorly Characterized,Function unknown,Function unknown,UPF0268 protein ycbG ,matP,cell division,GO:0051301,P0A8N0
Poorly Characterized,Function unknown,Function unknown,UPF0268 protein ycbG ,matP,chromosome organization,GO:0051276,P0A8N0
Poorly Characterized,Function unknown,Function unknown,UPF0268 protein ycbG ,matP,chromosome segregation,GO:0007059,P0A8N0
Poorly Characterized,Function unknown,Function unknown,UPF0268 protein ycbG ,matP,"regulation of transcription, DNA-templated",GO:0006355,P0A8N0
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Lysyl-tRNA synthetase ,lysS,lysyl-tRNA aminoacylation,GO:0006430,P0A8N3
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Lysyl-tRNA synthetase ,lysS,tRNA aminoacylation for protein translation,GO:0006418,P0A8N3
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis","Lysyl-tRNA synthetase, heat inducible ",lysU,lysyl-tRNA aminoacylation,GO:0006430,P0A8N5
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis","Lysyl-tRNA synthetase, heat inducible ",lysU,tRNA aminoacylation for protein translation,GO:0006418,P0A8N5
Metabolism,Energy production and conversion,Energy production and conversion,Probable Fe(2+)-trafficking protein ,yggX,cellular response to oxidative stress,GO:0034599,P0A8P3
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerC ,xerC,cell cycle,GO:0007049,P0A8P6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerC ,xerC,cell division,GO:0051301,P0A8P6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerC ,xerC,chromosome segregation,GO:0007059,P0A8P6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerC ,xerC,plasmid maintenance,GO:0006276,P0A8P6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerC ,xerC,plasmid recombination,GO:0042150,P0A8P6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerC ,xerC,resolution of recombination intermediates,GO:0071139,P0A8P6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerC ,xerC,"transposition, DNA-mediated",GO:0006313,P0A8P6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerD ,xerD,cell cycle,GO:0007049,P0A8P8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerD ,xerD,cell division,GO:0051301,P0A8P8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerD ,xerD,chromosome segregation,GO:0007059,P0A8P8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerD ,xerD,plasmid maintenance,GO:0006276,P0A8P8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerD ,xerD,resolution of recombination intermediates,GO:0071139,P0A8P8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerD ,xerD,response to radiation,GO:0009314,P0A8P8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerD ,xerD,"transposition, DNA-mediated",GO:0006313,P0A8P8
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Regulator of ribonuclease activity A ,rraA,negative regulation of endoribonuclease activity,GO:0060702,P0A8R0
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Regulator of ribonuclease activity A ,rraA,negative regulation of RNA catabolic process,GO:1902369,P0A8R0
Not Assigned,Not Assigned,Not Assigned,Chromosome initiation inhibitor ,iciA,negative regulation of DNA-dependent DNA replication initiation,GO:0032297,P0A8S1
Not Assigned,Not Assigned,Not Assigned,Chromosome initiation inhibitor ,iciA,"negative regulation of transcription, DNA-templated",GO:0045892,P0A8S1
Not Assigned,Not Assigned,Not Assigned,Chromosome initiation inhibitor ,iciA,"positive regulation of transcription, DNA-templated",GO:0045893,P0A8S1
Not Assigned,Not Assigned,Not Assigned,Chromosome initiation inhibitor ,iciA,"regulation of transcription, DNA-templated",GO:0006355,P0A8S1
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosomal protein L11 methyltransferase ,prmA,N-terminal peptidyl-alanine trimethylation,GO:0018012,P0A8T1
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosomal protein L11 methyltransferase ,prmA,peptidyl-lysine trimethylation,GO:0018023,P0A8T1
Information Storage and Processing,Transcription,Transcription,DNA-directed RNA polymerase subunit beta' ,rpoC,response to antibiotic,GO:0046677,P0A8T7
Information Storage and Processing,Transcription,Transcription,DNA-directed RNA polymerase subunit beta' ,rpoC,"transcription, DNA-templated",GO:0006351,P0A8T7
Not Assigned,Not Assigned,Not Assigned,Protein syd ,syd,regulation of protein complex assembly,GO:0043254,P0A8U0
Information Storage and Processing,Transcription,Transcription,Met repressor ,metJ,methionine biosynthetic process,GO:0009086,P0A8U6
Information Storage and Processing,Transcription,Transcription,Met repressor ,metJ,"negative regulation of transcription, DNA-templated",GO:0045892,P0A8U6
Poorly Characterized,Function unknown,Function unknown,Ribonuclease Z ,rbn,tRNA processing,GO:0008033,P0A8V0
Information Storage and Processing,Transcription,Transcription,DNA-directed RNA polymerase subunit beta ,rpoB,response to antibiotic,GO:0046677,P0A8V2
Information Storage and Processing,Transcription,Transcription,DNA-directed RNA polymerase subunit beta ,rpoB,"transcription, DNA-templated",GO:0006351,P0A8V2
Information Storage and Processing,Transcription,Transcription,Fatty acid metabolism regulator protein ,fadR,fatty acid oxidation,GO:0019395,P0A8V6
Information Storage and Processing,Transcription,Transcription,Fatty acid metabolism regulator protein ,fadR,"negative regulation of transcription, DNA-templated",GO:0045892,P0A8V6
Information Storage and Processing,Transcription,Transcription,Fatty acid metabolism regulator protein ,fadR,positive regulation of fatty acid biosynthetic process,GO:0045723,P0A8V6
Information Storage and Processing,Transcription,Transcription,Fatty acid metabolism regulator protein ,fadR,"positive regulation of transcription, DNA-templated",GO:0045893,P0A8V6
Information Storage and Processing,Transcription,Transcription,Fatty acid metabolism regulator protein ,fadR,regulation of fatty acid metabolic process,GO:0019217,P0A8V6
Information Storage and Processing,Transcription,Transcription,Transcriptional regulator nanR ,nanR,"negative regulation of transcription, DNA-templated",GO:0045892,P0A8W0
Information Storage and Processing,Transcription,Transcription,Transcriptional regulator nanR ,nanR,"transcription, DNA-templated",GO:0006351,P0A8W0
Information Storage and Processing,Transcription,Transcription,Transcriptional regulator slyA ,slyA,"negative regulation of DNA-templated transcription, initiation",GO:2000143,P0A8W2
Information Storage and Processing,Transcription,Transcription,Transcriptional regulator slyA ,slyA,pathogenesis,GO:0009405,P0A8W2
Information Storage and Processing,Transcription,Transcription,Transcriptional regulator slyA ,slyA,"positive regulation of DNA-templated transcription, initiation",GO:2000144,P0A8W2
Information Storage and Processing,Transcription,Transcription,Transcriptional regulator slyA ,slyA,"regulation of transcription, DNA-templated",GO:0006355,P0A8W2
Poorly Characterized,Function unknown,Function unknown,UPF0304 protein yfbU ,yfbU,cellular response to DNA damage stimulus,GO:0006974,P0A8W8
Poorly Characterized,General function prediction only,General function prediction only,Pyrimidine 5'-nucleotidase YjjG ,yjjG,pyrimidine nucleobase salvage,GO:0043100,P0A8Y1
Poorly Characterized,General function prediction only,General function prediction only,Pyrimidine 5'-nucleotidase YjjG ,yjjG,response to xenobiotic stimulus,GO:0009410,P0A8Y1
Poorly Characterized,General function prediction only,General function prediction only,Pyrimidine 5'-nucleotidase YjjG ,yjjG,thymine metabolic process,GO:0019859,P0A8Y1
Metabolism,"Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism",Esterase YbdB ,entH,enterobactin biosynthetic process,GO:0009239,P0A8Y8
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Acyl-CoA thioester hydrolase YciA ,yciA,acyl-CoA metabolic process,GO:0006637,P0A8Z0
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane lipoprotein blc ,blc,cellular response to DNA damage stimulus,GO:0006974,P0A901
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane lipoprotein blc ,blc,lipid metabolic process,GO:0006629,P0A901
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane lipoprotein blc ,blc,response to reactive oxygen species,GO:0000302,P0A901
