annotation,cog_id,cog_letter,gene_name
"GMP synthase, PP-ATPase domain/subunit",COG0519,F,guaA_2
Selenocysteine lyase,COG0520,E,csdA
Selenocysteine lyase,COG0520,E,csdB
Molybdopterin biosynthesis enzymes,COG0521,H,moaB
Molybdopterin biosynthesis enzymes,COG0521,H,mog
Ribosomal protein S4 and related proteins,COG0522,J,rpsD
Putative GTPases (G3E family),COG0523,R,yeiR
Putative GTPases (G3E family),COG0523,R,yjiA
"Sugar kinases, ribokinase family",COG0524,G,gsk
"Sugar kinases, ribokinase family",COG0524,G,kdgK
"Sugar kinases, ribokinase family",COG0524,G,rbsK
"Sugar kinases, ribokinase family",COG0524,G,ydjH
"Sugar kinases, ribokinase family",COG0524,G,yegV
"Sugar kinases, ribokinase family",COG0524,G,yeiC
"Sugar kinases, ribokinase family",COG0524,G,yeiI_2
Valyl-tRNA synthetase,COG0525,J,valS
Thiol-disulfide isomerase and thioredoxins,COG0526,O,dsbA
Thiol-disulfide isomerase and thioredoxins,COG0526,O,dsbE
Thiol-disulfide isomerase and thioredoxins,COG0526,O,trxA
Thiol-disulfide isomerase and thioredoxins,COG0526,O,trxC
Thiol-disulfide isomerase and thioredoxins,COG0526,C,dsbA
Thiol-disulfide isomerase and thioredoxins,COG0526,C,dsbE
Thiol-disulfide isomerase and thioredoxins,COG0526,C,trxA
Thiol-disulfide isomerase and thioredoxins,COG0526,C,trxC
Aspartokinases,COG0527,E,lysC
Aspartokinases,COG0527,E,metL_1
Aspartokinases,COG0527,E,thrA_1
Uridylate kinase,COG0528,F,pyrH
Adenylylsulfate kinase and related kinases,COG0529,P,cysC
Ca2+/Na+ antiporter,COG0530,P,yrbG
Amino acid transporters,COG0531,E,aniC
Amino acid transporters,COG0531,E,cadB
Amino acid transporters,COG0531,E,potE
Amino acid transporters,COG0531,E,xasA
Amino acid transporters,COG0531,E,ybaT
Amino acid transporters,COG0531,E,ycaM
Amino acid transporters,COG0531,E,ycjJ
Translation initiation factor 2 (IF-2; GTPase),COG0532,J,infB
Metal-dependent proteases with possible chaperone activity,COG0533,O,ygjD
Na+-driven multidrug efflux pump,COG0534,V,dinF
Na+-driven multidrug efflux pump,COG0534,V,norM
Na+-driven multidrug efflux pump,COG0534,V,yeeO
Predicted GTPase,COG0536,R,yhbZ
Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases,COG0537,F,ycfF
Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases,COG0537,G,ycfF
Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases,COG0537,R,ycfF
Isocitrate dehydrogenases,COG0538,C,icd
Ribosomal protein S1,COG0539,J,rpsA
"Aspartate carbamoyltransferase, catalytic chain",COG0540,F,pyrB
Signal recognition particle GTPase,COG0541,U,ffh
"ATPases with chaperone activity, ATP-binding subunit",COG0542,O,clpA
"ATPases with chaperone activity, ATP-binding subunit",COG0542,O,clpB
2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases,COG0543,H,ubiB
2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases,COG0543,C,ubiB
FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor),COG0544,O,tig
FKBP-type peptidyl-prolyl cis-trans isomerases 1,COG0545,O,fklB
FKBP-type peptidyl-prolyl cis-trans isomerases 1,COG0545,O,fkpA
Predicted phosphatases,COG0546,R,gph
Anthranilate phosphoribosyltransferase,COG0547,E,trpD_2
Anthranilate phosphoribosyltransferase,COG0547,E,ybiB
Acetylglutamate kinase,COG0548,E,argA_1
Acetylglutamate kinase,COG0548,E,argB
Carbamate kinase,COG0549,E,arcC
Carbamate kinase,COG0549,E,yahI
Carbamate kinase,COG0549,E,yqeA
Topoisomerase IA,COG0550,L,topA_1
Topoisomerase IA,COG0550,L,topB
Zn-finger domain associated with topoisomerase type I,COG0551,L,topA_2
Zn-finger domain associated with topoisomerase type I,COG0551,L,yrdD
Signal recognition particle GTPase,COG0552,U,ftsY
"Superfamily II DNA/RNA helicases, SNF2 family",COG0553,K,hepA
"Superfamily II DNA/RNA helicases, SNF2 family",COG0553,L,hepA
Glycerol kinase,COG0554,C,glpK
"ABC-type sulfate transport system, permease component",COG0555,O,cysU
Helicase subunit of the DNA excision repair complex,COG0556,L,uvrB
Exoribonuclease R,COG0557,K,vacB
Phosphatidylglycerophosphate synthase,COG0558,I,pgsA
Phosphatidylglycerophosphate synthase,COG0558,I,ynbA
Phosphatidylglycerophosphate synthase,COG0558,I,ynjF
"Branched-chain amino acid ABC-type transport system, permease components",COG0559,E,livH
Phosphoserine phosphatase,COG0560,E,serB
Phosphoserine phosphatase,COG0560,E,yfhB
Predicted hydrolases of the HAD superfamily,COG0561,R,cof
Predicted hydrolases of the HAD superfamily,COG0561,R,ybhA
Predicted hydrolases of the HAD superfamily,COG0561,R,ybiV
Predicted hydrolases of the HAD superfamily,COG0561,R,ybjI
Predicted hydrolases of the HAD superfamily,COG0561,R,yidA
Predicted hydrolases of the HAD superfamily,COG0561,R,yigLm
UDP-galactopyranose mutase,COG0562,M,glf
Adenylate kinase and related kinases,COG0563,F,adk
"Pseudouridylate synthases, 23S RNA-specific",COG0564,J,rluA
"Pseudouridylate synthases, 23S RNA-specific",COG0564,J,rluC
"Pseudouridylate synthases, 23S RNA-specific",COG0564,J,sfhB
"Pseudouridylate synthases, 23S RNA-specific",COG0564,J,yqcB
rRNA methylase,COG0565,J,lasT
rRNA methylase,COG0565,J,yfhQ
rRNA methylases,COG0566,J,spoU
rRNA methylases,COG0566,J,yfiF
rRNA methylases,COG0566,J,yjfH
"2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes",COG0567,C,sucA
"DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)",COG0568,K,rpoD
"DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)",COG0568,K,rpoH
"DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)",COG0568,K,rpoS
"K+ transport systems, NAD-binding component",COG0569,P,trkA
dsRNA-specific ribonuclease,COG0571,K,rnc
Uridine kinase,COG0572,F,udk
"ABC-type phosphate transport system, permease component",COG0573,P,pstC
Phosphoenolpyruvate synthase/pyruvate phosphate dikinase,COG0574,G,ppsA
CDP-diglyceride synthetase,COG0575,I,cdsA
Molecular chaperone GrpE (heat shock protein),COG0576,O,grpE
"ABC-type antimicrobial peptide transport system, permease component",COG0577,V,ybjZ_2
Glycerol-3-phosphate dehydrogenase,COG0578,C,glpA
Glycerol-3-phosphate dehydrogenase,COG0578,C,glpD
Predicted dehydrogenase,COG0579,R,ygaF
Predicted dehydrogenase,COG0579,R,yojH
Glycerol uptake facilitator and related permeases (Major Intrinsic Protein Family),COG0580,G,aqpZ
Glycerol uptake facilitator and related permeases (Major Intrinsic Protein Family),COG0580,G,glpF
"ABC-type phosphate transport system, permease component",COG0581,P,pstA
Integrase,COG0582,L,fimB
Integrase,COG0582,L,fimE
Integrase,COG0582,L,intA
Integrase,COG0582,L,intB
Integrase,COG0582,L,intC
Integrase,COG0582,L,intD
Integrase,COG0582,L,intE
Transcriptional regulator,COG0583,K,cbl
Transcriptional regulator,COG0583,K,cynR
Transcriptional regulator,COG0583,K,cysB
Transcriptional regulator,COG0583,K,dsdC
Transcriptional regulator,COG0583,K,gcvA
Transcriptional regulator,COG0583,K,hcaR
Transcriptional regulator,COG0583,K,iciA
Glycerophosphoryl diester phosphodiesterase,COG0584,C,glpQ
Glycerophosphoryl diester phosphodiesterase,COG0584,C,ugpQ
Uncharacterized conserved protein,COG0585,S,ygbO
Uncharacterized membrane-associated protein,COG0586,S,dedA
Uncharacterized membrane-associated protein,COG0586,S,yabI
Uncharacterized membrane-associated protein,COG0586,S,yghB
Uncharacterized membrane-associated protein,COG0586,S,yohD
Uncharacterized membrane-associated protein,COG0586,S,yqjA
"DNA polymerase III, alpha subunit",COG0587,L,dnaE
Phosphoglycerate mutase 1,COG0588,G,gpmA
Universal stress protein UspA and related nucleotide-binding proteins,COG0589,T,uspA
Universal stress protein UspA and related nucleotide-binding proteins,COG0589,T,ybdQ
Universal stress protein UspA and related nucleotide-binding proteins,COG0589,T,ydaA
Universal stress protein UspA and related nucleotide-binding proteins,COG0589,T,yecG
Universal stress protein UspA and related nucleotide-binding proteins,COG0589,T,yiiT
Universal stress protein UspA and related nucleotide-binding proteins,COG0589,T,ynaF
Cytosine/adenosine deaminases,COG0590,F,yfhC
Cytosine/adenosine deaminases,COG0590,J,yfhC
Na+/proline symporter,COG0591,E,putP
Na+/proline symporter,COG0591,R,putP
DNA polymerase sliding clamp subunit (PCNA homolog),COG0592,L,dnaN
ATPase involved in DNA replication initiation,COG0593,L,dnaA
ATPase involved in DNA replication initiation,COG0593,L,yfgE
RNase P protein component,COG0594,J,rnpA
Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) ,COG0596,R,bioH
Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) ,COG0596,R,mhpC
Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) ,COG0596,R,ybfF
Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) ,COG0596,R,ycdJ
Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) ,COG0596,R,yfbB
Lipoprotein signal peptidase,COG0597,M,lspA
Lipoprotein signal peptidase,COG0597,U,lspA
Mg2+ and Co2+ transporters,COG0598,P,corA
Mg2+ and Co2+ transporters,COG0598,P,ydaN
"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component",COG0600,P,ssuC
"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component",COG0600,P,tauC
"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",COG0601,E,ddpB
"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",COG0601,E,dppB
"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",COG0601,E,nikB
"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",COG0601,E,oppB
"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",COG0601,E,yliC
"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",COG0601,P,ddpB
"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",COG0601,P,dppB
"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",COG0601,P,nikB
"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",COG0601,P,oppB
"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",COG0601,P,yliC
Organic radical activating enzymes,COG0602,O,nrdG
Organic radical activating enzymes,COG0602,O,ygcF
Predicted PP-loop superfamily ATPase,COG0603,R,ybaX
NADPH:quinone reductase and related Zn-dependent oxidoreductases,COG0604,C,qor
NADPH:quinone reductase and related Zn-dependent oxidoreductases,COG0604,C,yhdH
NADPH:quinone reductase and related Zn-dependent oxidoreductases,COG0604,R,qor
NADPH:quinone reductase and related Zn-dependent oxidoreductases,COG0604,R,yhdH
Superoxide dismutase,COG0605,P,sodA
Superoxide dismutase,COG0605,P,sodB
Predicted ATPase with chaperone activity,COG0606,O,yifB
Rhodanese-related sulfurtransferase,COG0607,P,glpE
Rhodanese-related sulfurtransferase,COG0607,P,pspE
Rhodanese-related sulfurtransferase,COG0607,P,thiI_2
Rhodanese-related sulfurtransferase,COG0607,P,ygaP
Rhodanese-related sulfurtransferase,COG0607,P,yibN
Single-stranded DNA-specific exonuclease,COG0608,L,recJ
"ABC-type Fe3+-siderophore transport system, permease component",COG0609,P,fecC
"ABC-type Fe3+-siderophore transport system, permease component",COG0609,P,fecD
"ABC-type Fe3+-siderophore transport system, permease component",COG0609,P,fepD
"ABC-type Fe3+-siderophore transport system, permease component",COG0609,P,fhuB
Thiamine monophosphate kinase,COG0611,H,thiL
Predicted Zn-dependent peptidases,COG0612,R,pqqL
Predicted Zn-dependent peptidases,COG0612,R,yhjJ
Predicted metal-dependent phosphoesterases (PHP family),COG0613,R,yciV
"ABC-type Fe3+-hydroxamate transport system, periplasmic component",COG0614,P,fhuD
"ABC-type Fe3+-hydroxamate transport system, periplasmic component",COG0614,P,yadT
Periplasmic serine proteases (ClpP class),COG0616,O,sohB
Periplasmic serine proteases (ClpP class),COG0616,O,sppA
Periplasmic serine proteases (ClpP class),COG0616,U,sohB
Periplasmic serine proteases (ClpP class),COG0616,U,sppA
tRNA nucleotidyltransferase/poly(A) polymerase,COG0617,J,cca
tRNA nucleotidyltransferase/poly(A) polymerase,COG0617,J,pcnB
Methionine synthase II (cobalamin-independent),COG0620,E,metE
2-methylthioadenine synthetase,COG0621,J,yleA
2-methylthioadenine synthetase,COG0621,J,yliG
Predicted phosphoesterase,COG0622,R,yfcE
Enoyl-[acyl-carrier-protein] reductase (NADH),COG0623,I,fabI
Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases,COG0624,E,argE
Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases,COG0624,E,dapE
Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases,COG0624,E,ygeY
Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases,COG0624,E,ylbB
Glutathione S-transferase,COG0625,O,gst
Glutathione S-transferase,COG0625,O,sspA
Glutathione S-transferase,COG0625,O,yfcF
Glutathione S-transferase,COG0625,O,yfcG
Glutathione S-transferase,COG0625,O,yghU
Glutathione S-transferase,COG0625,O,yibF
Glutathione S-transferase,COG0625,O,yliJ
Cystathionine beta-lyases/cystathionine gamma-synthases,COG0626,E,metB
Cystathionine beta-lyases/cystathionine gamma-synthases,COG0626,E,metC
Predicted esterase,COG0627,R,yaiM
Predicted esterase,COG0627,R,yeiG
Predicted permease,COG0628,R,perM
Predicted permease,COG0628,R,ydgG
Predicted permease,COG0628,R,ydiK
Predicted permease,COG0628,R,yhhT
Single-stranded DNA-binding protein,COG0629,L,ssb
"Holliday junction resolvasome, DNA-binding subunit",COG0632,L,ruvA
Ferredoxin,COG0633,C,fdx
Ferredoxin,COG0633,C,ycbX_2
Ferredoxin,COG0633,C,yfaE
Hypoxanthine-guanine phosphoribosyltransferase,COG0634,F,hpt
Coproporphyrinogen III oxidase and related Fe-S oxidoreductases,COG0635,H,hemN
Coproporphyrinogen III oxidase and related Fe-S oxidoreductases,COG0635,H,yggW
"F0F1-type ATP synthase, subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K",COG0636,C,atpE
Predicted phosphatase/phosphohexomutase,COG0637,R,ycjU
Predicted phosphatase/phosphohexomutase,COG0637,R,yfbT
Predicted phosphatase/phosphohexomutase,COG0637,R,yieH
Predicted phosphatase/phosphohexomutase,COG0637,R,yniC
Predicted phosphatase/phosphohexomutase,COG0637,R,yqaB
Diadenosine tetraphosphatase and related serine/threonine protein phosphatases,COG0639,T,apaH
Diadenosine tetraphosphatase and related serine/threonine protein phosphatases,COG0639,T,pphA
Diadenosine tetraphosphatase and related serine/threonine protein phosphatases,COG0639,T,pphB
Predicted transcriptional regulators,COG0640,K,arsR
Predicted transcriptional regulators,COG0640,K,ygaV
Arylsulfatase regulator (Fe-S oxidoreductase),COG0641,R,aslB
Arylsulfatase regulator (Fe-S oxidoreductase),COG0641,R,ydeM
Arylsulfatase regulator (Fe-S oxidoreductase),COG0641,R,yidF
Signal transduction histidine kinase,COG0642,T,arcB_1
Signal transduction histidine kinase,COG0642,T,atoS_3
Signal transduction histidine kinase,COG0642,T,baeS
Signal transduction histidine kinase,COG0642,T,barA_1
Signal transduction histidine kinase,COG0642,T,basS
Signal transduction histidine kinase,COG0642,T,cpxA
Signal transduction histidine kinase,COG0642,T,creC
Chemotaxis protein histidine kinase and related kinases,COG0643,N,cheA
Chemotaxis protein histidine kinase and related kinases,COG0643,T,cheA
Dehydrogenases (flavoproteins),COG0644,C,fixC
Dehydrogenases (flavoproteins),COG0644,C,ydiS
Dehydrogenases (flavoproteins),COG0644,C,ygcN
Dehydrogenases (flavoproteins),COG0644,C,yidS
"Methionine synthase I (cobalamin-dependent), methyltransferase domain",COG0646,E,metH_1
Predicted sugar phosphatases of the HAD superfamily,COG0647,G,nagD
Endonuclease IV,COG0648,L,nfo
NADH:ubiquinone oxidoreductase 49 kD subunit 7,COG0649,C,nuoC_2
Formate hydrogenlyase subunit 4,COG0650,C,hycD
Formate hydrogenlyase subunit 4,COG0650,C,hyfC
"Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit",COG0651,C,hycC
"Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit",COG0651,C,hyfB
"Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit",COG0651,C,hyfF
"Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit",COG0651,P,hycC
"Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit",COG0651,P,hyfB
"Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit",COG0651,P,hyfF
Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family,COG0652,O,ppiA
Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family,COG0652,O,ppiB
"Preprotein translocase subunit SecA (ATPase, RNA helicase)",COG0653,U,secA
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,COG0654,H,mhpA
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,COG0654,H,ubiF
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,COG0654,H,ubiH
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,COG0654,H,visC
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,COG0654,C,mhpA
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,COG0654,C,ubiF
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,COG0654,C,ubiH
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,COG0654,C,visC
Multimeric flavodoxin WrbA,COG0655,R,wrbA
"Aldo/keto reductases, related to diketogulonate reductase",COG0656,R,yafB
"Aldo/keto reductases, related to diketogulonate reductase",COG0656,R,yeaE
"Aldo/keto reductases, related to diketogulonate reductase",COG0656,R,yqhE
Esterase/lipase,COG0657,I,aes
Predicted membrane metal-binding protein,COG0658,R,ycaI_1
Sulfate permease and related transporters (MFS superfamily),COG0659,P,ychM
Predicted unusual protein kinase,COG0661,R,aarF
Mannose-6-phosphate isomerase,COG0662,G,cpsB_2
"Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily",COG0663,R,caiE
"Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily",COG0663,R,paaY
"Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily",COG0663,R,yrdA
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,COG0664,T,crp
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,COG0664,T,fnr
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,COG0664,T,yeiL
Glycine/D-amino acid oxidases (deaminating),COG0665,E,dadA
Glycine/D-amino acid oxidases (deaminating),COG0665,E,ordL
Glycine/D-amino acid oxidases (deaminating),COG0665,E,solA
Glycine/D-amino acid oxidases (deaminating),COG0665,E,yfcK_2
FOG: Ankyrin repeat,COG0666,R,arp
FOG: Ankyrin repeat,COG0666,R,b1721m
FOG: Ankyrin repeat,COG0666,R,yahD
Predicted oxidoreductases (related to aryl-alcohol dehydrogenases),COG0667,C,tas
Predicted oxidoreductases (related to aryl-alcohol dehydrogenases),COG0667,C,yajO
Predicted oxidoreductases (related to aryl-alcohol dehydrogenases),COG0667,C,ydbC
Predicted oxidoreductases (related to aryl-alcohol dehydrogenases),COG0667,C,ydjG
Predicted oxidoreductases (related to aryl-alcohol dehydrogenases),COG0667,C,yghZ
Small-conductance mechanosensitive channel,COG0668,M,ybdG
Small-conductance mechanosensitive channel,COG0668,M,ybiO_2
Small-conductance mechanosensitive channel,COG0668,M,yggB
Small-conductance mechanosensitive channel,COG0668,M,ynaI
Phosphopantetheine adenylyltransferase,COG0669,H,kdtB
"Integral membrane protein, interacts with FtsH",COG0670,R,ybhL
"Integral membrane protein, interacts with FtsH",COG0670,R,ybhM
"Integral membrane protein, interacts with FtsH",COG0670,R,yccA
Membrane-associated phospholipid phosphatase,COG0671,I,pgpB
Membrane-associated phospholipid phosphatase,COG0671,I,ybjG
Membrane-associated phospholipid phosphatase,COG0671,I,yeiU
Membrane-associated phospholipid phosphatase,COG0671,I,ynbD_1
High-affinity Fe2+/Pb2+ permease,COG0672,P,ycdNm
Predicted dehydrogenases and related proteins,COG0673,R,mviM
Predicted dehydrogenases and related proteins,COG0673,R,ycjS
Predicted dehydrogenases and related proteins,COG0673,R,ydgJ
Predicted dehydrogenases and related proteins,COG0673,R,ygjR
Predicted dehydrogenases and related proteins,COG0673,R,yhhX
Predicted dehydrogenases and related proteins,COG0673,R,yjhC
"Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, alpha subunit",COG0674,C,ydbK_1
Transposase and inactivated derivatives,COG0675,L,ydcM
Uncharacterized enzymes related to aldose 1-epimerase,COG0676,G,yeaD
UDP-N-acetyl-D-mannosaminuronate dehydrogenase,COG0677,M,wecC
Predicted permeases,COG0679,R,yfdV
"Ni,Fe-hydrogenase maturation factor",COG0680,C,hyaD
"Ni,Fe-hydrogenase maturation factor",COG0680,C,hybD
"Ni,Fe-hydrogenase maturation factor",COG0680,C,hycI
Signal peptidase I,COG0681,U,lepB
Prolipoprotein diacylglyceryltransferase,COG0682,M,lgt
"ABC-type branched-chain amino acid transport systems, periplasmic component",COG0683,E,livJ
"ABC-type branched-chain amino acid transport systems, periplasmic component",COG0683,E,livK
Demethylmenaquinone methyltransferase,COG0684,H,menG
"5,10-methylenetetrahydrofolate reductase",COG0685,E,metF
Spermidine/putrescine-binding periplasmic protein,COG0687,E,potD
Spermidine/putrescine-binding periplasmic protein,COG0687,E,potF
Spermidine/putrescine-binding periplasmic protein,COG0687,E,ydcS
Phosphatidylserine decarboxylase,COG0688,I,psd
RNase PH,COG0689,J,rph
Preprotein translocase subunit SecE,COG0690,U,secE
tmRNA-binding protein,COG0691,O,smpB
Uracil DNA glycosylase,COG0692,L,ung
Putative intracellular protease/amidase,COG0693,R,thiJ
Putative intracellular protease/amidase,COG0693,R,yedU
Putative intracellular protease/amidase,COG0693,R,yhbO
Thioredoxin-like proteins and domains,COG0694,O,yhgI_2
Glutaredoxin and related proteins,COG0695,O,grxA
Glutaredoxin and related proteins,COG0695,O,grxC
Glutaredoxin and related proteins,COG0695,O,nrdH
Phosphoglyceromutase,COG0696,G,gpmI
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,G,rhaT
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,G,yddG
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,G,ydeD
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,G,yedA
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,G,yfbJ
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,G,yhbE
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,G,yicL
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,E,rhaT
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,E,yddG
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,E,ydeD
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,E,yedA
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,E,yfbJ
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,E,yhbE
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,E,yicL
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,R,rhaT
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,R,yddG
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,R,ydeD
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,R,yedA
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,R,yfbJ
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,R,yhbE
Permeases of the drug/metabolite transporter (DMT) superfamily,COG0697,R,yicL
Ribose 5-phosphate isomerase RpiB,COG0698,G,rpiB
Predicted GTPases (dynamin-related),COG0699,R,yjdA_1
Uncharacterized membrane protein,COG0700,S,yjiG
Predicted permeases,COG0701,R,yraQ
Predicted nucleoside-diphosphate-sugar epimerases,COG0702,M,ybjT
Predicted nucleoside-diphosphate-sugar epimerases,COG0702,M,yraR
Predicted nucleoside-diphosphate-sugar epimerases,COG0702,M,ytfG
Predicted nucleoside-diphosphate-sugar epimerases,COG0702,G,ybjT
Predicted nucleoside-diphosphate-sugar epimerases,COG0702,G,yraR
Predicted nucleoside-diphosphate-sugar epimerases,COG0702,G,ytfG
Shikimate kinase,COG0703,E,aroKm
Shikimate kinase,COG0703,E,aroL
Phosphate uptake regulator,COG0704,P,phoU
Uncharacterized membrane protein (homolog of Drosophila rhomboid),COG0705,R,glpG
Preprotein translocase subunit YidC,COG0706,U,yidC
UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase,COG0707,M,murG
Exonuclease III,COG0708,L,xthA
Selenophosphate synthase,COG0709,E,selD
3-dehydroquinate dehydratase,COG0710,E,aroD
"F0F1-type ATP synthase, subunit b",COG0711,C,atpF
"F0F1-type ATP synthase, delta subunit (mitochondrial oligomycin sensitivity protein)",COG0712,C,atpH
NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K),COG0713,C,nuoK
MoxR-like ATPases,COG0714,R,yehL
MoxR-like ATPases,COG0714,R,yieN
"ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components",COG0715,P,ssuA
Flavodoxins,COG0716,C,fldA
Flavodoxins,COG0716,C,fldB
Flavodoxins,COG0716,C,mioC
Flavodoxins,COG0716,C,yqcA
Deoxycytidine deaminase,COG0717,F,dcd
Uncharacterized protein conserved in bacteria,COG0718,S,ybaB
"ABC-type transport system involved in Fe-S cluster assembly, permease component",COG0719,O,ynhC
"ABC-type transport system involved in Fe-S cluster assembly, permease component",COG0719,O,ynhE
6-pyruvoyl-tetrahydropterin synthase,COG0720,H,ygcM
3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase,COG0722,E,aroF
3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase,COG0722,E,aroG
3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase,COG0722,E,aroH
"ABC-type molybdate transport system, periplasmic component",COG0725,P,modA
Predicted xylanase/chitin deacetylase,COG0726,G,yadE
Predicted xylanase/chitin deacetylase,COG0726,G,ycdR
Predicted xylanase/chitin deacetylase,COG0726,G,yfbH
Predicted Fe-S-cluster oxidoreductase,COG0727,R,ykgJ
"Uncharacterized membrane protein, putative virulence factor",COG0728,R,mviN
Outer membrane protein,COG0729,M,ytfM
Predicted permeases,COG0730,R,yfcA
Restriction endonuclease S subunits,COG0732,V,hsdS
Fe2+/Zn2+ uptake regulation proteins,COG0735,P,fur
Fe2+/Zn2+ uptake regulation proteins,COG0735,P,zur
Phosphopantetheinyl transferase (holo-ACP synthase),COG0736,I,acpS
"5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases",COG0737,F,cpdB
"5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases",COG0737,F,ushA
Fucose permease,COG0738,G,fucP
Membrane proteins related to metalloendopeptidases,COG0739,M,nlpD
