,Gene,condition,copy_number,dataset,growth_rate,type
17600,iciA,Glucose,625.0,Schmidt,0.58,non-ribosomal
17601,iciA,LB,391.0,Schmidt,1.9,non-ribosomal
17602,iciA,Glycerol + AA,426.0,Schmidt,1.27,non-ribosomal
17603,iciA,Acetate,410.0,Schmidt,0.3,non-ribosomal
17604,iciA,Fumarate,495.0,Schmidt,0.42,non-ribosomal
17605,iciA,Glucosamine,548.0,Schmidt,0.46,non-ribosomal
17606,iciA,Glycerol,545.0,Schmidt,0.47,non-ribosomal
17607,iciA,Pyruvate,625.0,Schmidt,0.4,non-ribosomal
17608,iciA,Chemostat µ=0.5,417.0,Schmidt,0.5,non-ribosomal
17609,iciA,Chemostat µ=0.35,409.0,Schmidt,0.35,non-ribosomal
17610,iciA,Chemostat µ=0.20,336.0,Schmidt,0.2,non-ribosomal
17611,iciA,Chemostat µ=0.12,332.0,Schmidt,0.12,non-ribosomal
17612,iciA,stationary_1day,348.0,Schmidt,-0.01,non-ribosomal
17613,iciA,stationary_3day,310.0,Schmidt,-0.01,non-ribosomal
17614,iciA,Osmotic-stress glucose,715.0,Schmidt,0.55,non-ribosomal
17615,iciA,42°C glucose,689.0,Schmidt,0.66,non-ribosomal
17616,iciA,pH6 glucose,625.0,Schmidt,0.63,non-ribosomal
17617,iciA,Xylose,679.0,Schmidt,0.55,non-ribosomal
17618,iciA,Mannose,597.0,Schmidt,0.47,non-ribosomal
17619,iciA,Galactose,528.0,Schmidt,0.26,non-ribosomal
17620,iciA,Succinate,445.0,Schmidt,0.44,non-ribosomal
17621,iciA,Fructose,626.0,Schmidt,0.65,non-ribosomal
17622,iclR,Glucose,7.0,Schmidt,0.58,non-ribosomal
17623,iclR,LB,14.0,Schmidt,1.9,non-ribosomal
17624,iclR,Glycerol + AA,5.0,Schmidt,1.27,non-ribosomal
17625,iclR,Acetate,1.0,Schmidt,0.3,non-ribosomal
17626,iclR,Fumarate,10.0,Schmidt,0.42,non-ribosomal
17627,iclR,Glucosamine,5.0,Schmidt,0.46,non-ribosomal
17628,iclR,Glycerol,8.0,Schmidt,0.47,non-ribosomal
17629,iclR,Pyruvate,11.0,Schmidt,0.4,non-ribosomal
17630,iclR,Chemostat µ=0.5,8.0,Schmidt,0.5,non-ribosomal
17631,iclR,Chemostat µ=0.35,2.0,Schmidt,0.35,non-ribosomal
17632,iclR,Chemostat µ=0.20,3.0,Schmidt,0.2,non-ribosomal
17633,iclR,Chemostat µ=0.12,1.0,Schmidt,0.12,non-ribosomal
17634,iclR,stationary_1day,1.0,Schmidt,-0.01,non-ribosomal
17635,iclR,stationary_3day,1.0,Schmidt,-0.01,non-ribosomal
17636,iclR,Osmotic-stress glucose,1.0,Schmidt,0.55,non-ribosomal
17637,iclR,42°C glucose,3.0,Schmidt,0.66,non-ribosomal
17638,iclR,pH6 glucose,5.0,Schmidt,0.63,non-ribosomal
17639,iclR,Xylose,2.0,Schmidt,0.55,non-ribosomal
17640,iclR,Mannose,3.0,Schmidt,0.47,non-ribosomal
17641,iclR,Galactose,5.0,Schmidt,0.26,non-ribosomal
17642,iclR,Succinate,4.0,Schmidt,0.44,non-ribosomal
17643,iclR,Fructose,4.0,Schmidt,0.65,non-ribosomal
17644,idi,Glucose,17.0,Schmidt,0.58,non-ribosomal
17645,idi,LB,32.0,Schmidt,1.9,non-ribosomal
17646,idi,Glycerol + AA,28.0,Schmidt,1.27,non-ribosomal
17647,idi,Acetate,34.0,Schmidt,0.3,non-ribosomal
17648,idi,Fumarate,22.0,Schmidt,0.42,non-ribosomal
17649,idi,Glucosamine,13.0,Schmidt,0.46,non-ribosomal
17650,idi,Glycerol,19.0,Schmidt,0.47,non-ribosomal
17651,idi,Pyruvate,10.0,Schmidt,0.4,non-ribosomal
17652,idi,Chemostat µ=0.5,28.0,Schmidt,0.5,non-ribosomal
17653,idi,Chemostat µ=0.35,29.0,Schmidt,0.35,non-ribosomal
17654,idi,Chemostat µ=0.20,44.0,Schmidt,0.2,non-ribosomal
17655,idi,Chemostat µ=0.12,47.0,Schmidt,0.12,non-ribosomal
17656,idi,stationary_1day,35.0,Schmidt,-0.01,non-ribosomal
17657,idi,stationary_3day,41.0,Schmidt,-0.01,non-ribosomal
17658,idi,Osmotic-stress glucose,33.0,Schmidt,0.55,non-ribosomal
17659,idi,42°C glucose,24.0,Schmidt,0.66,non-ribosomal
17660,idi,pH6 glucose,32.0,Schmidt,0.63,non-ribosomal
17661,idi,Xylose,8.0,Schmidt,0.55,non-ribosomal
17662,idi,Mannose,12.0,Schmidt,0.47,non-ribosomal
17663,idi,Galactose,62.0,Schmidt,0.26,non-ribosomal
17664,idi,Succinate,16.0,Schmidt,0.44,non-ribosomal
17665,idi,Fructose,16.0,Schmidt,0.65,non-ribosomal
17666,idnD,Glucose,274.0,Schmidt,0.58,non-ribosomal
17667,idnD,LB,382.0,Schmidt,1.9,non-ribosomal
17668,idnD,Glycerol + AA,,Schmidt,1.27,non-ribosomal
17669,idnD,Acetate,129.0,Schmidt,0.3,non-ribosomal
17670,idnD,Fumarate,144.0,Schmidt,0.42,non-ribosomal
17671,idnD,Glucosamine,8006.0,Schmidt,0.46,non-ribosomal
17672,idnD,Glycerol,185.0,Schmidt,0.47,non-ribosomal
17673,idnD,Pyruvate,171.0,Schmidt,0.4,non-ribosomal
17674,idnD,Chemostat µ=0.5,153.0,Schmidt,0.5,non-ribosomal
17675,idnD,Chemostat µ=0.35,150.0,Schmidt,0.35,non-ribosomal
17676,idnD,Chemostat µ=0.20,138.0,Schmidt,0.2,non-ribosomal
17677,idnD,Chemostat µ=0.12,143.0,Schmidt,0.12,non-ribosomal
17678,idnD,stationary_1day,116.0,Schmidt,-0.01,non-ribosomal
17679,idnD,stationary_3day,68.0,Schmidt,-0.01,non-ribosomal
17680,idnD,Osmotic-stress glucose,241.0,Schmidt,0.55,non-ribosomal
17681,idnD,42°C glucose,229.0,Schmidt,0.66,non-ribosomal
17682,idnD,pH6 glucose,203.0,Schmidt,0.63,non-ribosomal
17683,idnD,Xylose,,Schmidt,0.55,non-ribosomal
17684,idnD,Mannose,,Schmidt,0.47,non-ribosomal
17685,idnD,Galactose,102.0,Schmidt,0.26,non-ribosomal
17686,idnD,Succinate,102.0,Schmidt,0.44,non-ribosomal
17687,idnD,Fructose,,Schmidt,0.65,non-ribosomal
17688,idnK,Glucose,15.0,Schmidt,0.58,non-ribosomal
17689,idnK,LB,23.0,Schmidt,1.9,non-ribosomal
17690,idnK,Glycerol + AA,,Schmidt,1.27,non-ribosomal
17691,idnK,Acetate,6.0,Schmidt,0.3,non-ribosomal
17692,idnK,Fumarate,16.0,Schmidt,0.42,non-ribosomal
17693,idnK,Glucosamine,1724.0,Schmidt,0.46,non-ribosomal
17694,idnK,Glycerol,12.0,Schmidt,0.47,non-ribosomal
17695,idnK,Pyruvate,18.0,Schmidt,0.4,non-ribosomal
17696,idnK,Chemostat µ=0.5,8.0,Schmidt,0.5,non-ribosomal
17697,idnK,Chemostat µ=0.35,44.0,Schmidt,0.35,non-ribosomal
17698,idnK,Chemostat µ=0.20,17.0,Schmidt,0.2,non-ribosomal
17699,idnK,Chemostat µ=0.12,7.0,Schmidt,0.12,non-ribosomal
17700,idnK,stationary_1day,16.0,Schmidt,-0.01,non-ribosomal
17701,idnK,stationary_3day,10.0,Schmidt,-0.01,non-ribosomal
17702,idnK,Osmotic-stress glucose,13.0,Schmidt,0.55,non-ribosomal
17703,idnK,42°C glucose,39.0,Schmidt,0.66,non-ribosomal
17704,idnK,pH6 glucose,17.0,Schmidt,0.63,non-ribosomal
17705,idnK,Xylose,,Schmidt,0.55,non-ribosomal
17706,idnK,Mannose,,Schmidt,0.47,non-ribosomal
17707,idnK,Galactose,5.0,Schmidt,0.26,non-ribosomal
17708,idnK,Succinate,12.0,Schmidt,0.44,non-ribosomal
17709,idnK,Fructose,,Schmidt,0.65,non-ribosomal
17710,idnO,Glucose,601.0,Schmidt,0.58,non-ribosomal
17711,idnO,LB,1048.0,Schmidt,1.9,non-ribosomal
17712,idnO,Glycerol + AA,,Schmidt,1.27,non-ribosomal
17713,idnO,Acetate,391.0,Schmidt,0.3,non-ribosomal
17714,idnO,Fumarate,500.0,Schmidt,0.42,non-ribosomal
17715,idnO,Glucosamine,14988.0,Schmidt,0.46,non-ribosomal
17716,idnO,Glycerol,385.0,Schmidt,0.47,non-ribosomal
17717,idnO,Pyruvate,444.0,Schmidt,0.4,non-ribosomal
17718,idnO,Chemostat µ=0.5,488.0,Schmidt,0.5,non-ribosomal
17719,idnO,Chemostat µ=0.35,571.0,Schmidt,0.35,non-ribosomal
17720,idnO,Chemostat µ=0.20,490.0,Schmidt,0.2,non-ribosomal
17721,idnO,Chemostat µ=0.12,360.0,Schmidt,0.12,non-ribosomal
17722,idnO,stationary_1day,607.0,Schmidt,-0.01,non-ribosomal
17723,idnO,stationary_3day,431.0,Schmidt,-0.01,non-ribosomal
17724,idnO,Osmotic-stress glucose,525.0,Schmidt,0.55,non-ribosomal
17725,idnO,42°C glucose,530.0,Schmidt,0.66,non-ribosomal
17726,idnO,pH6 glucose,512.0,Schmidt,0.63,non-ribosomal
17727,idnO,Xylose,,Schmidt,0.55,non-ribosomal
17728,idnO,Mannose,,Schmidt,0.47,non-ribosomal
17729,idnO,Galactose,288.0,Schmidt,0.26,non-ribosomal
17730,idnO,Succinate,404.0,Schmidt,0.44,non-ribosomal
17731,idnO,Fructose,,Schmidt,0.65,non-ribosomal
17732,ihfA,Glucose,4676.0,Schmidt,0.58,non-ribosomal
17733,ihfA,LB,4810.0,Schmidt,1.9,non-ribosomal
17734,ihfA,Glycerol + AA,4281.0,Schmidt,1.27,non-ribosomal
17735,ihfA,Acetate,3415.0,Schmidt,0.3,non-ribosomal
17736,ihfA,Fumarate,4169.0,Schmidt,0.42,non-ribosomal
17737,ihfA,Glucosamine,4995.0,Schmidt,0.46,non-ribosomal
17738,ihfA,Glycerol,5008.0,Schmidt,0.47,non-ribosomal
17739,ihfA,Pyruvate,4234.0,Schmidt,0.4,non-ribosomal
17740,ihfA,Chemostat µ=0.5,4395.0,Schmidt,0.5,non-ribosomal
17741,ihfA,Chemostat µ=0.35,3848.0,Schmidt,0.35,non-ribosomal
17742,ihfA,Chemostat µ=0.20,4423.0,Schmidt,0.2,non-ribosomal
17743,ihfA,Chemostat µ=0.12,4516.0,Schmidt,0.12,non-ribosomal
17744,ihfA,stationary_1day,7806.0,Schmidt,-0.01,non-ribosomal
17745,ihfA,stationary_3day,6822.0,Schmidt,-0.01,non-ribosomal
17746,ihfA,Osmotic-stress glucose,7112.0,Schmidt,0.55,non-ribosomal
17747,ihfA,42°C glucose,6857.0,Schmidt,0.66,non-ribosomal
17748,ihfA,pH6 glucose,7937.0,Schmidt,0.63,non-ribosomal
17749,ihfA,Xylose,4924.0,Schmidt,0.55,non-ribosomal
17750,ihfA,Mannose,4677.0,Schmidt,0.47,non-ribosomal
17751,ihfA,Galactose,5093.0,Schmidt,0.26,non-ribosomal
17752,ihfA,Succinate,3960.0,Schmidt,0.44,non-ribosomal
17753,ihfA,Fructose,4647.0,Schmidt,0.65,non-ribosomal
17754,ihfB,Glucose,5360.0,Schmidt,0.58,non-ribosomal
17755,ihfB,LB,4383.0,Schmidt,1.9,non-ribosomal
17756,ihfB,Glycerol + AA,4169.0,Schmidt,1.27,non-ribosomal
17757,ihfB,Acetate,3432.0,Schmidt,0.3,non-ribosomal
17758,ihfB,Fumarate,4050.0,Schmidt,0.42,non-ribosomal
17759,ihfB,Glucosamine,4936.0,Schmidt,0.46,non-ribosomal
17760,ihfB,Glycerol,4563.0,Schmidt,0.47,non-ribosomal
17761,ihfB,Pyruvate,4392.0,Schmidt,0.4,non-ribosomal
17762,ihfB,Chemostat µ=0.5,3820.0,Schmidt,0.5,non-ribosomal
17763,ihfB,Chemostat µ=0.35,3669.0,Schmidt,0.35,non-ribosomal
17764,ihfB,Chemostat µ=0.20,3530.0,Schmidt,0.2,non-ribosomal
17765,ihfB,Chemostat µ=0.12,4278.0,Schmidt,0.12,non-ribosomal
17766,ihfB,stationary_1day,6260.0,Schmidt,-0.01,non-ribosomal
17767,ihfB,stationary_3day,6636.0,Schmidt,-0.01,non-ribosomal
17768,ihfB,Osmotic-stress glucose,6470.0,Schmidt,0.55,non-ribosomal
17769,ihfB,42°C glucose,6760.0,Schmidt,0.66,non-ribosomal
17770,ihfB,pH6 glucose,8089.0,Schmidt,0.63,non-ribosomal
17771,ihfB,Xylose,4303.0,Schmidt,0.55,non-ribosomal
17772,ihfB,Mannose,4527.0,Schmidt,0.47,non-ribosomal
17773,ihfB,Galactose,4467.0,Schmidt,0.26,non-ribosomal
17774,ihfB,Succinate,3699.0,Schmidt,0.44,non-ribosomal
17775,ihfB,Fructose,4501.0,Schmidt,0.65,non-ribosomal
17776,ileS,Glucose,2166.0,Schmidt,0.58,non-ribosomal
17777,ileS,LB,2886.0,Schmidt,1.9,non-ribosomal
17778,ileS,Glycerol + AA,2350.0,Schmidt,1.27,non-ribosomal
17779,ileS,Acetate,1348.0,Schmidt,0.3,non-ribosomal
17780,ileS,Fumarate,1657.0,Schmidt,0.42,non-ribosomal
17781,ileS,Glucosamine,1621.0,Schmidt,0.46,non-ribosomal
17782,ileS,Glycerol,1814.0,Schmidt,0.47,non-ribosomal
17783,ileS,Pyruvate,1921.0,Schmidt,0.4,non-ribosomal
17784,ileS,Chemostat µ=0.5,1647.0,Schmidt,0.5,non-ribosomal
17785,ileS,Chemostat µ=0.35,1363.0,Schmidt,0.35,non-ribosomal
17786,ileS,Chemostat µ=0.20,1074.0,Schmidt,0.2,non-ribosomal
17787,ileS,Chemostat µ=0.12,884.0,Schmidt,0.12,non-ribosomal
17788,ileS,stationary_1day,927.0,Schmidt,-0.01,non-ribosomal
17789,ileS,stationary_3day,959.0,Schmidt,-0.01,non-ribosomal
17790,ileS,Osmotic-stress glucose,2086.0,Schmidt,0.55,non-ribosomal
17791,ileS,42°C glucose,2950.0,Schmidt,0.66,non-ribosomal
17792,ileS,pH6 glucose,2024.0,Schmidt,0.63,non-ribosomal
17793,ileS,Xylose,2454.0,Schmidt,0.55,non-ribosomal
17794,ileS,Mannose,1625.0,Schmidt,0.47,non-ribosomal
17795,ileS,Galactose,1357.0,Schmidt,0.26,non-ribosomal
17796,ileS,Succinate,1569.0,Schmidt,0.44,non-ribosomal
17797,ileS,Fructose,2021.0,Schmidt,0.65,non-ribosomal
17798,ilvA,Glucose,140.0,Schmidt,0.58,non-ribosomal
17799,ilvA,LB,98.0,Schmidt,1.9,non-ribosomal
17800,ilvA,Glycerol + AA,97.0,Schmidt,1.27,non-ribosomal
17801,ilvA,Acetate,62.0,Schmidt,0.3,non-ribosomal
17802,ilvA,Fumarate,93.0,Schmidt,0.42,non-ribosomal
17803,ilvA,Glucosamine,148.0,Schmidt,0.46,non-ribosomal
17804,ilvA,Glycerol,100.0,Schmidt,0.47,non-ribosomal
17805,ilvA,Pyruvate,150.0,Schmidt,0.4,non-ribosomal
17806,ilvA,Chemostat µ=0.5,143.0,Schmidt,0.5,non-ribosomal
17807,ilvA,Chemostat µ=0.35,98.0,Schmidt,0.35,non-ribosomal
17808,ilvA,Chemostat µ=0.20,79.0,Schmidt,0.2,non-ribosomal
17809,ilvA,Chemostat µ=0.12,59.0,Schmidt,0.12,non-ribosomal
17810,ilvA,stationary_1day,70.0,Schmidt,-0.01,non-ribosomal
17811,ilvA,stationary_3day,50.0,Schmidt,-0.01,non-ribosomal
17812,ilvA,Osmotic-stress glucose,244.0,Schmidt,0.55,non-ribosomal
17813,ilvA,42°C glucose,214.0,Schmidt,0.66,non-ribosomal
17814,ilvA,pH6 glucose,188.0,Schmidt,0.63,non-ribosomal
17815,ilvA,Xylose,230.0,Schmidt,0.55,non-ribosomal
17816,ilvA,Mannose,104.0,Schmidt,0.47,non-ribosomal
17817,ilvA,Galactose,79.0,Schmidt,0.26,non-ribosomal
17818,ilvA,Succinate,107.0,Schmidt,0.44,non-ribosomal
17819,ilvA,Fructose,168.0,Schmidt,0.65,non-ribosomal
17820,ilvB,Glucose,1823.0,Schmidt,0.58,non-ribosomal
17821,ilvB,LB,2174.0,Schmidt,1.9,non-ribosomal
17822,ilvB,Glycerol + AA,2020.0,Schmidt,1.27,non-ribosomal
17823,ilvB,Acetate,1405.0,Schmidt,0.3,non-ribosomal
17824,ilvB,Fumarate,1490.0,Schmidt,0.42,non-ribosomal
17825,ilvB,Glucosamine,1584.0,Schmidt,0.46,non-ribosomal
17826,ilvB,Glycerol,2037.0,Schmidt,0.47,non-ribosomal
17827,ilvB,Pyruvate,762.0,Schmidt,0.4,non-ribosomal
17828,ilvB,Chemostat µ=0.5,2063.0,Schmidt,0.5,non-ribosomal
17829,ilvB,Chemostat µ=0.35,1617.0,Schmidt,0.35,non-ribosomal
17830,ilvB,Chemostat µ=0.20,1203.0,Schmidt,0.2,non-ribosomal
17831,ilvB,Chemostat µ=0.12,1098.0,Schmidt,0.12,non-ribosomal
17832,ilvB,stationary_1day,77.0,Schmidt,-0.01,non-ribosomal
17833,ilvB,stationary_3day,82.0,Schmidt,-0.01,non-ribosomal
17834,ilvB,Osmotic-stress glucose,1232.0,Schmidt,0.55,non-ribosomal
17835,ilvB,42°C glucose,989.0,Schmidt,0.66,non-ribosomal
17836,ilvB,pH6 glucose,636.0,Schmidt,0.63,non-ribosomal
17837,ilvB,Xylose,1650.0,Schmidt,0.55,non-ribosomal
17838,ilvB,Mannose,1954.0,Schmidt,0.47,non-ribosomal
17839,ilvB,Galactose,916.0,Schmidt,0.26,non-ribosomal
17840,ilvB,Succinate,1706.0,Schmidt,0.44,non-ribosomal
17841,ilvB,Fructose,1648.0,Schmidt,0.65,non-ribosomal
17842,ilvC,Glucose,33338.0,Schmidt,0.58,non-ribosomal
17843,ilvC,LB,3422.0,Schmidt,1.9,non-ribosomal
17844,ilvC,Glycerol + AA,2074.0,Schmidt,1.27,non-ribosomal
17845,ilvC,Acetate,15604.0,Schmidt,0.3,non-ribosomal
17846,ilvC,Fumarate,19954.0,Schmidt,0.42,non-ribosomal
17847,ilvC,Glucosamine,20988.0,Schmidt,0.46,non-ribosomal
17848,ilvC,Glycerol,29065.0,Schmidt,0.47,non-ribosomal
17849,ilvC,Pyruvate,14079.0,Schmidt,0.4,non-ribosomal
17850,ilvC,Chemostat µ=0.5,26857.0,Schmidt,0.5,non-ribosomal
17851,ilvC,Chemostat µ=0.35,17840.0,Schmidt,0.35,non-ribosomal
17852,ilvC,Chemostat µ=0.20,11583.0,Schmidt,0.2,non-ribosomal
17853,ilvC,Chemostat µ=0.12,6798.0,Schmidt,0.12,non-ribosomal
17854,ilvC,stationary_1day,18865.0,Schmidt,-0.01,non-ribosomal
17855,ilvC,stationary_3day,17213.0,Schmidt,-0.01,non-ribosomal
17856,ilvC,Osmotic-stress glucose,41665.0,Schmidt,0.55,non-ribosomal
17857,ilvC,42°C glucose,34023.0,Schmidt,0.66,non-ribosomal
17858,ilvC,pH6 glucose,19774.0,Schmidt,0.63,non-ribosomal
17859,ilvC,Xylose,29345.0,Schmidt,0.55,non-ribosomal
17860,ilvC,Mannose,23853.0,Schmidt,0.47,non-ribosomal
17861,ilvC,Galactose,13576.0,Schmidt,0.26,non-ribosomal
17862,ilvC,Succinate,24774.0,Schmidt,0.44,non-ribosomal
17863,ilvC,Fructose,35790.0,Schmidt,0.65,non-ribosomal
17864,ilvD,Glucose,1199.0,Schmidt,0.58,non-ribosomal
17865,ilvD,LB,495.0,Schmidt,1.9,non-ribosomal
17866,ilvD,Glycerol + AA,386.0,Schmidt,1.27,non-ribosomal
17867,ilvD,Acetate,504.0,Schmidt,0.3,non-ribosomal
17868,ilvD,Fumarate,679.0,Schmidt,0.42,non-ribosomal
17869,ilvD,Glucosamine,898.0,Schmidt,0.46,non-ribosomal
17870,ilvD,Glycerol,710.0,Schmidt,0.47,non-ribosomal
17871,ilvD,Pyruvate,994.0,Schmidt,0.4,non-ribosomal
17872,ilvD,Chemostat µ=0.5,841.0,Schmidt,0.5,non-ribosomal
17873,ilvD,Chemostat µ=0.35,510.0,Schmidt,0.35,non-ribosomal
17874,ilvD,Chemostat µ=0.20,383.0,Schmidt,0.2,non-ribosomal
17875,ilvD,Chemostat µ=0.12,277.0,Schmidt,0.12,non-ribosomal
17876,ilvD,stationary_1day,574.0,Schmidt,-0.01,non-ribosomal
17877,ilvD,stationary_3day,554.0,Schmidt,-0.01,non-ribosomal
17878,ilvD,Osmotic-stress glucose,2083.0,Schmidt,0.55,non-ribosomal
17879,ilvD,42°C glucose,1160.0,Schmidt,0.66,non-ribosomal
17880,ilvD,pH6 glucose,1144.0,Schmidt,0.63,non-ribosomal
17881,ilvD,Xylose,1476.0,Schmidt,0.55,non-ribosomal
17882,ilvD,Mannose,804.0,Schmidt,0.47,non-ribosomal
17883,ilvD,Galactose,444.0,Schmidt,0.26,non-ribosomal
17884,ilvD,Succinate,719.0,Schmidt,0.44,non-ribosomal
17885,ilvD,Fructose,1215.0,Schmidt,0.65,non-ribosomal
17886,ilvE,Glucose,2609.0,Schmidt,0.58,non-ribosomal
17887,ilvE,LB,1389.0,Schmidt,1.9,non-ribosomal
17888,ilvE,Glycerol + AA,1625.0,Schmidt,1.27,non-ribosomal
17889,ilvE,Acetate,1255.0,Schmidt,0.3,non-ribosomal
17890,ilvE,Fumarate,1728.0,Schmidt,0.42,non-ribosomal
17891,ilvE,Glucosamine,1834.0,Schmidt,0.46,non-ribosomal
17892,ilvE,Glycerol,1899.0,Schmidt,0.47,non-ribosomal
17893,ilvE,Pyruvate,1970.0,Schmidt,0.4,non-ribosomal
17894,ilvE,Chemostat µ=0.5,2366.0,Schmidt,0.5,non-ribosomal
17895,ilvE,Chemostat µ=0.35,1435.0,Schmidt,0.35,non-ribosomal
17896,ilvE,Chemostat µ=0.20,919.0,Schmidt,0.2,non-ribosomal
17897,ilvE,Chemostat µ=0.12,795.0,Schmidt,0.12,non-ribosomal
17898,ilvE,stationary_1day,1939.0,Schmidt,-0.01,non-ribosomal
17899,ilvE,stationary_3day,1902.0,Schmidt,-0.01,non-ribosomal
17900,ilvE,Osmotic-stress glucose,5169.0,Schmidt,0.55,non-ribosomal
17901,ilvE,42°C glucose,2633.0,Schmidt,0.66,non-ribosomal
17902,ilvE,pH6 glucose,3511.0,Schmidt,0.63,non-ribosomal
17903,ilvE,Xylose,4021.0,Schmidt,0.55,non-ribosomal
17904,ilvE,Mannose,1638.0,Schmidt,0.47,non-ribosomal
17905,ilvE,Galactose,1158.0,Schmidt,0.26,non-ribosomal
17906,ilvE,Succinate,1967.0,Schmidt,0.44,non-ribosomal
17907,ilvE,Fructose,2943.0,Schmidt,0.65,non-ribosomal
17908,ilvG,Glucose,52.0,Schmidt,0.58,non-ribosomal
17909,ilvG,LB,44.0,Schmidt,1.9,non-ribosomal
17910,ilvG,Glycerol + AA,22.0,Schmidt,1.27,non-ribosomal
17911,ilvG,Acetate,13.0,Schmidt,0.3,non-ribosomal
17912,ilvG,Fumarate,29.0,Schmidt,0.42,non-ribosomal
17913,ilvG,Glucosamine,31.0,Schmidt,0.46,non-ribosomal
17914,ilvG,Glycerol,35.0,Schmidt,0.47,non-ribosomal
17915,ilvG,Pyruvate,72.0,Schmidt,0.4,non-ribosomal
17916,ilvG,Chemostat µ=0.5,23.0,Schmidt,0.5,non-ribosomal
17917,ilvG,Chemostat µ=0.35,6.0,Schmidt,0.35,non-ribosomal
17918,ilvG,Chemostat µ=0.20,3.0,Schmidt,0.2,non-ribosomal
17919,ilvG,Chemostat µ=0.12,2.0,Schmidt,0.12,non-ribosomal
17920,ilvG,stationary_1day,1.0,Schmidt,-0.01,non-ribosomal
17921,ilvG,stationary_3day,0.0,Schmidt,-0.01,non-ribosomal
17922,ilvG,Osmotic-stress glucose,15.0,Schmidt,0.55,non-ribosomal
17923,ilvG,42°C glucose,61.0,Schmidt,0.66,non-ribosomal
17924,ilvG,pH6 glucose,2.0,Schmidt,0.63,non-ribosomal
17925,ilvG,Xylose,60.0,Schmidt,0.55,non-ribosomal
17926,ilvG,Mannose,20.0,Schmidt,0.47,non-ribosomal
17927,ilvG,Galactose,10.0,Schmidt,0.26,non-ribosomal
17928,ilvG,Succinate,28.0,Schmidt,0.44,non-ribosomal
17929,ilvG,Fructose,37.0,Schmidt,0.65,non-ribosomal
17930,ilvH,Glucose,1533.0,Schmidt,0.58,non-ribosomal
17931,ilvH,LB,439.0,Schmidt,1.9,non-ribosomal
17932,ilvH,Glycerol + AA,456.0,Schmidt,1.27,non-ribosomal
17933,ilvH,Acetate,902.0,Schmidt,0.3,non-ribosomal
17934,ilvH,Fumarate,958.0,Schmidt,0.42,non-ribosomal
17935,ilvH,Glucosamine,1451.0,Schmidt,0.46,non-ribosomal
17936,ilvH,Glycerol,1246.0,Schmidt,0.47,non-ribosomal
17937,ilvH,Pyruvate,1335.0,Schmidt,0.4,non-ribosomal
17938,ilvH,Chemostat µ=0.5,1078.0,Schmidt,0.5,non-ribosomal
17939,ilvH,Chemostat µ=0.35,855.0,Schmidt,0.35,non-ribosomal
17940,ilvH,Chemostat µ=0.20,826.0,Schmidt,0.2,non-ribosomal
17941,ilvH,Chemostat µ=0.12,715.0,Schmidt,0.12,non-ribosomal
17942,ilvH,stationary_1day,798.0,Schmidt,-0.01,non-ribosomal
17943,ilvH,stationary_3day,629.0,Schmidt,-0.01,non-ribosomal
17944,ilvH,Osmotic-stress glucose,1403.0,Schmidt,0.55,non-ribosomal
17945,ilvH,42°C glucose,1435.0,Schmidt,0.66,non-ribosomal
17946,ilvH,pH6 glucose,1595.0,Schmidt,0.63,non-ribosomal
17947,ilvH,Xylose,1823.0,Schmidt,0.55,non-ribosomal
17948,ilvH,Mannose,1591.0,Schmidt,0.47,non-ribosomal
17949,ilvH,Galactose,1287.0,Schmidt,0.26,non-ribosomal
17950,ilvH,Succinate,1401.0,Schmidt,0.44,non-ribosomal
17951,ilvH,Fructose,1931.0,Schmidt,0.65,non-ribosomal
17952,ilvI,Glucose,441.0,Schmidt,0.58,non-ribosomal
17953,ilvI,LB,114.0,Schmidt,1.9,non-ribosomal
17954,ilvI,Glycerol + AA,107.0,Schmidt,1.27,non-ribosomal
17955,ilvI,Acetate,307.0,Schmidt,0.3,non-ribosomal
17956,ilvI,Fumarate,343.0,Schmidt,0.42,non-ribosomal
17957,ilvI,Glucosamine,406.0,Schmidt,0.46,non-ribosomal
17958,ilvI,Glycerol,472.0,Schmidt,0.47,non-ribosomal
17959,ilvI,Pyruvate,462.0,Schmidt,0.4,non-ribosomal
17960,ilvI,Chemostat µ=0.5,452.0,Schmidt,0.5,non-ribosomal
17961,ilvI,Chemostat µ=0.35,413.0,Schmidt,0.35,non-ribosomal
17962,ilvI,Chemostat µ=0.20,359.0,Schmidt,0.2,non-ribosomal
17963,ilvI,Chemostat µ=0.12,284.0,Schmidt,0.12,non-ribosomal
17964,ilvI,stationary_1day,222.0,Schmidt,-0.01,non-ribosomal
17965,ilvI,stationary_3day,248.0,Schmidt,-0.01,non-ribosomal
17966,ilvI,Osmotic-stress glucose,369.0,Schmidt,0.55,non-ribosomal
17967,ilvI,42°C glucose,405.0,Schmidt,0.66,non-ribosomal
17968,ilvI,pH6 glucose,424.0,Schmidt,0.63,non-ribosomal
17969,ilvI,Xylose,448.0,Schmidt,0.55,non-ribosomal
17970,ilvI,Mannose,363.0,Schmidt,0.47,non-ribosomal
17971,ilvI,Galactose,278.0,Schmidt,0.26,non-ribosomal
17972,ilvI,Succinate,305.0,Schmidt,0.44,non-ribosomal
17973,ilvI,Fructose,443.0,Schmidt,0.65,non-ribosomal
