"Complexes_Proteins"	"Genes"	"Object_ID"
"2-amino-3-ketobutyrate CoA ligase"	"kbl"	"AKBLIG-CPLX"
"disulfide reductase"	"yfcG"	"CPLX0-7806"
"nucleoside triphosphate pyrophosphohydrolase"	"mazG"	"CPLX0-7692"
"serine hydroxymethyltransferase"	"glyA"	"GLYOHMETRANS-CPLX"
"<i>holo</i>-EntB dimer" // "phosphopantetheinyl transferase EntD" // "<i>holo</i> [EntF peptidyl-carrier protein]" // "2,3-dihydroxybenzoate-[aryl-carrier protein] ligase"	"entB" // "entD" // "entF" // "entE"	"ENTMULTI-CPLX"
"ATP synthase F<sub>0</sub> complex - subunit c"	"atpE"	"ATPE-CPLX"
"acetylornithine deacetylase"	"argE"	"ACETYLORNDEACET-CPLX"
"2'-<i>O</i>-acetyl-ADP-ribose deacetylase, regulator of RNase III activity"	"ymdB"	"CPLX0-7758"
"NADPH-dependent aldehyde reductase YqhD"	"yqhD"	"CPLX0-7667"
"glutamate synthase"	"gltB" // "gltD"	"GLUTAMATESYN-CPLX"
"3,4-dihydroxy-2-butanone-4-phosphate synthase"	"ribB"	"DIOHBUTANONEPSYN-CPLX"
"asparagine synthetase B"	"asnB"	"ASNSYNB-CPLX"
"putative transport complex, ABC superfamily"	"yphD" // "yphF" // "yphE"	"ABC-60-CPLX"
"16S rRNA m<sup>3</sup>U1498 methyltransferase"	"rsmE"	"CPLX0-7727"
"ketol-acid reductoisomerase (NADP<sup>+</sup>)"	"ilvC"	"CPLX0-7643"
"fumarase B"	"fumB"	"FUMARASE-B"
"adenosylmethionine-8-amino-7-oxononanoate aminotransferase"	"bioA"	"DAPASYN-CPLX"
"L-asparaginase 2"	"ansB"	"ANSB-CPLX"
"putative oligopeptide ABC transporter ATP binding subunit YejF" // "putative oligopeptide ABC transporter membrane subunit YejB" // "putative oligopeptide ABC transporter membrane subunit YejE" // "putative oligopeptide ABC transporter periplasmic binding protein YejA"	"yejF" // "yejB" // "yejE" // "yejA"	"ABC-41-CPLX"
"DNA-binding transcriptional dual regulator CueR-Cu<sup>+</sup>"	"cueR"	"CPLX0-7708"
"tartronate semialdehyde reductase 2"	"glxR"	"CPLX0-7616"
"fatty acid oxidation complex, &beta; component"	"fadA"	"FADA-CPLX"
"ClpA ATP-dependent protease specificity component and chaperone"	"clpA"	"CPLX0-881"
"adenylyl-sulfate kinase"	"cysC"	"ADENYLYLSULFKIN-CPLX"
"oligopeptide ABC transporter"	"oppC" // "oppD" // "oppF" // "oppB" // "oppA"	"ABC-22-CPLX"
"L-valine exporter"	"ygaZ" // "ygaH"	"CPLX0-7684"
"ammonia / ammonium transporter"	"amtB"	"CPLX0-7532"
"lipoamide dehydrogenase"	"lpd"	"E3-CPLX"
"aminopeptidase YpdF"	"ypdF"	"CPLX0-8290"
"acetohydroxy acid synthase I subunit IlvB" // "acetohydroxy acid synthase I subunit IlvN"	"ilvB" // "ilvN"	"ACETOLACTSYNI-CPLX"
"6-phosphofructokinase 2"	"pfkB"	"6PFK-2-CPX"
"4-hydroxy-tetrahydrodipicolinate synthase"	"dapA"	"DIHYDRODIPICSYN-CPLX"
"23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase"	"rlmH"	"CPLX0-7423"
"putative transport complex, ABC superfamily"	"ycjP" // "ycjO" // "ycjN" // "ycjV"	"ABC-55-CPLX"
"thymidine/deoxyuridine kinase"	"tdk"	"CPLX0-8261"
"multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1"	"tesA"	"CPLX0-7630"
"hydroxyisourate hydrolase / transthyretin-related protein"	"hiuH"	"CPLX0-3961"
"cystathionine &beta;-lyase / L-cysteine desulfhydrase / alanine racemase"	"metC"	"CYSTATHIONINE-BETA-LYASE-CPLX"
"DLP12 prophage; crossover junction endodeoxyribonuclease RusA"	"rusA"	"CPLX0-8237"
"thiamin ABC transporter ATP binding subunit" // "thiamin ABC transporter membrane subunit" // "thiamin ABC transporter periplasmic binding protein"	"thiQ" // "thiP" // "thiB"	"ABC-32-CPLX"
"evolved &beta;-D-galactosidase"	"ebgA" // "ebgC"	"CPLX0-3937"
"5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit" // "5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG"	"mnmE" // "mnmG"	"CPLX0-7609"
"hydroxyethylthiazole kinase"	"thiM"	"CPLX0-8211"
"maltose ABC transporter"	"malK" // "malF" // "malG" // "malE"	"ABC-16-CPLX"
"excision nuclease UvrABC"	"uvrB" // "uvrC" // "uvrA"	"UVRABC-CPLX"
"alanine racemase 2"	"dadX"	"CPLX0-7465"
"fructoselysine 3-epimerase"	"frlC"	"CPLX0-3861"
"sensory histidine kinase GlrK"	"glrK"	"CPLX0-8275"
"peptidyl-lysine <i>N</i>-acetyltransferase"	"patZ"	"CPLX0-8189"
"2-oxoglutarate dehydrogenase complex"	"sucA" // "sucB" // "lpd"	"2OXOGLUTARATEDEH-CPLX"
"multidrug efflux pump MdtEF-TolC"	"tolC" // "mdtE" // "mdtF"	"TRANS-CPLX-204"
"lipid A disaccharide synthase"	"lpxB"	"CPLX0-7415"
"replicative DNA helicase"	"dnaB"	"CPLX0-3621"
"D-alanyl-D-alanine carboxypeptidase DacA"	"dacA"	"CPLX0-8252"
"hydrogenase 1, oxygen tolerant hydrogenase"	"hyaC" // "hyaB" // "hyaA"	"CPLX0-8167"
"<i>S</i>-formylglutathione hydrolase / <i>S</i>-lactoylglutathione hydrolase"	"yeiG"	"CPLX0-3954"
"superoxide dismutase (Mn)"	"sodA"	"SUPEROX-DISMUTMN-CPLX"
"HigA antitoxin of the HigB-HigA toxin-antitoxin system and DNA-binding transcriptional repressor"	"higA"	"CPLX0-8229"
"RNase III"	"rnc"	"CPLX0-3281"
"FlhDC DNA-binding transcriptional dual regulator"	"flhD" // "flhC"	"CPLX0-3930"
"tRNA cytosine<sup>32</sup> 2-sulfurtransferase TtcA"	"ttcA"	"CPLX0-8124"
"signaling pathway modulator ZraP"	"zraP"	"CPLX0-8204"
"UDP-glucose 4-epimerase"	"galE"	"UDPGLUCEPIM-CPLX"
"serine endoprotease"	"degS"	"CPLX0-8183"
"sensory histidine kinase TorS"	"torS"	"TORS-CPLX"
"polynucleotide phosphorylase"	"pnp"	"CPLX0-3521"
"D-lactate dehydrogenase"	"ldhA"	"CPLX0-8158"
"sulfate adenylyltransferase"	"cysD" // "cysN"	"SULFATE-ADENYLYLTRANS-CPLX"
"chromate reductase"	"yieF"	"CPLX0-3121"
"ribosomal protein-arginine oxygenase"	"roxA"	"CPLX0-8112"
"ribonucleoside-diphosphate reductase 1"	"nrdA" // "nrdB"	"RIBONUCLEOSIDE-DIP-REDUCTI-CPLX"
"periplasmic serine endoprotease DegP"	"degP"	"CPLX0-2921"
"diguanylate cyclase DgcM"	"dgcM"	"CPLX0-8090"
"amidophosphoribosyltransferase"	"purF"	"PRPPAMIDOTRANS-CPLX"
"&beta;-ketoacyl-[acyl carrier protein] synthase III"	"fabH"	"CPLX0-252"
"UDP-<i>N</i>-acetylglucosamine&mdash;undecaprenyl-phosphate <i>N</i>-acetylglucosaminephosphotransferase"	"rfe"	"CPLX0-8011"
"tagatose-1,6-bisphosphate aldolase 1"	"kbaY" // "kbaZ"	"CPLX0-240"
"predicted enamine/imine deaminase"	"tdcF"	"CPLX0-7987"
"DNA-binding transcriptional repressor MngR"	"mngR"	"PC00103"
"multidrug efflux pump AcrEF-TolC"	"tolC" // "acrE" // "acrF"	"CPLX0-2141"
"L-amino acid N-acyltransferase"	"mnaT"	"CPLX0-7962"
"orotidine-5'-phosphate decarboxylase"	"pyrF"	"OROTPDECARB-CPLX"
"phenylacetyl-CoA 1,2-epoxidase"	"paaE" // "paaA" // "paaC" // "paaB"	"CPLX0-1762"
"CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase"	"yagE"	"CPLX0-7940"
"sensory histidine kinase NarX"	"narX"	"NARX-CPLX"
"transketolase 2"	"tktB"	"CPLX0-1261"
"multifunctional nuclease Cas1"	"cas1"	"CPLX0-7914"
"<i>o</i>-succinylbenzoate&mdash;CoA ligase"	"menE"	"MENE-CPLX"
"allantoate amidohydrolase"	"allC"	"CPLX-7524"
"sensor histidine kinase AtoS"	"atoS"	"CPLX0-7870"
"KHG/KDPG aldolase"	"eda"	"KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX"
"putative PTS enzyme II FrvAB"	"frvB" // "frvA"	"CPLX-159"
"dITP/XTP pyrophosphatase"	"rdgB"	"CPLX0-7826"
"histidine&mdash;tRNA ligase"	"hisS"	"HISS-CPLX"
"&gamma;-butyrobetainyl-CoA:carnitine CoA transferase"	"caiB"	"CARNDEHYDRA-CPLX"
"predicted structural protein, ethanolamine utilization microcompartment"	"eutL"	"CPLX0-7801"
"glycogen phosphorylase"	"glgP"	"GLYCOPHOSPHORYL-CPLX"
"ATP synthase F<sub>1</sub> complex subunit &alpha;"	"atpA"	"ATPA-CPLX"
"purine nucleoside phosphoramidase"	"hinT"	"CPLX0-7755"
"D-gluconate kinase, thermostable"	"gntK"	"GLUCONOKINII-CPLX"
"3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive"	"aroH"	"AROH-CPLX"
"formate dehydrogenase formation protein"	"fdhE"	"CPLX0-7724"
"fructose-bisphosphate aldolase class I"	"fbaB"	"FRUCBISALD-CLASSI"
"AMP nucleosidase"	"amn"	"AMP-NUCLEOSID-CPLX"
"ATP-dependent Lipid A-core flippase"	"msbA"	"CPLX0-7704"
"&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase"	"fabA"	"FABA-CPLX"
"aminodeoxychorismate lyase"	"pabC"	"ADCLY-CPLX"
"DNA-binding transcriptional repressor Zur"	"zur"	"CPLX0-7679"
"2-oxoglutarate decarboxylase, thiamine-requiring"	"sucA"	"E1O"
"dipeptide ABC transporter"	"dppD" // "dppF" // "dppB" // "dppC" // "dppA"	"ABC-8-CPLX"
"water channel AqpZ"	"aqpZ"	"CPLX0-7653"
"3-carboxyethylcatechol 2,3-dioxygenase"	"mhpB"	"DHPDIOXYGEN-CPLX"
"putative transport complex, ABC superfamily"	"ydcS" // "ydcT" // "ydcV" // "ydcU"	"ABC-51-CPLX"
"large conductance mechanosensitive channel"	"mscL"	"CPLX0-7627"
"CTP synthetase"	"pyrG"	"CTPSYN-CPLX"
"putrescine ABC exporter"	"sapF" // "sapC" // "sapB" // "sapD"	"ABC-29-CPLX"
"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase"	"ispH"	"CPLX0-7564"
"putative aminoacrylate hydrolase RutD"	"rutD"	"CPLX0-8303"
"glutamate / aspartate ABC transporter"	"gltI" // "gltK" // "gltJ" // "gltL"	"ABC-13-CPLX"
"flagellum"	"fliL" // "fliE" // "fliF" // "flgI" // "flgG" // "flgF" // "flgC" // "flgB" // "motB" // "motA" // "flgH" // "fliG" // "fliM" // "fliN" // "fliJ" // "fliI" // "fliH" // "fliR" // "fliQ" // "fliP" // "fliO" // "flhB" // "flhA" // "flgE" // "flgK" // "flgL" // "fliC" // "fliD"	"CPLX0-7452"
"sensor histidine kinase CpxA"	"cpxA"	"CPLX0-8270"
"NAD kinase"	"nadK"	"CPLX0-682"
"phosphodiesterase YfcE"	"yfcE"	"CPLX0-8248"
"tRNA m<sup>1</sup>G37 methyltransferase"	"trmD"	"CPLX0-3950"
"transcription antiterminator and regulator of RNA stability"	"cspE"	"CPLX0-8223"
"DNA polymerase V"	"umuC" // "umuD"	"CPLX0-3925"
"cyclic di-GMP phosphodiesterase PdeF"	"pdeF"	"CPLX0-8200"
"tyrosine aminotransferase"	"tyrB"	"TYRB-DIMER"
"YefM-YoeB antitoxin/toxin complex / DNA-binding transcriptional repressor"	"yoeB" // "yefM"	"CPLX0-3781"
"disaggregating chaperone protein ClpB"	"clpB"	"CPLX0-8180"
"threonine&mdash;tRNA ligase"	"thrS"	"THRS-CPLX"
"ribonuclease E"	"rne"	"CPLX0-3461"
"periplasmic protein CpxP"	"cpxP"	"CPLX0-8155"
"succinate:quinone oxidoreductase subcomplex"	"sdhA" // "sdhB" // "sdhC" // "sdhD"	"SUCC-DEHASE"
"ClpAP"	"clpP" // "clpA"	"CPLX0-3104"
"DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL"	"pdeL"	"CPLX0-8109"
"rhamnulose-1-phosphate aldolase"	"rhaD"	"RHAMNULPALDOL-CPLX"
"transcriptional antiterminator BglG"	"bglG"	"CPLX0-2861"
"SecB chaperone"	"secB"	"CPLX0-8046"
"exopolyphosphatase"	"ppx"	"PPX-CPLX"
"hydrogenase 4"	"hyfG" // "hyfI" // "hyfA" // "hyfB" // "hyfC" // "hyfD" // "hyfE" // "hyfF" // "hyfH"	"CPLX0-250"
"type I fimbriae usher protein"	""	"CPLX0-8009"
"serine acetyltransferase"	"cysE"	"CPLX0-237"
"glutathionyl-hydroquinone reductase YqjG"	"yqjG"	"CPLX0-7984"
"DNA-binding transcriptional dual regulator Cra"	"cra"	"PC00061"
"2,3-diketo-L-gulonate reductase"	"yiaK"	"CPLX0-2061"
"adenylosuccinate lyase"	"purB"	"CPLX0-7959"
"ornithine decarboxylase, biosynthetic"	"speC"	"ORNDECARBOX-BIO-CPLX"
"anaerobic fatty acid &beta;-oxidation complex"	"fadI" // "fadJ"	"CPLX0-1668"
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase"	"phnP"	"CPLX0-7936"
"<i>N</i>-acetylglucosamine-6-phosphate deacetylase"	"nagA"	"NAG6PDEACET-CPLX"
"ADP-sugar diphosphatase NudE"	"nudE"	"CPLX0-1221"
"DNA polymerase III, &psi;-&chi; subunit"	"holC" // "holD"	"CPLX0-7910"
"Trg<SUP>glu</SUP>"	"cheA" // "cheW" // "trg"	"TRG-GLU"
"NAD<sup>+</sup>-dependent malate dehydrogenase"	"maeA"	"MALIC-NAD-CPLX"
"acetyl-CoA carboxylase complex"	"accD" // "accA" // "accC" // "accB"	"ACETYL-COA-CARBOXYLMULTI-CPLX"
"allantoinase"	"allB"	"CPLX-64"
"sensory histidine kinase TorS - his850 phosphorylated"	"torS"	"CPLX0-8268"
"GadE-RcsB DNA-binding transcriptional activator"	"rcsB" // "gadE"	"CPLX0-7852"
"sensor histidine kinase ArcB"	"arcB"	"ARCB-CPLX"
"3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase KdsC"	"kdsC"	"KDO-8PPHOSPHAT-CPLX"
"isocitrate dehydrogenase"	"icd"	"ISOCITHASE-CPLX"
"mannitol-specific PTS enzyme II CmtBA"	"cmtB" // "cmtA"	"CPLX-156"
"sensory histidine kinase NarX - phosphorylated"	"narX"	"PHOSPHO-NARX"
"MqsA-MqsR antitoxin/toxin complex"	"mqsA" // "mqsR"	"CPLX0-7822"
"guanylate kinase"	"gmk"	"GUANYL-KIN-CPLX"
"chemotaxis signaling complex - serine sensing"	"cheW" // "cheA" // "tsr"	"TSR-CPLX"
"branched-chain-amino-acid aminotransferase"	"ilvE"	"BRANCHED-CHAINAMINOTRANSFER-CPLX"
"BglG - his208 phosphorylated"	"bglG"	"CPLX0-8117"
"KdpE-Phosphorylated DNA-binding transcriptional activator"	"kdpE"	"CPLX0-7795"
"Tar<SUP>glu</SUP>"	"cheA" // "cheW" // "tar"	"TAR-GLU"
"glycerol-3-phosphate dehydrogenase, biosynthetic"	"gpsA"	"GLYC3PDEHYDROGBIOSYN-CPLX"
"aspartate&mdash;tRNA ligase"	"aspS"	"ASPS-CPLX"
"Tap<SUP>glu</SUP>"	"cheA" // "cheW" // "tap"	"TAP-GLU"
"lipid hydroperoxide peroxidase"	"tpx"	"CPLX0-7747"
"pyruvate formate-lyase (inactive)"	"pflB"	"PYRUVFORMLY-INACTIVE-CPLX"
"GDP-mannose 4,6-dehydratase"	"gmd"	"GDPMANDEHYDRA-CPLX"
"DNA-binding transcriptional dual regulator NtrC"	"glnG"	"GLNG-CPLX"
"3-dehydroquinate dehydratase"	"aroD"	"AROD-CPLX"
"protein sulfenic acid reductase DsbG<sub>oxidized</sub>"	"dsbG"	"CPLX0-8004"
"DcuR-Phosphorylated DNA-binding transcriptional activator"	"dcuR"	"CPLX0-7721"
"DNA-binding transcriptional dual regulator TorR"	"torR"	"TORR-CPLX"
"hydrogenase 2"	"hybA" // "hybB" // "hybO" // "hybC"	"FORMHYDROG2-CPLX"
"formate dehydrogenase N, subcomplex"	"fdnI" // "fdnH" // "fdnG"	"ALPHA-SUBUNIT-CPLX"
"chemotaxis signaling complex - dipeptide sensing"	"cheA" // "cheW" // "tap"	"TAP-CPLX"
"chromosome partitioning protein MukB"	"mukB"	"CPLX0-7696"
"ATP synthase F<sub>1</sub> complex"	"atpC" // "atpH" // "atpA" // "atpG" // "atpD"	"F-1-CPLX"
"Trg<SUP>glu-Me</SUP>"	"cheA" // "cheW" // "trg"	"TRG-GLUME"
"cysteine synthase A"	"cysK"	"ACSERLYA-CPLX"
"TorR-TorI"	"torR"	"CPLX0-2821"
"voltage-gated K<sup>+</sup> channel"	"kch"	"CPLX0-7674"
"chemotaxis signaling complex - ribose/galactose/glucose sensing"	"cheA" // "cheW" // "trg"	"TRG-CPLX"
"dTDP-glucose 4,6-dehydratase 1"	"rfbB"	"DTDPGLUCDEHYDRAT-CPLX"
"RNA polymerase sigma 32"	"rpoB" // "rpoC" // "rpoA" // "rpoH"	"RNAP32-CPLX"
"taurine ABC transporter periplasmic binding protein" // "taurine ABC transporter membrane subunit" // "taurine ABC transporter ATP binding subunit"	"tauA" // "tauC" // "tauB"	"ABC-64-CPLX"
"anaerobic ribonucleoside-triphosphate reductase"	"nrdD"	"RIBONUCLEOSIDE-TRIP-REDUCT-CPLX"
"anti-sigma factor stabilizing protein RseB"	"rseB"	"CPLX0-7648"
"chemotaxis protein CheA(L)"	"cheA"	"CHEA-CPLX"
"purine nucleoside phosphorylase"	"deoD"	"DEOD-CPLX"
"Tsr<SUP>glu-Me</SUP>"	"cheW" // "cheA" // "tsr"	"TSR-GLUME"
"putative transport complex, ABC superfamily"	"ynjC" // "ynjD" // "ynjB"	"ABC-48-CPLX"
"RNA polymerase sigma 24"	"rpoB" // "rpoC" // "rpoA" // "rpoE"	"RNAPE-CPLX"
"YhaV-PrlF toxin-antitoxin complex"	"prlF" // "yhaV"	"CPLX0-7624"
"RNA polymerase sigma 19"	"rpoB" // "rpoC" // "rpoA" // "fecI"	"CPLX0-221"
"DNA-binding transcriptional dual regulator PspF"	"pspF"	"CPLX0-981"
"citrate lyase, inactive"	"citD" // "citF" // "citE"	"CITLY-CPLX"
"glycine betaine ABC transporter"	"proV" // "proW" // "proX"	"ABC-26-CPLX"
"RNA polymerase sigma 54"	"rpoB" // "rpoC" // "rpoA" // "rpoN"	"RNAP54-CPLX"
"FKBP-type peptidyl-prolyl <i>cis-trans</I> isomerase SlyD"	"slyD"	"CPLX0-7536"
"KdpE-P<sup>asp</sup>-phosphate"	"kdpE"	"CPLX0-8272"
"PBP1B&gamma;"	"mrcB"	"CPLX0-8300"
"RNA polymerase sigma 70"	"rpoB" // "rpoC" // "rpoA" // "rpoD"	"RNAP70-CPLX"
"ferric enterobactin ABC transporter"	"fepC" // "fepD" // "fepG" // "fepB"	"ABC-10-CPLX"
"RNA polymerase sigma 28"	"fliA" // "rpoB" // "rpoC" // "rpoA"	"CPLX0-222"
"DUF892 domain-containing protein YciF"	"yciF"	"CPLX0-7444"
"OmpR-Phosphorylated DNA-binding transcriptional dual regulator"	"ompR"	"PHOSPHO-OMPR"
"Enterobacterial Common Antigen Biosynthesis Protein Complex"	"wzxE" // "wzyE" // "wzzE"	"CPLX0-3976"
"CreC-<i>N</i>-phospho-L-histidine"	"creC"	"PHOSPHO-CREC"
"intermembrane transport protein PqiB"	"pqiB"	"CPLX0-8244"
"RNA polymerase sigma S"	"rpoB" // "rpoC" // "rpoA" // "rpoS"	"RNAPS-CPLX"
"&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase"	"puuD"	"CPLX0-3943"
"sensory histidine kinase TorS - his443 phosphorylated"	"torS"	"CPLX0-8265"
"free methionine-(<i>R</i>)-sulfoxide reductase"	"msrC"	"CPLX0-8217"
"Tar<SUP>glu-Me</SUP>"	"cheA" // "cheW" // "tar"	"TAR-GLUME"
"primosome"	"dnaB" // "dnaT" // "priB" // "priA" // "priC" // "dnaG"	"CPLX0-3922"
"sensory histidine kinase NtrB - phosphorylated"	"glnL"	"PROTEIN-NRIIP"
"Z-ring positioning protein MinC"	"minC"	"CPLX0-8196"
"tryptophan&mdash;tRNA ligase"	"trpS"	"TRPS-CPLX"
"CpxA-<i>N</i>-phospho-L-histidine"	"cpxA"	"PHOSPHO-CPXA"
"ADP-sugar pyrophosphatase"	"nudF"	"CPLX0-3721"
"reduced flavorubredoxin"	"norV"	"CPLX0-1"
"sulfurtransferase for molybdenum cofactor sulfuration"	"fdhD"	"CPLX0-8175"
"chemotaxis signaling complex - aspartate sensing"	"cheA" // "cheW" // "tar"	"TAR-CPLX"
"catabolic threonine dehydratase"	"tdcB"	"THREDEHYDCAT-CPLX"
"HypT-[Met-oxidized] DNA-binding transcriptional dual regulator"	"hypT"	"CPLX0-8075"
"Type II secretion system"	"gspC" // "gspD" // "gspE" // "gspF" // "gspG" // "gspH" // "gspI" // "gspJ" // "gspK" // "gspL" // "gspM" // "gspO"	"CPLX0-3382"
"citrate lyase"	"citD" // "citF" // "citE"	"ACECITLY-CPLX"
"DLP12 prophage; DNA base-flipping protein"	"ybcN"	"CPLX0-8129"
"Tap<SUP>glu-Me</SUP>"	"cheA" // "cheW" // "tap"	"TAP-GLUME"
"sorbitol-6-phosphate 2-dehydrogenase"	"srlD"	"SORB6PDEHYDROG-CPLX"
"TorR-Phosphorylated DNA-binding transcriptional dual regulator"	"torR"	"PHOSPHO-TORR"
"SecYEG translocon"	"secE" // "secG" // "secY"	"SECE-G-Y-CPLX"
"sensory histidine kinase KdpD - phosphorylated"	"kdpD"	"PHOSPHO-KDPD"
"Xaa-Pro aminopeptidase"	"pepP"	"CPLX0-3081"
"nucleoside triphosphate pyrophosphatase YhdE"	"yhdE"	"CPLX0-8106"
"BglG - his101 phosphorylated"	"bglG"	"CPLX0-7657"
"quinolinate phosphoribosyltransferase (decarboxylating)"	"nadC"	"QUINOPRIBOTRANS-CPLX"
"McrBC restriction endonuclease"	"mcrB" // "mcrC"	"CPLX0-2661"
"DNA-binding transcriptional repressor LsrR"	"lsrR"	"CPLX0-8043"
"porphobilinogen synthase"	"hemB"	"PORPHOBILSYNTH-CPLX"
"<i>holo</i>-EntB dimer"	"entB"	"ENTB-CPLX"
"alkyl hydroperoxide reductase"	"ahpC" // "ahpF"	"CPLX0-245"
"protein sulfenic acid reductase DsbG<sub>reduced</sub>"	"dsbG"	"CPLX-9344"
"3-oxoacyl-[acyl-carrier-protein] reductase FabG"	"fabG"	"CPLX0-8005"
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"	"gpmA"	"PHOSGLYCMUTASE"
"glyoxylate reductase"	"ghrB"	"CPLX0-235"
"PhoQ-<i>N</i>-phospho-L-histidine"	"phoQ"	"PHOSPHO-PHOQ"
"miniconductance mechanosensitive channel YbdG"	"ybdG"	"CPLX0-7981"
"DNA-binding transcriptional dual regulator IHF"	"ihfA" // "ihfB"	"PC00027"
"oxidized ribonucleoside-triphosphate reductase"	"nrdD"	"MONOMER0-2863"
"3-hydroxy acid dehydrogenase"	"ydfG"	"CPLX0-1962"
"CheA(L) - phosphorylated"	"cheA"	"CPLX0-8274"
"carbon storage regulator"	"csrA"	"CPLX0-7956"
"<i>O</i>-succinylhomoserine(thiol)-lyase / <i>O</i>-succinylhomoserine lyase"	"metB"	"O-SUCCHOMOSERLYASE-CPLX"
"Tsr<SUP>gln</SUP>"	"cheW" // "cheA" // "tsr"	"TSR-GLN"
"selenate reductase"	"ynfE" // "ynfF" // "ynfG" // "ynfH"	"CPLX0-1601"
"activated pyruvate-formate lyase"	"pflB"	"PYRUVFORMLY-CPLX"
"putative carbamoyltransferase YgeW"	"ygeW"	"CPLX0-7933"
"NAD synthetase, NH<sub>3</sub>-dependent"	"nadE"	"NAD-SYNTH-CPLX"
"HslU hexamer"	"hslU"	"CPLX0-1161"
"L-carnitine:&gamma;-butyrobetaine antiporter"	"caiT"	"CPLX0-7906"
"L-xylulose kinase"	"lyxK"	"LYXK-CPLX"
"FecAR Signal Transduction System"	"fecA" // "fecR"	"CPLX-3944"
"sensory histidine kinase TorS - asp723 phosphorylated"	"torS"	"CPLX0-8267"
"4-hydroxythreonine-4-phosphate dehydrogenase"	"pdxA"	"CPLX0-7847"
"imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase"	"hisB"	"IMIDHISTID-CPLX"
"Trg<SUP>gln</SUP>"	"cheA" // "cheW" // "trg"	"TRG-GLN"
"&beta;-glucoside specific PTS enzyme II"	"ascF"	"CPLX-153"
"NtrC-Phosphorylated DNA-binding transcriptional dual regulator"	"glnG"	"PROTEIN-NRIP"
"K<sup>+</sup> : H<sup>+</sup> antiporter KefC"	"kefC"	"CPLX0-7819"
"sensory histidine kinase NarQ  - phosphorylated"	"narQ"	"PHOSPHO-NARQ"
"fused glutathionylspermidine amidase / glutathionylspermidine synthetase"	"gss"	"GSP-CPLX"
"&beta;-galactosidase"	"lacZ"	"BETAGALACTOSID-CPLX"
"macrodomain Ter protein"	"matP"	"CPLX0-7789"
"glutamate decarboxylase B"	"gadB"	"GLUTDECARBOXB-CPLX"
"&beta;-glucoside specific PTS enzyme II - cys24 phosphorylated"	"bglF"	"CPLX0-8115"
"fused aspartate kinase/homoserine dehydrogenase 1"	"thrA"	"ASPKINIHOMOSERDEHYDROGI-CPLX"
"Tar<SUP>gln</SUP>"	"cheA" // "cheW" // "tar"	"TAR-GLN"
"methylmalonyl-CoA mutase"	"scpA"	"CPLX0-7741"
"glycine cleavage system"	"lpd" // "gcvP" // "gcvH" // "gcvT"	"GCVMULTI-CPLX"
"arginine decarboxylase, biosynthetic"	"speA"	"ARGDECARBOXBIO-CPLX"
"UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase"	"arnA"	"CPLX0-7718"
"dihydroneopterin triphosphate 2'-epimerase"	"folX"	"FOLXTET-CPLX"
"alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor"	"alaS"	"ALAS-CPLX"
"isocitrate dehydrogenase-P"	"icd"	"ISOCITHASE-P"
"FMN dependent NADH:quinone oxidoreductase"	"azoR"	"CPLX0-7693"
"sensor histidine kinase EnvZ"	"envZ"	"ENVZ-CPLX"
"Tap<SUP>gln</SUP>"	"cheA" // "cheW" // "tap"	"TAP-GLN"
"<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase"	"argD"	"ACETYLORNTRANSAM-CPLX"
"putative oxidoreductase YdjA"	"ydjA"	"CPLX0-7668"
"nicotinate-nucleotide&mdash;dimethylbenzimidazole phosphoribosyltransferase"	"cobT"	"DMBPPRIBOSYLTRANS-CPLX"
"putative transport complex, ABC superfamily"	"ybbP" // "ybbA"	"ABC-61-CPLX"
"L-fucose mutarotase"	"fucU"	"CPLX0-7645"
"oxidized flavorubredoxin"	"norV"	"CPLX0-2"
"dCTP deaminase"	"dcd"	"DCTP-DEAM-CPLX"
"PhoR-<i>N</i>-phospho-L-histidine"	"phoR"	"PHOSPHO-PHOR"
"D-allose ABC transporter ATP binding subunit" // "D-allose ABC transporter membrane subunit" // "D-allose ABC transporter periplasmic binding protein"	"alsA" // "alsC" // "alsB"	"ABC-42-CPLX"
"EnvZ-<i>N</i>-phospho-L-histidine"	"envZ"	"PHOSPHO-ENVZ"
