uniprot,desc,gene,cog_class_letter,cog_desc,cog_class
P0A6Y8,Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2,dnaK,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0A988,DNA polymerase III subunit beta OS=Escherichia coli (strain K12) GN=dnaN PE=1 SV=1,dnaN,L,"Replication, recombination and repair",Information Storage and Processing
P03007,DNA polymerase III subunit epsilon OS=Escherichia coli (strain K12) GN=dnaQ PE=1 SV=1,dnaQ,L,"Replication, recombination and repair",Information Storage and Processing
P0A8J2,Primosomal protein 1 OS=Escherichia coli (strain K12) GN=dnaT PE=1 SV=2,dnaT,R,General function prediction only,Poorly Characterized
P06710,DNA polymerase III subunit tau OS=Escherichia coli (strain K12) GN=dnaX PE=1 SV=1,dnaX,L,"Replication, recombination and repair",Information Storage and Processing
P0AA89,Diguanylate cyclase DosC OS=Escherichia coli (strain K12) GN=dosC PE=1 SV=1,dosC,T,Signal transduction mechanisms,Cellular Processes and Signaling
P23847,Periplasmic dipeptide transport protein OS=Escherichia coli (strain K12) GN=dppA PE=1 SV=1,dppA,E,Amino acid transport and metabolism,Metabolism
P0AEF8,Dipeptide transport system permease protein dppB OS=Escherichia coli (strain K12) GN=dppB PE=1 SV=1,dppB,EP,Amino acid transport and metabolism,Metabolism
P0AEG1,Dipeptide transport system permease protein dppC OS=Escherichia coli (strain K12) GN=dppC PE=1 SV=1,dppC,EP,Amino acid transport and metabolism,Metabolism
P0AAG0,Dipeptide transport ATP-binding protein DppD OS=Escherichia coli (strain K12) GN=dppD PE=3 SV=1,dppD,EP,Amino acid transport and metabolism,Metabolism
P37313,Dipeptide transport ATP-binding protein DppF OS=Escherichia coli (strain K12) GN=dppF PE=3 SV=1,dppF,E,Amino acid transport and metabolism,Metabolism
P0ABT2,DNA protection during starvation protein OS=Escherichia coli (strain K12) GN=dps PE=1 SV=2,dps,P,Inorganic ion transport and metabolism,Metabolism
P0AEG4,Thiol:disulfide interchange protein DsbA OS=Escherichia coli (strain K12) GN=dsbA PE=1 SV=1,dsbA,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0A6M2,Disulfide bond formation protein B OS=Escherichia coli (strain K12) GN=dsbB PE=1 SV=1,dsbB,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0AEG6,Thiol:disulfide interchange protein DsbC OS=Escherichia coli (strain K12) GN=dsbC PE=1 SV=1,dsbC,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P77202,Thiol:disulfide interchange protein DsbG OS=Escherichia coli (strain K12) GN=dsbG PE=1 SV=2,dsbG,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P00926,D-serine dehydratase OS=Escherichia coli (strain K12) GN=dsdA PE=1 SV=3,dsdA,E,Amino acid transport and metabolism,Metabolism
P0A6M4,D-tyrosyl-tRNA(Tyr) deacylase OS=Escherichia coli (strain K12) GN=dtd PE=1 SV=1,dtd,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P77304,Dipeptide and tripeptide permease A OS=Escherichia coli (strain K12) GN=dtpA PE=1 SV=1,dtpA,E,Amino acid transport and metabolism,Metabolism
P32695,tRNA-dihydrouridine synthase A OS=Escherichia coli (strain K12) GN=dusA PE=3 SV=3,dusA,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0ABT5,tRNA-dihydrouridine synthase B OS=Escherichia coli (strain K12) GN=dusB PE=1 SV=1,dusB,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P33371,tRNA-dihydrouridine synthase C OS=Escherichia coli (strain K12) GN=dusC PE=1 SV=1,dusC,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P06968,Deoxyuridine 5'-triphosphate nucleotidohydrolase OS=Escherichia coli (strain K12) GN=dut PE=1 SV=1,dut,F,Nucleotide transport and metabolism,Metabolism
P77488,1-deoxy-D-xylulose-5-phosphate synthase OS=Escherichia coli (strain K12) GN=dxs PE=1 SV=3,dxs,HI,Coenzyme transport and metabolism,Metabolism
P06846,HTH-type transcriptional regulator ebgR OS=Escherichia coli (strain K12) GN=ebgR PE=4 SV=2,ebgR,K,Transcription,Information Storage and Processing
P0ADB7,Entericidin B OS=Escherichia coli (strain K12) GN=ecnB PE=3 SV=1,ecnB,S,Function unknown,Poorly Characterized
P23827,Ecotin OS=Escherichia coli (strain K12) GN=eco PE=1 SV=1,eco,R,General function prediction only,Poorly Characterized
P0A955,KHG/KDPG aldolase OS=Escherichia coli (strain K12) GN=eda PE=1 SV=1,eda,G,Carbohydrate transport and metabolism,Metabolism
P0AB24,UPF0409 protein ycdO OS=Escherichia coli (strain K12) GN=ycdO PE=1 SV=1,efeO,P,Inorganic ion transport and metabolism,Metabolism
P0A6N4,Elongation factor P OS=Escherichia coli (strain K12) GN=efp PE=1 SV=2,efp,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0AEH3,Protein elaA OS=Escherichia coli (strain K12) GN=elaA PE=3 SV=1,elaA,R,General function prediction only,Poorly Characterized
P0AEH5,Protein elaB OS=Escherichia coli (strain K12) GN=elaB PE=1 SV=1,elaB,S,Function unknown,Poorly Characterized
P0ABU5,Enhancing lycopene biosynthesis protein 2 OS=Escherichia coli (strain K12) GN=elbB PE=1 SV=1,elbB,Q,"Secondary metabolites biosynthesis, transport and catabolism",Metabolism
P27303,Multidrug resistance protein A OS=Escherichia coli (strain K12) GN=emrA PE=3 SV=2,emrA,V,Defense mechanisms,Cellular Processes and Signaling
P0C960,Endo-type membrane-bound lytic murein transglycosylase A OS=Escherichia coli (strain K12) GN=emtA PE=1 SV=1,emtA,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P0A6P7,Probable GTP-binding protein engB OS=Escherichia coli (strain K12) GN=engB PE=1 SV=1,engB,Not Assigned,Not Assigned,Not Assigned
P0A6P9,Enolase OS=Escherichia coli (strain K12) GN=eno PE=1 SV=2,eno,G,Carbohydrate transport and metabolism,Metabolism
P15047,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase OS=Escherichia coli (strain K12) GN=entA PE=1 SV=1",entA,IQR,Lipid transport and metabolism,Metabolism
P0ADI4,Isochorismatase OS=Escherichia coli (strain K12) GN=entB PE=1 SV=1,entB,Q,"Secondary metabolites biosynthesis, transport and catabolism",Metabolism
P0AEJ2,Isochorismate synthase entC OS=Escherichia coli (strain K12) GN=entC PE=1 SV=1,entC,HQ,Coenzyme transport and metabolism,Metabolism
P10378,Enterobactin synthase component E OS=Escherichia coli (strain K12) GN=entE PE=3 SV=3,entE,Q,"Secondary metabolites biosynthesis, transport and catabolism",Metabolism
P11454,Enterobactin synthase component F OS=Escherichia coli (strain K12) GN=entF PE=1 SV=3,entF,Q,"Secondary metabolites biosynthesis, transport and catabolism",Metabolism
P0A8Y8,Esterase YbdB OS=Escherichia coli (strain K12) GN=ybdB PE=1 SV=1,entH,Q,"Secondary metabolites biosynthesis, transport and catabolism",Metabolism
P37690,Uncharacterized protein yibP OS=Escherichia coli (strain K12) GN=yibP PE=4 SV=2,envC,D,"Cell cycle control, cell division, chromosome partitioning",Cellular Processes and Signaling
P0A9B6,D-erythrose-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=epd PE=1 SV=2,epd,G,Carbohydrate transport and metabolism,Metabolism
P39280,Uncharacterized KamA family protein YjeK OS=Escherichia coli (strain K12) GN=yjeK PE=3 SV=1,epmB,E,Amino acid transport and metabolism,Metabolism
P37661,Phosphoethanolamine transferase eptB OS=Escherichia coli (strain K12) GN=eptB PE=1 SV=3,eptB,R,General function prediction only,Poorly Characterized
P0CB39,Phosphoethanolamine transferase CptA OS=Escherichia coli (strain K12) GN=cptA PE=1 SV=1,eptC,Not Assigned,Not Assigned,Not Assigned
P06616,GTPase Era OS=Escherichia coli (strain K12) GN=era PE=1 SV=2,era,R,General function prediction only,Poorly Characterized
P39176,"Probable L,D-transpeptidase ErfK/SrfK OS=Escherichia coli (strain K12) GN=erfK PE=1 SV=2",erfK,S,Function unknown,Poorly Characterized
P0ACC3,Iron-sulfur cluster insertion protein erpA OS=Escherichia coli (strain K12) GN=erpA PE=1 SV=1,erpA,S,Function unknown,Poorly Characterized
P0AEJ6,Ethanolamine ammonia-lyase heavy chain OS=Escherichia coli (strain K12) GN=eutB PE=1 SV=1,eutB,E,Amino acid transport and metabolism,Metabolism
P19636,Ethanolamine ammonia-lyase light chain OS=Escherichia coli (strain K12) GN=eutC PE=1 SV=2,eutC,E,Amino acid transport and metabolism,Metabolism
P76541,Ethanolamine utilization protein EutL OS=Escherichia coli (strain K12) GN=eutL PE=1 SV=1,eutL,E,Amino acid transport and metabolism,Metabolism
P0ABF4,Ethanolamine utilization protein EutM OS=Escherichia coli (strain K12) GN=eutM PE=1 SV=1,eutM,QC,"Secondary metabolites biosynthesis, transport and catabolism",Metabolism
P0ACZ4,Positive transcription regulator evgA OS=Escherichia coli (strain K12) GN=evgA PE=1 SV=1,evgA,TK,Signal transduction mechanisms,Cellular Processes and Signaling
P0ABU7,Biopolymer transport protein exbB OS=Escherichia coli (strain K12) GN=exbB PE=1 SV=1,exbB,U,"Intracellular trafficking, secretion, and vesicular transport",Cellular Processes and Signaling
P0ABV2,Biopolymer transport protein exbD OS=Escherichia coli (strain K12) GN=exbD PE=1 SV=1,exbD,U,"Intracellular trafficking, secretion, and vesicular transport",Cellular Processes and Signaling
P0ACL2,Exu regulon transcriptional regulator OS=Escherichia coli (strain K12) GN=exuR PE=4 SV=1,exuR,K,Transcription,Information Storage and Processing
P0A6Q3,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabA PE=1 SV=2,fabA,I,Lipid transport and metabolism,Metabolism
P0A953,3-oxoacyl-[acyl-carrier-protein] synthase 1 OS=Escherichia coli (strain K12) GN=fabB PE=1 SV=1,fabB,IQ,Lipid transport and metabolism,Metabolism
P0AAI9,Malonyl CoA-acyl carrier protein transacylase OS=Escherichia coli (strain K12) GN=fabD PE=1 SV=2,fabD,I,Lipid transport and metabolism,Metabolism
P0AAI5,3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Escherichia coli (strain K12) GN=fabF PE=1 SV=2,fabF,IQ,Lipid transport and metabolism,Metabolism
P0AEK2,3-oxoacyl-[acyl-carrier-protein] reductase OS=Escherichia coli (strain K12) GN=fabG PE=1 SV=1,fabG,IQR,Lipid transport and metabolism,Metabolism
P0A6R0,3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Escherichia coli (strain K12) GN=fabH PE=1 SV=1,fabH,I,Lipid transport and metabolism,Metabolism
P0AEK4,Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Escherichia coli (strain K12) GN=fabI PE=1 SV=2,fabI,I,Lipid transport and metabolism,Metabolism
P0A6Q6,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabZ PE=1 SV=1,fabZ,I,Lipid transport and metabolism,Metabolism
P21151,3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3,fadA,I,Lipid transport and metabolism,Metabolism
P21177,Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadB PE=1 SV=2,fadB,I,Lipid transport and metabolism,Metabolism
P69451,Long-chain-fatty-acid--CoA ligase OS=Escherichia coli (strain K12) GN=fadD PE=1 SV=1,fadD,IQ,Lipid transport and metabolism,Metabolism
Q47146,Acyl-coenzyme A dehydrogenase OS=Escherichia coli (strain K12) GN=fadE PE=2 SV=2,fadE,I,Lipid transport and metabolism,Metabolism
P42593,"2,4-dienoyl-CoA reductase [NADPH] OS=Escherichia coli (strain K12) GN=fadH PE=1 SV=3",fadH,C,Energy production and conversion,Metabolism
P76503,3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadI PE=1 SV=1,fadI,I,Lipid transport and metabolism,Metabolism
P77399,Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadJ PE=1 SV=1,fadJ,I,Lipid transport and metabolism,Metabolism
P10384,Long-chain fatty acid transport protein OS=Escherichia coli (strain K12) GN=fadL PE=1 SV=5,fadL,I,Lipid transport and metabolism,Metabolism
P77712,Long-chain acyl-CoA thioesterase tesC OS=Escherichia coli (strain K12) GN=tesC PE=1 SV=1,fadM,R,General function prediction only,Poorly Characterized
P0A8V6,Fatty acid metabolism regulator protein OS=Escherichia coli (strain K12) GN=fadR PE=1 SV=2,fadR,K,Transcription,Information Storage and Processing
P0AB71,Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) GN=fbaA PE=1 SV=2,fbaA,G,Carbohydrate transport and metabolism,Metabolism
P0A991,Fructose-bisphosphate aldolase class 1 OS=Escherichia coli (strain K12) GN=fbaB PE=1 SV=2,fbaB,G,Carbohydrate transport and metabolism,Metabolism
P0A993,"Fructose-1,6-bisphosphatase class 1 OS=Escherichia coli (strain K12) GN=fbp PE=1 SV=1",fbp,G,Carbohydrate transport and metabolism,Metabolism
P32177,Protein FdhD OS=Escherichia coli (strain K12) GN=fdhD PE=3 SV=1,fdhD,C,Energy production and conversion,Metabolism
P13024,Protein FdhE OS=Escherichia coli (strain K12) GN=fdhE PE=3 SV=2,fdhE,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P32176,Formate dehydrogenase-O major subunit OS=Escherichia coli (strain K12) GN=fdoG PE=1 SV=5,fdoG,C,Energy production and conversion,Metabolism
P0AAJ5,Formate dehydrogenase-O iron-sulfur subunit OS=Escherichia coli (strain K12) GN=fdoH PE=1 SV=1,fdoH,C,Energy production and conversion,Metabolism
P0AEL0,"Formate dehydrogenase, cytochrome b556(fdo) subunit OS=Escherichia coli (strain K12) GN=fdoI PE=1 SV=1",fdoI,C,Energy production and conversion,Metabolism
P0A9R4,2Fe-2S ferredoxin OS=Escherichia coli (strain K12) GN=fdx PE=1 SV=2,fdx,C,Energy production and conversion,Metabolism
P80668,Phenylacetaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=feaB PE=1 SV=2,feaB,C,Energy production and conversion,Metabolism
P13036,Fe(3+) dicitrate transport protein fecA OS=Escherichia coli (strain K12) GN=fecA PE=1 SV=2,fecA,P,Inorganic ion transport and metabolism,Metabolism
P0AEL3,Ferrous iron transport protein A OS=Escherichia coli (strain K12) GN=feoA PE=1 SV=1,feoA,P,Inorganic ion transport and metabolism,Metabolism
P33650,Ferrous iron transport protein B OS=Escherichia coli (strain K12) GN=feoB PE=1 SV=1,feoB,P,Inorganic ion transport and metabolism,Metabolism
P05825,Ferrienterobactin receptor OS=Escherichia coli (strain K12) GN=fepA PE=1 SV=2,fepA,P,Inorganic ion transport and metabolism,Metabolism
P0AEL6,Ferrienterobactin-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fepB PE=1 SV=1,fepB,P,Inorganic ion transport and metabolism,Metabolism
P23878,Ferric enterobactin transport ATP-binding protein FepC OS=Escherichia coli (strain K12) GN=fepC PE=3 SV=2,fepC,PH,Inorganic ion transport and metabolism,Metabolism
P13039,Enterochelin esterase OS=Escherichia coli (strain K12) GN=fes PE=1 SV=1,fes,P,Inorganic ion transport and metabolism,Metabolism
P77279,Uncharacterized ABC transporter ATP-binding protein YbbL OS=Escherichia coli (strain K12) GN=ybbL PE=1 SV=1,fetA,R,General function prediction only,Poorly Characterized
P0AGD7,Signal recognition particle protein OS=Escherichia coli (strain K12) GN=ffh PE=1 SV=1,ffh,U,"Intracellular trafficking, secretion, and vesicular transport",Cellular Processes and Signaling
P06971,Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2,fhuA,P,Inorganic ion transport and metabolism,Metabolism
P16869,FhuE receptor OS=Escherichia coli (strain K12) GN=fhuE PE=1 SV=2,fhuE,P,Inorganic ion transport and metabolism,Metabolism
P39405,Ferric iron reductase protein fhuF OS=Escherichia coli (strain K12) GN=fhuF PE=1 SV=1,fhuF,R,General function prediction only,Poorly Characterized
P31697,Chaperone protein fimC OS=Escherichia coli (strain K12) GN=fimC PE=1 SV=3,fimC,NU,Cell motility,Cellular Processes and Signaling
P0A6R3,DNA-binding protein fis OS=Escherichia coli (strain K12) GN=fis PE=1 SV=1,fis,KL,Transcription,Information Storage and Processing
P75780,Catecholate siderophore receptor fiu OS=Escherichia coli (strain K12) GN=fiu PE=1 SV=1,fiu,P,Inorganic ion transport and metabolism,Metabolism
P0A9L3,FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fklB PE=1 SV=2,fklB,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P45523,FKBP-type peptidyl-prolyl cis-trans isomerase fkpA OS=Escherichia coli (strain K12) GN=fkpA PE=1 SV=1,fkpA,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0AEM0,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fkpB PE=1 SV=2,fkpB,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P61949,Flavodoxin-1 OS=Escherichia coli (strain K12) GN=fldA PE=1 SV=2,fldA,C,Energy production and conversion,Metabolism
P0ABY4,Flavodoxin-2 OS=Escherichia coli (strain K12) GN=fldB PE=3 SV=1,fldB,C,Energy production and conversion,Metabolism
P0A6S0,Flagellar L-ring protein OS=Escherichia coli (strain K12) GN=flgH PE=3 SV=1,flgH,N,Cell motility,Cellular Processes and Signaling
P0AEM4,Negative regulator of flagellin synthesis OS=Escherichia coli (strain K12) GN=flgM PE=1 SV=1,flgM,KNU,Transcription,Information Storage and Processing
P0AEM6,RNA polymerase sigma factor for flagellar operon OS=Escherichia coli (strain K12) GN=fliA PE=3 SV=1,fliA,K,Transcription,Information Storage and Processing
P04949,Flagellin OS=Escherichia coli (strain K12) GN=fliC PE=1 SV=2,fliC,N,Cell motility,Cellular Processes and Signaling
P25798,Flagellar M-ring protein OS=Escherichia coli (strain K12) GN=fliF PE=1 SV=3,fliF,NU,Cell motility,Cellular Processes and Signaling
P0ABZ1,Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1,fliG,N,Cell motility,Cellular Processes and Signaling
P52613,Flagellar fliJ protein OS=Escherichia coli (strain K12) GN=fliJ PE=3 SV=2,fliJ,NUO,Cell motility,Cellular Processes and Signaling
P0AEM9,Cystine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fliY PE=1 SV=1,fliY,ET,Amino acid transport and metabolism,Metabolism
P39180,Antigen 43 OS=Escherichia coli (strain K12) GN=flu PE=1 SV=3,flu,MU,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P23882,Methionyl-tRNA formyltransferase OS=Escherichia coli (strain K12) GN=fmt PE=1 SV=4,fmt,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0A9E5,Fumarate and nitrate reduction regulatory protein OS=Escherichia coli (strain K12) GN=fnr PE=1 SV=1,fnr,T,Signal transduction mechanisms,Cellular Processes and Signaling
P0AC23,Probable formate transporter 1 OS=Escherichia coli (strain K12) GN=focA PE=1 SV=1,focA,P,Inorganic ion transport and metabolism,Metabolism
P0ABQ4,Dihydrofolate reductase OS=Escherichia coli (strain K12) GN=folA PE=1 SV=1,folA,H,Coenzyme transport and metabolism,Metabolism
P0AC16,Dihydroneopterin aldolase OS=Escherichia coli (strain K12) GN=folB PE=1 SV=1,folB,H,Coenzyme transport and metabolism,Metabolism
P08192,Bifunctional protein folC OS=Escherichia coli (strain K12) GN=folC PE=1 SV=2,folC,H,Coenzyme transport and metabolism,Metabolism
P24186,Bifunctional protein FolD OS=Escherichia coli (strain K12) GN=folD PE=1 SV=4,folD,H,Coenzyme transport and metabolism,Metabolism
P0A6T5,GTP cyclohydrolase 1 OS=Escherichia coli (strain K12) GN=folE PE=1 SV=2,folE,H,Coenzyme transport and metabolism,Metabolism
P0AFS3,Dihydrofolate reductase folM OS=Escherichia coli (strain K12) GN=folM PE=1 SV=1,folM,IQR,Lipid transport and metabolism,Metabolism
P0AC13,Dihydropteroate synthase OS=Escherichia coli (strain K12) GN=folP PE=1 SV=1,folP,H,Coenzyme transport and metabolism,Metabolism
P0AC19,"D-erythro-7,8-dihydroneopterin triphosphate epimerase OS=Escherichia coli (strain K12) GN=folX PE=1 SV=2",folX,H,Coenzyme transport and metabolism,Metabolism
P28861,Ferredoxin--NADP reductase OS=Escherichia coli (strain K12) GN=fpr PE=1 SV=4,fpr,C,Energy production and conversion,Metabolism
P00363,Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) GN=frdA PE=1 SV=3,frdA,C,Energy production and conversion,Metabolism
P0AC47,Fumarate reductase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=frdB PE=1 SV=2,frdB,C,Energy production and conversion,Metabolism
P0AEN1,NAD(P)H-flavin reductase OS=Escherichia coli (strain K12) GN=fre PE=1 SV=2,fre,HC,Coenzyme transport and metabolism,Metabolism
P45544,HTH-type transcriptional regulator frlR OS=Escherichia coli (strain K12) GN=frlR PE=1 SV=2,frlR,K,Transcription,Information Storage and Processing
P25437,S-(hydroxymethyl)glutathione dehydrogenase OS=Escherichia coli (strain K12) GN=frmA PE=1 SV=3,frmA,C,Energy production and conversion,Metabolism
P0AAP3,Transcriptional repressor frmR OS=Escherichia coli (strain K12) GN=frmR PE=1 SV=1,frmR,S,Function unknown,Poorly Characterized
P0A805,Ribosome-recycling factor OS=Escherichia coli (strain K12) GN=frr PE=1 SV=1,frr,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P04335,Esterase frsA OS=Escherichia coli (strain K12) GN=frsA PE=3 SV=2,frsA,Q,"Secondary metabolites biosynthesis, transport and catabolism",Metabolism
P20966,PTS system fructose-specific EIIBC component OS=Escherichia coli (strain K12) GN=fruA PE=4 SV=1,fruA,G,Carbohydrate transport and metabolism,Metabolism
P69811,Multiphosphoryl transfer protein OS=Escherichia coli (strain K12) GN=fruB PE=1 SV=1,fruB,G,Carbohydrate transport and metabolism,Metabolism
P0AEW9,1-phosphofructokinase OS=Escherichia coli (strain K12) GN=fruK PE=3 SV=1,fruK,G,Carbohydrate transport and metabolism,Metabolism
P78055,Fructose-6-phosphate aldolase 1 OS=Escherichia coli (strain K12) GN=fsaA PE=1 SV=2,fsaA,G,Carbohydrate transport and metabolism,Metabolism
P0A998,Ferritin-1 OS=Escherichia coli (strain K12) GN=ftnA PE=1 SV=1,ftnA,P,Inorganic ion transport and metabolism,Metabolism
P0ABH0,Cell division protein ftsA OS=Escherichia coli (strain K12) GN=ftsA PE=3 SV=1,ftsA,D,"Cell cycle control, cell division, chromosome partitioning",Cellular Processes and Signaling
P0A6S5,Cell division protein ftsB OS=Escherichia coli (strain K12) GN=ftsB PE=1 SV=1,ftsB,D,"Cell cycle control, cell division, chromosome partitioning",Cellular Processes and Signaling
P0A9R7,Cell division ATP-binding protein FtsE OS=Escherichia coli (strain K12) GN=ftsE PE=1 SV=1,ftsE,D,"Cell cycle control, cell division, chromosome partitioning",Cellular Processes and Signaling
P0AAI3,ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1,ftsH,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0AD68,Peptidoglycan synthase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1,ftsI,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P46889,DNA translocase ftsK OS=Escherichia coli (strain K12) GN=ftsK PE=1 SV=2,ftsK,D,"Cell cycle control, cell division, chromosome partitioning",Cellular Processes and Signaling
P0AEN4,Cell division protein ftsL OS=Escherichia coli (strain K12) GN=ftsL PE=3 SV=1,ftsL,D,"Cell cycle control, cell division, chromosome partitioning",Cellular Processes and Signaling
P29131,Cell division protein ftsN OS=Escherichia coli (strain K12) GN=ftsN PE=1 SV=3,ftsN,D,"Cell cycle control, cell division, chromosome partitioning",Cellular Processes and Signaling
P26648,Protein SufI OS=Escherichia coli (strain K12) GN=sufI PE=1 SV=2,ftsP,Q,"Secondary metabolites biosynthesis, transport and catabolism",Metabolism
P0AC30,Cell division protein ftsX OS=Escherichia coli (strain K12) GN=ftsX PE=1 SV=1,ftsX,D,"Cell cycle control, cell division, chromosome partitioning",Cellular Processes and Signaling
P10121,Cell division protein ftsY OS=Escherichia coli (strain K12) GN=ftsY PE=1 SV=1,ftsY,U,"Intracellular trafficking, secretion, and vesicular transport",Cellular Processes and Signaling
P0A9A6,Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1,ftsZ,D,"Cell cycle control, cell division, chromosome partitioning",Cellular Processes and Signaling
P69922,L-fucose isomerase OS=Escherichia coli (strain K12) GN=fucI PE=1 SV=1,fucI,G,Carbohydrate transport and metabolism,Metabolism
P0A9S1,Lactaldehyde reductase OS=Escherichia coli (strain K12) GN=fucO PE=1 SV=1,fucO,C,Energy production and conversion,Metabolism
P0ACK8,L-fucose operon activator OS=Escherichia coli (strain K12) GN=fucR PE=4 SV=1,fucR,KG,Transcription,Information Storage and Processing
P0AEN8,L-fucose mutarotase OS=Escherichia coli (strain K12) GN=fucU PE=1 SV=1,fucU,G,Carbohydrate transport and metabolism,Metabolism
P0AC33,"Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) GN=fumA PE=1 SV=2",fumA,C,Energy production and conversion,Metabolism
P05042,Fumarate hydratase class II OS=Escherichia coli (strain K12) GN=fumC PE=1 SV=1,fumC,C,Energy production and conversion,Metabolism
P0A9A9,Ferric uptake regulation protein OS=Escherichia coli (strain K12) GN=fur PE=1 SV=1,fur,P,Inorganic ion transport and metabolism,Metabolism
P0A6M8,Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2,fusA,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P37147,UPF0716 protein fxsA OS=Escherichia coli (strain K12) GN=fxsA PE=1 SV=2,fxsA,R,General function prediction only,Poorly Characterized
P25526,Succinate-semialdehyde dehydrogenase [NADP+] OS=Escherichia coli (strain K12) GN=gabD PE=1 SV=1,gabD,C,Energy production and conversion,Metabolism
P22256,4-aminobutyrate aminotransferase OS=Escherichia coli (strain K12) GN=gabT PE=1 SV=1,gabT,E,Amino acid transport and metabolism,Metabolism
P69908,Glutamate decarboxylase alpha OS=Escherichia coli (strain K12) GN=gadA PE=1 SV=1,gadA,E,Amino acid transport and metabolism,Metabolism
P69910,Glutamate decarboxylase beta OS=Escherichia coli (strain K12) GN=gadB PE=1 SV=1,gadB,E,Amino acid transport and metabolism,Metabolism
P63235,Probable glutamate/gamma-aminobutyrate antiporter OS=Escherichia coli (strain K12) GN=gadC PE=1 SV=1,gadC,E,Amino acid transport and metabolism,Metabolism
P09147,UDP-glucose 4-epimerase OS=Escherichia coli (strain K12) GN=galE PE=1 SV=1,galE,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P0AAB6,UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galF PE=1 SV=1,galF,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P0A6T3,Galactokinase OS=Escherichia coli (strain K12) GN=galK PE=1 SV=2,galK,G,Carbohydrate transport and metabolism,Metabolism
P0A9C3,Aldose 1-epimerase OS=Escherichia coli (strain K12) GN=galM PE=1 SV=1,galM,G,Carbohydrate transport and metabolism,Metabolism
P25748,HTH-type transcriptional regulator galS OS=Escherichia coli (strain K12) GN=galS PE=1 SV=2,galS,K,Transcription,Information Storage and Processing
