Entry	Status	Protein names	Gene names	Cofactor	Entry name	Gene ontology IDs	Gene ontology (GO)	Gene ontology (biological process)	Mass	Metal binding	Keyword ID	searches
P00954	reviewed	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS b3384 JW3347		SYW_ECOLI	GO:0004830; GO:0005524; GO:0005829; GO:0006436	cytosol [GO:0005829]; ATP binding [GO:0005524]; tryptophan-tRNA ligase activity [GO:0004830]; tryptophanyl-tRNA aminoacylation [GO:0006436]	tryptophanyl-tRNA aminoacylation [GO:0006436]	37,438		KW-0002; KW-0030; KW-0067; KW-0436; KW-0547; KW-0648; KW-0963; KW-1185	P00954
P0A8N5	reviewed	Lysine--tRNA ligase, heat inducible (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysU b4129 JW4090	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420;  Note=Binds 3 Mg(2+) ions per subunit. The third one is coordinated by ATP.;	SYK2_ECOLI	GO:0000049; GO:0000287; GO:0004824; GO:0005524; GO:0005829; GO:0006418; GO:0006430; GO:0016020; GO:0016874	cytosol [GO:0005829]; membrane [GO:0016020]; ATP binding [GO:0005524]; ligase activity [GO:0016874]; lysine-tRNA ligase activity [GO:0004824]; magnesium ion binding [GO:0000287]; tRNA binding [GO:0000049]; lysyl-tRNA aminoacylation [GO:0006430]; tRNA aminoacylation for protein translation [GO:0006418]	lysyl-tRNA aminoacylation [GO:0006430]; tRNA aminoacylation for protein translation [GO:0006418]	57,827	METAL 415;  /note="Magnesium 1"; METAL 422;  /note="Magnesium 1"; METAL 422;  /note="Magnesium 2"	KW-0002; KW-0007; KW-0030; KW-0067; KW-0436; KW-0460; KW-0479; KW-0547; KW-0648; KW-0903; KW-0963; KW-1185	P0A8N5
P00904	reviewed	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]	trpGD trpD b1263 JW1255		TRPGD_ECOLI	GO:0000162; GO:0000287; GO:0002047; GO:0004048; GO:0004049; GO:0006541	anthranilate phosphoribosyltransferase activity [GO:0004048]; anthranilate synthase activity [GO:0004049]; magnesium ion binding [GO:0000287]; glutamine metabolic process [GO:0006541]; phenazine biosynthetic process [GO:0002047]; tryptophan biosynthetic process [GO:0000162]	glutamine metabolic process [GO:0006541]; phenazine biosynthetic process [GO:0002047]; tryptophan biosynthetic process [GO:0000162]	56,870		KW-0021; KW-0028; KW-0057; KW-0315; KW-0328; KW-0456; KW-0511; KW-0808; KW-0822; KW-0903; KW-1185	P00904
P0AG80	reviewed	sn-glycerol-3-phosphate-binding periplasmic protein UgpB	ugpB b3453 JW3418		UGPB_ECOLI	GO:0001407; GO:0015794; GO:0030288	outer membrane-bounded periplasmic space [GO:0030288]; glycerol-3-phosphate transmembrane transport [GO:0015794]; glycerophosphodiester transmembrane transport [GO:0001407]	glycerol-3-phosphate transmembrane transport [GO:0015794]; glycerophosphodiester transmembrane transport [GO:0001407]	48,449		KW-0002; KW-0574; KW-0732; KW-0813; KW-1185	P0AG80
P06986	reviewed	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase) (HPAT) (HspAT)	hisC b2021 JW2003	COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000269|PubMed:11294630, ECO:0000269|PubMed:11518529}; 	HIS8_ECOLI	GO:0000105; GO:0004400; GO:0005829; GO:0030170; GO:0042802	cytosol [GO:0005829]; histidinol-phosphate transaminase activity [GO:0004400]; identical protein binding [GO:0042802]; pyridoxal phosphate binding [GO:0030170]; histidine biosynthetic process [GO:0000105]	histidine biosynthetic process [GO:0000105]	39,360		KW-0002; KW-0028; KW-0032; KW-0368; KW-0663; KW-0808; KW-1185	P06986
P23839	reviewed	UPF0701 protein YicC	yicC b3644 JW3619		YICC_ECOLI	GO:0005829	cytosol [GO:0005829]		33,175		KW-1185	P23839
A0A0G3HUT6	unreviewed	Glutathione ABC transporter substrate-binding protein GsiB (GsiB)	gsiB FAM12_02965 FAM13_02965 FAZ87_07540		A0A0G3HUT6_ECOLI	GO:0043190; GO:0055085	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transport [GO:0055085]	transmembrane transport [GO:0055085]	56,470		KW-0732	D9IX93
P0A9J8	reviewed	Bifunctional chorismate mutase/prephenate dehydratase (Chorismate mutase-prephenate dehydratase) (P-protein) [Includes: Chorismate mutase (CM) (EC 5.4.99.5); Prephenate dehydratase (PDT) (EC 4.2.1.51)]	pheA b2599 JW2580		CMPDT_ECOLI	GO:0004106; GO:0004664; GO:0005737; GO:0006571; GO:0009094; GO:0046417	cytoplasm [GO:0005737]; chorismate mutase activity [GO:0004106]; prephenate dehydratase activity [GO:0004664]; chorismate metabolic process [GO:0046417]; L-phenylalanine biosynthetic process [GO:0009094]; tyrosine biosynthetic process [GO:0006571]	chorismate metabolic process [GO:0046417]; L-phenylalanine biosynthetic process [GO:0009094]; tyrosine biosynthetic process [GO:0006571]	43,111		KW-0002; KW-0028; KW-0057; KW-0413; KW-0456; KW-0511; KW-0584; KW-0963; KW-1185	P0A9J8
P0ACP7	reviewed	HTH-type transcriptional repressor PurR (Pur regulon repressor) (Purine nucleotide synthesis repressor)	purR b1658 JW1650		PURR_ECOLI	GO:0001217; GO:0002057; GO:0003677; GO:0005829; GO:0006164; GO:0045892; GO:1900372	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA-binding transcription repressor activity [GO:0001217]; guanine binding [GO:0002057]; negative regulation of purine nucleotide biosynthetic process [GO:1900372]; negative regulation of transcription, DNA-templated [GO:0045892]; purine nucleotide biosynthetic process [GO:0006164]	negative regulation of purine nucleotide biosynthetic process [GO:1900372]; negative regulation of transcription, DNA-templated [GO:0045892]; purine nucleotide biosynthetic process [GO:0006164]	38,175		KW-0002; KW-0238; KW-0658; KW-0678; KW-0804; KW-0805; KW-0903; KW-1185	P0ACP7
P77211	reviewed	Cation efflux system protein CusC	cusC ibeB ylcB b0572 JW0561		CUSC_ECOLI	GO:0005375; GO:0005507; GO:0005623; GO:0006878; GO:0009279; GO:0010272; GO:0010273; GO:0015288; GO:0015562; GO:0018345; GO:0019992; GO:0046688; GO:0046930; GO:0060003; GO:0070207	cell [GO:0005623]; cell outer membrane [GO:0009279]; pore complex [GO:0046930]; copper ion binding [GO:0005507]; copper ion transmembrane transporter activity [GO:0005375]; diacylglycerol binding [GO:0019992]; efflux transmembrane transporter activity [GO:0015562]; porin activity [GO:0015288]; cellular copper ion homeostasis [GO:0006878]; copper ion export [GO:0060003]; detoxification of copper ion [GO:0010273]; protein homotrimerization [GO:0070207]; protein palmitoylation [GO:0018345]; response to copper ion [GO:0046688]; response to silver ion [GO:0010272]	cellular copper ion homeostasis [GO:0006878]; copper ion export [GO:0060003]; detoxification of copper ion [GO:0010273]; protein homotrimerization [GO:0070207]; protein palmitoylation [GO:0018345]; response to copper ion [GO:0046688]; response to silver ion [GO:0010272]	50,270		KW-0002; KW-0406; KW-0449; KW-0472; KW-0564; KW-0626; KW-0732; KW-0812; KW-0813; KW-0998; KW-1134; KW-1185	P77211
P77674	reviewed	Gamma-aminobutyraldehyde dehydrogenase (ABALDH) (EC 1.2.1.19) (1-pyrroline dehydrogenase) (4-aminobutanal dehydrogenase) (5-aminopentanal dehydrogenase) (EC 1.2.1.-)	patD prr ydcW b1444 JW1439		ABDH_ECOLI	GO:0004029; GO:0005829; GO:0009447; GO:0019145; GO:0033737; GO:0042802; GO:0051287; GO:0051289	cytosol [GO:0005829]; 1-pyrroline dehydrogenase activity [GO:0033737]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; aminobutyraldehyde dehydrogenase activity [GO:0019145]; identical protein binding [GO:0042802]; NAD binding [GO:0051287]; protein homotetramerization [GO:0051289]; putrescine catabolic process [GO:0009447]	protein homotetramerization [GO:0051289]; putrescine catabolic process [GO:0009447]	50,830		KW-0002; KW-0520; KW-0560; KW-1185	P77674
Q46851	reviewed	L-glyceraldehyde 3-phosphate reductase (GAP reductase) (EC 1.1.1.-)	gpr mgrA yghZ b3001 JW2970		GPR_ECOLI	GO:0006974; GO:0016616; GO:0051596	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; cellular response to DNA damage stimulus [GO:0006974]; methylglyoxal catabolic process [GO:0051596]	cellular response to DNA damage stimulus [GO:0006974]; methylglyoxal catabolic process [GO:0051596]	38,832		KW-0002; KW-0560; KW-1185	Q46851
P09147	reviewed	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)	galE galD b0759 JW0742	COFACTOR: Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000269|PubMed:12019271, ECO:0000269|PubMed:8241178, ECO:0000269|PubMed:8611497, ECO:0000269|PubMed:8611559, ECO:0000269|PubMed:8652544, ECO:0000269|PubMed:8931134, ECO:0000269|PubMed:9174344, ECO:0000269|PubMed:9708982}; 	GALE_ECOLI	GO:0003978; GO:0005737; GO:0005829; GO:0005975; GO:0006012; GO:0009242; GO:0016857; GO:0019388; GO:0033499; GO:0042802; GO:0070403	cytoplasm [GO:0005737]; cytosol [GO:0005829]; identical protein binding [GO:0042802]; NAD+ binding [GO:0070403]; racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]; UDP-glucose 4-epimerase activity [GO:0003978]; carbohydrate metabolic process [GO:0005975]; colanic acid biosynthetic process [GO:0009242]; galactose catabolic process [GO:0019388]; galactose catabolic process via UDP-galactose [GO:0033499]; galactose metabolic process [GO:0006012]	carbohydrate metabolic process [GO:0005975]; colanic acid biosynthetic process [GO:0009242]; galactose catabolic process [GO:0019388]; galactose catabolic process via UDP-galactose [GO:0033499]; galactose metabolic process [GO:0006012]	37,265		KW-0002; KW-0119; KW-0299; KW-0413; KW-0520; KW-1185	P09147
P0A6V8	reviewed	Glucokinase (EC 2.7.1.2) (Glucose kinase)	glk b2388 JW2385		GLK_ECOLI	GO:0004340; GO:0005524; GO:0005536; GO:0005829; GO:0006096	cytosol [GO:0005829]; ATP binding [GO:0005524]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]; glycolytic process [GO:0006096]	glycolytic process [GO:0006096]	34,723		KW-0067; KW-0324; KW-0418; KW-0547; KW-0808; KW-0963; KW-1185	P0A6V8
P0A8F8	reviewed	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB b0779 JW0762		UVRB_ECOLI	GO:0003677; GO:0005524; GO:0005737; GO:0006289; GO:0009314; GO:0009380; GO:0009381; GO:0009432; GO:0016887; GO:0042802	cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; identical protein binding [GO:0042802]; nucleotide-excision repair [GO:0006289]; response to radiation [GO:0009314]; SOS response [GO:0009432]	nucleotide-excision repair [GO:0006289]; response to radiation [GO:0009314]; SOS response [GO:0009432]	76,226		KW-0002; KW-0067; KW-0227; KW-0228; KW-0234; KW-0267; KW-0547; KW-0742; KW-0903; KW-0963; KW-1185	P0A8F8
P0A847	reviewed	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt b0406 JW0396	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000255|HAMAP-Rule:MF_00168, ECO:0000269|PubMed:7893665};  Note=Binds 1 zinc ion per subunit. {ECO:0000255|HAMAP-Rule:MF_00168, ECO:0000269|PubMed:7893665};	TGT_ECOLI	GO:0002099; GO:0005829; GO:0008270; GO:0008479; GO:0008616; GO:0101030	cytosol [GO:0005829]; queuine tRNA-ribosyltransferase activity [GO:0008479]; zinc ion binding [GO:0008270]; queuosine biosynthetic process [GO:0008616]; tRNA wobble guanine modification [GO:0002099]; tRNA-guanine transglycosylation [GO:0101030]	queuosine biosynthetic process [GO:0008616]; tRNA-guanine transglycosylation [GO:0101030]; tRNA wobble guanine modification [GO:0002099]	42,594	METAL 302;  /note="Zinc";  /evidence="ECO:0000255|HAMAP-Rule:MF_00168, ECO:0000305|PubMed:7893665"; METAL 304;  /note="Zinc";  /evidence="ECO:0000255|HAMAP-Rule:MF_00168, ECO:0000305|PubMed:7893665"; METAL 307;  /note="Zinc";  /evidence="ECO:0000255|HAMAP-Rule:MF_00168, ECO:0000305|PubMed:7893665"; METAL 333;  /note="Zinc; via pros nitrogen";  /evidence="ECO:0000255|HAMAP-Rule:MF_00168"	KW-0328; KW-0479; KW-0671; KW-0808; KW-0819; KW-0862; KW-0903; KW-1185	P0A847
P0A6T3	reviewed	Galactokinase (EC 2.7.1.6) (Galactose kinase)	galK galA b0757 JW0740		GAL1_ECOLI	GO:0000287; GO:0004335; GO:0005524; GO:0005534; GO:0005737; GO:0005829; GO:0033499	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; galactokinase activity [GO:0004335]; galactose binding [GO:0005534]; magnesium ion binding [GO:0000287]; galactose catabolic process via UDP-galactose [GO:0033499]	galactose catabolic process via UDP-galactose [GO:0033499]	41,442	METAL 130;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_00246"; METAL 162;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_00246"	KW-0067; KW-0119; KW-0299; KW-0418; KW-0460; KW-0479; KW-0547; KW-0808; KW-0903; KW-0963; KW-1185	P0A6T3
P0A8E1	reviewed	UPF0227 protein YcfP	ycfP b1108 JW5158		YCFP_ECOLI	GO:0005829	cytosol [GO:0005829]		21,226		KW-1185	P0A8E1
P76015	reviewed	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK (EC 2.7.1.121)	dhaK ycgT b1200 JW5187		DHAK_ECOLI	GO:0004371; GO:0005829; GO:0006974; GO:0019563; GO:0042182; GO:0042802; GO:0046365; GO:0047324; GO:0061610	cytosol [GO:0005829]; glycerone kinase activity [GO:0004371]; identical protein binding [GO:0042802]; phosphoenolpyruvate-glycerone phosphotransferase activity [GO:0047324]; cellular response to DNA damage stimulus [GO:0006974]; glycerol catabolic process [GO:0019563]; glycerol to glycerone phosphate metabolic process [GO:0061610]; ketone catabolic process [GO:0042182]; monosaccharide catabolic process [GO:0046365]	cellular response to DNA damage stimulus [GO:0006974]; glycerol catabolic process [GO:0019563]; glycerol to glycerone phosphate metabolic process [GO:0061610]; ketone catabolic process [GO:0042182]; monosaccharide catabolic process [GO:0046365]	38,215		KW-0002; KW-0319; KW-0418; KW-0808; KW-1185	P76015
P0ABQ0	reviewed	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC dfp b3639 JW5642	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_02225, ECO:0000269|PubMed:11278255}; ; COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000255|HAMAP-Rule:MF_02225, ECO:0000269|PubMed:10922366, ECO:0000269|PubMed:11278255, ECO:0000269|PubMed:11358972};  Note=Binds 1 FMN per subunit. {ECO:0000255|HAMAP-Rule:MF_02225, ECO:0000269|PubMed:10922366};	COABC_ECOLI	GO:0004632; GO:0004633; GO:0005829; GO:0010181; GO:0015937; GO:0015941; GO:0046872	cytosol [GO:0005829]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	43,438		KW-0002; KW-0210; KW-0285; KW-0288; KW-0436; KW-0456; KW-0460; KW-0479; KW-0511; KW-0903; KW-1185	P0ABQ0
P30011	reviewed	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)	nadC b0109 JW0105		NADC_ECOLI	GO:0004514; GO:0005737; GO:0005829; GO:0009435; GO:0034213; GO:0034628	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; 'de novo' NAD biosynthetic process from aspartate [GO:0034628]; NAD biosynthetic process [GO:0009435]; quinolinate catabolic process [GO:0034213]	'de novo' NAD biosynthetic process from aspartate [GO:0034628]; NAD biosynthetic process [GO:0009435]; quinolinate catabolic process [GO:0034213]	32,762		KW-0328; KW-0662; KW-0808; KW-1185	P30011
P37747	reviewed	UDP-galactopyranose mutase (UGM) (EC 5.4.99.9) (UDP-GALP mutase) (Uridine 5-diphosphate galactopyranose mutase)	glf yefE b2036 JW2021	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000269|PubMed:8576037};  Note=Binds 1 FAD per subunit. {ECO:0000269|PubMed:8576037};	GLF_ECOLI	GO:0005829; GO:0008767; GO:0009103; GO:0050660	cytosol [GO:0005829]; flavin adenine dinucleotide binding [GO:0050660]; UDP-galactopyranose mutase activity [GO:0008767]; lipopolysaccharide biosynthetic process [GO:0009103]	lipopolysaccharide biosynthetic process [GO:0009103]	42,966		KW-0002; KW-0274; KW-0285; KW-0413; KW-0448; KW-0903; KW-1185	P37747
P0A9U3	reviewed	Uncharacterized ABC transporter ATP-binding protein YbiT	ybiT b0820 JW0804		YBIT_ECOLI	GO:0005524; GO:0009409; GO:0016887	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; response to cold [GO:0009409]	response to cold [GO:0009409]	59,858		KW-0067; KW-0547; KW-0677; KW-0813; KW-1185	P0A9U3
P08957	reviewed	Type I restriction enzyme EcoKI M protein (M.EcoKI) (EC 2.1.1.72)	hsdM hsm b4349 JW4312		T1MK_ECOLI	GO:0003677; GO:0005829; GO:0008170; GO:0009007; GO:0009307	cytosol [GO:0005829]; DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]	59,307		KW-0002; KW-0489; KW-0680; KW-0808; KW-0949; KW-1185	P08957
P0ACQ4	reviewed	Hydrogen peroxide-inducible genes activator (Morphology and auto-aggregation control protein)	oxyR momR mor b3961 JW3933		OXYR_ECOLI	GO:0000986; GO:0003700; GO:0005829; GO:0006974; GO:0006979; GO:0051409; GO:2000142	cytosol [GO:0005829]; bacterial-type cis-regulatory region sequence-specific DNA binding [GO:0000986]; DNA-binding transcription factor activity [GO:0003700]; cellular response to DNA damage stimulus [GO:0006974]; regulation of DNA-templated transcription, initiation [GO:2000142]; response to nitrosative stress [GO:0051409]; response to oxidative stress [GO:0006979]	cellular response to DNA damage stimulus [GO:0006974]; regulation of DNA-templated transcription, initiation [GO:2000142]; response to nitrosative stress [GO:0051409]; response to oxidative stress [GO:0006979]	34,276		KW-0002; KW-0010; KW-0238; KW-0318; KW-0558; KW-0702; KW-0804; KW-0805; KW-0903; KW-1015; KW-1185	P0ACQ4
P0A6P5	reviewed	GTPase Der (Double era-like domain protein) (GTP-binding protein EngA)	der engA yfgK b2511 JW5403		DER_ECOLI	GO:0000027; GO:0003924; GO:0005525; GO:0005829; GO:0032794; GO:0043022; GO:0043023; GO:0097216	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTPase activating protein binding [GO:0032794]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022]; ribosomal large subunit assembly [GO:0000027]	ribosomal large subunit assembly [GO:0000027]	55,036		KW-0002; KW-0342; KW-0547; KW-0677; KW-0690; KW-1185	P0A6P5
P76403	reviewed	Uncharacterized protease YegQ (EC 3.4.-.-)	yegQ b2081 JW2066		YEGQ_ECOLI	GO:0005829; GO:0008233	cytosol [GO:0005829]; peptidase activity [GO:0008233]		51,193		KW-0378; KW-0645; KW-1185	P76403
P0AAG8	reviewed	Galactose/methyl galactoside import ATP-binding protein MglA (EC 7.5.2.11)	mglA b2149 JW2136		MGLA_ECOLI	GO:0005354; GO:0005524; GO:0005886; GO:0006974; GO:0015592; GO:0015757; GO:0015765; GO:0016887; GO:0043211	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled carbohydrate transmembrane transporter activity [GO:0043211]; galactose transmembrane transporter activity [GO:0005354]; methylgalactoside transmembrane transporter activity [GO:0015592]; cellular response to DNA damage stimulus [GO:0006974]; galactose transmembrane transport [GO:0015757]; methylgalactoside transport [GO:0015765]	cellular response to DNA damage stimulus [GO:0006974]; galactose transmembrane transport [GO:0015757]; methylgalactoside transport [GO:0015765]	56,415		KW-0067; KW-0472; KW-0547; KW-0677; KW-0762; KW-0813; KW-0997; KW-1003; KW-1185; KW-1278	P0AAG8
P69783	reviewed	PTS system glucose-specific EIIA component (EIIA-Glc) (EIII-Glc) (Glucose-specific phosphotransferase enzyme IIA component)	crr gsr iex tgs treD b2417 JW2410	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000269|PubMed:8170944, ECO:0000269|PubMed:9405042};  Note=Binds 1 zinc ion per glycerol kinase EIIA-Glc dimer. The zinc ion is important for dimerization. {ECO:0000269|PubMed:8170944};	PTGA_ECOLI	GO:0005829; GO:0009401; GO:0016020; GO:0016301; GO:0031234; GO:0045912; GO:0046872	cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; membrane [GO:0016020]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; negative regulation of carbohydrate metabolic process [GO:0045912]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	negative regulation of carbohydrate metabolic process [GO:0045912]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	18,251	METAL 76;  /note="Zinc; shared with glycerol kinase";  /evidence="ECO:0000269|PubMed:2657735, ECO:0000269|PubMed:8170944, ECO:0000269|PubMed:9405042, ECO:0000305|PubMed:1961703"; METAL 91;  /note="Zinc; shared with glycerol kinase";  /evidence="ECO:0000269|PubMed:2657735, ECO:0000269|PubMed:8170944, ECO:0000269|PubMed:9405042, ECO:0000305|PubMed:1961703"	KW-0002; KW-0418; KW-0479; KW-0597; KW-0598; KW-0762; KW-0808; KW-0813; KW-0862; KW-0903; KW-0963; KW-1185	P69783
P0A8G6	reviewed	NAD(P)H dehydrogenase (quinone) (EC 1.6.5.2) (Flavoprotein WrbA) (NAD(P)H:quinone oxidoreductase) (NQO)	wrbA b1004 JW0989	COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000255|HAMAP-Rule:MF_01017, ECO:0000269|PubMed:16672604, ECO:0000269|PubMed:9694845};  Note=Binds 1 FMN per monomer. {ECO:0000255|HAMAP-Rule:MF_01017, ECO:0000269|PubMed:16672604, ECO:0000269|PubMed:9694845};	NQOR_ECOLI	GO:0003955; GO:0005829; GO:0006979; GO:0010181; GO:0016020; GO:0042802; GO:0050660; GO:0050661; GO:0051287; GO:0051289; GO:0055114	cytosol [GO:0005829]; membrane [GO:0016020]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; NAD binding [GO:0051287]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; NADP binding [GO:0050661]; oxidation-reduction process [GO:0055114]; protein homotetramerization [GO:0051289]; response to oxidative stress [GO:0006979]	oxidation-reduction process [GO:0055114]; protein homotetramerization [GO:0051289]; response to oxidative stress [GO:0006979]	20,846		KW-0002; KW-0007; KW-0285; KW-0288; KW-0520; KW-0547; KW-0560; KW-0903; KW-1185	P0A8G6
P0ADE6	reviewed	Potassium binding protein Kbp (K(+) binding protein Kbp)	kbp ygaU yzzM b2665 JW2640		KBP_ECOLI	GO:0005737; GO:0030955; GO:0035864	cytoplasm [GO:0005737]; potassium ion binding [GO:0030955]; response to potassium ion [GO:0035864]	response to potassium ion [GO:0035864]	16,063		KW-0002; KW-0630; KW-0903; KW-0963; KW-1185	P0ADE6
P0A7W7	reviewed	30S ribosomal protein S8 (Small ribosomal subunit protein uS8)	rpsH b3306 JW3268		RS8_ECOLI	GO:0000028; GO:0003735; GO:0005829; GO:0006412; GO:0006417; GO:0019843; GO:0022627; GO:0043488	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; regulation of mRNA stability [GO:0043488]; regulation of translation [GO:0006417]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	regulation of mRNA stability [GO:0043488]; regulation of translation [GO:0006417]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	14,127		KW-0002; KW-0678; KW-0687; KW-0689; KW-0694; KW-0699; KW-0810; KW-0903; KW-1185	P0A7W7
P0A707	reviewed	Translation initiation factor IF-3 [Cleaved into: Translation initiation factor IF-3, N-terminally processed; Translation initiation factor IF-3S]	infC fit srjA b1718 JW5829		IF3_ECOLI	GO:0003743; GO:0005829; GO:0009409; GO:0016020; GO:0032790; GO:0043022	cytosol [GO:0005829]; membrane [GO:0016020]; ribosome binding [GO:0043022]; translation initiation factor activity [GO:0003743]; response to cold [GO:0009409]; ribosome disassembly [GO:0032790]	response to cold [GO:0009409]; ribosome disassembly [GO:0032790]	20,564		KW-0002; KW-0165; KW-0396; KW-0488; KW-0597; KW-0648; KW-0694; KW-0903; KW-0963; KW-1185	P0A707
P45523	reviewed	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA (PPIase) (EC 5.2.1.8) (Rotamase)	fkpA yzzS b3347 JW3309		FKBA_ECOLI	GO:0003755; GO:0030288; GO:0042026	outer membrane-bounded periplasmic space [GO:0030288]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein refolding [GO:0042026]	protein refolding [GO:0042026]	28,882		KW-0002; KW-0413; KW-0574; KW-0697; KW-0732; KW-0903; KW-1185	P45523
P0AAC0	reviewed	Universal stress protein E	uspE ydaA b1333 JW1327		USPE_ECOLI	GO:0005737; GO:0034644; GO:0044010; GO:0070301; GO:0071973	cytoplasm [GO:0005737]; bacterial-type flagellum-dependent cell motility [GO:0071973]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to UV [GO:0034644]; single-species biofilm formation [GO:0044010]	bacterial-type flagellum-dependent cell motility [GO:0071973]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to UV [GO:0034644]; single-species biofilm formation [GO:0044010]	35,707		KW-0002; KW-0903; KW-0963; KW-1185	P0AAC0
