cofactor,cofactor_desc,cog_class,cog_class_letter,cog_desc,desc,gene,uniprot
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S20 ,rpsT,P0A7U7
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S2 ,rpsB,P0A7V0
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S3 ,rpsC,P0A7V3
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S4 ,rpsD,P0A7V8
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S5 ,rpsE,P0A7W1
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S8 ,rpsH,P0A7W7
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S9 ,rpsI,P0A7X3
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosome maturation factor rimM ,rimM,P0A7X6
Mg(2+),"Divalent metal cations, preferably Mg(2+). While only 1 Mg(2+) is detected by crystallography, other evidence indicates there may be more than 1 metal necessary for catalysis. Binding of the second metal my be promoted by substrate binding",Information Storage and Processing,Transcription,Transcription,Ribonuclease 3 ,rnc,P0A7Y0
Mg(2+),"Binds 1 Mg(2+) ion per subunit in the absence of substrate. Requires millimolar levels of Mg(2+) for maximal activity. Has low activity at micromolar concentrations of Mn(2+) and is inhibited at higher Mn(2+) levels. Can bind a second metal ion at a regulatory site, or after substrate binding",Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Ribonuclease HI ,rnhA,P0A7Y4
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribonuclease P protein component ,rnpA,P0A7Y8
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Ribose-5-phosphate isomerase A ,rpiA,P0A7Z0
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,DNA-directed RNA polymerase subunit alpha ,rpoA,P0A7Z4
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,DNA-directed RNA polymerase subunit omega ,rpoZ,P0A800
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosome-recycling factor ,frr,P0A805
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Holliday junction ATP-dependent DNA helicase ruvB ,ruvB,P0A812
Mg(2+),Binds 2 divalent ions per subunit. The ions interact primarily with the substrate,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,S-adenosylmethionine synthase ,metK,P0A817
K(+),Binds 1 potassium ion per subunit. The potassium ion interacts primarily with the substrate,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,S-adenosylmethionine synthase ,metK,P0A817
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Aerobic C4-dicarboxylate transport protein ,dctA,P0A830
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",SsrA-binding protein ,smpB,P0A832
Mg(2+),Binds 1 Mg(2+) ion per subunit,Metabolism,Energy production and conversion,Energy production and conversion,Succinyl-CoA ligase [ADP-forming] subunit beta ,sucC,P0A836
Mn(2+),"Binds 1 divalent metal cation per subunit. Highest nucleotidase activity with Mn(2+), followed by Co(2+), Ni(2+) and Mg(2+). Highest exopolyphosphatase activity with Mg(2+), followed by Co(2+) and Zn(2+)",Poorly Characterized,General function prediction only,General function prediction only,Multifunctional protein surE ,surE,P0A840
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Sec-independent protein translocase protein tatE ,tatE,P0A843
Zn(2+),Binds 1 zinc ion per subunit,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Queuine tRNA-ribosyltransferase ,tgt,P0A847
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Trigger factor ,tig,P0A850
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein tolB ,tolB,P0A855
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Triosephosphate isomerase ,tpiA,P0A858
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Thiol peroxidase ,tpx,P0A862
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Transaldolase A ,talA,P0A867
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Transaldolase B ,talB,P0A870
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",tRNA (guanine-N(1)-)-methyltransferase ,trmD,P0A873
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan synthase alpha chain ,trpA,P0A877
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Trp operon repressor ,trpR,P0A881
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Thymidylate synthase ,thyA,P0A884
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Ubiquinone/menaquinone biosynthesis methyltransferase ubiE ,ubiE,P0A887
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Sulfurtransferase tusA ,tusA,P0A890
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,UPF0042 nucleotide-binding protein yhbJ ,yhbJ,P0A894
Zn(2+),Binds 1 zinc ion,Poorly Characterized,General function prediction only,General function prediction only,Probable rRNA maturation factor YbeY ,ybeY,P0A898
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0082 protein yebC ,yebC,P0A8A0
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0082 protein yeeN ,yeeN,P0A8A2
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Putative phosphotransferase ydiA ,ppsR,P0A8A4
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Ribosome maturation factor rimP ,rimP,P0A8A8
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0115 protein yfcN ,yfcN,P0A8B2
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0133 protein ybaB ,ybaB,P0A8B5
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0145 protein ybjQ ,ybjQ,P0A8C1
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0149 protein ygfB ,ygfB,P0A8C4
Zn(2+),Binds 1 zinc ion,Information Storage and Processing,Transcription,Transcription,Transcriptional repressor NrdR ,nrdR,P0A8D0
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0178 protein yaiI ,yaiI,P0A8D3
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,UPF0189 protein ymdB ,ymdB,P0A8D6
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,UPF0227 protein ycfP ,ycfP,P0A8E1
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0234 protein yajQ ,yajQ,P0A8E7
Mg(2+),Binds 1 Mg(2+) ion per subunit. The magnesium is bound as Mg-PRP,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Uracil phosphoribosyltransferase ,upp,P0A8F0
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Uridine kinase ,udk,P0A8F4
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein B ,uvrB,P0A8F8
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein C ,uvrC,P0A8G0
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Uronate isomerase ,uxaC,P0A8G3
FMN,Binds 1 FMN per monomer,Poorly Characterized,General function prediction only,General function prediction only,Flavoprotein wrbA ,wrbA,P0A8G6
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Exodeoxyribonuclease 7 small subunit ,xseB,P0A8G9
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Der GTPase-activating protein YihI ,yihI,P0A8H6
Zn(2+),Binds 1 zinc io,Poorly Characterized,Function unknown,Function unknown,UPF0243 zinc-binding protein yacG ,yacG,P0A8H8
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Putative Holliday junction resolvase ,yqgF,P0A8I1
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0246 protein yaaA ,yaaA,P0A8I3
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,tRNA (guanine-N(7)-)-methyltransferase ,trmB,P0A8I5
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Ribosomal RNA large subunit methyltransferase H ,rlmH,P0A8I8
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Primosomal protein 1 ,dnaT,P0A8J2
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0250 protein ybeD ,ybeD,P0A8J4
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",ATP-dependent RNA helicase rhlB ,rhlB,P0A8J8
pyruvate,Binds 1 pyruvoyl group covalently per subunit,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Phosphatidylserine decarboxylase proenzyme ,psd,P0A8K1
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,UPF0253 protein yaeP ,yaeP,P0A8K5
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Seryl-tRNA synthetase ,serS,P0A8L1
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Asparaginyl-tRNA synthetase ,asnS,P0A8M0
Zn(2+),"Binds 1 zinc ion per subunit. It helps recognize and select the amino acid substrate, and thus has neither a purely catalytic or structural role (PubMed:10881191)",Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Threonyl-tRNA synthetase ,thrS,P0A8M3
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0265 protein yeeX ,yeeX,P0A8M6
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0268 protein ycbG ,matP,P0A8N0
Mg(2+),Binds 3 Mg(2+) ions per subunit,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Lysyl-tRNA synthetase ,lysS,P0A8N3
Mg(2+),Binds 3 Mg(2+) ions per subunit. The third one is coordinated by AT,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis","Lysyl-tRNA synthetase, heat inducible ",lysU,P0A8N5
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Probable Fe(2+)-trafficking protein ,yggX,P0A8P3
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerC ,xerC,P0A8P6
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerD ,xerD,P0A8P8
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Regulator of ribonuclease activity A ,rraA,P0A8R0
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Protein slyX ,slyX,P0A8R4
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0283 membrane protein ycjF ,ycjF,P0A8R7
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Chromosome initiation inhibitor ,iciA,P0A8S1
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosomal protein L11 methyltransferase ,prmA,P0A8T1
Mg(2+),Binds 1 Mg(2+) ion per subunit,Information Storage and Processing,Transcription,Transcription,DNA-directed RNA polymerase subunit beta' ,rpoC,P0A8T7
Zn(2+),Binds 2 Zn(2+) ions per subunit,Information Storage and Processing,Transcription,Transcription,DNA-directed RNA polymerase subunit beta' ,rpoC,P0A8T7
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Protein syd ,syd,P0A8U0
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Met repressor ,metJ,P0A8U6
Zn(2+),Binds 2 Zn(2+) ions,Poorly Characterized,Function unknown,Function unknown,Ribonuclease Z ,rbn,P0A8V0
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,DNA-directed RNA polymerase subunit beta ,rpoB,P0A8V2
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Fatty acid metabolism regulator protein ,fadR,P0A8V6
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Transcriptional regulator nanR ,nanR,P0A8W0
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Transcriptional regulator slyA ,slyA,P0A8W2
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,UPF0301 protein yqgE ,yqgE,P0A8W5
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0304 protein yfbU ,yfbU,P0A8W8
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0307 protein yjgA ,yjgA,P0A8X0
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Protein yceI ,yceI,P0A8X2
Mn(2+),Divalent metal cation. Highest activity with Mn(2+) followed by Mg(2+) and Co(2+),Poorly Characterized,General function prediction only,General function prediction only,Pyrimidine 5'-nucleotidase YjjG ,yjjG,P0A8Y1
Mg(2+),"Magnesium. Can also use other divalent metal cations such as manganese, cobalt or zinc",Poorly Characterized,General function prediction only,General function prediction only,Phosphatase yihX ,yihX,P0A8Y3
Mg(2+),"Magnesium. Can also use other divalent metal cations as manganese, cobalt or zinc",Poorly Characterized,General function prediction only,General function prediction only,Phosphatase YidA ,yidA,P0A8Y5
None,No known associated cofactor,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism",Esterase YbdB ,entH,P0A8Y8
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Acyl-CoA thioester hydrolase YciA ,yciA,P0A8Z0
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Esterase yqiA ,yqiA,P0A8Z7
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane lipoprotein blc ,blc,P0A901
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Lipoprotein 34 ,bamC,P0A903
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane lipoprotein slyB ,slyB,P0A905
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,MltA-interacting protein ,mipA,P0A908
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein A ,ompA,P0A910
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Peptidoglycan-associated lipoprotein ,pal,P0A912
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein W ,ompW,P0A915
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein X ,ompX,P0A917
Ca(2+),"Binds 1 Ca(2+) ion per monomer. In the dimeric form the Ca(2+) is bound by different amino acids with binding of each Ca(2+) shared with ligands coming from each monomer (Arg-167 and Ser-172 from 1 monomer, Ser-126 of the other). The Ca(2+) ion may have a role in catalysis",Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Phospholipase A1 ,pldA,P0A921
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Nucleoside-specific channel-forming protein tsx ,tsx,P0A927
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Membrane-bound lytic murein transglycosylase A ,mltA,P0A935
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Small protein A ,bamE,P0A937
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein assembly factor yaeT ,bamA,P0A940
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Ribosomal-protein-alanine acetyltransferase ,rimI,P0A944
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Spermidine N(1)-acetyltransferase ,speG,P0A951
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,3-oxoacyl-[acyl-carrier-protein] synthase 1 ,fabB,P0A953
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,KHG/KDPG aldolase ,eda,P0A955
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,L-asparaginase 1 ,ansA,P0A962
None,No known associated cofactor,Cellular Processes and Signaling,Cell motility,Cell motility,Chemotaxis protein CheW ,cheW,P0A964
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Cold shock-like protein CspD ,cspD,P0A968
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Cold shock-like protein CspE ,cspE,P0A972
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase III subunit beta ,dnaN,P0A988
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Fructose-bisphosphate aldolase class 1 ,fbaB,P0A991
Mg(2+),Binds 2 magnesium ions per subunit,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"Fructose-1,6-bisphosphatase class 1 ",fbp,P0A993
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Anaerobic glycerol-3-phosphate dehydrogenase subunit C ,glpC,P0A996
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferritin-1 ,ftnA,P0A998
None,No known associated cofactor,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Cell division protein ftsZ ,ftsZ,P0A9A6
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferric uptake regulation protein ,fur,P0A9A9
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glyceraldehyde-3-phosphate dehydrogenase A ,gapA,P0A9B2
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,D-erythrose-4-phosphate dehydrogenase ,epd,P0A9B6
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Aldose 1-epimerase ,galM,P0A9C3
Mg(2+),Binds 2 Mg(2+) ions per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Glutamine synthetase ,glnA,P0A9C5
Mn(2+),"Manganese. Mg(2+), Co(2+), Ni(2+), Ca(2+), Cu(2+) and Zn(2+) cannot support activity",Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"Fructose-1,6-bisphosphatase 1 class 2 ",glpX,P0A9C9
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Glutathione S-transferase ,gstA,P0A9D2
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Serine acetyltransferase ,cysE,P0A9D4
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase ",dapD,P0A9D8
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster per subuni,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Fumarate and nitrate reduction regulatory protein ,fnr,P0A9E5
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Transcriptional regulator mntR ,mntR,P0A9F1
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator CysB ,cysB,P0A9F3
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Glycine cleavage system transcriptional activator ,gcvA,P0A9F6
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator metR ,metR,P0A9F9
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator CueR ,cueR,P0A9G4
Mg(2+),Divalent metal cations. Can also use Mn(2+) ion,Metabolism,Energy production and conversion,Energy production and conversion,Isocitrate lyase ,aceA,P0A9G6
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Transcriptional regulator modE ,modE,P0A9G8
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",G/U mismatch-specific DNA glycosylase ,mug,P0A9H1
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,"Cob(I)yrinic acid a,c-diamide adenosyltransferase ",btuR,P0A9H5
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cyclopropane-fatty-acyl-phospholipid synthase ,cfa,P0A9H7
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Glycine cleavage system transcriptional repressor ,gcvR,P0A9I3
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Nitrite reductase [NAD(P)H] small subunit ,nirD,P0A9I8
Mg(2+),Binds 1 Mg(2+) ion per subunit,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribonuclease G ,rng,P0A9J0
Mg(2+),"Requires a divalent cation, most likely magnesium in vivo, as an electrophilic catalyst to aid phosphoryl group transfer. It is the chelate of the metal and the nucleotide that is the actual substrate (Probable). Also active with manganase (PubMed:16784868)",Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Ribokinase ,rbsK,P0A9J6
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,P-protein ,pheA,P0A9J8
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,PhoH-like protein ,ybeZ,P0A9K3
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Phosphate transport system protein phoU ,phoU,P0A9K7
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",FKBP-type peptidyl-prolyl cis-trans isomerase slyD ,slyD,P0A9K9
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase ,fklB,P0A9L3
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Peptidyl-prolyl cis-trans isomerase C ,ppiC,P0A9L5
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Pyrroline-5-carboxylate reductase ,proC,P0A9L8
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Lon protease ,lon,P0A9M0
Mg(2+),Binds 2 magnesium ions per subunit. The magnesium ions are essentially bound to the substrate and have few direct interactions with the protein,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Hypoxanthine phosphoribosyltransferase ,hpt,P0A9M2
Mg(2+),Binds 1 Mg(2+) ion per subunit,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Xanthine phosphoribosyltransferase ,gpt,P0A9M5
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Phosphate acetyltransferase ,pta,P0A9M8
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Pyruvate formate-lyase 1-activating enzyme ,pflA,P0A9N4
FAD,Binds 1 FAD per subunit,Not Assigned,Not Assigned,Not Assigned,Dihydrolipoyl dehydrogenase ,lpdA,P0A9P0
FAD,Binds 1 FAD per subunit,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Thioredoxin reductase ,trxB,P0A9P4
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Cold-shock DEAD box protein A ,deaD,P0A9P6
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Aerobic respiration control protein ArcA ,arcA,P0A9Q1
Zn(2+),Binds 1 zinc ion per subunit. The zinc is involved in both translation regulation via mRNA-binding and catalysis,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta ,accD,P0A9Q5
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aspartate-semialdehyde dehydrogenase ,asd,P0A9Q9
[2Fe-2S] cluster,Binds 1 [2Fe-2S] cluste,Metabolism,Energy production and conversion,Energy production and conversion,2Fe-2S ferredoxin ,fdx,P0A9R4
None,No known associated cofactor,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Cell division ATP-binding protein FtsE ,ftsE,P0A9R7
Zn(2+),Binds 2 Zn(2+) ions per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Galactitol-1-phosphate 5-dehydrogenase ,gatD,P0A9S3
Zn(2+),Binds 1 zinc ion per subunit,Metabolism,Energy production and conversion,Energy production and conversion,Glycerol dehydrogenase ,gldA,P0A9S5
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,High-affinity branched-chain amino acid transport ATP-binding protein LivG ,livG,P0A9S7
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,D-3-phosphoglycerate dehydrogenase ,serA,P0A9T0
