cog_class,cog_desc,cog_letter,desc,gene,go_number,pathway,uniprot
Nucleotide transport and metabolism,METABOLISM,F,Orotate phosphoribosyltransferase,pyrE,44205.0,'de novo' UMP biosynthetic process,P0A7E3
Nucleotide transport and metabolism,METABOLISM,F,Orotate phosphoribosyltransferase,pyrE,6221.0,pyrimidine nucleotide biosynthetic process,P0A7E3
Nucleotide transport and metabolism,METABOLISM,F,Orotate phosphoribosyltransferase,pyrE,46132.0,pyrimidine ribonucleoside biosynthetic process,P0A7E3
Nucleotide transport and metabolism,METABOLISM,F,CTP synthase,pyrG,44210.0,'de novo' CTP biosynthetic process,P0A7E5
Nucleotide transport and metabolism,METABOLISM,F,CTP synthase,pyrG,6241.0,CTP biosynthetic process,P0A7E5
Nucleotide transport and metabolism,METABOLISM,F,CTP synthase,pyrG,6541.0,glutamine metabolic process,P0A7E5
Nucleotide transport and metabolism,METABOLISM,F,CTP synthase,pyrG,51289.0,protein homotetramerization,P0A7E5
Nucleotide transport and metabolism,METABOLISM,F,CTP synthase,pyrG,19856.0,pyrimidine nucleobase biosynthetic process,P0A7E5
Nucleotide transport and metabolism,METABOLISM,F,Uridylate kinase,pyrH,44210.0,'de novo' CTP biosynthetic process,P0A7E9
Nucleotide transport and metabolism,METABOLISM,F,Uridylate kinase,pyrH,6221.0,pyrimidine nucleotide biosynthetic process,P0A7E9
Nucleotide transport and metabolism,METABOLISM,F,Uridylate kinase,pyrH,6225.0,UDP biosynthetic process,P0A7E9
Nucleotide transport and metabolism,METABOLISM,F,Aspartate carbamoyltransferase regulatory chain,pyrI,6207.0,'de novo' pyrimidine nucleobase biosynthetic process,P0A7F3
Nucleotide transport and metabolism,METABOLISM,F,Aspartate carbamoyltransferase regulatory chain,pyrI,6221.0,pyrimidine nucleotide biosynthetic process,P0A7F3
Amino acid transport and metabolism,METABOLISM,E,S-adenosylmethionine decarboxylase proenzyme,speD,6557.0,S-adenosylmethioninamine biosynthetic process,P0A7F6
Amino acid transport and metabolism,METABOLISM,E,S-adenosylmethionine decarboxylase proenzyme,speD,8295.0,spermidine biosynthetic process,P0A7F6
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,queA,8616.0,queuosine biosynthetic process,P0A7F9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,queA,9314.0,response to radiation,P0A7F9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,queA,2099.0,tRNA wobble guanine modification,P0A7F9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Ribosome-binding factor A,rbfA,6974.0,cellular response to DNA damage stimulus,P0A7G2
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Ribosome-binding factor A,rbfA,30490.0,maturation of SSU-rRNA,P0A7G2
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Ribosome-binding factor A,rbfA,9409.0,response to cold,P0A7G2
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Ribosome-binding factor A,rbfA,42254.0,ribosome biogenesis,P0A7G2
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Protein recA,recA,48870.0,cell motility,P0A7G6
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Protein recA,recA,6974.0,cellular response to DNA damage stimulus,P0A7G6
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Protein recA,recA,6310.0,DNA recombination,P0A7G6
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Protein recA,recA,6281.0,DNA repair,P0A7G6
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Protein recA,recA,10212.0,response to ionizing radiation,P0A7G6
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Protein recA,recA,9314.0,response to radiation,P0A7G6
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Protein recA,recA,9432.0,SOS response,P0A7G6
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA replication and repair protein recF,recF,6260.0,DNA replication,P0A7H0
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA replication and repair protein recF,recF,731.0,DNA synthesis involved in DNA repair,P0A7H0
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA replication and repair protein recF,recF,6302.0,double-strand break repair,P0A7H0
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA replication and repair protein recF,recF,9314.0,response to radiation,P0A7H0
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA replication and repair protein recF,recF,9411.0,response to UV,P0A7H0
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA replication and repair protein recF,recF,9432.0,SOS response,P0A7H0
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Recombination protein recR,recR,6310.0,DNA recombination,P0A7H6
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Recombination protein recR,recR,731.0,DNA synthesis involved in DNA repair,P0A7H6
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Recombination protein recR,recR,9314.0,response to radiation,P0A7H6
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Recombination protein recR,recR,9411.0,response to UV,P0A7H6
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Peptide chain release factor 1,prfA,6415.0,translational termination,P0A7I0
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Peptide chain release factor 3,prfC,6449.0,regulation of translational termination,P0A7I4
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Peptide chain release factor 3,prfC,6415.0,translational termination,P0A7I4
Coenzyme transport and metabolism,METABOLISM,H,GTP cyclohydrolase-2,ribA,9231.0,riboflavin biosynthetic process,P0A7I7
Coenzyme transport and metabolism,METABOLISM,H,"3,4-dihydroxy-2-butanone 4-phosphate synthase",ribB,9231.0,riboflavin biosynthetic process,P0A7J0
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L10,rplJ,17148.0,negative regulation of translation,P0A7J3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L10,rplJ,42254.0,ribosome biogenesis,P0A7J3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L10,rplJ,6412.0,translation,P0A7J3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L11,rplK,27.0,ribosomal large subunit assembly,P0A7J7
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L11,rplK,15968.0,stringent response,P0A7J7
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L11,rplK,6412.0,translation,P0A7J7
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L11,rplK,6415.0,translational termination,P0A7J7
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L7/L12,rplL,6412.0,translation,P0A7K2
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L19,rplS,27.0,ribosomal large subunit assembly,P0A7K6
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L19,rplS,6412.0,translation,P0A7K6
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L1,rplA,470.0,maturation of LSU-rRNA,P0A7L0
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L1,rplA,45947.0,negative regulation of translational initiation,P0A7L0
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L1,rplA,27.0,ribosomal large subunit assembly,P0A7L0
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L1,rplA,6412.0,translation,P0A7L0
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L20,rplT,27.0,ribosomal large subunit assembly,P0A7L3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L20,rplT,6412.0,translation,P0A7L3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L27,rpmA,1902626.0,assembly of large subunit precursor of preribosome,P0A7L8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L27,rpmA,42256.0,mature ribosome assembly,P0A7L8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L27,rpmA,90070.0,positive regulation of ribosome biogenesis,P0A7L8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L27,rpmA,1558.0,regulation of cell growth,P0A7L8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L27,rpmA,27.0,ribosomal large subunit assembly,P0A7L8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L27,rpmA,6412.0,translation,P0A7L8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L28,rpmB,27.0,ribosomal large subunit assembly,P0A7M2
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L28,rpmB,6412.0,translation,P0A7M2
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L29,rpmC,27.0,ribosomal large subunit assembly,P0A7M6
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L29,rpmC,6412.0,translation,P0A7M6
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L31,rpmE,6412.0,translation,P0A7M9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L31,rpmE,6413.0,translational initiation,P0A7M9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L31 type B,rpmE,34224.0,cellular response to zinc ion starvation,P0A7N1
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L31 type B,rpmE,6412.0,translation,P0A7N1
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L32,rpmF,9314.0,response to radiation,P0A7N4
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L32,rpmF,302.0,response to reactive oxygen species,P0A7N4
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L32,rpmF,27.0,ribosomal large subunit assembly,P0A7N4
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L32,rpmF,6412.0,translation,P0A7N4
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L33,rpmG,46677.0,response to antibiotic,P0A7N9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L33,rpmG,27.0,ribosomal large subunit assembly,P0A7N9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L33,rpmG,6412.0,translation,P0A7N9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L34,rpmH,6412.0,translation,P0A7P5
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L35,rpmI,6412.0,translation,P0A7Q1
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L36,rpmJ,6412.0,translation,P0A7Q6
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L9,rplI,6412.0,translation,P0A7R1
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S10,rpsJ,31564.0,transcription antitermination,P0A7R5
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S10,rpsJ,6412.0,translation,P0A7R5
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S11,rpsK,462.0,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",P0A7R9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S11,rpsK,28.0,ribosomal small subunit assembly,P0A7R9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S11,rpsK,6412.0,translation,P0A7R9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S12,rpsL,372.0,Group I intron splicing,P0A7S3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S12,rpsL,1990145.0,maintenance of translational fidelity,P0A7S3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S12,rpsL,33120.0,positive regulation of RNA splicing,P0A7S3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S12,rpsL,46677.0,response to antibiotic,P0A7S3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S12,rpsL,34337.0,RNA folding,P0A7S3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S12,rpsL,6412.0,translation,P0A7S3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S13,rpsM,6412.0,translation,P0A7S9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S16,rpsP,28.0,ribosomal small subunit assembly,P0A7T3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S16,rpsP,6412.0,translation,P0A7T3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S18,rpsR,6412.0,translation,P0A7T7
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S19,rpsS,28.0,ribosomal small subunit assembly,P0A7U3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S19,rpsS,6412.0,translation,P0A7U3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S20,rpsT,28.0,ribosomal small subunit assembly,P0A7U7
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S20,rpsT,6412.0,translation,P0A7U7
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S2,rpsB,28.0,ribosomal small subunit assembly,P0A7V0
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S2,rpsB,6412.0,translation,P0A7V0
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S3,rpsC,28.0,ribosomal small subunit assembly,P0A7V3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S3,rpsC,6412.0,translation,P0A7V3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S4,rpsD,6353.0,"DNA-templated transcription, termination",P0A7V8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S4,rpsD,1990145.0,maintenance of translational fidelity,P0A7V8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S4,rpsD,45947.0,negative regulation of translational initiation,P0A7V8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S4,rpsD,45903.0,positive regulation of translational fidelity,P0A7V8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S4,rpsD,46677.0,response to antibiotic,P0A7V8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S4,rpsD,28.0,ribosomal small subunit assembly,P0A7V8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S4,rpsD,31564.0,transcription antitermination,P0A7V8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S5,rpsE,1990145.0,maintenance of translational fidelity,P0A7W1
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S5,rpsE,46677.0,response to antibiotic,P0A7W1
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S5,rpsE,28.0,ribosomal small subunit assembly,P0A7W1
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S8,rpsH,43488.0,regulation of mRNA stability,P0A7W7
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S8,rpsH,6417.0,regulation of translation,P0A7W7
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S8,rpsH,28.0,ribosomal small subunit assembly,P0A7W7
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S8,rpsH,6412.0,translation,P0A7W7
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S9,rpsI,6412.0,translation,P0A7X3
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Ribosome maturation factor rimM,rimM,30490.0,maturation of SSU-rRNA,P0A7X6
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Ribosome maturation factor rimM,rimM,28.0,ribosomal small subunit assembly,P0A7X6
Transcription,INFORMATION STORAGE AND PROCESSING,K,Ribonuclease 3,rnc,6397.0,mRNA processing,P0A7Y0
Transcription,INFORMATION STORAGE AND PROCESSING,K,Ribonuclease 3,rnc,6396.0,RNA processing,P0A7Y0
Transcription,INFORMATION STORAGE AND PROCESSING,K,Ribonuclease 3,rnc,16075.0,rRNA catabolic process,P0A7Y0
Transcription,INFORMATION STORAGE AND PROCESSING,K,Ribonuclease 3,rnc,6364.0,rRNA processing,P0A7Y0
Transcription,INFORMATION STORAGE AND PROCESSING,K,Ribonuclease 3,rnc,8033.0,tRNA processing,P0A7Y0
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Ribonuclease HI,rnhA,43137.0,"DNA replication, removal of RNA primer",P0A7Y4
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Ribonuclease HI,rnhA,90502.0,"RNA phosphodiester bond hydrolysis, endonucleolytic",P0A7Y4
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Ribonuclease P protein component,rnpA,6396.0,RNA processing,P0A7Y8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Ribonuclease P protein component,rnpA,34414.0,"tRNA 3'-trailer cleavage, endonucleolytic",P0A7Y8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Ribonuclease P protein component,rnpA,1682.0,tRNA 5'-leader removal,P0A7Y8
Carbohydrate transport and metabolism,METABOLISM,G,Ribose-5-phosphate isomerase A,rpiA,6014.0,D-ribose metabolic process,P0A7Z0
Carbohydrate transport and metabolism,METABOLISM,G,Ribose-5-phosphate isomerase A,rpiA,9052.0,"pentose-phosphate shunt, non-oxidative branch",P0A7Z0
Transcription,INFORMATION STORAGE AND PROCESSING,K,DNA-directed RNA polymerase subunit alpha,rpoA,6351.0,"transcription, DNA-templated",P0A7Z4
Transcription,INFORMATION STORAGE AND PROCESSING,K,DNA-directed RNA polymerase subunit omega,rpoZ,65003.0,protein-containing complex assembly,P0A800
Transcription,INFORMATION STORAGE AND PROCESSING,K,DNA-directed RNA polymerase subunit omega,rpoZ,6351.0,"transcription, DNA-templated",P0A800
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Ribosome-recycling factor,frr,2184.0,cytoplasmic translational termination,P0A805
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Ribosome-recycling factor,frr,6412.0,translation,P0A805
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Holliday junction ATP-dependent DNA helicase ruvA,ruvA,51289.0,protein homotetramerization,P0A809
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Holliday junction ATP-dependent DNA helicase ruvA,ruvA,725.0,recombinational repair,P0A809
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Holliday junction ATP-dependent DNA helicase ruvA,ruvA,9314.0,response to radiation,P0A809
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Holliday junction ATP-dependent DNA helicase ruvA,ruvA,9432.0,SOS response,P0A809
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Holliday junction ATP-dependent DNA helicase ruvB,ruvB,725.0,recombinational repair,P0A812
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Holliday junction ATP-dependent DNA helicase ruvB,ruvB,9411.0,response to UV,P0A812
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Holliday junction ATP-dependent DNA helicase ruvB,ruvB,9432.0,SOS response,P0A812
Coenzyme transport and metabolism,METABOLISM,H,S-adenosylmethionine synthase,metK,6730.0,one-carbon metabolic process,P0A817
Coenzyme transport and metabolism,METABOLISM,H,S-adenosylmethionine synthase,metK,6556.0,S-adenosylmethionine biosynthetic process,P0A817
Coenzyme transport and metabolism,METABOLISM,H,S-adenosylmethionine synthase,metK,33353.0,S-adenosylmethionine cycle,P0A817
Amino acid transport and metabolism,METABOLISM,E,L-seryl-tRNA(Sec) selenium transferase,selA,16260.0,selenocysteine biosynthetic process,P0A821
Amino acid transport and metabolism,METABOLISM,E,L-seryl-tRNA(Sec) selenium transferase,selA,1514.0,selenocysteine incorporation,P0A821
Amino acid transport and metabolism,METABOLISM,E,L-seryl-tRNA(Sec) selenium transferase,selA,97056.0,selenocysteinyl-tRNA(Sec) biosynthetic process,P0A821
General function prediction only,POORLY CHARACTERIZED,R,Sugar fermentation stimulation protein A,sfsA,45893.0,"positive regulation of transcription, DNA-templated",P0A823
Amino acid transport and metabolism,METABOLISM,E,Serine hydroxymethyltransferase,glyA,1904482.0,cellular response to tetrahydrofolate,P0A825
Amino acid transport and metabolism,METABOLISM,E,Serine hydroxymethyltransferase,glyA,46655.0,folic acid metabolic process,P0A825
Amino acid transport and metabolism,METABOLISM,E,Serine hydroxymethyltransferase,glyA,19264.0,glycine biosynthetic process from serine,P0A825
Amino acid transport and metabolism,METABOLISM,E,Serine hydroxymethyltransferase,glyA,6546.0,glycine catabolic process,P0A825
Amino acid transport and metabolism,METABOLISM,E,Serine hydroxymethyltransferase,glyA,6544.0,glycine metabolic process,P0A825
Amino acid transport and metabolism,METABOLISM,E,Serine hydroxymethyltransferase,glyA,6565.0,L-serine catabolic process,P0A825
Amino acid transport and metabolism,METABOLISM,E,Serine hydroxymethyltransferase,glyA,6730.0,one-carbon metabolic process,P0A825
Amino acid transport and metabolism,METABOLISM,E,Serine hydroxymethyltransferase,glyA,35999.0,tetrahydrofolate interconversion,P0A825
Amino acid transport and metabolism,METABOLISM,E,Serine hydroxymethyltransferase,glyA,46653.0,tetrahydrofolate metabolic process,P0A825
Energy production and conversion,METABOLISM,C,Aerobic C4-dicarboxylate transport protein,dctA,6974.0,cellular response to DNA damage stimulus,P0A830
Energy production and conversion,METABOLISM,C,Aerobic C4-dicarboxylate transport protein,dctA,15741.0,fumarate transport,P0A830
Energy production and conversion,METABOLISM,C,Aerobic C4-dicarboxylate transport protein,dctA,70778.0,L-aspartate transmembrane transport,P0A830
"Posttranslational modification, protein turnover, chaperones",CELLULAR PROCESSES AND SIGNALING,O,SsrA-binding protein,smpB,70929.0,trans-translation,P0A832
"Posttranslational modification, protein turnover, chaperones",CELLULAR PROCESSES AND SIGNALING,O,SsrA-binding protein,smpB,70930.0,trans-translation-dependent protein tagging,P0A832
Energy production and conversion,METABOLISM,C,Succinyl-CoA ligase [ADP-forming] subunit beta,sucC,6104.0,succinyl-CoA metabolic process,P0A836
Energy production and conversion,METABOLISM,C,Succinyl-CoA ligase [ADP-forming] subunit beta,sucC,6099.0,tricarboxylic acid cycle,P0A836
General function prediction only,POORLY CHARACTERIZED,R,Multifunctional protein surE,surE,46050.0,UMP catabolic process,P0A840
,,-,Sec-independent protein translocase protein tatE,tatE,43953.0,protein transport by the Tat complex,P0A843
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Queuine tRNA-ribosyltransferase,tgt,8616.0,queuosine biosynthetic process,P0A847
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Queuine tRNA-ribosyltransferase,tgt,101030.0,tRNA-guanine transglycosylation,P0A847
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Queuine tRNA-ribosyltransferase,tgt,2099.0,tRNA wobble guanine modification,P0A847
"Posttranslational modification, protein turnover, chaperones",CELLULAR PROCESSES AND SIGNALING,O,Trigger factor,tig,51083.0,'de novo' cotranslational protein folding,P0A850
"Posttranslational modification, protein turnover, chaperones",CELLULAR PROCESSES AND SIGNALING,O,Trigger factor,tig,7049.0,cell cycle,P0A850
"Posttranslational modification, protein turnover, chaperones",CELLULAR PROCESSES AND SIGNALING,O,Trigger factor,tig,51301.0,cell division,P0A850
"Posttranslational modification, protein turnover, chaperones",CELLULAR PROCESSES AND SIGNALING,O,Trigger factor,tig,61077.0,chaperone-mediated protein folding,P0A850
"Posttranslational modification, protein turnover, chaperones",CELLULAR PROCESSES AND SIGNALING,O,Trigger factor,tig,15031.0,protein transport,P0A850
"Posttranslational modification, protein turnover, chaperones",CELLULAR PROCESSES AND SIGNALING,O,Trigger factor,tig,43335.0,protein unfolding,P0A850
"Posttranslational modification, protein turnover, chaperones",CELLULAR PROCESSES AND SIGNALING,O,Trigger factor,tig,9408.0,response to heat,P0A850
Amino acid transport and metabolism,METABOLISM,E,Tryptophanase,tnaA,51289.0,protein homotetramerization,P0A853
Amino acid transport and metabolism,METABOLISM,E,Tryptophanase,tnaA,6569.0,tryptophan catabolic process,P0A853
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein tolB,tolB,43213.0,bacteriocin transport,P0A855
