annotation,cog_category,cog_class,cog_id,cog_letter,gene_name,uniprot,go_ids,refseq_id,uniprot_kw_ids,mass_da
Acyl carrier protein,Metabolism,Lipid transport and metabolism,COG0236,I,acpP,P0A6A8,GO:0000036; GO:0006633; GO:0008610; GO:0031177; GO:0005737; GO:0042493; GO:0000035; GO:0009245; GO:0008289; GO:0006631; GO:0006629; GO:0005829; GO:0005515,YP_003044308.1,KW-0002; KW-0275; KW-0276; KW-0443; KW-0444; KW-0596; KW-0597; KW-0903; KW-0963; KW-1185,8640.0
Acyl carrier protein,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism",COG0236,Q,acpP,P0A6A8,GO:0000036; GO:0006633; GO:0008610; GO:0031177; GO:0005737; GO:0042493; GO:0000035; GO:0009245; GO:0008289; GO:0006631; GO:0006629; GO:0005829; GO:0005515,YP_003044308.1,KW-0002; KW-0275; KW-0276; KW-0443; KW-0444; KW-0596; KW-0597; KW-0903; KW-0963; KW-1185,8640.0
Dephospho-CoA kinase,Metabolism,Coenzyme transport and metabolism,COG0237,H,coaE,P0A6I9,GO:0016740; GO:0016301; GO:0016310; GO:0005737; GO:0005524; GO:0000166; GO:0004140; GO:0015937,YP_003043332.1,KW-0002; KW-0067; KW-0173; KW-0418; KW-0547; KW-0808; KW-0903; KW-0963; KW-1185,22622.0
Ribosomal protein S18,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0238,J,rpsR,P0A7T7,GO:0005829; GO:0005515; GO:0070181; GO:0048027; GO:0006412; GO:0003735; GO:0022627; GO:0019843; GO:0005840; GO:0003723,YP_003047239.1,KW-0002; KW-0007; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,8986.0
Integral membrane protein possibly involved in chromosome condensation,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning",COG0239,D,crcB,P37002,GO:0034220; GO:0015103; GO:0005253; GO:0140114; GO:1903425; GO:1903424; GO:0016021; GO:0016020; GO:0005887; GO:0005886,,KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185,13777.0
Glycerol-3-phosphate dehydrogenase,Metabolism,Energy production and conversion,COG0240,C,gpsA,P0A6S7,GO:0046474; GO:0047952; GO:0046167; GO:0016616; GO:0016491; GO:0008654; GO:0006650; GO:0006629; GO:0051287; GO:0046168; GO:0009331; GO:0006072; GO:0005975; GO:0004367; GO:0005829; GO:0055114; GO:0005737,YP_003046646.1,KW-0443; KW-0444; KW-0520; KW-0560; KW-0594; KW-0963; KW-1185; KW-1208,36362.0
Histidinol phosphatase and related phosphatases,Metabolism,Amino acid transport and metabolism,COG0241,E,hisB,P06987,GO:0046872; GO:0016311; GO:0042802; GO:0005515; GO:0016829; GO:0016791; GO:0016787; GO:0008652; GO:0008152; GO:0003824; GO:0005737; GO:0004401; GO:0004424; GO:0000105,YP_003045118.1,KW-0028; KW-0368; KW-0378; KW-0456; KW-0460; KW-0479; KW-0511; KW-0862; KW-0963; KW-1185,40278.0
N-formylmethionyl-tRNA deformylase,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0242,J,def,P0A6K3,GO:0008270; GO:0042586; GO:0016787; GO:0031365; GO:0005829; GO:0043022; GO:0046872; GO:0008198; GO:0043686; GO:0006412; GO:0005515,YP_003046322.1,KW-0002; KW-0378; KW-0408; KW-0479; KW-0648; KW-0862; KW-0903; KW-1185,19328.0
"Anaerobic dehydrogenases, typically selenocysteine-containing",Metabolism,Energy production and conversion,COG0243,C,bisC,P20099,GO:0043546; GO:0022900; GO:0046872; GO:0016491; GO:0009055; GO:0033744; GO:0055114; GO:0030151; GO:0030288; GO:0009061,YP_003046582.1,KW-0479; KW-0500; KW-0560; KW-1185,85851.0
"Anaerobic dehydrogenases, typically selenocysteine-containing",Metabolism,Energy production and conversion,COG0243,C,dmsA,P18775,GO:0043546; GO:0022900; GO:0031237; GO:0048037; GO:0055114; GO:0051536; GO:0046872; GO:0009389; GO:0005515; GO:0016491; GO:0005886; GO:0009390; GO:0051539; GO:0030151; GO:0016020; GO:0009061; GO:0009055; GO:0030288,YP_003044116.1,KW-0004; KW-0408; KW-0411; KW-0472; KW-0479; KW-0500; KW-0560; KW-0732; KW-0903; KW-1003; KW-1185,90399.0
"Anaerobic dehydrogenases, typically selenocysteine-containing",Metabolism,Energy production and conversion,COG0243,C,fdhF,P07658,GO:0043546; GO:0022900; GO:0005515; GO:0055114; GO:0051536; GO:0015942; GO:0009055; GO:0008863; GO:0005829; GO:0015944; GO:0051539; GO:0046872; GO:0030151; GO:0016491; GO:0045272; GO:0045333; GO:0003954,YP_003047122.1,KW-0002; KW-0004; KW-0408; KW-0411; KW-0479; KW-0500; KW-0520; KW-0560; KW-0712; KW-0903; KW-1185,79374.0
"Anaerobic dehydrogenases, typically selenocysteine-containing",Metabolism,Energy production and conversion,COG0243,C,fdnG,P24183,GO:0022900; GO:0051536; GO:0047111; GO:0043546; GO:0045333; GO:0008863; GO:0015944; GO:0036397; GO:0055114; GO:0046872; GO:0016491; GO:0005515; GO:0030288; GO:0051539; GO:0009326; GO:0042597; GO:0030151; GO:0008430; GO:0009061; GO:0009055,YP_003044640.1,KW-0002; KW-0004; KW-0408; KW-0411; KW-0479; KW-0500; KW-0520; KW-0560; KW-0574; KW-0712; KW-0732; KW-1185,112963.0
"Anaerobic dehydrogenases, typically selenocysteine-containing",Metabolism,Energy production and conversion,COG0243,C,fdoG,P32176,GO:0006974; GO:0022900; GO:0051539; GO:0051536; GO:0047111; GO:0043546; GO:0008863; GO:0015944; GO:0036397; GO:0005515; GO:0055114; GO:0009055; GO:0042597; GO:0005829; GO:0009326; GO:0046872; GO:0045333; GO:0016491; GO:0009061; GO:0030151,YP_003046952.1,KW-0004; KW-0408; KW-0411; KW-0479; KW-0500; KW-0520; KW-0560; KW-0574; KW-0712; KW-0732; KW-1185,112549.0
"Anaerobic dehydrogenases, typically selenocysteine-containing",Metabolism,Energy production and conversion,COG0243,C,napA,P33937,GO:0009061; GO:0008940; GO:0022900; GO:0009055; GO:0006777; GO:0005506; GO:0043546; GO:0050140; GO:0051536; GO:0046872; GO:0016491; GO:0005515; GO:0055114; GO:0042128; GO:0030288; GO:0051539; GO:0042597; GO:0030151,YP_003045326.1,KW-0002; KW-0004; KW-0249; KW-0408; KW-0411; KW-0479; KW-0500; KW-0534; KW-0560; KW-0574; KW-0732; KW-0813; KW-0903; KW-1185,93042.0
Ribosomal protein L10,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0244,J,rplJ,P0A7J3,GO:0070180; GO:0043022; GO:0017148; GO:0015934; GO:0005515; GO:0005829; GO:0019843; GO:0042254; GO:0006412; GO:0003735; GO:0022625; GO:0006417; GO:0005840; GO:0003723,YP_003047034.1,KW-0002; KW-0007; KW-0678; KW-0687; KW-0689; KW-0694; KW-0699; KW-0810; KW-0903; KW-1185,17712.0
Mannitol-1-phosphate/altronate dehydrogenases,Metabolism,Carbohydrate transport and metabolism,COG0246,G,mtlD,P09424,GO:0005829; GO:0019592; GO:0050662; GO:0019594; GO:0003824; GO:0055114; GO:0016491; GO:0008926; GO:0016616,YP_003046635.1,KW-0007; KW-0520; KW-0560; KW-0903; KW-1185,41139.0
Mannitol-1-phosphate/altronate dehydrogenases,Metabolism,Carbohydrate transport and metabolism,COG0246,G,uxaB,P0A6L7,GO:0050662; GO:0016491; GO:0055114; GO:0019698; GO:0009026; GO:0016616; GO:0005829,YP_003044681.1,KW-0520; KW-0560; KW-0903; KW-1185,54808.0
Mannitol-1-phosphate/altronate dehydrogenases,Metabolism,Carbohydrate transport and metabolism,COG0246,G,uxuB,P39160,GO:0016491; GO:0003824; GO:0019594; GO:0050662; GO:0055114; GO:0042840; GO:0008866; GO:0016616,YP_003047354.1,KW-0520; KW-0560; KW-1185,53580.0
Mannitol-1-phosphate/altronate dehydrogenases,Metabolism,Carbohydrate transport and metabolism,COG0246,G,ydfI,P77260,GO:0019594; GO:0050662; GO:0003824; GO:0055114; GO:0016491; GO:0016616,YP_003044704.1,KW-0520; KW-0560; KW-1185,53685.0
Mannitol-1-phosphate/altronate dehydrogenases,Metabolism,Carbohydrate transport and metabolism,COG0246,G,yeiQ,P33029,GO:0019594; GO:0050662; GO:0003824; GO:0055114; GO:0016491; GO:0016616,YP_003045295.1,KW-0520; KW-0560; KW-1185,54032.0
Fe-S oxidoreductase,Metabolism,Energy production and conversion,COG0247,C,glcF,P52074,GO:0055114; GO:0051539; GO:0051536; GO:0046872; GO:0019154; GO:0046296,YP_003046032.1,KW-0004; KW-0249; KW-0408; KW-0411; KW-0479; KW-0677; KW-0813; KW-1185,45110.0
Fe-S oxidoreductase,Metabolism,Energy production and conversion,COG0247,C,glpC,P0A996,GO:0009331; GO:0046168; GO:0009061; GO:0004368; GO:0055114; GO:0019563; GO:0022900; GO:0005886; GO:0051539; GO:0051536; GO:0046872; GO:0016020,YP_003045362.1,KW-0004; KW-0249; KW-0408; KW-0411; KW-0472; KW-0479; KW-0677; KW-0813; KW-0903; KW-0997; KW-1003; KW-1185,44108.0
Fe-S oxidoreductase,Metabolism,Energy production and conversion,COG0247,C,ydiJ,P77748,GO:0071949; GO:0051539; GO:0046872; GO:0055114; GO:0051536; GO:0050660; GO:0016491; GO:0003824; GO:0008720; GO:0004458; GO:1903457,YP_003044856.1,KW-0004; KW-0274; KW-0285; KW-0408; KW-0411; KW-0479; KW-1185,113248.0
Fe-S oxidoreductase,Metabolism,Energy production and conversion,COG0247,C,ykgE,P77252,GO:0055114; GO:0004459; GO:0005829,YP_003043489.1,KW-1185,26004.0
Exopolyphosphatase,Metabolism,Nucleotide transport and metabolism,COG0248,F,ppx,P0AFL6,GO:0042802; GO:0006793; GO:0016787; GO:0005886; GO:0006798; GO:0016020; GO:0004309; GO:0016462,YP_003045584.1,KW-0002; KW-0378; KW-0460; KW-0472; KW-0903; KW-1003; KW-1185,58136.0
Exopolyphosphatase,Metabolism,Inorganic ion transport and metabolism,COG0248,P,ppx,P0AFL6,GO:0042802; GO:0006793; GO:0016787; GO:0005886; GO:0006798; GO:0016020; GO:0004309; GO:0016462,YP_003045584.1,KW-0002; KW-0378; KW-0460; KW-0472; KW-0903; KW-1003; KW-1185,58136.0
Mismatch repair ATPase (MutS family),Information Storage and Processing,"Replication, recombination and repair",COG0249,L,mutS,P23909,GO:0006298; GO:0030983; GO:0016887; GO:0032300; GO:0032136; GO:0006974; GO:0043531; GO:0008301; GO:0005524; GO:0000018; GO:0005515; GO:0003684; GO:0042802; GO:0006281; GO:0003677; GO:0005829; GO:0000166; GO:0008094,YP_003045772.1,KW-0002; KW-0067; KW-0227; KW-0234; KW-0238; KW-0547; KW-1185,95247.0
Transcription antiterminator,Information Storage and Processing,Transcription,COG0250,K,nusG,P0AFG0,GO:0006354; GO:0005515; GO:0006355; GO:0032784; GO:0005829; GO:0031564; GO:0006353,YP_003047031.1,KW-0002; KW-0804; KW-0805; KW-0806; KW-0889; KW-0903; KW-1185,20532.0
Transcription antiterminator,Information Storage and Processing,Transcription,COG0250,K,rfaH,P0AFW0,GO:0005515; GO:0045727; GO:0008494; GO:0001000; GO:0001124; GO:0006355; GO:0031564; GO:0001073; GO:0003677; GO:0005829,YP_003046907.1,KW-0002; KW-0238; KW-0804; KW-0805; KW-0889; KW-1185,18340.0
"Putative translation initiation inhibitor, yjgF family",Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0251,J,tdcF,P0AGL2,GO:0042802; GO:0070689; GO:0016787; GO:0006566; GO:0005829; GO:1901565; GO:0019239,YP_003046165.1,KW-0002; KW-0378; KW-0663; KW-1185,14007.0
"Putative translation initiation inhibitor, yjgF family",Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0251,J,yjgH,P39332,GO:0005515; GO:1901565; GO:0019239; GO:0005829,YP_003047284.1,KW-0002; KW-1185,14590.0
"Putative translation initiation inhibitor, yjgF family",Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0251,J,yoaB,P0AEB7,GO:0005829; GO:0042710,YP_003044976.1,KW-1185,12493.0
L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D,Metabolism,Amino acid transport and metabolism,COG0252,E,ansA,P0A962,GO:0016787; GO:0008152; GO:0006520; GO:0003824; GO:0005829; GO:0033345; GO:0042802; GO:0004067; GO:0005737; GO:0006530,YP_003044933.1,KW-0002; KW-0021; KW-0378; KW-0963; KW-1185,37127.0
L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D,Metabolism,Amino acid transport and metabolism,COG0252,E,ansB,P00805,GO:0042597; GO:0051289; GO:0042802; GO:0016787; GO:0006528; GO:0006520; GO:0030288; GO:0004067; GO:0006530,YP_003045975.1,KW-0002; KW-0378; KW-0574; KW-0582; KW-0732; KW-0903; KW-1015; KW-1185,36851.0
L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0252,J,ansA,P0A962,GO:0016787; GO:0008152; GO:0006520; GO:0003824; GO:0005829; GO:0033345; GO:0042802; GO:0004067; GO:0005737; GO:0006530,YP_003044933.1,KW-0002; KW-0021; KW-0378; KW-0963; KW-1185,37127.0
L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0252,J,ansB,P00805,GO:0042597; GO:0051289; GO:0042802; GO:0016787; GO:0006528; GO:0006520; GO:0030288; GO:0004067; GO:0006530,YP_003045975.1,KW-0002; KW-0378; KW-0574; KW-0582; KW-0732; KW-0903; KW-1015; KW-1185,36851.0
Diaminopimelate epimerase,Metabolism,Amino acid transport and metabolism,COG0253,E,dapF,P0A6K1,GO:0005515; GO:0009089; GO:0005829; GO:0016853; GO:0009085; GO:0008652; GO:0008837; GO:0005737,YP_003046859.1,KW-0002; KW-0028; KW-0413; KW-0457; KW-0963; KW-1185,30209.0
Ribosomal protein L31,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0254,J,rpmE,P0A7M9,GO:0006413; GO:0005829; GO:0005840; GO:0006412; GO:0003735; GO:0008270; GO:0022625; GO:0046872; GO:0019843; GO:0003723,YP_003046994.1,KW-0002; KW-0007; KW-0479; KW-0687; KW-0689; KW-0694; KW-0699; KW-0862; KW-0903; KW-1185,7871.0
Ribosomal protein L31,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0254,J,ykgM,P0A7N1,GO:0006412; GO:0003735; GO:0034224; GO:0005840,,KW-0002; KW-0687; KW-0689; KW-1185,9920.0
Ribosomal protein L29,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0255,J,rpmC,P0A7M6,GO:0000027; GO:0006412; GO:0003735; GO:0022625; GO:0019843; GO:0005840; GO:0003723,YP_003046348.1,KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,7273.0
Ribosomal protein L18,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0256,J,rplR,P0C018,GO:0008097; GO:0005829; GO:0006412; GO:0003735; GO:0022625; GO:0019843; GO:0005840; GO:0003723,YP_003046340.1,KW-0002; KW-0597; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,12770.0
Ribosomal protein L36,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0257,J,rpmJ,P0A7Q6,GO:0006412; GO:0003735; GO:0022625; GO:0005840,YP_003046335.1,KW-0002; KW-0687; KW-0689; KW-0903; KW-1185,4364.0
5'-3' exonuclease (including N-terminal domain of PolI),Information Storage and Processing,"Replication, recombination and repair",COG0258,L,polA,P00582,GO:0003887; GO:0006139; GO:0071897; GO:0090305; GO:0016787; GO:0016779; GO:0016740; GO:0006974; GO:0004527; GO:0004518; GO:0003824; GO:0003676; GO:0006284; GO:0005829; GO:0006261; GO:0008409; GO:0008408; GO:0006281; GO:0006260; GO:0003677; GO:0005737,YP_003046923.1,KW-0002; KW-0227; KW-0234; KW-0235; KW-0238; KW-0239; KW-0269; KW-0378; KW-0540; KW-0548; KW-0808; KW-0903; KW-1185,103118.0
Pyridoxamine-phosphate oxidase,Metabolism,Coenzyme transport and metabolism,COG0259,H,pdxH,P0AFI7,GO:0004733; GO:0016491; GO:0055114; GO:0042816; GO:0032991; GO:1902444; GO:0048037; GO:0042301; GO:0005829; GO:0016638; GO:0010181; GO:0009443; GO:0008615; GO:0042823,YP_003044808.1,KW-0002; KW-0285; KW-0288; KW-0560; KW-0664; KW-0903; KW-1185,25545.0
Leucyl aminopeptidase,Metabolism,Amino acid transport and metabolism,COG0260,E,pepA,P68767,GO:0004177; GO:0003677; GO:0001073; GO:0043171; GO:0042150; GO:0006276; GO:0031564; GO:0016787; GO:0008233; GO:0030145; GO:0019538; GO:0008235; GO:0005737; GO:0046872; GO:0006508; GO:0006351,YP_003047295.1,KW-0002; KW-0031; KW-0378; KW-0464; KW-0479; KW-0645; KW-0903; KW-1185,54880.0
Leucyl aminopeptidase,Metabolism,Amino acid transport and metabolism,COG0260,E,pepB,P37095,GO:0043171; GO:0005515; GO:0044212; GO:0042802; GO:0005737; GO:0030145; GO:0019538; GO:0008235; GO:0005829; GO:0046872; GO:0016787; GO:0008233; GO:0004177; GO:0006508,YP_003045605.1,KW-0002; KW-0031; KW-0378; KW-0464; KW-0479; KW-0645; KW-0963; KW-1185,46180.0
Ribosomal protein L21,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0261,J,rplU,P0AG48,GO:0005829; GO:0006412; GO:0003735; GO:0022625; GO:0019843; GO:0005840; GO:0003723,YP_003046236.1,KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,11564.0
Dihydrofolate reductase,Metabolism,Coenzyme transport and metabolism,COG0262,H,folA,P0ABQ4,GO:0042493; GO:0070402; GO:0070401; GO:0051871; GO:0051870; GO:0005542; GO:0005829; GO:0005515; GO:0046654; GO:0016491; GO:0050661; GO:0006545; GO:0055114; GO:0046677; GO:0031427; GO:0006730; GO:0046656; GO:0009257; GO:0004146; GO:0046452; GO:0046655,YP_003043281.1,KW-0002; KW-0046; KW-0487; KW-0521; KW-0554; KW-0560; KW-0817; KW-0903; KW-1185,17999.0
Glutamate 5-kinase,Metabolism,Amino acid transport and metabolism,COG0263,E,proB,P0A7B5,GO:1901973; GO:0042802; GO:0016740; GO:0016301; GO:0008652; GO:0003723; GO:0055129; GO:0005829; GO:0016310; GO:0005524; GO:0000166; GO:0000287; GO:0004349; GO:0006561; GO:0005737,YP_003043466.1,KW-0002; KW-0028; KW-0067; KW-0418; KW-0547; KW-0641; KW-0808; KW-0903; KW-0963; KW-1185,39057.0
Translation elongation factor Ts,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0264,J,tsf,P0A6P1,GO:0008270; GO:0005085; GO:0005829; GO:0006412; GO:0005515; GO:0006414; GO:0003746; GO:0005737,YP_003043397.1,KW-0002; KW-0251; KW-0648; KW-0903; KW-0963; KW-1185,30423.0
"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones",COG0265,O,degQ,P39099,GO:0008233; GO:0004252; GO:0006508; GO:0071575; GO:0005515; GO:0042802; GO:0016787; GO:0008236; GO:0030288; GO:0051603; GO:0042597,YP_003046279.1,KW-0002; KW-0346; KW-0378; KW-0574; KW-0645; KW-0677; KW-0720; KW-0732; KW-0903; KW-1185,47205.0
"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones",COG0265,O,degS,P0AEE3,GO:0071575; GO:0006508; GO:0008233; GO:0008236; GO:0042802; GO:0030288; GO:0016021; GO:0016020; GO:0005886; GO:0016787; GO:0071218; GO:0031226; GO:0005515; GO:0004252,YP_003046280.1,KW-0002; KW-0378; KW-0472; KW-0645; KW-0720; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,37581.0
Formamidopyrimidine-DNA glycosylase,Information Storage and Processing,"Replication, recombination and repair",COG0266,L,mutM,P05523,GO:0019104; GO:0004519; GO:0008270; GO:0046872; GO:0003906; GO:0006974; GO:0003684; GO:0140078; GO:0090305; GO:0016829; GO:0016799; GO:0016798; GO:0016787; GO:0008152; GO:0006284; GO:0006281; GO:0003824; GO:0003677; GO:0003676; GO:0006289; GO:0006285; GO:0000703; GO:0008534; GO:0034039,YP_003046671.1,KW-0002; KW-0227; KW-0234; KW-0238; KW-0326; KW-0378; KW-0456; KW-0479; KW-0511; KW-0862; KW-0863; KW-0903; KW-1185,30290.0
Formamidopyrimidine-DNA glycosylase,Information Storage and Processing,"Replication, recombination and repair",COG0266,L,nei,P50465,GO:0003906; GO:0008270; GO:0003684; GO:0006284; GO:0140078; GO:0006289; GO:0000703; GO:0090305; GO:0016829; GO:0008152; GO:0006974; GO:0006281; GO:0003824; GO:0003677; GO:0003676; GO:0046872; GO:0016799; GO:0004519; GO:0016798; GO:0016787; GO:0019104,YP_003043892.1,KW-0002; KW-0227; KW-0234; KW-0238; KW-0326; KW-0378; KW-0456; KW-0479; KW-0511; KW-0862; KW-0863; KW-0903; KW-1185,29845.0
Ribosomal protein L33,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0267,J,rpmG,P0A7N9,GO:0000027; GO:0046677; GO:0005829; GO:0006412; GO:0003735; GO:0022625; GO:0005840; GO:0003723; GO:0000049; GO:0015934,YP_003046672.1,KW-0002; KW-0488; KW-0687; KW-0689; KW-0694; KW-0820; KW-0903; KW-1185,6372.0
Ribosomal protein S20,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0268,J,rpsT,P0A7U7,GO:0022627; GO:0000028; GO:0043086; GO:0005829; GO:0019843; GO:0005840; GO:0003723; GO:0006412; GO:0003735; GO:0070181; GO:0008073; GO:0015935,YP_003043257.1,KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,9684.0
3-hexulose-6-phosphate synthase and related proteins,Metabolism,Carbohydrate transport and metabolism,COG0269,G,sgbH,P37678,GO:0005515; GO:0016052; GO:0006207; GO:0004590; GO:0003824; GO:0033982; GO:0046872; GO:0016831; GO:0016829; GO:0005975; GO:0019854,YP_003046613.1,KW-0119; KW-0210; KW-0456; KW-0460; KW-0479; KW-1185,23445.0
Site-specific DNA methylase,Information Storage and Processing,"Replication, recombination and repair",COG0270,L,dcm,P0AED9,GO:0090116; GO:0009307; GO:0032259; GO:0016740; GO:0008168; GO:0005515; GO:0003886,,KW-0489; KW-0680; KW-0808; KW-0949; KW-1185,53465.0
Stress-induced morphogen (activity unknown),Cellular Processes and Signaling,Signal transduction mechanisms,COG0271,T,bolA,P0ABE2,GO:0005829; GO:0005515; GO:0003677; GO:0006351,YP_003043612.1,KW-0002; KW-0010; KW-0238; KW-0346; KW-0678; KW-0804; KW-0805; KW-1185,11994.0
Deoxyribose-phosphate aldolase,Metabolism,Nucleotide transport and metabolism,COG0274,F,deoC,P0A6L0,GO:0015949; GO:0009264; GO:0016052; GO:0016829; GO:0004139; GO:0006974; GO:0005829; GO:0005737; GO:0003824; GO:0046386,YP_003047417.1,KW-0002; KW-0007; KW-0456; KW-0704; KW-0903; KW-0963; KW-1185,27734.0
Protoheme ferro-lyase (ferrochelatase),Metabolism,Coenzyme transport and metabolism,COG0276,H,hemH,P23871,GO:0004325; GO:0009416; GO:0006783; GO:0046501; GO:0016829; GO:0006779; GO:0046872; GO:0005737,YP_003043652.1,KW-0350; KW-0408; KW-0456; KW-0479; KW-0627; KW-0903; KW-0963; KW-1185,35884.0
FAD/FMN-containing dehydrogenases,Metabolism,Energy production and conversion,COG0277,C,dld,P06149,GO:0048038; GO:0071949; GO:0055085; GO:0005887; GO:0031234; GO:0022904; GO:0009061; GO:0055114; GO:0016491; GO:0016020; GO:0006089; GO:0003824; GO:0016901; GO:0019516; GO:0005886; GO:0050660; GO:0009060; GO:0009055,YP_003045256.1,KW-0002; KW-0274; KW-0285; KW-0472; KW-0560; KW-0874; KW-0903; KW-0997; KW-1003; KW-1185,64612.0
FAD/FMN-containing dehydrogenases,Metabolism,Energy production and conversion,COG0277,C,glcD,P0AEP9,GO:0006974; GO:0071949; GO:0016491; GO:0003824; GO:0050660; GO:0009339; GO:0008891; GO:0055114; GO:0046296; GO:0019154,YP_003046034.1,KW-0274; KW-0285; KW-0560; KW-1185,53812.0
FAD/FMN-containing dehydrogenases,Metabolism,Energy production and conversion,COG0277,C,glcF,P52074,GO:0055114; GO:0051539; GO:0051536; GO:0046872; GO:0019154; GO:0046296,YP_003046032.1,KW-0004; KW-0249; KW-0408; KW-0411; KW-0479; KW-0677; KW-0813; KW-1185,45110.0
FAD/FMN-containing dehydrogenases,Metabolism,Energy production and conversion,COG0277,C,ydiJ,P77748,GO:0071949; GO:0051539; GO:0046872; GO:0055114; GO:0051536; GO:0050660; GO:0016491; GO:0003824; GO:0008720; GO:0004458; GO:1903457,YP_003044856.1,KW-0004; KW-0274; KW-0285; KW-0408; KW-0411; KW-0479; KW-1185,113248.0
FAD/FMN-containing dehydrogenases,Metabolism,Energy production and conversion,COG0277,C,ygcU,Q46911,GO:0071949; GO:0050660; GO:0003824; GO:0055114; GO:0016491,YP_003045806.1,KW-0274; KW-0285; KW-0560; KW-1185,53737.0
Phosphoheptose isomerase,Metabolism,Carbohydrate transport and metabolism,COG0279,G,gmhA,P63224,GO:0008270; GO:0042802; GO:0051289; GO:1901135; GO:0097367; GO:0016853; GO:0009103; GO:0005975; GO:2001061; GO:0005829; GO:0046872; GO:0008968; GO:0009244; GO:0005737,YP_003043446.1,KW-0002; KW-0119; KW-0413; KW-0448; KW-0479; KW-0862; KW-0963; KW-1185,20815.0
Phosphotransacetylase,Metabolism,Energy production and conversion,COG0280,C,maeB,P76558,GO:0004470; GO:0008948; GO:0046872; GO:0016491; GO:0003824; GO:0004471; GO:0051287; GO:0016746; GO:0006108; GO:0030145; GO:0055114; GO:0008152; GO:0004473,YP_003045545.1,KW-0007; KW-0479; KW-0511; KW-0521; KW-0560; KW-1185,82417.0
Phosphotransacetylase,Metabolism,Energy production and conversion,COG0280,C,pta,P0A9M8,GO:0008270; GO:0005829; GO:0006083; GO:0016746; GO:0016740; GO:0016407; GO:0006085; GO:0019427; GO:0019413; GO:0070689; GO:0005737; GO:0005515; GO:0008959; GO:0045733,YP_003045414.1,KW-0012; KW-0808; KW-0903; KW-0963; KW-1185,77172.0
Malic enzyme,Metabolism,Energy production and conversion,COG0281,C,maeB,P76558,GO:0004470; GO:0008948; GO:0046872; GO:0016491; GO:0003824; GO:0004471; GO:0051287; GO:0016746; GO:0006108; GO:0030145; GO:0055114; GO:0008152; GO:0004473,YP_003045545.1,KW-0007; KW-0479; KW-0511; KW-0521; KW-0560; KW-1185,82417.0
Acetate kinase,Metabolism,Energy production and conversion,COG0282,C,ackA,P0A6A3,GO:0019542; GO:0019413; GO:0008776; GO:0008270; GO:0000287; GO:0044011; GO:0006083; GO:0046872; GO:0016774; GO:0016740; GO:0016301; GO:0006082; GO:0005737; GO:0006085; GO:0005524; GO:0000166; GO:0005829; GO:0016310,YP_003045413.1,KW-0002; KW-0067; KW-0418; KW-0460; KW-0479; KW-0547; KW-0808; KW-0903; KW-0963; KW-1185,43290.0
Acetate kinase,Metabolism,Energy production and conversion,COG0282,C,tdcD,P11868,GO:0005515; GO:0016774; GO:0016740; GO:0016301; GO:0006082; GO:0046872; GO:0070689; GO:0005524; GO:0000166; GO:0016310; GO:0019665; GO:0006567; GO:0008980; GO:0008776,YP_003046167.1,KW-0067; KW-0418; KW-0460; KW-0479; KW-0547; KW-0808; KW-1185,43384.0
