cog_class,cog_class_letter,cog_desc,desc,gene,process,uniprot
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Integration host factor subunit beta ,ihfB,Translation regulation,P0A6Y1
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",33 kDa chaperonin ,hslO,Stress response,P0A6Y5
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Chaperone protein dnaK ,dnaK,DNA replication,P0A6Y8
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Chaperone protein dnaK ,dnaK,Stress response,P0A6Y8
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Chaperone protein hscA ,hscA,Stress response,P0A6Z1
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Chaperone protein htpG ,htpG,Stress response,P0A6Z3
Information Storage and Processing,Transcription,Transcription,Nickel-responsive regulator ,nikR,Transcription,P0A6Z6
Information Storage and Processing,Transcription,Transcription,Nickel-responsive regulator ,nikR,Transcription regulation,P0A6Z6
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Translation initiation factor IF-2 ,infB,Protein biosynthesis,P0A705
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Translation initiation factor IF-3 ,infC,Protein biosynthesis,P0A707
Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Probable intracellular septation protein ,yciB,Cell cycle,P0A710
Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Probable intracellular septation protein ,yciB,Cell division,P0A710
Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Probable intracellular septation protein ,yciB,Septation,P0A710
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,2-dehydro-3-deoxyphosphooctonate aldolase ,kdsA,Lipopolysaccharide biosynthesis,P0A715
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Ribose-phosphate pyrophosphokinase ,prs,Nucleotide biosynthesis,P0A717
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Thymidylate kinase ,tmk,Nucleotide biosynthesis,P0A720
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase ,lpxA,Lipid A biosynthesis,P0A722
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase ,lpxA,Lipid metabolism,P0A722
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase ,lpxA,Lipid biosynthesis,P0A722
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase ,lpxC,Lipid A biosynthesis,P0A725
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase ,lpxC,Lipid metabolism,P0A725
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase ,lpxC,Lipid biosynthesis,P0A725
Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Maf-like protein yceF ,yceF,Nucleotide metabolism,P0A729
Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Cell division topological specificity factor ,minE,Cell cycle,P0A734
Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Cell division topological specificity factor ,minE,Cell division,P0A734
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Molybdenum cofactor biosynthesis protein C ,moaC,Molybdenum cofactor biosynthesis,P0A738
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Large-conductance mechanosensitive channel ,mscL,Ion transport,P0A742
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Large-conductance mechanosensitive channel ,mscL,Transport,P0A742
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-N-acetylglucosamine 1-carboxyvinyltransferase ,murA,Cell cycle,P0A749
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-N-acetylglucosamine 1-carboxyvinyltransferase ,murA,Cell division,P0A749
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-N-acetylglucosamine 1-carboxyvinyltransferase ,murA,Cell shape,P0A749
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-N-acetylglucosamine 1-carboxyvinyltransferase ,murA,Peptidoglycan synthesis,P0A749
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-N-acetylglucosamine 1-carboxyvinyltransferase ,murA,Cell wall biogenesis/degradation,P0A749
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Nicotinate-nucleotide adenylyltransferase ,nadD,Pyridine nucleotide biosynthesis,P0A752
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glucosamine-6-phosphate deaminase ,nagB,Carbohydrate metabolism,P0A759
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Putative N-acetylmannosamine-6-phosphate 2-epimerase ,nanE,Carbohydrate metabolism,P0A761
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Nucleoside diphosphate kinase ,ndk,Nucleotide metabolism,P0A763
Information Storage and Processing,Transcription,Transcription,N utilization substance protein B ,nusB,Transcription,P0A780
Information Storage and Processing,Transcription,Transcription,N utilization substance protein B ,nusB,Transcription regulation,P0A780
Information Storage and Processing,Transcription,Transcription,N utilization substance protein B ,nusB,Transcription antitermination,P0A780
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Aspartate carbamoyltransferase catalytic chain ,pyrB,Pyrimidine biosynthesis,P0A786
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Aspartate 1-decarboxylase ,panD,Pantothenate biosynthesis,P0A790
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Pyridoxine 5'-phosphate synthase ,pdxJ,Pyridoxine biosynthesis,P0A794
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,6-phosphofructokinase isozyme 1 ,pfkA,Glycolysis,P0A796
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Phosphoglycerate kinase ,pgk,Glycolysis,P0A799
Not Assigned,Not Assigned,Not Assigned,Probable phosphoglycerate mutase gpmB ,gpmB,Glycolysis,P0A7A2
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Glycerol-3-phosphate acyltransferase ,plsB,Lipid metabolism,P0A7A7
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Glycerol-3-phosphate acyltransferase ,plsB,Lipid biosynthesis,P0A7A7
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Glycerol-3-phosphate acyltransferase ,plsB,Phospholipid biosynthesis,P0A7A7
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Glycerol-3-phosphate acyltransferase ,plsB,Phospholipid metabolism,P0A7A7
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Glutamate 5-kinase ,proB,Amino-acid biosynthesis,P0A7B5
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Glutamate 5-kinase ,proB,Proline biosynthesis,P0A7B5
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",ATP-dependent protease subunit HslV ,hslV,Stress response,P0A7B8
Information Storage and Processing,Transcription,Transcription,LexA repressor ,lexA,DNA damage,P0A7C2
Information Storage and Processing,Transcription,Transcription,LexA repressor ,lexA,DNA repair,P0A7C2
Information Storage and Processing,Transcription,Transcription,LexA repressor ,lexA,DNA replication,P0A7C2
Information Storage and Processing,Transcription,Transcription,LexA repressor ,lexA,SOS response,P0A7C2
Information Storage and Processing,Transcription,Transcription,LexA repressor ,lexA,Transcription,P0A7C2
Information Storage and Processing,Transcription,Transcription,LexA repressor ,lexA,Transcription regulation,P0A7C2
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Adenylosuccinate synthetase ,purA,Purine biosynthesis,P0A7D4
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Phosphoribosylaminoimidazole-succinocarboxamide synthase ,purC,Purine biosynthesis,P0A7D7
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Dihydroorotate dehydrogenase ,pyrD,Pyrimidine biosynthesis,P0A7E1
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Orotate phosphoribosyltransferase ,pyrE,Pyrimidine biosynthesis,P0A7E3
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,CTP synthase ,pyrG,Pyrimidine biosynthesis,P0A7E5
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Uridylate kinase ,pyrH,Pyrimidine biosynthesis,P0A7E9
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Aspartate carbamoyltransferase regulatory chain ,pyrI,Pyrimidine biosynthesis,P0A7F3
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,S-adenosylmethionine decarboxylase proenzyme ,speD,Polyamine biosynthesis,P0A7F6
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,S-adenosylmethionine decarboxylase proenzyme ,speD,Spermidine biosynthesis,P0A7F6
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",S-adenosylmethionine:tRNA ribosyltransferase-isomerase ,queA,Queuosine biosynthesis,P0A7F9
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosome-binding factor A ,rbfA,Stress response,P0A7G2
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosome-binding factor A ,rbfA,Ribosome biogenesis,P0A7G2
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Protein recA ,recA,DNA damage,P0A7G6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Protein recA ,recA,DNA recombination,P0A7G6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Protein recA ,recA,DNA repair,P0A7G6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Protein recA ,recA,Stress response,P0A7G6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Protein recA ,recA,SOS response,P0A7G6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Recombination protein recR ,recR,DNA damage,P0A7H6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Recombination protein recR ,recR,DNA recombination,P0A7H6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Recombination protein recR ,recR,DNA repair,P0A7H6
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Peptide chain release factor 1 ,prfA,Protein biosynthesis,P0A7I0
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Peptide chain release factor 3 ,prfC,Protein biosynthesis,P0A7I4
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,GTP cyclohydrolase-2 ,ribA,Riboflavin biosynthesis,P0A7I7
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,"3,4-dihydroxy-2-butanone 4-phosphate synthase ",ribB,Stress response,P0A7J0
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,"3,4-dihydroxy-2-butanone 4-phosphate synthase ",ribB,Riboflavin biosynthesis,P0A7J0
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L10 ,rplJ,Translation regulation,P0A7J3
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L1 ,rplA,Translation regulation,P0A7L0
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S12 ,rpsL,Antibiotic resistance,P0A7S3
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S4 ,rpsD,Antibiotic resistance,P0A7V8
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S4 ,rpsD,Transcription,P0A7V8
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S4 ,rpsD,Transcription regulation,P0A7V8
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S4 ,rpsD,Transcription termination,P0A7V8
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S4 ,rpsD,Translation regulation,P0A7V8
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S5 ,rpsE,Antibiotic resistance,P0A7W1
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S8 ,rpsH,Translation regulation,P0A7W7
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosome maturation factor rimM ,rimM,Ribosome biogenesis,P0A7X6
Information Storage and Processing,Transcription,Transcription,Ribonuclease 3 ,rnc,mRNA processing,P0A7Y0
Information Storage and Processing,Transcription,Transcription,Ribonuclease 3 ,rnc,rRNA processing,P0A7Y0
Information Storage and Processing,Transcription,Transcription,Ribonuclease 3 ,rnc,tRNA processing,P0A7Y0
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribonuclease P protein component ,rnpA,tRNA processing,P0A7Y8
Information Storage and Processing,Transcription,Transcription,DNA-directed RNA polymerase subunit alpha ,rpoA,Transcription,P0A7Z4
Information Storage and Processing,Transcription,Transcription,DNA-directed RNA polymerase subunit omega ,rpoZ,Transcription,P0A800
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosome-recycling factor ,frr,Protein biosynthesis,P0A805
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Holliday junction ATP-dependent DNA helicase ruvB ,ruvB,DNA damage,P0A812
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Holliday junction ATP-dependent DNA helicase ruvB ,ruvB,DNA recombination,P0A812
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Holliday junction ATP-dependent DNA helicase ruvB ,ruvB,DNA repair,P0A812
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Holliday junction ATP-dependent DNA helicase ruvB ,ruvB,SOS response,P0A812
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,S-adenosylmethionine synthase ,metK,One-carbon metabolism,P0A817
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,L-seryl-tRNA(Sec) selenium transferase ,selA,Protein biosynthesis,P0A821
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Serine hydroxymethyltransferase ,glyA,Amino-acid biosynthesis,P0A825
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Serine hydroxymethyltransferase ,glyA,One-carbon metabolism,P0A825
Metabolism,Energy production and conversion,Energy production and conversion,Aerobic C4-dicarboxylate transport protein ,dctA,Symport,P0A830
Metabolism,Energy production and conversion,Energy production and conversion,Aerobic C4-dicarboxylate transport protein ,dctA,Transport,P0A830
Metabolism,Energy production and conversion,Energy production and conversion,Succinyl-CoA ligase [ADP-forming] subunit beta ,sucC,Tricarboxylic acid cycle,P0A836
Not Assigned,Not Assigned,Not Assigned,Sec-independent protein translocase protein tatE ,tatE,Protein transport,P0A843
Not Assigned,Not Assigned,Not Assigned,Sec-independent protein translocase protein tatE ,tatE,Translocation,P0A843
Not Assigned,Not Assigned,Not Assigned,Sec-independent protein translocase protein tatE ,tatE,Transport,P0A843
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Queuine tRNA-ribosyltransferase ,tgt,Queuosine biosynthesis,P0A847
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Queuine tRNA-ribosyltransferase ,tgt,tRNA processing,P0A847
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Trigger factor ,tig,Cell cycle,P0A850
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Trigger factor ,tig,Cell division,P0A850
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophanase ,tnaA,Tryptophan catabolism,P0A853
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein tolB ,tolB,Cell cycle,P0A855
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein tolB ,tolB,Cell division,P0A855
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Triosephosphate isomerase ,tpiA,Gluconeogenesis,P0A858
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Triosephosphate isomerase ,tpiA,Glycolysis,P0A858
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Transaldolase A ,talA,Pentose shunt,P0A867
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Transaldolase B ,talB,Pentose shunt,P0A870
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",tRNA (guanine-N(1)-)-methyltransferase ,trmD,tRNA processing,P0A873
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan synthase alpha chain ,trpA,Amino-acid biosynthesis,P0A877
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan synthase alpha chain ,trpA,Aromatic amino acid biosynthesis,P0A877
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan synthase alpha chain ,trpA,Tryptophan biosynthesis,P0A877
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan synthase beta chain ,trpB,Amino-acid biosynthesis,P0A879
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan synthase beta chain ,trpB,Aromatic amino acid biosynthesis,P0A879
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan synthase beta chain ,trpB,Tryptophan biosynthesis,P0A879
Information Storage and Processing,Transcription,Transcription,Trp operon repressor ,trpR,Transcription,P0A881
Information Storage and Processing,Transcription,Transcription,Trp operon repressor ,trpR,Transcription regulation,P0A881
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Thymidylate synthase ,thyA,Nucleotide biosynthesis,P0A884
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Thymidylate synthase ,thyA,Translation regulation,P0A884
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Ubiquinone/menaquinone biosynthesis methyltransferase ubiE ,ubiE,Menaquinone biosynthesis,P0A887
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Ubiquinone/menaquinone biosynthesis methyltransferase ubiE ,ubiE,Ubiquinone biosynthesis,P0A887
Not Assigned,Not Assigned,Not Assigned,Sulfurtransferase tusA ,tusA,tRNA processing,P0A890
Poorly Characterized,General function prediction only,General function prediction only,Probable rRNA maturation factor YbeY ,ybeY,Ribosome biogenesis,P0A898
Poorly Characterized,General function prediction only,General function prediction only,Probable rRNA maturation factor YbeY ,ybeY,rRNA processing,P0A898
Poorly Characterized,Function unknown,Function unknown,UPF0082 protein yebC ,yebC,Transcription,P0A8A0
Poorly Characterized,Function unknown,Function unknown,UPF0082 protein yebC ,yebC,Transcription regulation,P0A8A0
Poorly Characterized,Function unknown,Function unknown,UPF0082 protein yeeN ,yeeN,Transcription,P0A8A2
Poorly Characterized,Function unknown,Function unknown,UPF0082 protein yeeN ,yeeN,Transcription regulation,P0A8A2
Poorly Characterized,Function unknown,Function unknown,Ribosome maturation factor rimP ,rimP,Ribosome biogenesis,P0A8A8
Information Storage and Processing,Transcription,Transcription,Transcriptional repressor NrdR ,nrdR,Transcription,P0A8D0
Information Storage and Processing,Transcription,Transcription,Transcriptional repressor NrdR ,nrdR,Transcription regulation,P0A8D0
Poorly Characterized,General function prediction only,General function prediction only,UPF0189 protein ymdB ,ymdB,Stress response,P0A8D6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein B ,uvrB,DNA damage,P0A8F8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein B ,uvrB,DNA excision,P0A8F8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein B ,uvrB,DNA repair,P0A8F8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein B ,uvrB,SOS response,P0A8F8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein C ,uvrC,DNA damage,P0A8G0
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein C ,uvrC,DNA excision,P0A8G0
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein C ,uvrC,DNA repair,P0A8G0
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein C ,uvrC,SOS response,P0A8G0
Poorly Characterized,Function unknown,Function unknown,Der GTPase-activating protein YihI ,yihI,Ribosome biogenesis,P0A8H6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Putative Holliday junction resolvase ,yqgF,Ribosome biogenesis,P0A8I1
Poorly Characterized,Function unknown,Function unknown,UPF0246 protein yaaA ,yaaA,Stress response,P0A8I3
Not Assigned,Not Assigned,Not Assigned,tRNA (guanine-N(7)-)-methyltransferase ,trmB,tRNA processing,P0A8I5
Poorly Characterized,Function unknown,Function unknown,Ribosomal RNA large subunit methyltransferase H ,rlmH,rRNA processing,P0A8I8
Poorly Characterized,General function prediction only,General function prediction only,Primosomal protein 1 ,dnaT,DNA replication,P0A8J2
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Phosphatidylserine decarboxylase proenzyme ,psd,Lipid metabolism,P0A8K1
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Phosphatidylserine decarboxylase proenzyme ,psd,Lipid biosynthesis,P0A8K1
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Phosphatidylserine decarboxylase proenzyme ,psd,Phospholipid biosynthesis,P0A8K1
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Phosphatidylserine decarboxylase proenzyme ,psd,Phospholipid metabolism,P0A8K1
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Seryl-tRNA synthetase ,serS,Protein biosynthesis,P0A8L1
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Asparaginyl-tRNA synthetase ,asnS,Protein biosynthesis,P0A8M0
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Threonyl-tRNA synthetase ,thrS,Antibiotic resistance,P0A8M3
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Threonyl-tRNA synthetase ,thrS,Protein biosynthesis,P0A8M3
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Threonyl-tRNA synthetase ,thrS,Translation regulation,P0A8M3
Poorly Characterized,Function unknown,Function unknown,UPF0268 protein ycbG ,matP,Cell cycle,P0A8N0
Poorly Characterized,Function unknown,Function unknown,UPF0268 protein ycbG ,matP,Cell division,P0A8N0
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Lysyl-tRNA synthetase ,lysS,Protein biosynthesis,P0A8N3
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis","Lysyl-tRNA synthetase, heat inducible ",lysU,Protein biosynthesis,P0A8N5
Metabolism,Energy production and conversion,Energy production and conversion,Probable Fe(2+)-trafficking protein ,yggX,Stress response,P0A8P3
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerC ,xerC,Cell cycle,P0A8P6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerC ,xerC,Cell division,P0A8P6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerC ,xerC,Chromosome partition,P0A8P6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerC ,xerC,DNA integration,P0A8P6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerC ,xerC,DNA recombination,P0A8P6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerD ,xerD,Cell cycle,P0A8P8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerD ,xerD,Cell division,P0A8P8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerD ,xerD,Chromosome partition,P0A8P8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerD ,xerD,DNA integration,P0A8P8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Tyrosine recombinase xerD ,xerD,DNA recombination,P0A8P8
Not Assigned,Not Assigned,Not Assigned,Chromosome initiation inhibitor ,iciA,Transcription,P0A8S1
Not Assigned,Not Assigned,Not Assigned,Chromosome initiation inhibitor ,iciA,Transcription regulation,P0A8S1
Information Storage and Processing,Transcription,Transcription,DNA-directed RNA polymerase subunit beta' ,rpoC,Antibiotic resistance,P0A8T7
Information Storage and Processing,Transcription,Transcription,DNA-directed RNA polymerase subunit beta' ,rpoC,Transcription,P0A8T7
Information Storage and Processing,Transcription,Transcription,Met repressor ,metJ,Amino-acid biosynthesis,P0A8U6
Information Storage and Processing,Transcription,Transcription,Met repressor ,metJ,Methionine biosynthesis,P0A8U6
Information Storage and Processing,Transcription,Transcription,Met repressor ,metJ,Transcription,P0A8U6
Information Storage and Processing,Transcription,Transcription,Met repressor ,metJ,Transcription regulation,P0A8U6
Poorly Characterized,Function unknown,Function unknown,Ribonuclease Z ,rbn,tRNA processing,P0A8V0
