gene_name,b_number,gene_product,mw_fg,go_terms,cog_class,cog_letter,cog_category,cog_desc
dra,b4381,DEOXYRIBOSE-P-ALD-MONOMER,4.6038440000000006e-05,GO:0016829; GO:0005737; GO:0003824; GO:0016052; GO:0046386; GO:0006974; GO:0005829; GO:0009264; GO:0004139; GO:0015949,metabolism,F,nucleotide transport and metabolism,"2-deoxyribose-5-phosphate aldolase, NAD(P)-linked"
thyr,b4381,DEOXYRIBOSE-P-ALD-MONOMER,4.6038440000000006e-05,GO:0016829; GO:0005737; GO:0003824; GO:0016052; GO:0046386; GO:0006974; GO:0005829; GO:0009264; GO:0004139; GO:0015949,metabolism,F,nucleotide transport and metabolism,"2-deoxyribose-5-phosphate aldolase, NAD(P)-linked"
deod,b4384,purine nucleoside phosphorylase,4.3077e-05,GO:0042278; GO:0016763; GO:0016757; GO:0016740; GO:0009116; GO:0006139; GO:0003824; GO:0006974; GO:0042802; GO:0005829; GO:0019686; GO:0006152; GO:0004731,metabolism,F,nucleotide transport and metabolism,purine-nucleoside phosphorylase (EC 2.4.2.1)
pup,b4384,purine nucleoside phosphorylase,4.3077e-05,GO:0042278; GO:0016763; GO:0016757; GO:0016740; GO:0009116; GO:0006139; GO:0003824; GO:0006974; GO:0042802; GO:0005829; GO:0019686; GO:0006152; GO:0004731,metabolism,F,nucleotide transport and metabolism,purine-nucleoside phosphorylase (EC 2.4.2.1)
deor,b0840,DNA-binding transcriptional repressor DeoR,4.7389679999999997e-05,GO:0006355; GO:0003677; GO:0003700; GO:0005829; GO:2000143; GO:0000986,information storage and processing,K,transcription,"transcriptional regulator, DeoR family"
nucr,b0840,DNA-binding transcriptional repressor DeoR,4.7389679999999997e-05,GO:0006355; GO:0003677; GO:0003700; GO:0005829; GO:2000143; GO:0000986,information storage and processing,K,transcription,"transcriptional regulator, DeoR family"
"transcriptional repressor for deo operon, tsx, nupg",b0840,DNA-binding transcriptional repressor DeoR,4.7389679999999997e-05,GO:0006355; GO:0003677; GO:0003700; GO:0005829; GO:2000143; GO:0000986,information storage and processing,K,transcription,"transcriptional regulator, DeoR family"
der,b2511,50S ribosomal subunit stability factor,9.135976e-05,GO:0005515; GO:0043023; GO:0097216; GO:0005829; GO:0042254; GO:0032794; GO:0043022; GO:0003924; GO:0005525; GO:0000166; GO:0000027,poorly characterized,R,general function prediction only,GTPase; multicopy suppressor of ftsJ
yfgk,b2511,50S ribosomal subunit stability factor,9.135976e-05,GO:0005515; GO:0043023; GO:0097216; GO:0005829; GO:0042254; GO:0032794; GO:0043022; GO:0003924; GO:0005525; GO:0000166; GO:0000027,poorly characterized,R,general function prediction only,GTPase; multicopy suppressor of ftsJ
enga,b2511,50S ribosomal subunit stability factor,9.135976e-05,GO:0005515; GO:0043023; GO:0097216; GO:0005829; GO:0042254; GO:0032794; GO:0043022; GO:0003924; GO:0005525; GO:0000166; GO:0000027,poorly characterized,R,general function prediction only,GTPase; multicopy suppressor of ftsJ
dfp,b3639,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,7.210708e-05,GO:0042802; GO:0005515; GO:0016874; GO:0016831; GO:0016829; GO:0008152; GO:0003824; GO:0015941; GO:0005829; GO:0010181; GO:0046872; GO:0004633; GO:0004632; GO:0015937,metabolism,H,coenzyme transport and metabolism,Phosphopantothenate-cysteine ligase (EC 6.3.2.5)/Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36)
coabc,b3639,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,7.210708e-05,GO:0042802; GO:0005515; GO:0016874; GO:0016831; GO:0016829; GO:0008152; GO:0003824; GO:0015941; GO:0005829; GO:0010181; GO:0046872; GO:0004633; GO:0004632; GO:0015937,metabolism,H,coenzyme transport and metabolism,Phosphopantothenate-cysteine ligase (EC 6.3.2.5)/Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36)
dgcc,b0385,diguanylate cyclase DgcC,6.895142e-05,GO:1902201; GO:0043709; GO:0052621; GO:0046872; GO:0016740; GO:0005525; GO:0000166; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,T,signal transduction mechanisms,"diguanylate cyclase for cellulose, biofilm, motility regulation"
adra,b0385,diguanylate cyclase DgcC,6.895142e-05,GO:1902201; GO:0043709; GO:0052621; GO:0046872; GO:0016740; GO:0005525; GO:0000166; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,T,signal transduction mechanisms,"diguanylate cyclase for cellulose, biofilm, motility regulation"
yaic,b0385,diguanylate cyclase DgcC,6.895142e-05,GO:1902201; GO:0043709; GO:0052621; GO:0046872; GO:0016740; GO:0005525; GO:0000166; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,T,signal transduction mechanisms,"diguanylate cyclase for cellulose, biofilm, motility regulation"
dgce,b2067,putative diguanylate cyclase DgcE,0.00020565242,GO:0016021; GO:0016020; GO:0005886; GO:0016740; GO:0046872; GO:0005525; GO:0000166; GO:0052621,cellular processes and signaling,T,signal transduction mechanisms,"predicted diguanylate cyclase, GGDEF domain signalling protein"
yege,b2067,putative diguanylate cyclase DgcE,0.00020565242,GO:0016021; GO:0016020; GO:0005886; GO:0016740; GO:0046872; GO:0005525; GO:0000166; GO:0052621,cellular processes and signaling,T,signal transduction mechanisms,"predicted diguanylate cyclase, GGDEF domain signalling protein"
dgcf,b1522,putative diguanylate cyclase DgcF,5.697452e-05,GO:1902201; GO:0052621; GO:0046872; GO:0043709; GO:0016740; GO:0005525; GO:0000166; GO:1902021; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,T,signal transduction mechanisms,predicted diguanylate cyclase
ynef,b1522,putative diguanylate cyclase DgcF,5.697452e-05,GO:1902201; GO:0052621; GO:0046872; GO:0043709; GO:0016740; GO:0005525; GO:0000166; GO:1902021; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,T,signal transduction mechanisms,predicted diguanylate cyclase
dgci,b0834,putative diguanylate cyclase DgcI,8.278918e-05,GO:1902201; GO:0052621; GO:0046872; GO:0043709; GO:0016740; GO:0005525; GO:0000166; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,T,signal transduction mechanisms,predicted diguanylate cyclase
ylif,b0834,putative diguanylate cyclase DgcI,8.278918e-05,GO:1902201; GO:0052621; GO:0046872; GO:0043709; GO:0016740; GO:0005525; GO:0000166; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,T,signal transduction mechanisms,predicted diguanylate cyclase
dgcj,b1786,putative diguanylate cyclase DgcJ,9.396098e-05,GO:0043709; GO:0005525; GO:0000166; GO:1902201; GO:0005515; GO:0052621; GO:0046872; GO:0016740; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,T,signal transduction mechanisms,predicted diguanylate cyclase
yeaj,b1786,putative diguanylate cyclase DgcJ,9.396098e-05,GO:0043709; GO:0005525; GO:0000166; GO:1902201; GO:0005515; GO:0052621; GO:0046872; GO:0016740; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,T,signal transduction mechanisms,predicted diguanylate cyclase
dgcm,b1341,diguanylate cyclase DgcM,7.711032e-05,GO:1902201; GO:0043709; GO:0005886; GO:0019935; GO:0051091; GO:0042802; GO:0005515; GO:1900233; GO:0052621; GO:0046872; GO:0016740; GO:0005525; GO:0000166,cellular processes and signaling,T,signal transduction mechanisms,"diguanylate cyclase, csgD regulator"
ydam,b1341,diguanylate cyclase DgcM,7.711032e-05,GO:1902201; GO:0043709; GO:0005886; GO:0019935; GO:0051091; GO:0042802; GO:0005515; GO:1900233; GO:0052621; GO:0046872; GO:0016740; GO:0005525; GO:0000166,cellular processes and signaling,T,signal transduction mechanisms,"diguanylate cyclase, csgD regulator"
dgcn,b2604,diguanylate cyclase DgcN,7.634173999999999e-05,GO:0043709; GO:0042802; GO:0036460; GO:0005515; GO:0032153; GO:0016740; GO:1902201; GO:0007165; GO:0046872; GO:0005525; GO:0000166; GO:0052621; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,T,signal transduction mechanisms,predicted diguanylate cyclase
yfin,b2604,diguanylate cyclase DgcN,7.634173999999999e-05,GO:0043709; GO:0042802; GO:0036460; GO:0005515; GO:0032153; GO:0016740; GO:1902201; GO:0007165; GO:0046872; GO:0005525; GO:0000166; GO:0052621; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,T,signal transduction mechanisms,predicted diguanylate cyclase
dgcp,b1794,diguanylate cyclase DgcP,6.398636e-05,GO:0016740; GO:0046872; GO:0000166; GO:0005525; GO:0052621,cellular processes and signaling,T,signal transduction mechanisms,diguanylate cyclase with GAF sensor
yeap,b1794,diguanylate cyclase DgcP,6.398636e-05,GO:0016740; GO:0046872; GO:0000166; GO:0005525; GO:0052621,cellular processes and signaling,T,signal transduction mechanisms,diguanylate cyclase with GAF sensor
dgcq,b1956,putative diguanylate cyclase DgcQ,0.00010670978,GO:0043709; GO:0016740; GO:1902201; GO:0046872; GO:0005525; GO:0000166; GO:0052621; GO:0005886; GO:0030244; GO:0016021; GO:0016020,cellular processes and signaling,T,signal transduction mechanisms,predicted diguanylate cyclase
yedq,b1956,putative diguanylate cyclase DgcQ,0.00010670978,GO:0043709; GO:0016740; GO:1902201; GO:0046872; GO:0005525; GO:0000166; GO:0052621; GO:0005886; GO:0030244; GO:0016021; GO:0016020,cellular processes and signaling,T,signal transduction mechanisms,predicted diguanylate cyclase
dgct,b1025,probable diguanylate cyclase DgcT,8.595978e-05,GO:0090609; GO:0016740; GO:0046872; GO:0005525; GO:0000166; GO:0005886; GO:0052621; GO:0051271; GO:0016021; GO:0016020,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ycdt,b1025,probable diguanylate cyclase DgcT,8.595978e-05,GO:0090609; GO:0016740; GO:0046872; GO:0005525; GO:0000166; GO:0005886; GO:0052621; GO:0051271; GO:0016021; GO:0016020,Not Assigned,Not Assigned,Not Assigned,Not Assigned
dgcz,b1535,diguanylate cyclase DgcZ,5.6212579999999996e-05,GO:1902201; GO:0008152; GO:0005886; GO:0003824; GO:0042802; GO:0060187; GO:1900233; GO:0005515; GO:0005829; GO:0042803; GO:0008270; GO:0016740; GO:1902209; GO:0046872; GO:0005525; GO:0000166; GO:0043709; GO:0051271; GO:0052621,cellular processes and signaling,T,signal transduction mechanisms,"diguanylate cyclase, required for pgaD induction"
ydeg,b1535,diguanylate cyclase DgcZ,5.6212579999999996e-05,GO:1902201; GO:0008152; GO:0005886; GO:0003824; GO:0042802; GO:0060187; GO:1900233; GO:0005515; GO:0005829; GO:0042803; GO:0008270; GO:0016740; GO:1902209; GO:0046872; GO:0005525; GO:0000166; GO:0043709; GO:0051271; GO:0052621,cellular processes and signaling,T,signal transduction mechanisms,"diguanylate cyclase, required for pgaD induction"
ydeh,b1535,diguanylate cyclase DgcZ,5.6212579999999996e-05,GO:1902201; GO:0008152; GO:0005886; GO:0003824; GO:0042802; GO:0060187; GO:1900233; GO:0005515; GO:0005829; GO:0042803; GO:0008270; GO:0016740; GO:1902209; GO:0046872; GO:0005525; GO:0000166; GO:0043709; GO:0051271; GO:0052621,cellular processes and signaling,T,signal transduction mechanisms,"diguanylate cyclase, required for pgaD induction"
dgd,,D-galactose 1-dehydrogenase,,no ontology,,,,
dgka,b4042,diacylglycerol kinase,2.1986699999999997e-05,GO:0046872; GO:0042802; GO:0008610; GO:0009411; GO:0016740; GO:0016301; GO:0008654; GO:0006629; GO:0016310; GO:0005524; GO:0000166; GO:0005886; GO:0016021; GO:0016020; GO:0004143; GO:0006654,metabolism,I,lipid transport and metabolism,diacylglycerol kinase (EC 2.7.1.107)
dgoa,b4477,DEHYDDEOXPHOSGALACT-ALDOL-MONOMER,3.550906e-05,GO:0005829; GO:0016829; GO:0003824; GO:0034194; GO:0008674,metabolism,G,carbohydrate transport and metabolism,2-keto-3-deoxy-phosphogalactonate aldolase (EC 4.1.2.21)
yidu,b4477,DEHYDDEOXPHOSGALACT-ALDOL-MONOMER,3.550906e-05,GO:0005829; GO:0016829; GO:0003824; GO:0034194; GO:0008674,metabolism,G,carbohydrate transport and metabolism,2-keto-3-deoxy-phosphogalactonate aldolase (EC 4.1.2.21)
dgod,b4478,GALACTONATE-DEHYDRATASE-MONOMER,7.058818000000001e-05,GO:0000287; GO:0016829; GO:0009063; GO:0046872; GO:0034194; GO:0008869,poorly characterized,R,general function prediction only,galactonate dehydratase (EC 4.2.1.6)
yidu,b4478,GALACTONATE-DEHYDRATASE-MONOMER,7.058818000000001e-05,GO:0000287; GO:0016829; GO:0009063; GO:0046872; GO:0034194; GO:0008869,poorly characterized,R,general function prediction only,galactonate dehydratase (EC 4.2.1.6)
dgok,b3693,DEHYDDEOXGALACTKIN-MONOMER,5.208084e-05,GO:0046835; GO:0005829; GO:0016740; GO:0016301; GO:0016310; GO:0005524; GO:0000166; GO:0034194; GO:0008671,metabolism,G,carbohydrate transport and metabolism,2-keto-3-deoxygalactonate kinase (EC 2.7.1.58)
yidv,b3693,DEHYDDEOXGALACTKIN-MONOMER,5.208084e-05,GO:0046835; GO:0005829; GO:0016740; GO:0016301; GO:0016310; GO:0005524; GO:0000166; GO:0034194; GO:0008671,metabolism,G,carbohydrate transport and metabolism,2-keto-3-deoxygalactonate kinase (EC 2.7.1.58)
dgor,b4479,DNA-binding transcriptional regulator DgoR,4.32928e-05,GO:0000986; GO:0098531; GO:0001217; GO:0001017; GO:2000143; GO:0042802; GO:0010677; GO:0003700; GO:0005829; GO:0003677; GO:0006355,information storage and processing,K,transcription,"transcriptional regulator, GntR family"
yidw,b4479,DNA-binding transcriptional regulator DgoR,4.32928e-05,GO:0000986; GO:0098531; GO:0001217; GO:0001017; GO:2000143; GO:0042802; GO:0010677; GO:0003700; GO:0005829; GO:0003677; GO:0006355,information storage and processing,K,transcription,"transcriptional regulator, GntR family"
dgot,b3691,D-galactonate:H+ symporter,7.814782e-05,GO:0005887; GO:0015295; GO:0042881; GO:0042875; GO:0034194; GO:0055085; GO:0005886; GO:0016021; GO:0016020,metabolism,G,carbohydrate transport and metabolism,D-galactonate transporter
yidt,b3691,D-galactonate:H+ symporter,7.814782e-05,GO:0005887; GO:0015295; GO:0042881; GO:0042875; GO:0034194; GO:0055085; GO:0005886; GO:0016021; GO:0016020,metabolism,G,carbohydrate transport and metabolism,D-galactonate transporter
dgt,b0160,dGTP triphosphohydrolase,9.857578e-05,GO:0016793; GO:0042802; GO:0016787; GO:0006203; GO:0000287; GO:0005829; GO:0043099; GO:0003697; GO:0050897; GO:0030145; GO:0003924; GO:0008832; GO:0015949,metabolism,F,nucleotide transport and metabolism,deoxyguanosine triphosphate triphosphohydrolase
opta,b0160,dGTP triphosphohydrolase,9.857578e-05,GO:0016793; GO:0042802; GO:0016787; GO:0006203; GO:0000287; GO:0005829; GO:0043099; GO:0003697; GO:0050897; GO:0030145; GO:0003924; GO:0008832; GO:0015949,metabolism,F,nucleotide transport and metabolism,deoxyguanosine triphosphate triphosphohydrolase
dhak,b1200,dihydroxyacetone kinase subunit K,6.34369e-05,GO:0042802; GO:0061610; GO:0042803; GO:0016740; GO:0016301; GO:0004371; GO:0019563; GO:0006974; GO:0016310; GO:0042182; GO:0046365; GO:0005829; GO:0006071; GO:0005515; GO:0047324,metabolism,G,carbohydrate transport and metabolism,dihydroxyacetone kinase DhaK subunit (EC 2.7.1.121)
ycgt,b1200,dihydroxyacetone kinase subunit K,6.34369e-05,GO:0042802; GO:0061610; GO:0042803; GO:0016740; GO:0016301; GO:0004371; GO:0019563; GO:0006974; GO:0016310; GO:0042182; GO:0046365; GO:0005829; GO:0006071; GO:0005515; GO:0047324,metabolism,G,carbohydrate transport and metabolism,dihydroxyacetone kinase DhaK subunit (EC 2.7.1.121)
dhal,b1199,dihydroxyacetone kinase subunit L,3.756912e-05,GO:0047324; GO:0046872; GO:0005737; GO:0005829; GO:0016772; GO:0016740; GO:0016301; GO:0000166; GO:0019563; GO:0004371; GO:0016310; GO:0000287; GO:0005515; GO:0043531; GO:0006071; GO:0005524,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ycgs,b1199,dihydroxyacetone kinase subunit L,3.756912e-05,GO:0047324; GO:0046872; GO:0005737; GO:0005829; GO:0016772; GO:0016740; GO:0016301; GO:0000166; GO:0019563; GO:0004371; GO:0016310; GO:0000287; GO:0005515; GO:0043531; GO:0006071; GO:0005524,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ysgs,b1199,dihydroxyacetone kinase subunit L,3.756912e-05,GO:0047324; GO:0046872; GO:0005737; GO:0005829; GO:0016772; GO:0016740; GO:0016301; GO:0000166; GO:0019563; GO:0004371; GO:0016310; GO:0000287; GO:0005515; GO:0043531; GO:0006071; GO:0005524,Not Assigned,Not Assigned,Not Assigned,Not Assigned
dham,b1198,dihydroxyacetone kinase subunit M,8.540534e-05,GO:0019563; GO:0016740; GO:0047324; GO:0005829; GO:0042803; GO:0016772; GO:0016021; GO:0006974; GO:0016310; GO:0009401,Not Assigned,Not Assigned,Not Assigned,Not Assigned
dhah,b1198,dihydroxyacetone kinase subunit M,8.540534e-05,GO:0019563; GO:0016740; GO:0047324; GO:0005829; GO:0042803; GO:0016772; GO:0016021; GO:0006974; GO:0016310; GO:0009401,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ycgc,b1198,dihydroxyacetone kinase subunit M,8.540534e-05,GO:0019563; GO:0016740; GO:0047324; GO:0005829; GO:0042803; GO:0016772; GO:0016021; GO:0006974; GO:0016310; GO:0009401,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ptsd,b1198,dihydroxyacetone kinase subunit M,8.540534e-05,GO:0019563; GO:0016740; GO:0047324; GO:0005829; GO:0042803; GO:0016772; GO:0016021; GO:0006974; GO:0016310; GO:0009401,Not Assigned,Not Assigned,Not Assigned,Not Assigned
dhar,b1201,DNA-binding transcriptional dual regulator DhaR,0.00011713292,GO:0005515; GO:0005829; GO:0043565; GO:0008134; GO:0006355; GO:0006071; GO:0005524; GO:0003677; GO:0000166; GO:0006351,information storage and processing,K,transcription,DNA-binding transcription activator of the dhaKLM operon
ycgu,b1201,DNA-binding transcriptional dual regulator DhaR,0.00011713292,GO:0005515; GO:0005829; GO:0043565; GO:0008134; GO:0006355; GO:0006071; GO:0005524; GO:0003677; GO:0000166; GO:0006351,information storage and processing,K,transcription,DNA-binding transcription activator of the dhaKLM operon
diaa,b3149,DnaA initiator-associating factor for replication initiation,3.5035960000000005e-05,GO:1901135; GO:0097367; GO:0005829; GO:0032298; GO:0042803; GO:0006260; GO:0042802; GO:0005515,metabolism,G,carbohydrate transport and metabolism,DnaA-interacting protein DiaA
yrao,b3149,DnaA initiator-associating factor for replication initiation,3.5035960000000005e-05,GO:1901135; GO:0097367; GO:0005829; GO:0032298; GO:0042803; GO:0006260; GO:0042802; GO:0005515,metabolism,G,carbohydrate transport and metabolism,DnaA-interacting protein DiaA
dica,b1570,DNA-binding transcriptional dual regulator DicA,2.5988960000000002e-05,GO:0005829; GO:0051301; GO:0007049; GO:0003677; GO:0006351,information storage and processing,K,transcription,Qin prophage; predicted regulator for DicB
ftst,b1570,DNA-binding transcriptional dual regulator DicA,2.5988960000000002e-05,GO:0005829; GO:0051301; GO:0007049; GO:0003677; GO:0006351,information storage and processing,K,transcription,Qin prophage; predicted regulator for DicB
dicb,b1575,Qin prophage; cell division inhibition protein DicB,1.1560240000000001e-05,GO:0005515; GO:0051782; GO:0005829; GO:0051301; GO:0051302; GO:0007049,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ftst,b1575,Qin prophage; cell division inhibition protein DicB,1.1560240000000001e-05,GO:0005515; GO:0051782; GO:0005829; GO:0051301; GO:0051302; GO:0007049,Not Assigned,Not Assigned,Not Assigned,Not Assigned
dicc,b1569,Qin prophage; DNA-binding transcriptional regulator for DicB,1.4239479999999998e-05,GO:0051301; GO:0007049; GO:0003677,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ftst,b1569,Qin prophage; DNA-binding transcriptional regulator for DicB,1.4239479999999998e-05,GO:0051301; GO:0007049; GO:0003677,Not Assigned,Not Assigned,Not Assigned,Not Assigned
dicf,b1574,Qin prophage; small regulatory RNA DicF,,GO:0051782; GO:1903231; GO:0005515; GO:1902201; GO:1900191,Not Assigned,Not Assigned,Not Assigned,Not Assigned
dinb,b0231,DNA polymerase IV,6.559656e-05,GO:0019985; GO:0006261; GO:0000287; GO:0070987; GO:0042276; GO:0016779; GO:0016740; GO:0006281; GO:0005515; GO:0003684; GO:0000731; GO:0005829; GO:0046872; GO:0006974; GO:0006260; GO:0003677; GO:0003887; GO:0009432; GO:0005737,information storage and processing,L,"Replication, recombination, and repair",DNA polymerase IV
dinp,b0231,DNA polymerase IV,6.559656e-05,GO:0019985; GO:0006261; GO:0000287; GO:0070987; GO:0042276; GO:0016779; GO:0016740; GO:0006281; GO:0005515; GO:0003684; GO:0000731; GO:0005829; GO:0046872; GO:0006974; GO:0006260; GO:0003677; GO:0003887; GO:0009432; GO:0005737,information storage and processing,L,"Replication, recombination, and repair",DNA polymerase IV
pol iv,b0231,DNA polymerase IV,6.559656e-05,GO:0019985; GO:0006261; GO:0000287; GO:0070987; GO:0042276; GO:0016779; GO:0016740; GO:0006281; GO:0005515; GO:0003684; GO:0000731; GO:0005829; GO:0046872; GO:0006974; GO:0006260; GO:0003677; GO:0003887; GO:0009432; GO:0005737,information storage and processing,L,"Replication, recombination, and repair",DNA polymerase IV
dind,b3645,DNA damage-inducible protein D,5.1589479999999997e-05,GO:0006974; GO:0005829; GO:0009432,Not Assigned,Not Assigned,Not Assigned,Not Assigned
yicd,b3645,DNA damage-inducible protein D,5.1589479999999997e-05,GO:0006974; GO:0005829; GO:0009432,Not Assigned,Not Assigned,Not Assigned,Not Assigned
pcsa,b3645,DNA damage-inducible protein D,5.1589479999999997e-05,GO:0006974; GO:0005829; GO:0009432,Not Assigned,Not Assigned,Not Assigned,Not Assigned
dinf,b4044,DNA damage-inducible protein F,8.241236e-05,GO:0042910; GO:0042908; GO:0055085; GO:0015297; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,V,defense mechanisms,DNA-damage-inducible SOS response protein
ding,b0799,ATP-dependent DNA helicase DinG,0.00013519039999999999,GO:0016818; GO:0016887; GO:0004386; GO:0009432; GO:0033677; GO:0005515; GO:0016787; GO:0006139; GO:0051539; GO:0051536; GO:0046872; GO:0003676; GO:0032508; GO:0005829; GO:0003678; GO:0006974; GO:0006310; GO:0005524; GO:0003677; GO:0000166; GO:0006281,information storage and processing,L,"Replication, recombination, and repair",ATP-dependent DNA helicase
rarb,b0799,ATP-dependent DNA helicase DinG,0.00013519039999999999,GO:0016818; GO:0016887; GO:0004386; GO:0009432; GO:0033677; GO:0005515; GO:0016787; GO:0006139; GO:0051539; GO:0051536; GO:0046872; GO:0003676; GO:0032508; GO:0005829; GO:0003678; GO:0006974; GO:0006310; GO:0005524; GO:0003677; GO:0000166; GO:0006281,information storage and processing,L,"Replication, recombination, and repair",ATP-dependent DNA helicase
dini,b1061,DNA damage-inducible protein I,1.485534e-05,GO:0005829; GO:0019899; GO:0006974; GO:0006281; GO:0009432,Not Assigned,Not Assigned,Not Assigned,Not Assigned
dinj,b0226,antitoxin/DNA-binding transcriptional repressor DinJ,1.561396e-05,GO:0006355; GO:0006351; GO:0043565; GO:0032993; GO:0042803; GO:0005829; GO:0003677; GO:0000986; GO:0044010; GO:2000143; GO:0005515; GO:0015643,cellular processes and signaling,V,defense mechanisms,antitoxin of YafQ-DinJ toxin-antitoxin system
sosa,b0226,antitoxin/DNA-binding transcriptional repressor DinJ,1.561396e-05,GO:0006355; GO:0006351; GO:0043565; GO:0032993; GO:0042803; GO:0005829; GO:0003677; GO:0000986; GO:0044010; GO:2000143; GO:0005515; GO:0015643,cellular processes and signaling,V,defense mechanisms,antitoxin of YafQ-DinJ toxin-antitoxin system
dinj antitoxin of yafq-dinj toxin-antitoxin system / dna-binding transcriptional repressor,b0226,antitoxin/DNA-binding transcriptional repressor DinJ,1.561396e-05,GO:0006355; GO:0006351; GO:0043565; GO:0032993; GO:0042803; GO:0005829; GO:0003677; GO:0000986; GO:0044010; GO:2000143; GO:0005515; GO:0015643,cellular processes and signaling,V,defense mechanisms,antitoxin of YafQ-DinJ toxin-antitoxin system
dinq,b4613,membrane toxin DinQ,5.01486e-06,GO:0005886; GO:0006974; GO:0016021; GO:0016020,Not Assigned,Not Assigned,Not Assigned,Not Assigned
uv inducible membrane toxin dinq,b4613,membrane toxin DinQ,5.01486e-06,GO:0005886; GO:0006974; GO:0016021; GO:0016020,Not Assigned,Not Assigned,Not Assigned,Not Assigned
djla,b0055,co-chaperone protein DjlA,5.076114e-05,GO:0005887; GO:0051087; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones","DnaJ-like protein, membrane anchored"
yabh,b0055,co-chaperone protein DjlA,5.076114e-05,GO:0005887; GO:0051087; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones","DnaJ-like protein, membrane anchored"
djlb,b0646,putative chaperone,9.172496e-05,GO:0005887; GO:0005829,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ybes,b0646,putative chaperone,9.172496e-05,GO:0005887; GO:0005829,Not Assigned,Not Assigned,Not Assigned,Not Assigned
djlc,b0649,co-chaperone DjlC,9.243212000000001e-05,GO:0046686; GO:0005887; GO:0032781; GO:0005829; GO:0001671,Not Assigned,Not Assigned,Not Assigned,Not Assigned
hscd,b0649,co-chaperone DjlC,9.243212000000001e-05,GO:0046686; GO:0005887; GO:0032781; GO:0005829; GO:0001671,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ybev,b0649,co-chaperone DjlC,9.243212000000001e-05,GO:0046686; GO:0005887; GO:0032781; GO:0005829; GO:0001671,Not Assigned,Not Assigned,Not Assigned,Not Assigned
hsc56,b0649,co-chaperone DjlC,9.243212000000001e-05,GO:0046686; GO:0005887; GO:0032781; GO:0005829; GO:0001671,Not Assigned,Not Assigned,Not Assigned,Not Assigned
dkga,b3012,methylglyoxal reductase DkgA,5.16426e-05,GO:0004032; GO:0008106; GO:0016491; GO:0016616; GO:0051596; GO:0005829; GO:0055114; GO:0019853; GO:0050580; GO:0005737,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism","2,5-diketo-D-gluconate reductase A"
yqhe,b3012,methylglyoxal reductase DkgA,5.16426e-05,GO:0004032; GO:0008106; GO:0016491; GO:0016616; GO:0051596; GO:0005829; GO:0055114; GO:0019853; GO:0050580; GO:0005737,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism","2,5-diketo-D-gluconate reductase A"
akr5c2,b3012,methylglyoxal reductase DkgA,5.16426e-05,GO:0004032; GO:0008106; GO:0016491; GO:0016616; GO:0051596; GO:0005829; GO:0055114; GO:0019853; GO:0050580; GO:0005737,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism","2,5-diketo-D-gluconate reductase A"
dkgb,b0207,methylglyoxal reductase DkgB,4.886542e-05,GO:0016491; GO:1990002; GO:0051596; GO:0005829; GO:0055114; GO:0019853; GO:0047681; GO:0005737; GO:0004033,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism","2,5-diketo-D-gluconate reductase B"
yafb,b0207,methylglyoxal reductase DkgB,4.886542e-05,GO:0016491; GO:1990002; GO:0051596; GO:0005829; GO:0055114; GO:0019853; GO:0047681; GO:0005737; GO:0004033,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism","2,5-diketo-D-gluconate reductase B"
