cog,complex,complex_annotation,func,protein,subunits
Transcription,CPLX0-7970,HypT-[Met]reduced,DNA-binding transcriptional dual regulator HypT,QseD,2.0
Inorganic ion transport and metabolism,CPLX0-7819,K+ : H+ antiporter KefC,K+ : H+ antiporter KefC,KefC,2.0
Inorganic ion transport and metabolism,ATPASE-1-CPLX,K+ transporting P-type ATPase,K+ transporting P-type ATPase subunit KdpB,KdpB,1.0
Carbohydrate transport and metabolism,KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX,KHG/KDPG aldolase,KHG/KDPG aldolase,Eda,3.0
Energy production and conversion,GLYCDEH-CPLX,"L-1,2-propanediol dehydrogenase / glycerol dehydrogenase","L-1,2-propanediol dehydrogenase / glycerol dehydrogenase",GldA,8.0
Energy production and conversion,LACTALDREDUCT-CPLX,"L-1,2-propanediol oxidoreductase","L-1,2-propanediol oxidoreductase",FucO,2.0
Aminio acid transport and metabolism,CPLX0-7962,L-amino acid N-acyltransferase,L-amino acid N-acyltransferase,MnaT,2.0
Carbohydrate transport and metabolism,ARABISOM-CPLX,L-arabinose isomerase,L-arabinose isomerase,AraA,6.0
Aminio acid transport and metabolism,ABC-4-CPLX,L-arginine ABC transporter,L-arginine ABC transporter membrane subunit ArtM,ArtM,1.0
Aminio acid transport and metabolism,ABC-4-CPLX,L-arginine ABC transporter,L-arginine ABC transporter ATP binding subunit,ArtP,2.0
Aminio acid transport and metabolism,ABC-4-CPLX,L-arginine ABC transporter,L-arginine ABC transporter membrane subunit ArtQ,ArtQ,1.0
Signal transduction mechanisms,ABC-4-CPLX,L-arginine ABC transporter,L-arginine ABC transporter periplasmic binding protein,ArtJ,1.0
Carbohydrate transport and metabolism,EIISGA,L-ascorbate specific PTS enzyme II,L-ascorbate specific PTS enzyme IIB component,UlaB,1.0
Signal transduction mechanisms,EIISGA,L-ascorbate specific PTS enzyme II,L-ascorbate specific PTS enzyme IIA component,UlaC,1.0
Carbohydrate transport and metabolism,CPLX0-7848,L-ascorbate-6-phosphate lactonase,L-ascorbate-6-phosphate lactonase,UlaG,6.0
"Intracellular trafficking, secretion, and vesicular transport",ANSA-CPLX,L-asparaginase 1,L-asparaginase 1,AnsA,4.0
"Intracellular trafficking, secretion, and vesicular transport",ANSB-CPLX,L-asparaginase 2,L-asparaginase 2,AnsB,4.0
Aminio acid transport and metabolism,CPLX0-246,L-cysteine desulfurase,L-cysteine desulfurase,SufS,2.0
Carbohydrate transport and metabolism,CPLX0-7631,L-fucose isomerase,L-fucose isomerase,FucI,6.0
Carbohydrate transport and metabolism,CPLX0-7645,L-fucose mutarotase,L-fucose mutarotase,FucU,6.0
Aminio acid transport and metabolism,ABC-12-CPLX,L-glutamine ABC transporter,L-glutamine ABC transporter membrane subunit,GlnP,2.0
Aminio acid transport and metabolism,ABC-12-CPLX,L-glutamine ABC transporter,L-glutamine ABC transporter ATP binding subunit,GlnQ,2.0
Signal transduction mechanisms,ABC-12-CPLX,L-glutamine ABC transporter,L-glutamine ABC transporter periplasmic binding protein,GlnH,1.0
Cell wall/membrane/envelope biogenesis,L-GLN-FRUCT-6-P-AMINOTRANS-CPLX,L-glutamine-D-fructose-6-phosphate aminotransferase,L-glutamine-D-fructose-6-phosphate aminotransferase,GlmS,2.0
Aminio acid transport and metabolism,METNIQ-METHIONINE-ABC-CPLX,L-methionine/D-methionine ABC transporter,L-methionine/D-methionine ABC transporter membrane subunit,MetI,2.0
Aminio acid transport and metabolism,METNIQ-METHIONINE-ABC-CPLX,L-methionine/D-methionine ABC transporter,L-methionine/D-methionine ABC transporter ATP binding subunit,MetN,2.0
Inorganic ion transport and metabolism,METNIQ-METHIONINE-ABC-CPLX,L-methionine/D-methionine ABC transporter,L-methionine/D-methionine ABC transporter membrane anchored binding protein,MetQ,1.0
Carbohydrate transport and metabolism,CPLX0-7652,L-rhamnose isomerase,L-rhamnose isomerase,RhaA,4.0
Aminio acid transport and metabolism,CPLX0-7622,L-serine deaminase III,L-serine deaminase III,TdcG,2.0
Aminio acid transport and metabolism,CPLX0-7684,L-valine exporter,"L-valine exporter, YgaZ component",YgaZ,1.0
Function unknown,CPLX0-7684,L-valine exporter,"L-valine exporter, YgaH component",YgaH,1.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-2881,Lon protease,Lon protease,Lon,6.0
Signal transduction mechanisms,CPLX0-841,MazE antitoxin of the MazF-MazE toxin-antitoxin system / DNA-binding transcriptional repressor,antitoxin of the MazF-MazE toxin-antitoxin system MazE,MazE,2.0
Signal transduction mechanisms,CPLX0-1242,MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor,antitoxin of the MazF-MazE toxin-antitoxin system MazE,MazE,2.0
Defense Mechanisms,CPLX0-1242,MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor,endoribonuclease toxin MazF,MazF,4.0
Defense Mechanisms,CPLX0-1241,MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity,endoribonuclease toxin MazF,MazF,2.0
Defense Mechanisms,CPLX0-2661,McrBC restriction endonuclease,5-methylcytosine-specific restriction enzyme subunit McrB,McrB,1.0
Defense Mechanisms,CPLX0-2661,McrBC restriction endonuclease,5-methylcytosine-specific restriction enzyme subunit McrC,McrC,1.0
Transcription,CPLX0-7796,MetJ-S-adenosylmethionine DNA-binding transcriptional repressor,DNA-binding transcriptional repressor MetJ,MetJ,2.0
Carbohydrate transport and metabolism,CPLX0-8255,Mlc-PtsG,"EIIBCglc - phosphorylated // ""glucose-specific PTS enzyme IIBC component""",PtsG,1.0
Transcription,CPLX0-8255,Mlc-PtsG,DNA-binding transcriptional repressor Mlc,Mlc,1.0
Transcription,CPLX0-7672,MntR-Mn2+ DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator MntR,MntR,2.0
Transcription,CPLX0-7822,MqsA-MqsR antitoxin/toxin complex,antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,MqsA,2.0
Function unknown,CPLX0-7822,MqsA-MqsR antitoxin/toxin complex,mRNA interferase / toxin of the MqsR-MqsA toxin-antitoxin system,MqsR,4.0
Transcription,MONOMER0-2461,MtlR-HPr,transcriptional repressor MtlR,MtlR,4.0
Function unknown,MONOMER0-2461,MtlR-HPr,hemolysin E,HlyE,4.0
"Cell cycle control, cell division, chromosome partitioning",CPLX0-7697,MukEF complex,chromosome partitioning protein MukE,MukE,4.0
"Cell cycle control, cell division, chromosome partitioning",CPLX0-7697,MukEF complex,chromosome partitioning protein MukF,MukF,2.0
"Cell cycle control, cell division, chromosome partitioning",CPLX0-7698,MukF dimer,chromosome partitioning protein MukF,MukF,2.0
"Replication, recombination, and repair",MUTHLS-CPLX,"MutHLS complex, methyl-directed mismatch repair",DNA mismatch repair protein MutH,MutH,1.0
"Replication, recombination, and repair",MUTHLS-CPLX,"MutHLS complex, methyl-directed mismatch repair",DNA mismatch repair protein MutL,MutL,1.0
"Replication, recombination, and repair",MUTHLS-CPLX,"MutHLS complex, methyl-directed mismatch repair",DNA mismatch repair protein MutS,MutS,2.0
Carbohydrate transport and metabolism,CPLX-167,N-acetylglucosamine-specific PTS enzyme II,N-acetylglucosamine-specific PTS enzyme IIABC component,NagE,2.0
Aminio acid transport and metabolism,N-ACETYLTRANSFER-CPLX,N-acetylglutamate synthase,N-acetylglutamate synthase,ArgA,6.0
Carbohydrate transport and metabolism,CPLX0-7,N-acetylmuramic acid-specific PTS enzyme II,Enzyme IIAGlc,Crr,1.0
Carbohydrate transport and metabolism,CPLX0-7,N-acetylmuramic acid-specific PTS enzyme II,N-acetylmuramic acid-specific PTS enzyme IICB component / anhydro-N-acetylmuramic acid transporter,MurP,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-8182,N6-L-threonylcarbamoyladenine synthase,"N6-L-threonylcarbamoyladenine synthase, TsaB subunit",TsaB,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-8182,N6-L-threonylcarbamoyladenine synthase,"N6-L-threonylcarbamoyladenine synthase, TsaD subunit",TsaD,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-8182,N6-L-threonylcarbamoyladenine synthase,"N6-L-threonylcarbamoyladenine synthase, TsaE subunit",TsaE,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-8181,"N6-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit","N6-L-threonylcarbamoyladenine synthase, TsaB subunit",TsaB,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-8181,"N6-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit","N6-L-threonylcarbamoyladenine synthase, TsaD subunit",TsaD,1.0
Nucleotide transport and metabolism,CPLX0-682,NAD kinase,NAD kinase,NadK,6.0
Coenzyme transport and metabolism,NAD-SYNTH-CPLX,"NAD synthetase, NH3-dependent","NAD synthetase, NH3-dependent",NadE,2.0
Energy production and conversion,DIHYDROPTERIREDUCT-CPLX,NAD(P)H nitroreductase NfsB,NAD(P)H nitroreductase NfsB,NfnB,2.0
Energy production and conversion,CPLX0-7632,NAD(P)H:quinone oxidoreductase,NAD(P)H:quinone oxidoreductase,WrbA,4.0
Aminio acid transport and metabolism,CPLX0-7788,NAD-dependent dihydropyrimidine dehydrogenase,NAD-dependent dihydropyrimidine dehydrogenase subunit PreT,PreT,2.0
Nucleotide transport and metabolism,CPLX0-7788,NAD-dependent dihydropyrimidine dehydrogenase,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,YeiA,2.0
Energy production and conversion,MALIC-NAD-CPLX,NAD+-dependent malate dehydrogenase,NAD+-dependent malate dehydrogenase,MaeA,4.0
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase subunit A,NuoA,1.0
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase subunit B,NuoB,1.0
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase subunit CD,NuoC,1.0
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase subunit E,NuoE,1.0
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase subunit F,NuoF,1.0
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase subunit G,NuoG,1.0
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase subunit H,NuoH,1.0
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase subunit I,NuoI,1.0
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase subunit J,NuoJ,1.0
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase subunit K,NuoK,1.0
Energy production and conversion,NADH-DHI-CPLX,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase subunit N,NuoN,1.0
Inorganic ion transport and metabolism,NADH-DHI-CPLX,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase subunit L,NuoL,1.0
Energy production and conversion,CPLX0-3361,"NADH:quinone oxidoreductase I, peripheral arm",NADH:quinone oxidoreductase subunit B,NuoB,1.0
Energy production and conversion,CPLX0-3361,"NADH:quinone oxidoreductase I, peripheral arm",NADH:quinone oxidoreductase subunit CD,NuoC,1.0
Energy production and conversion,CPLX0-3361,"NADH:quinone oxidoreductase I, peripheral arm",NADH:quinone oxidoreductase subunit E,NuoE,1.0
Energy production and conversion,CPLX0-3361,"NADH:quinone oxidoreductase I, peripheral arm",NADH:quinone oxidoreductase subunit F,NuoF,1.0
Energy production and conversion,CPLX0-3361,"NADH:quinone oxidoreductase I, peripheral arm",NADH:quinone oxidoreductase subunit G,NuoG,1.0
Energy production and conversion,CPLX0-3361,"NADH:quinone oxidoreductase I, peripheral arm",NADH:quinone oxidoreductase subunit I,NuoI,1.0
Energy production and conversion,MALIC-NADP-CPLX,NADP+-dependent malate dehydrogenase,NADP+-dependent malate dehydrogenase,MaeB,6.0
Energy production and conversion,CPLX0-224,NADPH-dependent FMN reductase,NADPH-dependent FMN reductase,SsuE,2.0
Energy production and conversion,CPLX0-7667,NADPH-dependent aldehyde reductase YqhD,NADPH-dependent aldehyde reductase YqhD,YqhD,2.0
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-7927,NADPH-dependent curcumin/dihydrocurcumin reductase,NADPH-dependent curcumin/dihydrocurcumin reductase,CurA,2.0
Energy production and conversion,CPLX0-244,NADPH-dependent nitroreductase NfsA,NADPH-dependent nitroreductase NfsA,NfsA,2.0
General function prediction only,CPLX0-253,NADPH:quinone oxidoreductase MdaB,NADPH:quinone oxidoreductase MdaB,MdaB,2.0
Coenzyme transport and metabolism,CPLXECOLI-7943,NMN amidohydrolase,NMN aminohydrolase,PncC,2.0
Inorganic ion transport and metabolism,CPLX0-7629,Na+:H+ antiporter NhaA,Na+:H+ antiporter NhaA,NhaA,2.0
Aminio acid transport and metabolism,ABC-20-CPLX,Ni(2+) ABC transporter,Ni(2+) ABC transporter periplasmic binding protein,NikA,1.0
Inorganic ion transport and metabolism,ABC-20-CPLX,Ni(2+) ABC transporter,Ni(2+) ABC transporter membrane subunit NikC,NikC,1.0
Transcription,CPLX0-7707,NikR-Ni DNA-binding transcriptional repressor,DNA-binding transcriptional repressor NikR,NikR,4.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7879,NusB-S10 complex,30S ribosomal subunit protein S10,RpsJ,1.0
Transcription,CPLX0-7879,NusB-S10 complex,transcription antitermination protein NusB,NusB,1.0
Transcription,CPLX0-8285,OmpR dimer,"OmpR-Phosphorylated // ""DNA-binding transcriptional dual regulator OmpR""",OmpR,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-3933,Outer Membrane Protein Assembly Complex,outer membrane protein assembly factor BamA,BamA,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-3933,Outer Membrane Protein Assembly Complex,outer membrane protein assembly factor BamB,BamB,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-3933,Outer Membrane Protein Assembly Complex,outer membrane protein assembly factor BamD,BamD,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-3933,Outer Membrane Protein Assembly Complex,outer membrane protein assembly factor BamE,BamE,1.0
Function unknown,CPLX0-3933,Outer Membrane Protein Assembly Complex,outer membrane protein assembly factor BamC,BamC,1.0
Coenzyme transport and metabolism,CPLX0-8185,PF10636 family protein YdiE,PF10636 family protein YdiE,YdiE,2.0
Signal transduction mechanisms,CPLX0-7938,PTS enzyme I,"HPr - phosphorylated // ""phosphocarrier protein HPr""",PtsH,2.0
Energy production and conversion,CPLX0-7988,PaaF-PaaG hydratase-isomerase complex,"phenylacetyl-CoA 1,2-epoxidase, reductase subunit",PaaE,6.0
Signal transduction mechanisms,PHOSPHO-PHOQ,PhoQ-N-phospho-L-histidine,sensor histidine kinase PhoQ,PhoQ,2.0
Signal transduction mechanisms,PHOSPHO-PHOR,PhoR-N-phospho-L-histidine,sensor histidine kinase PhoR,PhoR,2.0
Defense Mechanisms,CPLX0-7928,Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,RelB,4.0
Nucleotide transport and metabolism,CPLX0-7974,RNA decapping hydrolase,RNA decapping hydrolase,NudC,2.0
Transcription,CPLX0-221,RNA polymerase sigma 19,RNA polymerase sigma factor FecI,FecI,1.0
Transcription,CPLX0-221,RNA polymerase sigma 19,RNA polymerase subunit α,RpoA,2.0
Transcription,CPLX0-221,RNA polymerase sigma 19,RNA polymerase subunit β,RpoB,1.0
Transcription,CPLX0-221,RNA polymerase sigma 19,RNA polymerase subunit β',RpoC,1.0
Transcription,RNAPE-CPLX,RNA polymerase sigma 24,RNA polymerase subunit α,RpoA,2.0
Transcription,RNAPE-CPLX,RNA polymerase sigma 24,RNA polymerase subunit β,RpoB,1.0
Transcription,RNAPE-CPLX,RNA polymerase sigma 24,RNA polymerase subunit β',RpoC,1.0
Transcription,RNAPE-CPLX,RNA polymerase sigma 24,RNA polymerase sigma E factor,RpoE,1.0
Transcription,CPLX0-222,RNA polymerase sigma 28,"RNA polymerase, sigma 28 (sigma F) factor",FliA,1.0
Transcription,CPLX0-222,RNA polymerase sigma 28,RNA polymerase subunit α,RpoA,2.0
Transcription,CPLX0-222,RNA polymerase sigma 28,RNA polymerase subunit β,RpoB,1.0
Transcription,CPLX0-222,RNA polymerase sigma 28,RNA polymerase subunit β',RpoC,1.0
Transcription,RNAP32-CPLX,RNA polymerase sigma 32,RNA polymerase subunit α,RpoA,2.0
Transcription,RNAP32-CPLX,RNA polymerase sigma 32,RNA polymerase subunit β,RpoB,1.0
Transcription,RNAP32-CPLX,RNA polymerase sigma 32,RNA polymerase subunit β',RpoC,1.0
Transcription,RNAP32-CPLX,RNA polymerase sigma 32,"RNA polymerase, sigma 32 (sigma H) factor",RpoH,1.0
Transcription,RNAP54-CPLX,RNA polymerase sigma 54,RNA polymerase subunit α,RpoA,2.0
Transcription,RNAP54-CPLX,RNA polymerase sigma 54,RNA polymerase subunit β,RpoB,1.0
Transcription,RNAP54-CPLX,RNA polymerase sigma 54,RNA polymerase subunit β',RpoC,1.0
Transcription,RNAP54-CPLX,RNA polymerase sigma 54,"RNA polymerase, sigma 54 (sigma N) factor",RpoN,1.0
Transcription,RNAP70-CPLX,RNA polymerase sigma 70,RNA polymerase subunit α,RpoA,2.0
Transcription,RNAP70-CPLX,RNA polymerase sigma 70,RNA polymerase subunit β,RpoB,1.0
Transcription,RNAP70-CPLX,RNA polymerase sigma 70,RNA polymerase subunit β',RpoC,1.0
Transcription,RNAP70-CPLX,RNA polymerase sigma 70,"RNA polymerase, sigma 70 (sigma D) factor",RpoD,1.0
Transcription,RNAPS-CPLX,RNA polymerase sigma S,RNA polymerase subunit α,RpoA,2.0
Transcription,RNAPS-CPLX,RNA polymerase sigma S,RNA polymerase subunit β,RpoB,1.0
Transcription,RNAPS-CPLX,RNA polymerase sigma S,RNA polymerase subunit β',RpoC,1.0
Transcription,RNAPS-CPLX,RNA polymerase sigma S,"RNA polymerase, sigma S (sigma 38) factor",RpoS,1.0
Transcription,APORNAP-CPLX,"RNA polymerase, core enzyme",RNA polymerase subunit α,RpoA,2.0
Transcription,APORNAP-CPLX,"RNA polymerase, core enzyme",RNA polymerase subunit β,RpoB,1.0
Transcription,APORNAP-CPLX,"RNA polymerase, core enzyme",RNA polymerase subunit β',RpoC,1.0
Signal transduction mechanisms,CPLX0-1461,RNA-binding protein Hfq,RNA-binding protein Hfq,Hfq,6.0
"Translation, ribosomal structure, and biogenesis",CPLX0-1621,RNase G,RNase G,Rng,2.0
Transcription,CPLX0-3281,RNase III,RNase III,Rnc,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-1382,RNase P,RNase P protein component,RnpA,1.0
"Replication, recombination, and repair",CPLX0-3602,RNase T,RNase T,Rnt,2.0
Signal transduction mechanisms,CPLX0-7998,RNase adaptor protein,RNase adaptor protein,YhbJ,4.0
Transcription,PC00084,RcsAB DNA-binding transcriptional dual regulator,DNA-binding transcriptional activator RcsA,RcsA,1.0
Transcription,PC00084,RcsAB DNA-binding transcriptional dual regulator,"Pasp56 RcsB // ""DNA-binding transcriptional activator RcsB""",RcsB,1.0
Transcription,CPLX0-7916,RcsB-BglJ DNA-binding transcriptional activator,"Pasp56 RcsB // ""DNA-binding transcriptional activator RcsB""",RcsB,1.0
"Replication, recombination, and repair",RECFOR-CPLX,RecFOR complex,DNA repair protein RecF,RecF,1.0
"Replication, recombination, and repair",RECFOR-CPLX,RecFOR complex,DNA repair protein RecO,RecO,1.0
"Replication, recombination, and repair",RECFOR-CPLX,RecFOR complex,DNA repair protein RecR,RecR,1.0
Defense Mechanisms,CPLX0-7791,RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor,Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,RelB,4.0
Defense Mechanisms,CPLX0-7791,RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor,Qin prophage; mRNA interferase toxin RelE,RelE,4.0
Function unknown,CPLX0-7909,RnlA-RnlB toxin-antitoxin complex,"CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system",RnlA,1.0
Function unknown,CPLX0-7909,RnlA-RnlB toxin-antitoxin complex,CP4-57 prophage; antitoxin RnlB,YfjO,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-8208,S6:S18 ribosomal subunit complex,30S ribosomal subunit protein S6,RpsF,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-8208,S6:S18 ribosomal subunit complex,30S ribosomal subunit protein S18,RpsR,1.0
Cell wall/membrane/envelope biogenesis,SEC-SECRETION-CPLX,Sec Holo-Translocon,membrane protein insertase YidC,YidC,1.0
"Intracellular trafficking, secretion, and vesicular transport",SEC-SECRETION-CPLX,Sec Holo-Translocon,Sec translocon accessory complex subunit SecD,SecD,1.0
"Intracellular trafficking, secretion, and vesicular transport",SEC-SECRETION-CPLX,Sec Holo-Translocon,Sec translocon subunit SecE,SecE,1.0
"Intracellular trafficking, secretion, and vesicular transport",SEC-SECRETION-CPLX,Sec Holo-Translocon,Sec translocon accessory complex subunit SecF,SecF,1.0
"Intracellular trafficking, secretion, and vesicular transport",SEC-SECRETION-CPLX,Sec Holo-Translocon,Sec translocon subunit SecG,SecG,1.0
"Intracellular trafficking, secretion, and vesicular transport",SEC-SECRETION-CPLX,Sec Holo-Translocon,Sec translocon subunit SecY,SecY,1.0
"Intracellular trafficking, secretion, and vesicular transport",SEC-SECRETION-CPLX,Sec Holo-Translocon,Sec translocon accessory complex subunit YajC,YajC,1.0
Cell wall/membrane/envelope biogenesis,SECD-SECF-YAJC-YIDC-CPLX,Sec translocon accessory complex,membrane protein insertase YidC,YidC,1.0
"Intracellular trafficking, secretion, and vesicular transport",SECD-SECF-YAJC-YIDC-CPLX,Sec translocon accessory complex,Sec translocon accessory complex subunit SecD,SecD,1.0
"Intracellular trafficking, secretion, and vesicular transport",SECD-SECF-YAJC-YIDC-CPLX,Sec translocon accessory complex,Sec translocon accessory complex subunit SecF,SecF,1.0
"Intracellular trafficking, secretion, and vesicular transport",SECD-SECF-YAJC-YIDC-CPLX,Sec translocon accessory complex,Sec translocon accessory complex subunit YajC,YajC,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-8046,SecB chaperone,SecB chaperone,SecB,4.0
"Intracellular trafficking, secretion, and vesicular transport",SECE-G-Y-CPLX,SecYEG translocon,Sec translocon subunit SecE,SecE,1.0
"Intracellular trafficking, secretion, and vesicular transport",SECE-G-Y-CPLX,SecYEG translocon,Sec translocon subunit SecG,SecG,1.0
"Intracellular trafficking, secretion, and vesicular transport",SECE-G-Y-CPLX,SecYEG translocon,Sec translocon subunit SecY,SecY,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-8053,SelB-L-selenocysteinyl-tRNAsec,selenocysteine synthase,SelA,1.0
"Intracellular trafficking, secretion, and vesicular transport",SRP-CPLX,Signal Recognition Particle,signal recognition particle protein component,Ffh,1.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-1341,SufBC2D Fe-S cluster scaffold complex,Fe-S cluster scaffold complex subunit SufB,SufB,1.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-1341,SufBC2D Fe-S cluster scaffold complex,Fe-S cluster scaffold complex subunit SufC,SufC,2.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-1341,SufBC2D Fe-S cluster scaffold complex,Fe-S cluster scaffold complex subunit SufD,SufD,1.0
Signal transduction mechanisms,TAP-GLN,Tapgln,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",CheA,2.0
Signal transduction mechanisms,TAP-GLN,Tapgln,chemotaxis protein CheW,CheW,2.0
Signal transduction mechanisms,TAP-GLN,Tapgln,methyl-accepting chemotaxis protein Tap,Tap,12.0
Signal transduction mechanisms,TAP-GLUME,Tapglu-Me,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",CheA,2.0
Signal transduction mechanisms,TAP-GLUME,Tapglu-Me,chemotaxis protein CheW,CheW,2.0
Signal transduction mechanisms,TAP-GLUME,Tapglu-Me,methyl-accepting chemotaxis protein Tap,Tap,12.0
Signal transduction mechanisms,TAP-GLU,Tapglu,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",CheA,2.0
Signal transduction mechanisms,TAP-GLU,Tapglu,chemotaxis protein CheW,CheW,2.0
Signal transduction mechanisms,TAP-GLU,Tapglu,methyl-accepting chemotaxis protein Tap,Tap,12.0
Signal transduction mechanisms,TAR-GLN,Targln,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",CheA,2.0
Signal transduction mechanisms,TAR-GLN,Targln,chemotaxis protein CheW,CheW,2.0
Signal transduction mechanisms,TAR-GLN,Targln,methyl-accepting chemotaxis protein Tar,Tar,12.0
Signal transduction mechanisms,TAR-GLUME,Targlu-Me,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",CheA,2.0
Signal transduction mechanisms,TAR-GLUME,Targlu-Me,chemotaxis protein CheW,CheW,2.0
Signal transduction mechanisms,TAR-GLUME,Targlu-Me,methyl-accepting chemotaxis protein Tar,Tar,12.0
Signal transduction mechanisms,TAR-GLU,Targlu,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",CheA,2.0
Signal transduction mechanisms,TAR-GLU,Targlu,chemotaxis protein CheW,CheW,2.0
Signal transduction mechanisms,TAR-GLU,Targlu,methyl-accepting chemotaxis protein Tar,Tar,12.0
Cell wall/membrane/envelope biogenesis,CPLX0-2201,The Tol-Pal Cell Envelope Complex,peptidoglycan-associated outer membrane lipoprotein Pal,Pal,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-2201,The Tol-Pal Cell Envelope Complex,Tol-Pal system protein TolA,TolA,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-2201,The Tol-Pal Cell Envelope Complex,Tol-Pal system periplasmic protein TolB,TolB,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-2201,The Tol-Pal Cell Envelope Complex,Tol-Pal system protein TolQ,TolQ,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-2201,The Tol-Pal Cell Envelope Complex,Tol-Pal system protein TolR,TolR,1.0
Transcription,PHOSPHO-TORR,TorR-Phosphorylated DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator TorR,TorR,2.0
Transcription,CPLX0-2821,TorR-TorI,DNA-binding transcriptional dual regulator TorR,TorR,2.0
Signal transduction mechanisms,TRG-GLN,Trggln,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",CheA,2.0
Signal transduction mechanisms,TRG-GLN,Trggln,chemotaxis protein CheW,CheW,2.0
Signal transduction mechanisms,TRG-GLN,Trggln,methyl-accepting chemotaxis protein Trg,Trg,12.0
Signal transduction mechanisms,TRG-GLUME,Trgglu-Me,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",CheA,2.0
Signal transduction mechanisms,TRG-GLUME,Trgglu-Me,chemotaxis protein CheW,CheW,2.0
Signal transduction mechanisms,TRG-GLUME,Trgglu-Me,methyl-accepting chemotaxis protein Trg,Trg,12.0
Signal transduction mechanisms,TRG-GLU,Trgglu,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",CheA,2.0
Signal transduction mechanisms,TRG-GLU,Trgglu,chemotaxis protein CheW,CheW,2.0
Signal transduction mechanisms,TRG-GLU,Trgglu,methyl-accepting chemotaxis protein Trg,Trg,12.0
