"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Component-Of"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"frvB"	"b3899"	4090915	4092366	"putative PTS enzyme IIBC component FrvB"	"Chromosome Region 83, 4049078->4098456" // "frvA" // "frvB" // "frvX" // "frvR"	"proton transmembrane transport" // "carbohydrate transmembrane transport" // "fructose transmembrane transport" // "phosphorylation" // "carbohydrate transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"plasma membrane" // "integral component of membrane" // "membrane"	"protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity" // "carbohydrate:proton symporter activity" // "transferase activity" // "kinase activity" // "protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"
"jayE"	"b1152"	1206131	1206922	"e14 prophage; putative protein JayE"	"Chromosome Region 25, 1185096->1234474" // "tfaP" // "ycfK" // "ymfQ" // "jayE" // "beeE" // "ymfR" // "ymfN" // "ymfM" // "ymfL" // "ymfT"	""	"cytosol"	""
"pinH"	"b2648"	2783065	2783304	"putative invertase fragment"	"Chromosome Region 57, 2765224->2814602" // "pinH"	""	""	""
"yacH"	"b0117"	129407	131260	"DUF3300 domain-containing protein YacH"	"Chromosome Region 3, 98758->148136" // "yacH"	""	""	""
"sgcA"	"b4302"	4527549	4527980	"putative PTS enzyme IIA component SgcA"	"Chromosome Region 92, 4493489->4542867" // "sgcX" // "sgcB" // "sgcC" // "sgcQ" // "sgcA" // "sgcE" // "sgcR"	"phosphorylation" // "carbohydrate transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"cytosol" // "cytoplasm"	"kinase activity" // "transferase activity"
"mokA"	"b4647"	3720448	3720632		"Chromosome Region 76, 3703425->3752803"	""	""	""
"xisD"	"b4633"	565858	566079	"excisionase"	"Chromosome Region 12, 543169->592547"	""	""	""
"ampG"	"b0433"	452070	453545	"muropeptide:H<sup>+</sup> symporter"	"yajG-ampG" // "Chromosome Region 10, 444411->493789" // "ampG"	"proton transmembrane transport" // "cell wall organization" // "transmembrane transport" // "peptidoglycan transport" // "peptidoglycan metabolic process"	"plasma membrane" // "integral component of membrane" // "membrane"	"symporter activity" // "solute:proton symporter activity"
"glvC"	"b3683"	3862497	3863603	"putative PTS enzyme II component GlvC"	"Chromosome Region 79, 3851562->3900940" // "glvC" // "glvB" // "glvG" // "ysdC"	"carbohydrate transmembrane transport" // "carbohydrate transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"plasma membrane" // "integral component of membrane" // "membrane"	"protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"
"prfH"	"b0236"	253702	254202	"putative peptide chain release factor"	"Chromosome Region 6, 246895->296273" // "prfH" // "ykfJ"	""	"cytosol"	""
"yrhC"	"b4552"	3623887	3624132		"Chromosome Region 74, 3604667->3654045" // "yrhC"	""	""	""
"yejE"	"b2179"	2275273	2276298	"putative oligopeptide ABC transporter membrane subunit YejE"	"Chromosome Region 47, 2271434->2320812" // "yejF" // "yejE" // "yejB" // "yejA"	"transmembrane transport" // "oligopeptide transmembrane transport" // "microcin transport"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane" // "ATP-binding cassette (ABC) transporter complex"	""
"agaD"	"b3140"	3285478	3286269	"galactosamine-specific PTS enzyme IID component"	"Chromosome Region 67, 3259014->3308392" // "agaSYBCDI"	"phosphoenolpyruvate-dependent sugar phosphotransferase system" // "carbohydrate transport"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	""
"ybfO"	"b0703"	734220	735653	"RHS repeats-containing protein YbfO"	"Chromosome Region 15, 691306->740684" // "ybfC" // "ybfO"	""	""	""
"tfaS"	"b2353"	2470803	2471105		"Chromosome Region 51, 2468950->2518328" // "tfaS"	""	""	""
"yjcE"	"b4065"	4279980	4281629	"putative transporter YjcE"	"Chromosome Region 87, 4246594->4295972" // "yjcE"	"anion transmembrane transport" // "sodium ion import across plasma membrane" // "potassium ion transmembrane transport" // "regulation of intracellular pH" // "cation transport" // "proton transmembrane transport" // "transmembrane transport" // "sodium ion transport" // "ion transport"	"cell" // "plasma membrane" // "integral component of membrane" // "membrane"	"potassium:proton antiporter activity" // "sodium:proton antiporter activity" // "solute:proton antiporter activity" // "antiporter activity"
"yadI"	"b0129"	144577	145017	"putative PTS enzyme IIA component YadI"	"Chromosome Region 3, 98758->148136" // "yadI"	"phosphorylation" // "carbohydrate transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"cytosol" // "integral component of membrane" // "cytoplasm"	"kinase activity" // "transferase activity"
"ttcC"	"b4638"	1434958	1435008	"putative tRNA 2-thiocytidine (s(2)C32) synthase"	"Chromosome Region 30, 1431991->1481369"	""	""	""
"ybfI"	"b4636"	716721	716870		"Chromosome Region 15, 691306->740684"	""	""	""
"etk"	"b0981"	1042030	1044210	"protein-tyrosine kinase Etk"	"Chromosome Region 22, 1036959->1086337" // "gfcE" // "etp" // "etk"	"extracellular polysaccharide biosynthetic process" // "phosphorylation" // "lipopolysaccharide biosynthetic process" // "peptidyl-tyrosine autophosphorylation"	"membrane" // "plasma membrane" // "integral component of membrane"	"identical protein binding" // "transferase activity" // "kinase activity" // "ATP binding" // "nucleotide binding" // "protein tyrosine kinase activity"
"fryA"	"b2383"	2501990	2504485	"putative PTS multiphosphoryl transfer protein FryA"	"Chromosome Region 51, 2468950->2518328" // "fryB" // "fryC" // "ypdF" // "ypdE" // "fryA"	"carbohydrate transmembrane transport" // "phosphorylation" // "carbohydrate transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"cytosol" // "integral component of membrane" // "cytoplasm"	"protein binding" // "transferase activity, transferring phosphorus-containing groups" // "protein-N(PI)-phosphohistidine-sugar phosphotransferase activity" // "catalytic activity" // "metal ion binding" // "transferase activity" // "kinase activity" // "phosphoenolpyruvate-protein phosphotransferase activity"
"phnE"	"b4583"	4322443	4323281	"phosphonate/phosphate ABC transporter membrane subunit"	"Chromosome Region 88, 4295973->4345351" // "phnCDEEFGHIJKLMNOP"	""	""	""
"peaD"	"b4508"	566376	566687		"Chromosome Region 12, 543169->592547" // "peaD"	""	""	""
"mdtC"	"b2076"	2158386	2161463	"multidrug efflux pump RND permease subunit MdtC"	"Chromosome Region 44, 2123297->2172675" // "mdtABCD-baeSR"	"xenobiotic transport" // "transmembrane transport" // "bile acid and bile salt transport"	"efflux pump complex" // "integral component of membrane" // "membrane" // "plasma membrane" // "integral component of plasma membrane"	"solute:proton antiporter activity" // "transmembrane transporter activity" // "bile acid transmembrane transporter activity" // "protein binding"
"agaC"	"b3139"	3284685	3285488	"galactosamine-specific PTS enzyme IIC component"	"Chromosome Region 67, 3259014->3308392" // "agaSYBCDI"	"carbohydrate transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	""
"intG"	"b1936"	2012502	2012780	"putative defective phage integrase"	"Chromosome Region 41, 1975160->2024538" // "intG"	""	""	""
"yjhD"	"b4281"	4506626	4506856	"KpLE2 phage-like element; surface adhesin E-like protein"	"Chromosome Region 92, 4493489->4542867" // "yjhD"	""	""	""
"pstC"	"b3727"	3909439	3910398	"phosphate ABC transporter membrane subunit PstC"	"Chromosome Region 80, 3900941->3950319" // "pstCAB-phoU" // "pstSCA" // "pstSCAB-phoU"	"transmembrane transport" // "regulation of phosphatase activity" // "response to radiation" // "phosphate ion transmembrane transport" // "phosphate ion transport"	"ATP-binding cassette (ABC) transporter complex" // "integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"inorganic phosphate transmembrane transporter activity" // "ATPase-coupled phosphate ion transmembrane transporter activity"
"sgcC"	"b4304"	4528930	4530243	"putative PTS enzyme IIC component SgcC"	"Chromosome Region 92, 4493489->4542867" // "sgcX" // "sgcB" // "sgcC" // "sgcQ" // "sgcA" // "sgcE" // "sgcR"	"carbohydrate transmembrane transport" // "galactitol transport" // "carbohydrate transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"protein-phosphocysteine-galactitol-phosphotransferase system transporter activity" // "galactitol transmembrane transporter activity"
"yrdF"	"b4697"	3404495	3404637		"Chromosome Region 69, 3357772->3407150"	""	""	""
"ykiA"	"b0392"	408609	408950	"DUF2773 domain-containing protein YkiA"	"Chromosome Region 9, 395032->444410" // "ykiAp" // "ykiA"	""	""	""
"ynjC"	"b1755"	1837212	1838747	"putative ABC transporter membrane subunit YnjC"	"Chromosome Region 38, 1827023->1876401" // "ynjD" // "ynjC" // "ynjB" // "ynjA" // "ydjZ" // "ydjY" // "ydjX"	"transmembrane transport" // "transport"	"ATP-binding cassette (ABC) transporter complex" // "plasma membrane" // "integral component of membrane" // "membrane"	""
"cmtB"	"b2934"	3078887	3079330	"mannitol-specific PTS enzyme IIA component CmtB"	"Chromosome Region 63, 3061498->3110876" // "cmtB" // "cmtA" // "yggP" // "yggF" // "fumE" // "yggC"	"phosphorylation" // "carbohydrate transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"cytosol" // "cytoplasm"	"kinase activity" // "transferase activity"
"yoeH"	"b4641"	2068261	2068419		"Chromosome Region 42, 2024539->2073917"	""	""	""
"ulaA"	"b4193"	4419980	4421377	"L-ascorbate specific PTS enzyme IIC component"	"Chromosome Region 90, 4394731->4444109" // "ulaABCDEF"	"carbohydrate transport" // "L-ascorbic acid transmembrane transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"integral component of plasma membrane" // "membrane" // "plasma membrane" // "integral component of membrane"	"identical protein binding" // "protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity"
"phnM"	"b4095"	4316082	4317218	"RPnTP hydrolase"	"Chromosome Region 88, 4295973->4345351" // "phnLMNOP" // "phnCDEEFGHIJKLMNOP"	"organic phosphonate catabolic process"	"cytosol"	"hydrolase activity" // "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
"yfaH"	"b2238"	2349687	2349893	"putative uncharacterized protein YfaH"	"Chromosome Region 48, 2320813->2370191" // "yfaH"	""	""	""
"yrhA"	"b3443"			"putative uncharacterized protein YrhA"	"Chromosome Region 73, 3555288->3604666" // "insB-6" // "insA-6" // "insAB-6" // "yrhA" // "yhhZ"	""	""	""
"rhsE"	"b1456"	1527890	1529938	"RhsE protein in rhs element"	"Chromosome Region 31, 1481370->1530748" // "ydcD" // "rhsE"	""	"cytosol"	""
"ynfM"	"b1596"	1669699	1670952	"putative transporter YnfM"	"Chromosome Region 34, 1629507->1678885" // "ynfMp" // "ynfM"	"transmembrane transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity"
"ulaB"	"b4194"	4421393	4421698	"L-ascorbate specific PTS enzyme IIB component"	"Chromosome Region 90, 4394731->4444109" // "ulaABCDEF"	"phosphorylation" // "L-ascorbic acid transmembrane transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"cytosol" // "cytoplasm"	"protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity" // "protein-N(PI)-phosphohistidine-sugar phosphotransferase activity" // "transferase activity" // "kinase activity"
"ykfJ"	"b0235"	253467	253733	"RNA ligase superfamily protein YkfJ"	"Chromosome Region 6, 246895->296273" // "prfH" // "ykfJ"	""	""	""
"yneL"	"b1506"	1590334	1590536	"putative HTH-type transcriptional regulator YneL"	"Chromosome Region 33, 1580128->1629506" // "yneL"	""	""	""
"narK"	"b1223"	1277957	1279348	"nitrate:nitrite antiporter NarK"	"Chromosome Region 26, 1234475->1283853" // "narK" // "narK"	"transmembrane transport" // "nitrate assimilation" // "nitrate transport" // "nitrite transport"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"nitrite transmembrane transporter activity" // "nitrate transmembrane transporter activity" // "inorganic anion exchanger activity" // "high-affinity secondary active nitrite transmembrane transporter activity" // "nitrite efflux transmembrane transporter activity"
"agaV"	"b3133"	3280217	3280690	"<i>N</i>-acetyl-D-galactosamine specific PTS enzyme IIB component"	"Chromosome Region 67, 3259014->3308392" // "kbaZ-agaVWA"	"carbohydrate transmembrane transport" // "phosphorylation" // "phosphoenolpyruvate-dependent sugar phosphotransferase system" // "carbohydrate transport"	"cytosol" // "cytoplasm"	"kinase activity" // "transferase activity" // "protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"
"ypjI"	"b4644"	2775545	2775816	"putative UPF0401 protein YpjI"	"Chromosome Region 57, 2765224->2814602"	""	""	""
"yjdQ"	"b4654"	4362191	4362353		"Chromosome Region 89, 4345352->4394730"	""	""	""
"nanT"	"b3224"	3371084	3372574	"<i>N</i>-acetylneuraminate:H<sup>+</sup> symporter"	"Chromosome Region 69, 3357772->3407150" // "nanATEK-yhcH"	"carbohydrate transmembrane transport" // "proton transmembrane transport" // "sialic acid transport" // "transmembrane transport" // "carbohydrate transport"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"sialic acid:proton symporter activity" // "sialic acid transmembrane transporter activity" // "carbohydrate:proton symporter activity" // "carbohydrate transmembrane transporter activity"
"cmtA"	"b2933"	3077471	3078859	"mannitol-specific PTS enzyme IICB component CmtA"	"Chromosome Region 63, 3061498->3110876" // "cmtB" // "cmtA" // "yggP" // "yggF" // "fumE" // "yggC"	"carbohydrate transmembrane transport" // "mannitol transport" // "phosphorylation" // "carbohydrate transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity" // "kinase activity" // "transferase activity" // "protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"
"ygeP"	"b2862"	2997689	2997988	"protein YgeP"	"Chromosome Region 61, 2962740->3012118" // "ygeP"	""	"cytosol"	""
"intB"	"b4271"	4496750	4497940	"KpLE2 phage-like element; putative integrase"	"Chromosome Region 92, 4493489->4542867" // "intB"	""	"cytosol"	""
"envZ"	"b3404"	3534516	3535868	"sensor histidine kinase EnvZ"	"Chromosome Region 72, 3505909->3555287" // "ompR-envZ" // "ompR-envZ" // "ompR-envZ" // "ompR-envZ"	"regulation of response to osmotic stress" // "protein dephosphorylation" // "phosphorelay signal transduction system" // "signal transduction by protein phosphorylation" // "peptidyl-histidine phosphorylation" // "phosphorylation" // "signal transduction" // "protein autophosphorylation" // "response to osmotic stress"	"outer membrane-bounded periplasmic space" // "cytosol" // "integral component of membrane" // "membrane" // "plasma membrane" // "integral component of plasma membrane"	"identical protein binding" // "transferase activity, transferring phosphorus-containing groups" // "transferase activity" // "kinase activity" // "protein histidine kinase activity" // "protein binding" // "protein homodimerization activity" // "phosphoprotein phosphatase activity" // "nucleotide binding" // "ATP binding" // "phosphorelay sensor kinase activity"
"ulaC"	"b4195"	4421708	4422172	"L-ascorbate specific PTS enzyme IIA component"	"Chromosome Region 90, 4394731->4444109" // "ulaABCDEF"	"phosphorylation" // "L-ascorbic acid transmembrane transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"cytoplasm"	"transferase activity" // "kinase activity" // "protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity"
"yafU"	"b0218"	238746	239084	"putative inner membrane protein"	"Chromosome Region 5, 197516->246894" // "yafU"	""	"plasma membrane"	""
"rzpR"	"b1362"	1423345	1423644	"Rac prophage; putative endopeptidase RzpR"	"Chromosome Region 29, 1382612->1431990" // "rzpR" // "ydaW" // "ydaV" // "ydaU" // "ydaT" // "ydaS"	""	"cytosol"	""
"pitB"	"b2987"	3134872	3136371	"metal phosphate:H<sup>+</sup> symporter PitB"	"Chromosome Region 64, 3110877->3160255" // "pitB"	"phosphate ion transport" // "phosphate ion transmembrane transport"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"inorganic phosphate transmembrane transporter activity"
"glvB"	"b3682"	3861987	3862472	"putative PTS enzyme II component GlvB"	"Chromosome Region 79, 3851562->3900940" // "glvC" // "glvB" // "glvG" // "ysdC"	"carbohydrate transmembrane transport" // "phosphorylation" // "carbohydrate transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"kinase activity" // "transferase activity" // "protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"
"ykfL"	"b4627"	266553	266774		"Chromosome Region 6, 246895->296273"	""	""	""
"yibW"	"b4651"	3768892	3769256		"Chromosome Region 77, 3752804->3802182"	""	""	""
"gntU"	"b4476"	3575721	3577061	"low-affinity gluconate transporter"	"Chromosome Region 73, 3555288->3604666" //  // "gntU" // "gntRKU" // "gntKU"	"carbohydrate transport" // "gluconate transmembrane transport" // "D-gluconate metabolic process"	"integral component of membrane" // "membrane" // "plasma membrane" // "integral component of plasma membrane"	"carbohydrate:cation symporter activity" // "gluconate transmembrane transporter activity"
"fryB"	"b2387"	2507916	2508242	"putative PTS enzyme IIB component FryB"	"Chromosome Region 51, 2468950->2518328" // "fryB" // "fryC" // "ypdF" // "ypdE" // "fryA"	"carbohydrate transmembrane transport" // "fructose transmembrane transport" // "phosphorylation" // "carbohydrate transport" // "phosphoenolpyruvate-dependent sugar phosphotransferase system"	"plasma membrane" // "cytosol" // "cytoplasm"	"protein-phosphocysteine-D-fructose-phosphotransferase system transporter activity" // "protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity" // "transferase activity" // "kinase activity" // "protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"
"mdtQ"	"b2139"	2227323	2228758	"putative multidrug resistance outer membrane protein MdtQ"	"Chromosome Region 46, 2222055->2271433" // "mdtQ"	""	"cell outer membrane"	""
"betT"	"b0314"	329463	331496	BETT-MONOMER	"Chromosome Region 7, 296274->345652" // "betT"	"nitrogen compound transport" // "transmembrane transport" // "choline transport" // "glycine betaine biosynthetic process from choline" // "cellular response to DNA damage stimulus"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity" // "choline transmembrane transporter activity"
"pbl"	"b2854"	2993939	2994441	"transglycosylase domain-containing protein Pbl"	"Chromosome Region 61, 2962740->3012118" // "pbl"	""	""	""
"stfE"	"b1157"	1209119	1209655	"e14 prophage; putative side tail fiber protein fragment"	"Chromosome Region 25, 1185096->1234474" // "stfE" // "tfaE"	""	""	""
"adiC"	"b4115"	4335694	4337031	"arginine:agmatine antiporter"	"Chromosome Region 88, 4295973->4345351" // "adiCp7" // "adiC"	"transmembrane transport" // "arginine transmembrane transport" // "amino acid transport" // "amino acid transmembrane transport" // "intracellular pH elevation"	"cell" // "integral component of plasma membrane" // "membrane" // "plasma membrane" // "integral component of membrane"	"transmembrane transporter activity" // "arginine transmembrane transporter activity" // "antiporter activity"
"aaaD"	"b4634"	581354	581662	"DLP12 prophage; protein AaaD"	"Chromosome Region 12, 543169->592547"	""	""	""
"ysaC"	"b4648"	3750813	3750914		"Chromosome Region 76, 3703425->3752803"	""	""	""
"psuT"	"b2164"	2256085	2257335	YEIM-MONOMER	"Chromosome Region 46, 2222055->2271433" // "psuT"	"nucleoside transmembrane transport"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"nucleoside transmembrane transporter activity"
"ysdC"	"b4556"	3861173	3861349		"Chromosome Region 79, 3851562->3900940" // "glvC" // "glvB" // "glvG" // "ysdC"	""	""	""
"yibJ"	"b3595"	3767221	3767922	"putative RHS domain-containing protein YibJ"	"Chromosome Region 77, 3752804->3802182" // "yibJ"	""	""	""
"emrD"	"b3673"	3853922	3855106	"multidrug efflux pump EmrD"	"Chromosome Region 79, 3851562->3900940" // "emrDp" // "emrD"	"xenobiotic transport" // "drug transmembrane transport" // "xenobiotic detoxification by transmembrane export across the plasma membrane" // "transmembrane transport"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"xenobiotic transmembrane transporter activity" // "solute:proton antiporter activity"
"yfdL"	"b2355"	2471544	2472062	"CPS-53 (KpLE1) prophage; putative uncharacterized protein YfdL"	"Chromosome Region 51, 2468950->2518328" // "yfdO" // "yfdN" // "yfdM" // "yfdL" // "yfdK"	""	""	""
"ybfL"	"b0705"	736900	737961	"putative transposase YbfL"	"Chromosome Region 15, 691306->740684" // "ybfL"	""	""	""
"emrB"	"b2686"	2812616	2814154	"multidrug efflux pump membrane subunit EmrB"	"Chromosome Region 57, 2765224->2814602" // "emrRAB"	"xenobiotic detoxification by transmembrane export across the plasma membrane" // "bile acid and bile salt transport" // "response to steroid hormone" // "response to toxic substance" // "transmembrane transport" // "response to antibiotic"	"efflux pump complex" // "integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"solute:proton antiporter activity" // "bile acid transmembrane transporter activity" // "protein binding" // "transmembrane transporter activity"
"ykfN"	"b4626"	263150	263212	"YdiA family protein"	"Chromosome Region 6, 246895->296273"	""	""	""
"icdC"	"b4519"	1211413	1211577	"protein IcdC"	"Chromosome Region 25, 1185096->1234474" // "icdC"	""	""	""
"psaA"	"b4645"	2777972	2777985		"Chromosome Region 57, 2765224->2814602"	""	""	""
"dcuD"	"b3227"	3374869	3376236	"putative transporter DcuD"	"Chromosome Region 69, 3357772->3407150" // "dcuD" // "dcuD"	"anaerobic glycerol catabolic process" // "C4-dicarboxylate transport"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"C4-dicarboxylate transmembrane transporter activity"
"hslR"	"b3400"	3529348	3529749	"heat shock protein Hsp15"	"Chromosome Region 72, 3505909->3555287" // "hslR-hslO" // "yrfGp" // "hslR" // "yrfG"	"response to heat" // "cellular response to heat"	"cytosol"	"RNA binding" // "single-stranded RNA binding" // "ribosomal large subunit binding" // "protein binding" // "DNA binding"
"yjhE"	"b4282"	4506861	4507109	"KpLE2 phage-like element; putative membrane protein (pseudogene)"	"Chromosome Region 92, 4493489->4542867" // "yjhE"	""	""	""
"ydfE"	"b1577"	1650078	1650998	"Qin prophage; protein YdfE"	"Chromosome Region 34, 1629507->1678885" // "dicB-ydfDE-insD-intQ"	""	"cytosol"	""
"xanQ"	"b2882"	3024351	3025751	YGFO-MONOMER	"Chromosome Region 62, 3012119->3061497" // "ghxQ" // "guaD" // "xanQ"	"transmembrane transport" // "xanthine transport"	"integral component of membrane" // "membrane" // "plasma membrane" // "integral component of plasma membrane"	"transmembrane transporter activity" // "xanthine transmembrane transporter activity"
"clpB"	"b2592"	2731600	2734173	"ClpB80" // "chaperone protein ClpB"	"Chromosome Region 56, 2715845->2765223" // "clpB"	"protein refolding" // "protein metabolic process" // "response to heat"	"cytoplasm" // "cytosol"	"ATPase activity" // "ATPase activity, coupled" // "protein binding" // "identical protein binding" // "ATP binding" // "nucleotide binding"
"ylbH"	"b0499"	527949	528659	"putative RHS domain-containing protein YlbH"	"Chromosome Region 11, 493790->543168" // "ybbD" // "ylbH" // "ybbC" // "rhsD"	""	"cytosol"	""
"yeeP"	"b1999"	2070786	2071211	"CP4-44 prophage; putative GTP-binding protein"	"Chromosome Region 42, 2024539->2073917" // "yeeP"	""	""	""
"ugpE"	"b3451"	3589182	3590027	"<i>sn</i>-glycerol 3-phosphate ABC transporter membrane subunit UgpE"	"Chromosome Region 73, 3555288->3604666" // "ugpBAECQ" // "ugpBAECQ"	"transmembrane transport" // "glycerophosphodiester transmembrane transport" // "glycerol-3-phosphate transmembrane transport"	"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing" // "integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"glycerol-3-phosphate transmembrane transporter activity"
"cspG"	"b0990"	1051461	1051673	"cold shock protein CspG"	"Chromosome Region 22, 1036959->1086337" // "cspG"	"response to cold"	"cytosol" // "cytoplasm"	"nucleic acid binding" // "protein binding" // "DNA binding"
"yoeG"	"b4640"	2067360	2067892		"Chromosome Region 42, 2024539->2073917"	""	""	""
"insI2"	"b4708"	279931	280104		"Chromosome Region 6, 246895->296273"	""	""	""
"secF"	"b0409"	429505	430476	"Sec translocon accessory complex subunit SecF"	"Chromosome Region 9, 395032->444410" // "yajC-secDF"	"intracellular protein transmembrane transport" // "protein transport by the Sec complex" // "protein targeting" // "intracellular protein transport" // "protein transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"P-P-bond-hydrolysis-driven protein transmembrane transporter activity"
"ybeD"	"b0631"	662379	662642	"DUF493 domain-containing protein YbeD"	"Chromosome Region 14, 641927->691305" // "ybeD-lipB" // "ybeD"	"cellular response to heat"	"cytosol"	"protein binding"
"yifN"	"b3777"	3960012	3960460	"putative toxin YifN"	"Chromosome Region 81, 3950320->3999698" // "yifN"	""	""	""
"yafF"	"b4503"	239190	239378	"putative uncharacterized protein YafF"	"Chromosome Region 5, 197516->246894" // "yafF"	""	""	""
"psd"	"b4160"	4389392	4390360	"phosphatidylserine decarboxylase proenzyme" // "phosphatidylserine decarboxylase, &beta; subunit" // "phosphatidylserine decarboxylase, &alpha; subunit"	"Chromosome Region 89, 4345352->4394730" // "mscM" //  // "psd" // "psdp"	"zymogen activation" // "protein autoprocessing" // "lipid metabolic process" // "phosphatidylethanolamine biosynthetic process" // "phospholipid biosynthetic process"	"plasma membrane" // "membrane"	"carboxy-lyase activity" // "lyase activity" // "phosphatidylserine decarboxylase activity"
"ibpB"	"b3686"	3866469	3866897	"small heat shock protein IbpB"	"Chromosome Region 79, 3851562->3900940" // "ibpB" // "ibpAB"	"protein stabilization" // "stress response to copper ion" // "response to heat"	"cytoplasm"	"identical protein binding" // "protein binding"
"afuB"	"b0263"	278814	279162	"CP4-6 prophage; ABC transporter membrane protein AfuB"	"Chromosome Region 6, 246895->296273" // "insA-2" // "insB-2" // "insAB-2" // "afuB" // "afuC"	""	""	""
"insD-7"	"b1578"	1650881	1651537	"Qin prophage; putative transposase"	"Chromosome Region 34, 1629507->1678885" // "dicB-ydfDE-insD-intQ"	""	"cytosol"	""
"ydhP"	"b1657"	1736121	1737290	"putative transporter YdhP"	"Chromosome Region 36, 1728265->1777643" // "ydhP"	"transmembrane transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"protein binding"
"msrP"	"b1971"	2039478	2040482	"periplasmic protein-L-methionine sulfoxide reductase catalytic subunit"	"Chromosome Region 42, 2024539->2073917" // "msrQ" // "msrP"	"response to hypochlorite" // "nitrate assimilation" // "protein repair" // "response to oxidative stress" // "oxidation-reduction process"	"periplasmic space" // "outer membrane-bounded periplasmic space"	"oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor" // "oxidoreductase activity, acting on a heme group of donors" // "oxidoreductase activity" // "metal ion binding" // "oxidoreductase activity, acting on a sulfur group of donors" // "molybdopterin cofactor binding"
"pawZ"	"b4643"	2476584	2476598		"Chromosome Region 51, 2468950->2518328"	""	""	""
"yjhY"	"b4656"	4532050	4532310		"Chromosome Region 92, 4493489->4542867"	""	""	""
"pgpB"	"b1278"	1339330	1340094	"phosphatidylglycerophosphatase B"	"Chromosome Region 28, 1333233->1382611" // "pgpBp" // "pgpB"	"dephosphorylation" // "lipid metabolic process" // "lipid catabolic process" // "phospholipid catabolic process" // "phosphatidylglycerol biosynthetic process" // "peptidoglycan biosynthetic process" // "glycerophospholipid biosynthetic process"	"integral component of membrane" // "membrane" // "integral component of plasma membrane" // "plasma membrane" // "cell outer membrane"	"hydrolase activity" // "phosphatidate phosphatase activity" // "diacylglycerol diphosphate phosphatase activity" // "phosphatidylglycerophosphatase activity" // "undecaprenyl-diphosphatase activity"
