gene_name	ecocyc_gene_id	b_number	gene_product	go_terms	synonyms	common_name	mw_kda
fecE	EG10290	b4287	ferric citrate ABC transporter ATP binding subunit	GO:0055085 // GO:0042626 // GO:0055052 // GO:0016020 // GO:0055072 // GO:0005886 // GO:0016887 // GO:0006811 // GO:0005524 // GO:0000166	ferric dicitrate ABC transporter - ATP binding subunit	ferric citrate ABC transporter ATP binding subunit	28.191
pgaD	G6528	b1021	poly-N-acetyl-D-glucosamine synthase subunit PgaD	GO:0043709 // GO:0005515 // GO:0043708 // GO:0005887 // GO:0005886 // GO:0016021 // GO:0016020	"YcdP // ""HmsS"" // ""PgaD"" // ""poly-&beta;-1,PGA synthase subunit PgaD"""	poly-N-acetyl-D-glucosamine synthase subunit PgaD	16.082
fieF	EG11873	b3915	Zn2+/Fe2+/Cd2+ exporter	GO:0034755 // GO:0034220 // GO:0022857 // GO:0005623 // GO:0042802 // GO:0055085 // GO:0006812 // GO:0098655 // GO:0071577 // GO:0070574 // GO:0055072 // GO:0046873 // GO:0008324 // GO:0006811 // GO:0005886 // GO:0016021 // GO:0016020 // GO:0015341 // GO:0015086 // GO:0015093 // GO:0006826 // GO:0015691 // GO:0006829 // GO:0006876 // GO:0006882 // GO:0006879	"YiiP // ""FieF"""	Zn2+/Fe2+/Cd2+ exporter	32.927
yjbH	EG11926	b4029	YjbH family protein	GO:0009279 // GO:0005886 // GO:0016020 // GO:0045226	YjbH	YjbH family protein	78.491
ftnA	EG10921	b1905	ferritin iron storage protein	GO:0008198 // GO:0005623 // GO:0005506 // GO:0071281 // GO:0006979 // GO:0042802 // GO:0046872 // GO:0016491 // GO:0006879 // GO:0005737 // GO:0006826 // GO:0006974 // GO:0055114 // GO:0005829 // GO:0006880 // GO:0008199 // GO:0004322	"RsgA // ""FtnA"" // ""Ftn"""	ferritin iron storage protein	19.424
yjbE	EG11923	b4026	uncharacterized protein YjbE	GO:0005576 // GO:0045226 // GO:0042710	YjbE	uncharacterized protein YjbE	7.386
chaA	EG11753	b1216	Na+/K+:H+ antiporter ChaA	GO:0098656 // GO:0005623 // GO:0006812 // GO:0098655 // GO:0071805 // GO:0035725 // GO:0016021 // GO:0016020 // GO:0015297 // GO:0008324 // GO:0006811 // GO:0005886 // GO:0055085 // GO:0005887 // GO:0015386 // GO:0015385 // GO:0006813 // GO:0006814 // GO:0006883 // GO:0030007	ChaA	Na+/K+:H+ antiporter ChaA	39.168
pgaC	G6529	b1022	poly-N-acetyl-D-glucosamine synthase subunit PgaC	GO:0005515 // GO:0016757 // GO:0016740 // GO:0043708 // GO:0005887 // GO:0005886 // GO:0008375 // GO:0016021 // GO:0016020	"YcdQ // ""HmsR"" // ""PgaC"" // ""PGA synthase subunit PgaC"""	poly-N-acetyl-D-glucosamine synthase subunit PgaC	50.766
eptA	EG11613	b4114	phosphoethanolamine transferase EptA	GO:0016772 // GO:0009244 // GO:0016776 // GO:0008484 // GO:0006629 // GO:0003824 // GO:0046677 // GO:0016740 // GO:0009245 // GO:0009103 // GO:0005886 // GO:0016021 // GO:0016020	"YjdB // ""EptA"""	phosphoethanolamine transferase EptA	61.667
fecA	EG10286	b4291	ferric citrate outer membrane transporter	GO:0072512 // GO:0044718 // GO:0038023 // GO:0034755 // GO:0015344 // GO:0015891 // GO:0019867 // GO:0016020 // GO:0006811 // GO:0015091 // GO:0006826 // GO:0055072 // GO:0016021 // GO:0009279 // GO:0009279	FecA	ferric citrate outer membrane transporter	85.321
nhaB	EG11392	b1186	Na+:H+ antiporter NhaB	GO:0015081 // GO:0005887 // GO:0005623 // GO:0035725 // GO:0016020 // GO:0015297 // GO:0006811 // GO:0005886 // GO:0010226 // GO:0016021 // GO:0015385 // GO:0015491 // GO:1902600 // GO:0006814 // GO:0051452 // GO:0006883	NhaB	Na+:H+ antiporter NhaB	56.728
fhuC	EG10304	b0151	iron(III) hydroxamate ABC transporter ATP binding subunit	GO:0033214 // GO:0015711 // GO:0015625 // GO:0015623 // GO:0005623 // GO:0015687 // GO:0015344 // GO:0043190 // GO:0055072 // GO:0005886 // GO:0016887 // GO:0016020 // GO:0006811 // GO:0005524 // GO:0000166		iron(III) hydroxamate ABC transporter ATP binding subunit	28.886
yhaH	G7617	b3103	putative inner membrane protein	GO:0005886 // GO:0016021 // GO:0016020	YhaH	putative inner membrane protein	14.281
yhiM	EG12228	b3491	inner membrane protein with a role in acid resistance	GO:0016021 // GO:0016020 // GO:0005886 // GO:0071229 // GO:0005887	YhiM	inner membrane protein with a role in acid resistance	37.657
mscS	EG11160	b2924	small conductance mechanosensitive channel MscS	GO:0005623 // GO:0042802 // GO:0051260 // GO:0005887 // GO:0034220 // GO:0016020 // GO:0055085 // GO:0005886 // GO:0016021 // GO:0006811 // GO:0008381 // GO:0009992	"MscS // ""YggB"""	small conductance mechanosensitive channel MscS	30.896
cadA	EG10131	b4131	lysine decarboxylase 1	GO:0097216 // GO:0016831 // GO:0016829 // GO:0006520 // GO:0003824 // GO:0042802 // GO:0006554 // GO:0005829 // GO:0005515 // GO:0008923 // GO:0005737	"LdcI // ""CadA"""	lysine decarboxylase 1	81.26
rseC	G7347	b2570	protein RseC	GO:0006979 // GO:0005886 // GO:0016021 // GO:0016020	"RseC // ""SoxR and &sigma;E factor regulatory protein RseC"""	protein RseC	16.639
alx	G7607	b3088	putative membrane-bound redox modulator Alx	GO:0071467 // GO:0016021 // GO:0016020 // GO:0005886	"Alx // ""YgjT"""	putative membrane-bound redox modulator Alx	35.909
lpxP	G7241	b2378	PALMITOTRANS-MONOMER	GO:0009245 // GO:0009103 // GO:0005887 // GO:0009409 // GO:0036104 // GO:0008951 // GO:0005886 // GO:0016740 // GO:0016021 // GO:0016020 // GO:0016746	"LpxP // ""Ddg"""		35.493
mgrB	G7002	b1826	PhoQ kinase inhibitor	GO:0005829 // GO:0070298 // GO:0016021 // GO:0016020 // GO:0044092 // GO:0005886 // GO:0010447 // GO:0005515 // GO:0071286	"YobG // ""MgrB"""	PhoQ kinase inhibitor	5.552
hdeD	EG11495	b3511	acid-resistance membrane protein	GO:0005886 // GO:0016021 // GO:0016020 // GO:0009268	"YhiA // ""HdeD"""	acid-resistance membrane protein	20.903
rsxC	G6873	b1629	SoxR [2Fe-2S] reducing system protein RsxC	GO:0022900 // GO:0055114 // GO:0009055 // GO:0005886 // GO:0051539 // GO:0051536 // GO:0046872 // GO:0016020	"YdgN // ""RsxC"" // ""member of SoxR-reducing complex"""	SoxR [2Fe-2S] reducing system protein RsxC	80.172
maeA	EG10948	b1479	NAD+-dependent malate dehydrogenase	GO:0006090 // GO:0005829 // GO:0008948 // GO:0016491 // GO:0004470 // GO:0051287 // GO:0006108 // GO:0055114 // GO:0046872 // GO:0004471 // GO:0006094	"MaeA // ""SfcA"" // ""malate dehydrogenase, NAD-requiring"""	NAD+-dependent malate dehydrogenase	63.197
ompA	EG10669	b0957	outer membrane protein A	GO:0046930 // GO:0016032 // GO:0016021 // GO:0009597 // GO:0006811 // GO:0000746 // GO:0042834 // GO:0030288 // GO:0045203 // GO:0015075 // GO:0019867 // GO:0042802 // GO:0016020 // GO:0006974 // GO:0046718 // GO:0005515 // GO:0015288 // GO:0009279	"Tut // ""Con"" // ""TolG"" // ""OmpA"" // ""outer membrane protein II*"" // ""polypeptide II*"" // ""protein II*"" // ""outer membrane protein D"" // ""outer membrane protein 3a"" // ""outer membrane protein O-10"" // ""outer membrane protein B"" // ""outer membrane protein d"""	outer membrane protein A	37.201
guaD	G7502	b2883	G7502-MONOMER	GO:0046098 // GO:0005829 // GO:0016810 // GO:0016787 // GO:0046872 // GO:0006147 // GO:0018756 // GO:0008270 // GO:0008892	"GuaD // ""YgfP"""		50.244
hdeB	EG11399	b3509	periplasmic acid stress chaperone HdeB	GO:1990451 // GO:0010447 // GO:0042597 // GO:0030288 // GO:0051082 // GO:0009268	"YhhD // ""YhiC"" // ""HdeB"" // ""10K-L protein"""	periplasmic acid stress chaperone HdeB	12.043
ggt	EG10374	b3447	"glutathione hydrolase, small subunit // ""glutathione hydrolase, large subunit"" // ""glutathione hydrolase proenzyme"""	GO:0103068 // GO:0102953 // GO:0006750 // GO:0034722 // GO:0006751 // GO:0043102 // GO:0097264 // GO:0008233 // GO:0006508 // GO:0016746 // GO:0016740 // GO:0036374 // GO:0016787 // GO:0006749 // GO:0030288 // GO:0042597	"Ggt // ""&gamma;-glutamyltranspeptidase"" // ""&gamma;-glutamyl hydrolase"""	"glutathione hydrolase, small subunit // ""glutathione hydrolase, large subunit"" // ""glutathione hydrolase proenzyme"""	61.768
yjaA	EG11206	b4011	stress response protein	GO:0071468 // GO:0070301 // GO:0044011	YjaA	stress response protein	14.447
fbp	EG10283	b4232	"fructose-1,6-bisphosphatase 1"	GO:0016051 // GO:0000287 // GO:0032991 // GO:0042802 // GO:0030388 // GO:0006002 // GO:0006000 // GO:0005986 // GO:0016791 // GO:0016311 // GO:0042578 // GO:0016787 // GO:0008152 // GO:0005975 // GO:0003824 // GO:0005829 // GO:0046872 // GO:0000166 // GO:0042132 // GO:0006094 // GO:0005737	"Fdp // ""Fbp"" // ""fructose-1,6-bisphosphatase I"""	"fructose-1,6-bisphosphatase 1"	36.834
ydcV	G6754	b1443	putative ABC transporter membrane subunit YdcV	GO:0055085 // GO:0009290 // GO:0043190 // GO:0005886 // GO:0016021 // GO:0016020 // GO:0006810	YdcV	putative ABC transporter membrane subunit YdcV	28.722
glpX	EG11517	b3925	"fructose-1,6-bisphosphatase 2"	GO:0030388 // GO:0042803 // GO:0016311 // GO:0046872 // GO:0016787 // GO:0006071 // GO:0006094 // GO:0005829 // GO:0030145 // GO:0005975 // GO:0042132 // GO:0005737	"GlpX // ""fructose 1,6-bisphosphatase II"""	"fructose-1,6-bisphosphatase 2"	35.852
bsmA	G7852	b4189	DUF1471 domain-containing putative lipoprotein BsmA	GO:0030288 // GO:0006974 // GO:0042542 // GO:0001101 // GO:0044010 // GO:0005886 // GO:0016020	"YjfO // ""BsmA"""	DUF1471 domain-containing putative lipoprotein BsmA	12.038
ybhA	EG11239	b0766	"pyridoxal phosphate/fructose-1,6-bisphosphate phosphatase"	GO:0032361 // GO:0016311 // GO:0005829 // GO:0046872 // GO:0016791 // GO:0016787 // GO:0050308 // GO:0033883 // GO:0016773 // GO:0000287	YbhA	"pyridoxal phosphate/fructose-1,6-bisphosphate phosphatase"	30.201
rutG	G6517	b1006	pyrimidine:H+ symporter	GO:0015218 // GO:0005350 // GO:0015505 // GO:1904082 // GO:0098721 // GO:0022857 // GO:0005887 // GO:0015210 // GO:0055085 // GO:0006864 // GO:0015293 // GO:0006212 // GO:0005886 // GO:0016021 // GO:0016020	"YcdG // ""RutG"""	pyrimidine:H+ symporter	45.557
yedL	G7040	b1932	putative acetyltransferase YedL	GO:0008080 // GO:0005829 // GO:0016740 // GO:0016746	YedL	putative acetyltransferase YedL	17.891
nudG	G6954	b1759	5-hydroxy-CTP diphosphatase	GO:0044716 // GO:0044715 // GO:0035539 // GO:0008413 // GO:0006281 // GO:0005515 // GO:0005829 // GO:0016787	"YnjG // ""NudG"" // ""Orf135"""	5-hydroxy-CTP diphosphatase	15.046
yicI	EG11685	b3656	&alpha;-D-xyloside xylohydrolase	GO:0061634 // GO:0042802 // GO:0016798 // GO:0016787 // GO:0003824 // GO:0030246 // GO:0005975 // GO:0080176 // GO:0008152 // GO:0004553	YicI	&alpha;-D-xyloside xylohydrolase	88.079
ygiN	EG12657	b3029	putative quinol monooxygenase YgiN	GO:0005829 // GO:0010447 // GO:0004497 // GO:0042803 // GO:0055114 // GO:0016491	YgiN	putative quinol monooxygenase YgiN	11.532
yggF	EG11245	b2930	"fructose 1,6-bisphosphatase YggF"	GO:0030388 // GO:0042803 // GO:0016311 // GO:0005829 // GO:0046872 // GO:0016787 // GO:0006094 // GO:0006071 // GO:0005975 // GO:0030145 // GO:0042132	"YggK // ""YggF"""	"fructose 1,6-bisphosphatase YggF"	34.323
ligB	EG11334	b3647	DNA ligase B	GO:0051103 // GO:0006288 // GO:0005829 // GO:0016874 // GO:0006259 // GO:0006266 // GO:0006974 // GO:0006281 // GO:0006260 // GO:0003911	"LigB // ""YicF"""	DNA ligase B	63.179
ppsA	EG10759	b1702	phosphoenolpyruvate synthetase	GO:0003824 // GO:0042803 // GO:0005829 // GO:0046872 // GO:0016772 // GO:0016740 // GO:0016301 // GO:0006090 // GO:0000287 // GO:0016310 // GO:0005524 // GO:0000166 // GO:0008986 // GO:0006094	"Pps // ""PpsA"""	phosphoenolpyruvate synthetase	87.435
yhbO	G7647	b3153	protein/nucleic acid deglycase 2	GO:0106044 // GO:0006974 // GO:0006281 // GO:0061727 // GO:0036525 // GO:0019249 // GO:0036524 // GO:0016787 // GO:0005737 // GO:0030091 // GO:0019172 // GO:0042802 // GO:0005829 // GO:0006979 // GO:0009408 // GO:0009268 // GO:0009411	"YhbO // ""Maillard deglycase 2"""	protein/nucleic acid deglycase 2	18.858
pck	EG10688	b3403	PEPCARBOXYKIN-MONOMER	GO:0005829 // GO:0046872 // GO:0016831 // GO:0016829 // GO:0008152 // GO:0004611 // GO:0003824 // GO:0017076 // GO:0005509 // GO:0000287 // GO:0005737 // GO:0005524 // GO:0000166 // GO:0004612 // GO:0006094	"Pck // ""PckA"""		59.643
maeB	G7293	b2463	NADP+-dependent malate dehydrogenase	GO:0004470 // GO:0008948 // GO:0046872 // GO:0016491 // GO:0003824 // GO:0004471 // GO:0051287 // GO:0016746 // GO:0006108 // GO:0030145 // GO:0055114 // GO:0008152 // GO:0004473	"YpfF // ""MaeB"""	NADP+-dependent malate dehydrogenase	82.417
yodD	G7046	b1953	stress-induced protein	GO:0071468 // GO:0070301 // GO:0044011	YodD	stress-induced protein	8.579
epd	EG10368	b2927	D-erythrose-4-phosphate dehydrogenase	GO:0016620 // GO:0016491 // GO:0005829 // GO:0006006 // GO:0055114 // GO:0051287 // GO:0048001 // GO:0042823 // GO:0004365 // GO:0008615 // GO:0005737	"GapB // ""Gap2"" // ""Epd"""	D-erythrose-4-phosphate dehydrogenase	37.299
adiA	EG11501	b4117	"arginine decarboxylase, degradative"	GO:0005623 // GO:0016831 // GO:0016829 // GO:0006520 // GO:0005737 // GO:0003824 // GO:0006527 // GO:0005829 // GO:0030170 // GO:0051454 // GO:0008792	"AdiA // ""Adi"""	"arginine decarboxylase, degradative"	84.425
asr	G6855	b1597	acid shock protein	GO:0030288 // GO:0001101 // GO:0010043 // GO:0042597	Asr	acid shock protein	10.591
inaA	EG11422	b2237	putative lipopolysaccharide kinase InaA	GO:0005829	"YfaG // ""InaA"" // ""pH-inducible protein involved in stress response"""	putative lipopolysaccharide kinase InaA	25.296
yceO	G6555	b1058	DUF2770 domain-containing protein YceO	GO:0005887 // GO:0010447 // GO:0042710	"YceO // ""small protein involved in biofilm formation and acid stress response"""	DUF2770 domain-containing protein YceO	5.897
csrC	G0-8874	b4457	small regulatory RNA CsrC	GO:1904572 // GO:0005515 // GO:1900192 // GO:1902201	"CsrC // ""SraK"" // ""PsrA21"" // ""RyiB"" // ""Tpk2"" // ""IS198"" // ""RNA inhibitor of CsrA"""	small regulatory RNA CsrC	
gadA	EG50009	b3517	glutamate decarboxylase A	GO:0006538 // GO:0005829 // GO:0005623 // GO:0003824 // GO:0005515 // GO:0016831 // GO:0016829 // GO:0030170 // GO:0019752 // GO:0006536 // GO:0004351 // GO:0051454	"GadS // ""GadA"""	glutamate decarboxylase A	52.685
rtcB	G7751	b3421	RNA-splicing ligase	GO:0006974 // GO:0006281 // GO:0006266 // GO:0005829 // GO:0003909 // GO:0046872 // GO:0016874 // GO:0006396 // GO:0042245 // GO:0030145 // GO:0008452	"YhgL // ""RtcB"" // ""RNA ligase"""	RNA-splicing ligase	45.222
yhcN	G7683	b3238	DUF1471 domain-containing stress-induced protein YhcN	GO:0005829 // GO:0042597 // GO:0071468 // GO:0070301 // GO:0044011	YhcN	DUF1471 domain-containing stress-induced protein YhcN	9.196
ryeA	G0-8865	b4432	small antisense RNA RyeA		"RyeA // ""SraC"" // ""PsrA8"" // ""Tkpe79"" // ""IS091"""	small antisense RNA RyeA	
yqgB	G7521	b2939	acid stress response protein YqgB	GO:0010447 // GO:0005737	YqgB	acid stress response protein YqgB	4.859
sroC	G0-9383	b4763	small regulatory RNA SroC	GO:1900191	"SroC // ""HB_314"""	small regulatory RNA SroC	
yobF	G7000	b1824	DUF2527 domain-containing protein YobF	GO:0036460 // GO:0097533 // GO:0034605	"YobF // ""small protein involved in stress responses"""	DUF2527 domain-containing protein YobF	5.212
eyeA	G0-10696	b4690	CP4-6 prophage; small RNA EyeA		"I001 // ""EyeA"""	CP4-6 prophage; small RNA EyeA	
gadB	EG11490	b1493	glutamate decarboxylase B	GO:0006538 // GO:0005829 // GO:0005623 // GO:0003824 // GO:0005515 // GO:0016831 // GO:0016829 // GO:0005737 // GO:0030170 // GO:0019752 // GO:0006536 // GO:0016020 // GO:0004351 // GO:0051454	GadB	glutamate decarboxylase B	52.668
isrC	G0-8905	b4435	small RNA IsrC		"IS102 // ""IsrC"""	small RNA IsrC	
yagU	G6158	b0287	inner membrane protein that contributes to acid resistance	GO:0005886 // GO:0010447 // GO:0016021 // GO:0016020	YagU	inner membrane protein that contributes to acid resistance	22.967
ryfD	G0-10600	b4609	small regulatory RNA RyfD	GO:1900191 // GO:1902201	RyfD	small regulatory RNA RyfD	
osmB	EG10679	b1283	osmotically-inducible lipoprotein OsmB	GO:0030288 // GO:0019867 // GO:0005886 // GO:0016020	OsmB	osmotically-inducible lipoprotein OsmB	6.948
rybB	G0-8880	b4417	small regulatory RNA RybB	GO:1900191 // GO:0048027 // GO:0003729 // GO:0005515 // GO:0070928 // GO:0006950 // GO:0043488	"RybB // ""P25"""	small regulatory RNA RybB	
kbp	G7395	b2665	K+ binding protein	GO:0005737 // GO:0035864 // GO:0030955	"Kbp // ""YzzM"" // ""YgaU"""	K+ binding protein	16.063
stpA	EG11554	b2669	DNA-binding transcriptional repressor StpA with RNA chaperone activity	GO:0045892 // GO:0032993 // GO:0016458 // GO:0003681 // GO:0003680 // GO:0001217 // GO:0000976 // GO:0009295 // GO:0005737 // GO:0003723 // GO:0005515 // GO:0046983 // GO:0006355 // GO:0005829 // GO:0003677	"HnsB // ""StpA"" // ""H-NS-like DNA-binding transcriptional repressor with RNA chaperone activity"""	DNA-binding transcriptional repressor StpA with RNA chaperone activity	15.347
ecnA	G0-41	b4410	"entericidin A lipoprotein, antidote to entericidin B"	GO:0036405 // GO:0016020 // GO:0009636 // GO:0005886	EcnA	"entericidin A lipoprotein, antidote to entericidin B"	4.359
ryjA	G0-8875	b4459	small RNA RyjA		"SraL // ""PsrA24"" // ""RyjA"""	small RNA RyjA	
proX	EG10773	b2679	glycine betaine ABC transporter periplasmic binding protein ProX	GO:0055085 // GO:0043190 // GO:0022857 // GO:0005515 // GO:0030288 // GO:0050997 // GO:0006972 // GO:0031460 // GO:0042597 // GO:0006865	"OsrA // ""ProU"" // ""ProX"" // ""glycine betaine binding protein (GBBP)"""	glycine betaine ABC transporter periplasmic binding protein ProX	36.023
sraG	G0-8870	b4449	small regulatory RNA SraG	GO:0048027 // GO:0003729 // GO:0070928 // GO:0098787	"SraG // ""PsrA15"" // ""P3"" // ""PsrO"""	small regulatory RNA SraG	
osmC	EG10680	b1482	osmotically inducible peroxiredoxin OsmC	GO:0098869 // GO:0042803 // GO:0006972 // GO:0033194 // GO:0005829 // GO:0016491 // GO:0016209 // GO:0006979 // GO:0055114 // GO:0051920 // GO:0005737 // GO:0004601	"OsmC // ""osmotically inducible protein"""	osmotically inducible peroxiredoxin OsmC	15.088
sroE	G0-9385	b4761	small RNA SroE	GO:0003729	"SroE // ""k20"""	small RNA SroE	
plsC	EG11377	b3018	1-acylglycerol-3-phosphate O-acyltransferase	GO:0006654 // GO:0005887 // GO:0006629 // GO:0016024 // GO:0005886 // GO:0016740 // GO:0016020 // GO:0016746 // GO:0003841 // GO:0008654	"ParF // ""PlsC"" // ""LPAAT"""	1-acylglycerol-3-phosphate O-acyltransferase	27.453
yggT	G7528	b2952	uncharacterized protein YggT	GO:0071474 // GO:0005886 // GO:0016021 // GO:0016020	YggT	uncharacterized protein YggT	21.167
cdsA	EG10139	b0175	CDP-diglyceride synthetase	GO:0016772 // GO:0006629 // GO:0016024 // GO:0005886 // GO:0016779 // GO:0016740 // GO:0016021 // GO:0016020 // GO:0004605 // GO:0008654	"Cds // ""CdsA"""	CDP-diglyceride synthetase	31.454
sraA	G0-8861		small RNA SraA		"SraA // ""PsrA3"" // ""T15"""	small RNA SraA	
fabZ	EG11284	b0180	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	GO:0008659 // GO:0004317 // GO:0019171 // GO:0016836 // GO:0016829 // GO:0006629 // GO:0042802 // GO:0047451 // GO:0005829 // GO:0009245 // GO:0006633 // GO:0008693 // GO:0005737	"YaeA // ""SefA"" // ""FabZ"""	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	17.033
osmY	EG11391	b4376	periplasmic chaperone OsmY	GO:0006970 // GO:0006972 // GO:0061077 // GO:0005515 // GO:0030288 // GO:0042597	OsmY	periplasmic chaperone OsmY	21.074
fabF	EG12606	b1095	&beta;-ketoacyl-[acyl carrier protein] synthase II	GO:0005829 // GO:0016747 // GO:0016746 // GO:0016740 // GO:0003824 // GO:0006631 // GO:0006629 // GO:0042803 // GO:0033817 // GO:0006633 // GO:0005515 // GO:0004315	"Vtr // ""Cvc"" // ""VtrB"" // ""FabJ"" // ""FabF"" // ""&beta;-ketoacyl-ACP synthase II"""	&beta;-ketoacyl-[acyl carrier protein] synthase II	43.046
sroA	G0-9381	b4762	small RNA SroA		SroA	small RNA SroA	
fabH	EG10277	b1091	&beta;-ketoacyl-[acyl carrier protein] synthase III	GO:0016746 // GO:0016740 // GO:0003824 // GO:0006631 // GO:0006629 // GO:0004315 // GO:0005829 // GO:0042803 // GO:0008152 // GO:0033818 // GO:0006633 // GO:0005737	"FabH // ""&beta;-ketoacyl-ACP synthase III"""	&beta;-ketoacyl-[acyl carrier protein] synthase III	33.515
ecnB	G0-9562	b4411	bacteriolytic entericidin B lipoprotein	GO:0036405 // GO:0016020 // GO:0009636 // GO:0005886	"YjeU // ""EcnB"""	bacteriolytic entericidin B lipoprotein	4.81
accA	EG11647	b0185	acetyl-CoA carboxyltransferase subunit &alpha;	GO:0016743 // GO:0016740 // GO:0042802 // GO:0009317 // GO:0006631 // GO:0006629 // GO:2001295 // GO:0042759 // GO:0005737 // GO:0005829 // GO:0005524 // GO:0000166 // GO:0009329 // GO:0016874 // GO:0006633 // GO:0005515 // GO:0003989	AccA	acetyl-CoA carboxyltransferase subunit &alpha;	35.242
ryjB	G0-10609	b4624	small RNA RyjB		RyjB	small RNA RyjB	
fabA	EG10273	b0954	&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase	GO:0008659 // GO:0004317 // GO:0019171 // GO:0005829 // GO:0006629 // GO:0042803 // GO:0047451 // GO:0034017 // GO:0016853 // GO:0006631 // GO:0008610 // GO:0016829 // GO:0006633 // GO:0005737 // GO:0008693	"FabA // ""&beta;-hydroxyacyl-ACP dehydratase/isomerase"""	&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase	18.969
proV	EG10771	b2677	glycine betaine ABC transporter ATP binding subunit ProV	GO:0015837 // GO:0005275 // GO:0005034 // GO:0006972 // GO:0043190 // GO:0005515 // GO:0031460 // GO:0016887 // GO:0005886 // GO:0016020 // GO:0006865 // GO:0005524 // GO:0000166	"ProU // ""OsrA"" // ""ProV"""	glycine betaine ABC transporter ATP binding subunit ProV	44.163
accD	EG10217	b2316	acetyl-CoA carboxyltransferase subunit &beta;	GO:0016743 // GO:0016740 // GO:0009317 // GO:0006631 // GO:0006629 // GO:0006417 // GO:0005737 // GO:0003723 // GO:0046872 // GO:2001295 // GO:0042759 // GO:0005524 // GO:0000166 // GO:0017148 // GO:0003677 // GO:0009329 // GO:0003729 // GO:0008270 // GO:0006633 // GO:0005515 // GO:0003989	"Usg // ""DedB"" // ""AccD"""	acetyl-CoA carboxyltransferase subunit &beta;	33.322
rybA	G0-8881	b4416	small RNA RybA	GO:0042542	RybA	small RNA RybA	
fabD	EG11317	b1092	[acyl-carrier-protein] S-malonyltransferase	GO:0016419 // GO:0005829 // GO:0006631 // GO:0006629 // GO:0016746 // GO:0016740 // GO:0006633 // GO:0004314	"TfpA // ""FabD"""	[acyl-carrier-protein] S-malonyltransferase	32.417
cyuA	G7622	b4470	putative L-cysteine desulfidase CyuA	GO:0019450 // GO:0080146 // GO:0009093 // GO:1901367 // GO:0005829	"CyuA // ""YhaN"" // ""YhaM"""	putative L-cysteine desulfidase CyuA	45.361
plsB	EG10740	b4041	glycerol-3-phosphate 1-O-acyltransferase	GO:0019432 // GO:0006072 // GO:0102420 // GO:0044255 // GO:0008374 // GO:0016746 // GO:0016740 // GO:0016020 // GO:0006629 // GO:0005886 // GO:0016024 // GO:0005515 // GO:0006631 // GO:0005887 // GO:0004366 // GO:0008654	"sn-glycerol-3-phosphate acyltransferase // ""GPAT"" // ""glycerolphosphate acyltransferase"" // ""glycerol-3-phosphate O-acyltransferase"" // ""PlsB"""	glycerol-3-phosphate 1-O-acyltransferase	91.381
thpR	EG12330	b0147	"RNA 2',3'-cyclic phosphodiesterase"	GO:0008081 // GO:0016787 // GO:0004113 // GO:0005829 // GO:0008664	"ThpR // ""YadP"" // ""LigT"""	"RNA 2',3'-cyclic phosphodiesterase"	19.934
aas	EG11679	b2836	fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase	GO:0016874 // GO:0016746 // GO:0016740 // GO:0016020 // GO:0003824 // GO:0008654 // GO:0008152 // GO:0006631 // GO:0005886 // GO:0016021 // GO:0005524 // GO:0000166 // GO:0008779 // GO:0008922	"Aas // ""acyltransferase"""	fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase	80.7
ahpF	EG11385	b0606	"alkyl hydroperoxide reductase, AhpF component"	GO:0005623 // GO:0022900 // GO:0009321 // GO:0050660 // GO:0016491 // GO:0051287 // GO:0045454 // GO:0015035 // GO:0009055 // GO:0000302 // GO:0008785 // GO:0071949 // GO:0055114 // GO:0005829	"AhpF // ""alkyl hydroperoxide reductase, F52a subunit"""	"alkyl hydroperoxide reductase, AhpF component"	56.177
fabB	EG10274	b2323	&beta;-ketoacyl-[acyl carrier protein] synthase I	GO:0008610 // GO:0005737 // GO:0006631 // GO:0006629 // GO:0003824 // GO:0042803 // GO:0005829 // GO:0016740 // GO:0016746 // GO:0006633 // GO:0004315	"FabC // ""FabB"" // ""&beta;-ketoacyl-ACP synthase I"""	&beta;-ketoacyl-[acyl carrier protein] synthase I	42.613
rydB	G0-8876	b4430	small regulatory RNA RydB		"RydB // ""Tpe7"" // ""IS082"" // ""RydB small RNA regulator of RpoS"""	small regulatory RNA RydB	
fabI	EG11528	b1288	enoyl-[acyl-carrier-protein] reductase	GO:0016631 // GO:0005515 // GO:0016491 // GO:0006633 // GO:0006631 // GO:0006629 // GO:0042802 // GO:0009102 // GO:0005829 // GO:0030497 // GO:0051289 // GO:0055114 // GO:0046677 // GO:0008610 // GO:0004318	"Gts // ""QmeA"" // ""EnvM"" // ""FabI"""	enoyl-[acyl-carrier-protein] reductase	27.864
yfgD	G7312	b2495	putative oxidoreductase YfgD	GO:0005829 // GO:0008794 // GO:0055114 // GO:0016491	YfgD	putative oxidoreductase YfgD	13.399
