SwissProt ID,SwissProt accession,Protein description,Observed parent ions,Protein score,Observable peptides,PAI lysate,emPAI,emPAI-derived copy no/cell (see Figure 2),Detection Frequency,Molecular mass (Da),Isoelectric point (pI),GRAVY (Kyte-Doolittle),number of alternating hydrophobic/hydrophilic stretches,CAI,Essentiality,hgt,Expr_value,FunCat (v.1.3) top level classification,FunCat (v.1.3) complete classification,FunCat class description,SCOP Fold,SCOP Family,SCOP Class,SCOP Fold Description,TMHMM 2.0 number of transmembrane segments,PSORT localisation,Experimentally derived localization,Group,Operon,Running Number,ribosomal protein,log copynumber
SUCC_ECOLI,P07460,Succinyl-CoA synthetase beta chain (EC 6.2.1.5) (SCS-beta),24,1325,23,1.04,1.01E+01,1.11E+03,0.045055821,41394,5.28,0.02,15,,,,1.74,"63,01,40,02",01;63.19;02.10;63;40.03;02;01.05;40;01.05.01;63.19.03;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; ,"c.23,d.142",d.142.1;c.23.4;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b)","ATP-grasp,Flavodoxin-like",0,Cytoplasmic,,low,sdhCDAB-b0725-sucABCD,150,no,3.045322979
MDH_ECOLI,P61889,Malate dehydrogenase (EC 1.1.1.37),24,1318,13,1.85,6.92E+01,3.39E+03,0.058413078,32338,5.56,0.19,9,,,,1.42,"67,01,63,40,02",01;63;02.10;63.21.07;40.03;02;02.22;67.15;01.05;01.05.01;01.05.01.01;40;63.21;67;,TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ENERGY; ,"d.162,c.2",c.2.1;d.162.1;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b)","Lactate & malate dehydrogenases, C-terminal domain,NAD(P)-binding Rossmann-fold domains",0,Unknown (This protein may have multiple localization sites.),?,high,mdh,151,no,3.530199698
FABD_ECOLI,P25715,Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39) (MCT),24,1234,9,2.67,4.63E+02,1.02E+04,0.015151515,32287,4.79,0.15,9,,,,,"01,40",01.06;40.03;40;01.06.01;01.06.01.05;,METABOLISM; SUBCELLULAR LOCALISATION; ,"c.19,d.58",c.19.1;d.58.23;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b)","Catalytic domain of malonyl-CoA ACP transacylase,Ferredoxin-like",0,Unknown,C,high,fabHDG-acpP-fabF,152,no,4.008600172
RL24_ECOLI,P60624,50S ribosomal protein L24,23,1188,4,5.75,5.62E+05,6.34E+05,0.059080508,11186,10.99,-0.4,2,,,,1.69,"63,05,40",05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; ,,,,,0,Unknown,,-,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-prlA-rpmJ,153,yes,5.802089258
TRXB_ECOLI,P09625,Thioredoxin reductase (EC 1.8.1.9) (TRXR),24,1152,12,2,9.90E+01,4.18E+03,0.012161085,34493,5.29,-0.2,10,,,,,"01,63,40",01;01.03;63;63.21.07;01.20.37;40.03;01.20.37.01;40;63.21;01.20;63.21.05;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ,"c.4,c.3",c.4.1;c.4.1;c.3.1;c.3.1;,Alpha and beta proteins (a/b),"Nucleotide-binding domain,FAD/NAD(P)-binding domain",0,Unknown (This protein may have multiple localization sites.),C,high,,154,no,3.621176282
POTD_ECOLI,P23861,Spermidine/putrescine-binding periplasmic protein precursor (SPBP),23,1131,14,1.64,4.29E+01,2.57E+03,0.013313917,38868,5.09,-0.45,10,0.46,E,,,"67,08,40,20",40.28;08.19.01;67.12;20;08.19;20.03;40;08;67;,TRANSPORT FACILITATION; CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; SUBCELLULAR LOCALISATION; SYSTEMIC REGULATION OF / INTERACTION WITH ENVIRONMENT; ,c.94,c.94.1;,Alpha and beta proteins (a/b),Periplasmic binding protein-like II,0,Periplasmic,P,high,potABCD,155,no,3.409933123
G6PD_ECOLI,P22992,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) (G6PD),24,1147,27,0.89,6.74E+00,8.77E+02,0.019338118,55706,5.52,-0.37,17,,,,,"01,63,40,02",01;02.07;63;63.21.07;40.03;02;01.05;40;63.21;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ENERGY; ,"d.81,c.2",c.2.1;d.81.1;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b)","Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain,NAD(P)-binding Rossmann-fold domains",0,Cytoplasmic,,low,zwf,156,no,2.942999593
GRCA_ECOLI,P33633,Protein yfiD,24,1143,9,2.67,4.63E+02,1.02E+04,0.046052632,14285,4.93,-0.33,6,,,,,"11,13,20",11.01.01;13.01;11.01;13.01.01;13.11.03.11;13.11.03;11.01.04;13;13.11;20;11;13.01.01.03;,"CELL RESCUE, DEFENSE AND VIRULENCE; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; SYSTEMIC REGULATION OF / INTERACTION WITH ENVIRONMENT; ",c.7,c.7.1;,Alpha and beta proteins (a/b),PFL-like glycyl radical enzymes,0,Cytoplasmic,C,high,yfiD,157,no,4.008600172
RF2_ECOLI,P07012,Peptide chain release factor 2 (RF-2),22,1012,16,1.38,2.27E+01,1.78E+03,0.016963897,41222,4.47,-0.68,15,,,,,"40,05",05;05.04;05.04.03;40.03;40;,SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; ,e.38,e.38.1;,Multi-domain proteins (alpha and beta),Polypeptide chain release factor 2 (RF2),0,Cytoplasmic,C,low,prfB-lysS,158,no,3.250420002
IPYR_ECOLI,P17288,Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase),24,1039,10,2.4,2.50E+02,7.16E+03,0.0488437,19573,4.9,-0.28,7,,,,1.99,1,01;01.04;01.04.01;,METABOLISM; ,b.40,b.40.5;,All beta proteins,OB-fold,0,Cytoplasmic,?,high,,159,no,3.854913022
DPS_ECOLI,P27430,DNA protection during starvation protein,23,949,12,1.92,8.15E+01,3.73E+03,0.030164344,18565,6.02,-0.23,3,0.53,N,,1.13,"11,63,40,30",63.03.01;11.01.01;11.01;63;30;40.03;30.37;63.03;11;40.37;40;,"CELL RESCUE, DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CONTROL OF CELLULAR ORGANIZATION; ",a.25,a.25.1;,All alpha proteins,Ferritin-like,0,Unknown,OM,high,dps,160,no,3.571708832
RAPA_ECOLI,P60240,RNA polymerase associated protein rapA (EC 3.6.1.-) (ATP-dependent helicase hepA),19,830,41,0.46,1.91E+00,4.21E+02,0.015109544,109639,4.91,-0.36,21,,,,,"63,04,62",04.05.01.01;63.19;62.01;63;62.01.07;04.05;04.05.01.04.01;04.05.01.04;62.02;62.02.01;63.19.03;04;63.01;62;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); TRANSCRIPTION; PROTEIN ACTIVITY REGULATION; ,,,,,0,CytoplasmicMembrane,,low,,161,no,2.624282096
RL15_ECOLI,P02413,50S ribosomal protein L15,22,1231,6,3.67,4.64E+03,3.90E+04,0.115702479,14981,11.79,-0.25,4,,,,,"63,05,40",05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; ,,,,,0,Cytoplasmic,OM,-,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-prlA-rpmJ,162,yes,4.591064607
GPMI_ECOLI,P37689,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1) (Phosphoglyceromu",22,1205,17,1.29,1.87E+01,1.59E+03,0.023923445,56195,5.02,-0.2,20,,,,,"01,40,02",01;02.01;40.03;02;01.05;40;01.05.01;01.05.01.01;01.05.01.01.01;,METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; ,"c.105,c.76",c.76.1;c.105.1;,Alpha and beta proteins (a/b),"2,3-Bisphosphoglycerate-independent phosphoglycerate mutase, substrate-binding domain,Alkaline phosphatase-like",0,Cytoplasmic,C,low,,163,no,3.201397124
HSLU_ECOLI,P32168,ATP-dependent hsl protease ATP-binding subunit hslU (Heat shock protein hslU),23,1110,23,1,9.00E+00,1.04E+03,0.022883295,49595,5.11,-0.36,16,,,,1.67,"11,63,40,06",11.01;06.10;63;40.03;63.01;11;40;06;06.01;11.01.05;,"CELL RESCUE, DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding, modification, destination); ",c.37,c.37.1;,Alpha and beta proteins (a/b),P-loop containing nucleotide triphosphate hydrolases,0,Cytoplasmic,C,low,hslVU,164,no,3.017033339
SYY_ECOLI,P00951,Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase) (TyrRS),21,1044,16,1.31,1.95E+01,1.63E+03,0.01367054,47397,5.62,-0.34,15,,,,1.4,"63,40,05",63;05;40.03;05.10;63.03.03;63.03;40;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; ,"d.66,c.26",c.26.1;d.66.1;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b)","Adenine nucleotide alpha hydrolase-like,Alpha-L RNA-binding motif",0,Cytoplasmic,,low,,165,no,3.212187604
KPRS_ECOLI,P08330,Ribose-phosphate pyrophosphokinase (EC 2.7.6.1) (RPPK) (Phosphoribosyl pyrophosphate synth,21,1039,12,1.75,5.52E+01,2.98E+03,0.034859877,34088,5.13,0.09,12,,,,,"01,63,40",01;01.03;63.17;01.03.01.03;63;40.03;01.03.01;63.17.07;40;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ,c.61,c.61.1;,Alpha and beta proteins (a/b),PRTase-like,0,Cytoplasmic,C,high,prsA,166,no,3.474216264
FABA_ECOLI,P18391,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60) (Beta-hydroxydecanoyl t,23,1063,7,3.29,1.93E+03,2.34E+04,0.039941752,18839,6.53,-0.02,7,,,,1.05,"01,40",01.06;01;40.03;40;01.06.01;01.06.01.05;,METABOLISM; SUBCELLULAR LOCALISATION; ,d.38,d.38.1;,Alpha and beta proteins (a+b),Thioesterase/thiol ester dehydrase-isomerase,0,Cytoplasmic,,high,fabA,167,no,4.369215857
PUR7_ECOLI,P21155,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase),22,1016,12,1.83,6.71E+01,3.33E+03,0.017833841,26996,4.88,-0.37,6,,,,1.18,1,01;01.03;01.03.01.03;01.03.01;,METABOLISM; ,d.143,d.143.1;,Alpha and beta proteins (a+b),SAICAR synthase-like,0,Unknown,C,high,purC,168,no,3.522444234
ODO2_ECOLI,P07016,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase,21,976,14,1.5,3.06E+01,2.11E+03,0.029619503,43881,5.62,-0.22,11,0.57,E,,,"01,40,02",01;02.10;40.03;02;01.05;40;01.05.01;,METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; ,"c.43,a.9,b.84",c.43.1;b.84.1;a.9.1;,"Alpha and beta proteins (a/b),All beta proteins,All alpha proteins","Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex,Barrel-sandwich hybrid,CoA-dependent acyltransferases",0,Cytoplasmic,C,high,sdhCDAB-b0725-sucABCD,169,no,3.324282455
MREB_ECOLI,P13519,Rod shape-determining protein mreB,20,923,16,1.25,1.68E+01,1.49E+03,0.022727273,36954,5.04,0.06,8,,,,1.25,"11,63,03,40,06,14",63;14.01.03.99;11.05.01;40.03;14.01.01;03.03.03;14.04.01.01;14;06;11.05;40.02;14.04.01;14.01;14.01.03;03;06.10;11.05.01.01;03.03;11;40;,"CELL RESCUE, DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding, modification, destination); CELL FATE; ",c.55,c.55.1;,Alpha and beta proteins (a/b),Ribonuclease H-like motif,0,Cytoplasmic,OM,low,mreBCD-yhdE-cafA,170,no,3.173186268
SPEA_ECOLI,P21170,Biosynthetic arginine decarboxylase (EC 4.1.1.19) (ADC),23,982,22,1.05,1.01E+01,1.11E+03,0.016642397,73900,4.67,-0.3,21,,,,,"01,63,40,06",01;63.17;63;01.01.10;40.28;01.01.10.01;01.01.10.01.03;63.21.17;06;01.20;01.01;06.10;63.11;63.01;63.17.07;40;63.21;01.20.36;,"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding, modification, destination); ",,,,,0,Periplasmic,,low,speAB,171,no,3.045322979
K6P1_ECOLI,P06998,6-phosphofructokinase isozyme I (EC 2.7.1.11) (Phosphofructokinase-1) (Phosphohexokinase-1,23,981,18,1.28,1.80E+01,1.55E+03,0.027043894,34843,5.51,0,7,0.66,X,,1.86,"63,01,40,02",01;02.01;63.19;63;02.01.03;40.03;02;01.05;40;01.05.01;63.19.03;01.05.01.01;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; ,c.89,c.89.1;,Alpha and beta proteins (a/b),Phosphofructokinase,0,Cytoplasmic,C,low,,172,no,3.190331698
RS13_ECOLI,P02369,30S ribosomal protein S13,21,1112,6,3.5,3.16E+03,3.12E+04,0.090909091,12969,11.48,-0.44,4,,,,1.13,"63,05,40",05.01.01;63;05;05.04;05.04.01;40.03;63.03.03;63.03;05.01;40;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; ,a.5,a.5.5;,All alpha proteins,RuvA C-terminal domain-like,0,Cytoplasmic,,-,rpsMKD-rpoA-rplQ,173,yes,4.494154594
MALE_ECOLI,P02928,Maltose-binding periplasmic protein precursor (Maltodextrin-binding protein) (MMBP),21,1069,23,0.91,7.19E+00,9.10E+02,0.013898382,43389,5.46,-0.25,12,0.52,N,,1.15,"67,01,63,40",01;63.13.01;63;67.07.99;40.28;63.13;01.05.07;01.05;40;67;67.07;,TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ,c.94,c.94.1;,Alpha and beta proteins (a/b),Periplasmic binding protein-like II,0,Periplasmic,P,low,malEFG,174,no,2.959041392
RS8_ECOLI,P02361,30S ribosomal protein S8,21,1023,8,2.63,4.21E+02,9.68E+03,0.047619048,13996,10.22,-0.12,3,,,,1.4,"63,05,40",05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; ,d.140,d.140.1;,Alpha and beta proteins (a+b),Ribosomal protein S8,0,Cytoplasmic,,-,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-prlA-rpmJ,175,yes,3.985875357
ENTF_ECOLI,P11454,Enterobactin synthetase component F (EC 2.7.7.-) (Enterochelin synthase F) (Serine activat,21,970,47,0.45,1.80E+00,4.07E+02,0.005696058,141992,4.92,-0.08,46,,,,,"63,01",01;63.19;63;01.05;01.05.01;63.19.03;01.20;01.05.01.03;01.20.36;01.05.01.03.04;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; ,"e.23,c.43,a.28,c.69",a.28.1;c.43.1;e.23.1;c.69.1;,"Alpha and beta proteins (a/b),Multi-domain proteins (alpha and beta),All alpha proteins","Firefly luciferase-like,Acyl carrier protein-like,CoA-dependent acyltransferases,alpha/beta-Hydrolases",0,Unknown (This protein may have multiple localization sites.),,low,fes-entF-fepE,176,no,2.609594409
GYRB_ECOLI,P06982,DNA gyrase subunit B (EC 5.99.1.3),21,969,38,0.55,2.57E+00,5.01E+02,0.012759171,89820,5.96,-0.46,24,,,,1.27,"63,03,40",03.01.03.01;63.03.01;03;63.19;63;63.03;03.01.03;40.37;40;03.01.05;63.19.03;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; ,"d.122,d.14,e.11",e.11.1;d.14.1;d.122.1;,"Alpha and beta proteins (a+b),Multi-domain proteins (alpha and beta)","Type II DNA topoisomerase,Ribosomal protein S5 domain 2-like,ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase",0,Cytoplasmic,C,low,gyrB,177,no,2.699837726
RL19_ECOLI,P02420,50S ribosomal protein L19,22,989,7,3.14,1.39E+03,1.94E+04,0.056981296,13003,11.36,-0.55,4,,,,1.59,5,05.01.01;05;05.01;,PROTEIN SYNTHESIS; ,,,,,0,Cytoplasmic,,-,rpsP-rimM-trmD-rplS,178,yes,4.28780173
PPID_ECOLI,P77241,Peptidyl-prolyl cis-trans isomerase D (EC 5.2.1.8) (PPIase D) (Rotamase D),22,946,30,0.73,4.41E+00,6.86E+02,0.01000435,68151,4.77,-0.41,13,,,,,"11,06",11.01;06.07;11;06.07.99;06;06.01;11.01.05;,"CELL RESCUE, DEFENSE AND VIRULENCE; PROTEIN FATE (folding, modification, destination); ",,,,,1,Periplasmic,OM,low,,179,no,2.836324116
GLMM_ECOLI,P31120,Phosphoglucosamine mutase (EC 5.4.2.10),22,943,22,1,9.00E+00,1.04E+03,0.014136581,47414,5.92,0.01,20,,,,,"01,30,14",14.01;01;30.01;30;30.02;01.05.01.03.02;01.05;01.05.01;14;01.05.01.03;,METABOLISM; CONTROL OF CELLULAR ORGANIZATION; CELL FATE; ,c.84,c.84.1;,Alpha and beta proteins (a/b),"Phosphoglucomutase, first 3 domains",0,Cytoplasmic,C,low,,180,no,3.017033339
OMPX_ECOLI,P36546,Outer membrane protein X precursor,21,1141,6,3.5,3.16E+03,3.12E+04,0.02050581,18604,7.29,-0.32,6,0.74,N,,1.66,"40,13",40.31;13;40;13.07;,SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; ,f.4,f.4.1;,Membrane and cell surface proteins and peptides,Transmembrane beta-barrels,1,OuterMembrane,OM,high,,181,no,4.494154594
BGLA_ECOLI,Q46829,6-phospho-beta-glucosidase bglA (EC 3.2.1.86),21,962,24,0.88,6.50E+00,8.59E+02,0.010025063,55362,5.71,-0.45,18,,,,,"01,63",01;01.04;63.13.01;63;63.13;01.05.01.01.02;01.05;01.05.01;01.05.01.01;01.05.01.01.01;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ,c.1,c.1.8;,Alpha and beta proteins (a/b),TIM beta/alpha-barrel,0,Cytoplasmic,,low,,182,no,2.933993164
SYW_ECOLI,P00954,Tryptophanyl-tRNA synthetase (EC 6.1.1.2) (Tryptophan--tRNA ligase) (TrpRS),20,920,12,1.67,4.54E+01,2.66E+03,0.013636364,37439,6.72,-0.32,7,,,,,"63,40,05",63.19;63;05;63.11;40.03;05.10;63.03.03;63.03;40;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; ,c.26,c.26.1;,Alpha and beta proteins (a/b),Adenine nucleotide alpha hydrolase-like,0,Cytoplasmic,C,high,aroKB-damX-dam-rpe-gph-trpS,183,no,3.424881637
ZNUA_ECOLI,P39172,High-affinity zinc uptake system protein znuA precursor,19,890,13,1.46,2.79E+01,2.00E+03,0.014605893,33778,5.9,-0.21,14,,,,,"67,63,40,13",13.01;13.01.01;63;63.17;40.28;67.04;63.17.09;67.04.01;13;40;13.01.01.01;67.04.01.01;67;,TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; ,c.92,c.92.2;,Alpha and beta proteins (a/b),Chelatase-like,0,Periplasmic,,low,,184,no,3.301029996
RL25_ECOLI,P02426,50S ribosomal protein L25,21,929,6,3.5,3.16E+03,3.12E+04,0.088402825,10694,10.42,-0.47,4,0.76,E,,,5,05.01.01;05;05.01;,PROTEIN SYNTHESIS; ,b.53,b.53.1;,All beta proteins,Ribosomal protein L25-like,0,Unknown,,-,,185,yes,4.494154594
ENGD_ECOLI,P31216,GTP-dependent nucleic acid-binding protein engD,20,855,19,1.05,1.03E+01,1.12E+03,0.014832536,39537,4.7,-0.17,10,,,,,99,99;,UNCLASSIFIED PROTEINS; ,c.69,c.69.1;,Alpha and beta proteins (a/b),alpha/beta-Hydrolases,0,Cytoplasmic,C,low,pth-ychF,186,no,3.049218023
PROQ_ECOLI,P45577,ProP effector,21,875,12,1.75,5.52E+01,2.98E+03,0.018683071,25894,10.44,-0.78,10,,,,,99,99;,UNCLASSIFIED PROTEINS; ,,,,,0,Unknown,,high,,187,no,3.474216264
SYH_ECOLI,P60906,Histidyl-tRNA synthetase (EC 6.1.1.21) (Histidine--tRNA ligase) (HisRS),17,744,23,0.74,4.48E+00,6.92E+02,0.014916972,46899,5.78,-0.28,12,,,,,"40,05",05;40.03;05.10;40;,SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; ,"c.51,d.104",c.51.1;d.104.1;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b)","Class II aaRS and biotin synthetases,Anticodon-binding domain-like",0,Cytoplasmic,C,low,,188,no,2.840106094
FTSZ_ECOLI,P06138,Cell division protein ftsZ,20,1018,21,0.95,7.96E+00,9.66E+02,0.026076555,40325,4.47,0,10,0.52,E,,1.16,"63,03,40",03.03.05.99;63.19.05;03;63.19;63;40.03;03.03;03.03.01.01;03.03.01;40;03.03.05;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; ,"d.79,c.32",d.79.2;c.32.1;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b)","Bacillus chorismate mutase-like,Tubulin, GTPase domain",0,CytoplasmicMembrane,P,low,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ,189,no,2.984977126
SECD_ECOLI,P19673,Protein-export membrane protein secD,20,975,29,0.69,3.89E+00,6.38E+02,0.011244019,66633,9.31,0.12,19,0.47,E,,1.09,"63,40,08,06",63;08.16;06.04;63.01;40;08.16.05;06;08;40.02;,"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; PROTEIN FATE (folding, modification, destination); ",,,,,6,CytoplasmicMembrane,,low,tgt-yajC-secDF,190,no,2.804820679
GRPE_ECOLI,P09372,GrpE protein (HSP-70 cofactor) (Heat shock protein B25.3) (HSP24),18,911,6,3,9.99E+02,1.60E+04,0.032695375,21799,4.5,-0.37,11,,,,,"11,06,62",62.02.01.01;11.01;11;62.02;62;62.02.01;06;06.01;11.01.05;,"CELL RESCUE, DEFENSE AND VIRULENCE; PROTEIN FATE (folding, modification, destination); PROTEIN ACTIVITY REGULATION; ","b.73,c.14",b.73.1;c.14.1;,"Alpha and beta proteins (a/b),All beta proteins","Head domain of nucleotide exchange factor GrpE,ClpP/crotonase",0,Cytoplasmic,C,high,grpE,191,no,4.204119983
RNE_ECOLI,P21513,Ribonuclease E (EC 3.1.4.-) (RNase E),20,924,38,0.53,2.36E+00,4.77E+02,0.012679426,118198,5.44,-0.64,34,0.49,E,,1.22,"01,63,40,04,14",01;04.03.03;01.03;63;01.03.16;04.05;01.03.16.01;63.03;04.05.05;40.30;14;14.01;04;04.03;63.03.03;40;04.05.05.05;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; TRANSCRIPTION; CELL FATE; ,,,,,0,Cytoplasmic,IM,low,,192,no,2.678518379
ALKH_ECOLI,P10177,KHG/KDPG aldolase [Includes: 4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (2-keto-4-hyd,19,875,8,2.38,2.36E+02,6.92E+03,0.027700831,22285,5.47,0.32,2,0.59,N,,1.57,"01,40,02",01;40.03;02.05;02;01.05;40;,METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; ,c.1,c.1.10;,Alpha and beta proteins (a/b),TIM beta/alpha-barrel,0,Cytoplasmic,C,high,edd-eda,193,no,3.840106094
LEU1_ECOLI,P09151,2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-isopropylmalate synthase) (Alpha-IPM synth,20,886,28,0.71,4.18E+00,6.64E+02,0.005263158,57184,5.56,-0.2,13,,,,,"01,63,06",01.01.01;01.01;01;06.10;63;63.01;06;01.01.01.15.03;01.01.01.15;,"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN FATE (folding, modification, destination); ",,,,,0,Cytoplasmic,,low,leuLABCD,194,no,2.822168079
CISY_ECOLI,P00891,Citrate synthase (EC 2.3.3.1),19,805,16,1.19,1.44E+01,1.36E+03,0.031730043,48016,6.67,-0.23,10,0.54,N,,1.29,"40,02",02.10;40.03;02;40;,SUBCELLULAR LOCALISATION; ENERGY; ,a.103,a.103.1;,All alpha proteins,Citrate synthase,0,Cytoplasmic,C,low,gltA,195,no,3.133538908
LEPA_ECOLI,P60785,GTP-binding protein lepA,19,990,24,0.79,5.19E+00,7.53E+02,0.01359859,66571,5.35,-0.2,21,,,,1.13,"63,40",63.19.05;63.19;63;40.28;40;40.30;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ,"c.37,b.43,d.58",c.37.1;d.58.11;b.43.3;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b),All beta proteins","Reductase/isomerase/elongation factor common domain,P-loop containing nucleotide triphosphate hydrolases,Ferredoxin-like",0,Cytoplasmic,,low,lepAB,196,no,2.876794976
YDGH_ECOLI,P76177,Protein ydgH precursor,19,917,17,1.12,1.21E+01,1.23E+03,0.008562075,33904,10.11,-0.32,14,,N,,,99,99;,UNCLASSIFIED PROTEINS; ,,,,,0,Unknown,C,low,,197,no,3.089905111
