Entry	Status	Protein names	Gene names	Cofactor	Entry name	Gene ontology IDs	Gene ontology (GO)	Gene ontology (biological process)	Mass	Metal binding	Keyword ID	Annotation	Function [CC]
P0CI31	reviewed	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)	hcaB phdD yfhX b2541 JW2525		HCAB_ECOLI	GO:0018498; GO:0019380	2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase activity [GO:0018498]; 3-phenylpropionate catabolic process [GO:0019380]	3-phenylpropionate catabolic process [GO:0019380]	28,500		KW-0058; KW-0520; KW-0560; KW-1185	4 out of 5	FUNCTION: Converts 3-phenylpropionate-dihydrodiol (PP-dihydrodiol) and cinnamic acid-dihydrodiol (CI-dihydrodiol) into 3-(2,3-dihydroxylphenyl)propanoic acid (DHPP) and 2,3-dihydroxicinnamic acid (DHCI), respectively. {ECO:0000250, ECO:0000269|PubMed:9603882}.
P0ABW0	reviewed	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit	hcaC hcaA3 phdB yfhW b2540 JW2524		HCAC_ECOLI	GO:0008695; GO:0019380; GO:0046872; GO:0051536; GO:0051537	2 iron, 2 sulfur cluster binding [GO:0051537]; 3-phenylpropionate dioxygenase activity [GO:0008695]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; 3-phenylpropionate catabolic process [GO:0019380]	3-phenylpropionate catabolic process [GO:0019380]	11,329	METAL 42;  /note="Iron-sulfur (2Fe-2S)";  /evidence="ECO:0000255"; METAL 44;  /note="Iron-sulfur (2Fe-2S); via pros nitrogen";  /evidence="ECO:0000255"; METAL 62;  /note="Iron-sulfur (2Fe-2S)";  /evidence="ECO:0000255"; METAL 65;  /note="Iron-sulfur (2Fe-2S); via pros nitrogen";  /evidence="ECO:0000255"	KW-0001; KW-0058; KW-0249; KW-0408; KW-0411; KW-0479; KW-0813; KW-1185	4 out of 5	FUNCTION: Part of the multicomponent 3-phenylpropionate dioxygenase, that converts 3-phenylpropionic acid (PP) and cinnamic acid (CI) into 3-phenylpropionate-dihydrodiol (PP-dihydrodiol) and cinnamic acid-dihydrodiol (CI-dihydrodiol), respectively. This protein seems to be a 2Fe-2S ferredoxin.
P77650	reviewed	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component (EC 1.18.1.3)	hcaD hcaA4 phdA yfhY b2542 JW2526	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; 	HCAD_ECOLI	GO:0008695; GO:0008860; GO:0019380; GO:0050660	3-phenylpropionate dioxygenase activity [GO:0008695]; ferredoxin-NAD+ reductase activity [GO:0008860]; flavin adenine dinucleotide binding [GO:0050660]; 3-phenylpropionate catabolic process [GO:0019380]	3-phenylpropionate catabolic process [GO:0019380]	43,978		KW-0058; KW-0274; KW-0285; KW-0520; KW-0560; KW-1185	4 out of 5	FUNCTION: Part of the multicomponent 3-phenylpropionate dioxygenase, that converts 3-phenylpropionic acid (PP) and cinnamic acid (CI) into 3-phenylpropionate-dihydrodiol (PP-dihydrodiol) and cinnamic acid-dihydrodiol (CI-dihydrodiol), respectively.
P0ABR5	reviewed	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	hcaE digA hcaA hcaA1 phdC1 yfhU b2538 JW2522	COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000305};  Note=Binds 1 [2Fe-2S] cluster. {ECO:0000305}; COFACTOR: Name=Fe cation; Xref=ChEBI:CHEBI:24875; Evidence={ECO:0000305};  Note=Binds 1 Fe cation. {ECO:0000305};	HCAE_ECOLI	GO:0005506; GO:0008695; GO:0019380; GO:0051537	2 iron, 2 sulfur cluster binding [GO:0051537]; 3-phenylpropionate dioxygenase activity [GO:0008695]; iron ion binding [GO:0005506]; 3-phenylpropionate catabolic process [GO:0019380]	3-phenylpropionate catabolic process [GO:0019380]	51,109	METAL 85;  /note="Iron-sulfur (2Fe-2S)";  /evidence="ECO:0000250"; METAL 87;  /note="Iron-sulfur (2Fe-2S); via pros nitrogen";  /evidence="ECO:0000250"; METAL 105;  /note="Iron-sulfur (2Fe-2S)";  /evidence="ECO:0000250"; METAL 108;  /note="Iron-sulfur (2Fe-2S); via pros nitrogen";  /evidence="ECO:0000250"; METAL 213;  /note="Iron";  /evidence="ECO:0000250"; METAL 218;  /note="Iron";  /evidence="ECO:0000250"	KW-0001; KW-0058; KW-0223; KW-0408; KW-0411; KW-0479; KW-0520; KW-0560; KW-1185	4 out of 5	FUNCTION: Part of the multicomponent 3-phenylpropionate dioxygenase. Converts 3-phenylpropionic acid (PP) and cinnamic acid (CI) into 3-phenylpropionate-dihydrodiol (PP-dihydrodiol) and cinnamic acid-dihydrodiol (CI-dihydrodiol), respectively. {ECO:0000269|PubMed:9603882}.
Q47140	reviewed	3-phenylpropionate/cinnamic acid dioxygenase subunit beta (EC 1.14.12.19)	hcaF digB hcaA2 hcaB phdC2 yfhV b2539 JW2523		HCAF_ECOLI	GO:0008695; GO:0019380	3-phenylpropionate dioxygenase activity [GO:0008695]; 3-phenylpropionate catabolic process [GO:0019380]	3-phenylpropionate catabolic process [GO:0019380]	20,579		KW-0058; KW-0223; KW-0520; KW-0560; KW-1185	4 out of 5	FUNCTION: Part of the multicomponent 3-phenylpropionate dioxygenase. Converts 3-phenylpropionic acid (PP) and cinnamic acid (CI) into 3-phenylpropionate-dihydrodiol (PP-dihydrodiol) and cinnamic acid-dihydrodiol (CI-dihydrodiol), respectively. {ECO:0000269|PubMed:9603882}.
Q47141	reviewed	Hca operon transcriptional activator HcaR	hcaR phdR yfhT b2537 JW2521		HCAR_ECOLI	GO:0003677; GO:0003700; GO:0045892; GO:0045893	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]	negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]	32,838		KW-0010; KW-0238; KW-0804; KW-0805; KW-1185	3 out of 5	FUNCTION: Transcriptional activator of the hca operon for 3-phenylpropionic acid catabolism.
Q47142	reviewed	Probable 3-phenylpropionic acid transporter	hcaT yfhS b2536 JW2520		HCAT_ECOLI	GO:0005886; GO:0005887; GO:0015528; GO:0030395	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; lactose binding [GO:0030395]; lactose:proton symporter activity [GO:0015528]		41,593		KW-0472; KW-0769; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	3 out of 5	FUNCTION: Probable permease involved in the uptake of 3-phenylpropionic acid.
P75825	reviewed	Hydroxylamine reductase (EC 1.7.99.1) (Hybrid-cluster protein) (HCP) (Prismane protein)	hcp ybjW b0873 JW0857	COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000255|HAMAP-Rule:MF_00069, ECO:0000269|PubMed:10381368, ECO:0000269|PubMed:10651802};  Note=Binds 1 [2Fe-2S] cluster. {ECO:0000255|HAMAP-Rule:MF_00069, ECO:0000269|PubMed:10381368, ECO:0000269|PubMed:10651802}; COFACTOR: Name=hybrid [4Fe-2O-2S] cluster; Xref=ChEBI:CHEBI:60519; Evidence={ECO:0000255|HAMAP-Rule:MF_00069, ECO:0000269|PubMed:10381368, ECO:0000269|PubMed:10651802};  Note=Binds 1 hybrid [4Fe-2O-2S] cluster. {ECO:0000255|HAMAP-Rule:MF_00069, ECO:0000269|PubMed:10381368, ECO:0000269|PubMed:10651802};	HCP_ECOLI	GO:0004601; GO:0005737; GO:0006807; GO:0016491; GO:0018119; GO:0035606; GO:0042542; GO:0046210; GO:0046872; GO:0050418; GO:0051537; GO:0055114	cytoplasm [GO:0005737]; 2 iron, 2 sulfur cluster binding [GO:0051537]; hydroxylamine reductase activity [GO:0050418]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; peroxidase activity [GO:0004601]; nitric oxide catabolic process [GO:0046210]; nitrogen compound metabolic process [GO:0006807]; oxidation-reduction process [GO:0055114]; peptidyl-cysteine S-nitrosylation [GO:0018119]; peptidyl-cysteine S-trans-nitrosylation [GO:0035606]; response to hydrogen peroxide [GO:0042542]	nitric oxide catabolic process [GO:0046210]; nitrogen compound metabolic process [GO:0006807]; oxidation-reduction process [GO:0055114]; peptidyl-cysteine S-nitrosylation [GO:0018119]; peptidyl-cysteine S-trans-nitrosylation [GO:0035606]; response to hydrogen peroxide [GO:0042542]	60,064	METAL 3;  /note="Iron-sulfur (2Fe-2S)";  /evidence="ECO:0000255|HAMAP-Rule:MF_00069"; METAL 6;  /note="Iron-sulfur (2Fe-2S)";  /evidence="ECO:0000255|HAMAP-Rule:MF_00069"; METAL 18;  /note="Iron-sulfur (2Fe-2S)";  /evidence="ECO:0000255|HAMAP-Rule:MF_00069"; METAL 25;  /note="Iron-sulfur (2Fe-2S)";  /evidence="ECO:0000255|HAMAP-Rule:MF_00069"; METAL 249;  /note="Iron-oxo-sulfur (4Fe-2O-2S); via tele nitrogen";  /evidence="ECO:0000255|HAMAP-Rule:MF_00069"; METAL 273;  /note="Iron-oxo-sulfur (4Fe-2O-2S)";  /evidence="ECO:0000255|HAMAP-Rule:MF_00069"; METAL 317;  /note="Iron-oxo-sulfur (4Fe-2O-2S)";  /evidence="ECO:0000255|HAMAP-Rule:MF_00069"; METAL 405;  /note="Iron-oxo-sulfur (4Fe-2O-2S); via persulfide group";  /evidence="ECO:0000255|HAMAP-Rule:MF_00069"; METAL 433;  /note="Iron-oxo-sulfur (4Fe-2O-2S)";  /evidence="ECO:0000255|HAMAP-Rule:MF_00069"; METAL 458;  /note="Iron-oxo-sulfur (4Fe-2O-2S)";  /evidence="ECO:0000255|HAMAP-Rule:MF_00069"; METAL 492;  /note="Iron-oxo-sulfur (4Fe-2O-2S)";  /evidence="ECO:0000255|HAMAP-Rule:MF_00069"; METAL 494;  /note="Iron-oxo-sulfur (4Fe-2O-2S)";  /evidence="ECO:0000255|HAMAP-Rule:MF_00069"	KW-0001; KW-0408; KW-0411; KW-0479; KW-0560; KW-0963; KW-1185	5 out of 5	FUNCTION: Catalyzes the reduction of hydroxylamine to form NH(3) and H(2)O. Is also able to reduce hydroxylamine analogs such as methylhydroxylamine and hydroxyquinone. Might have a role as a scavenger of potentially toxic by-products of nitrate metabolism. {ECO:0000255|HAMAP-Rule:MF_00069, ECO:0000269|PubMed:10651802, ECO:0000269|PubMed:12374823}.
P75824	reviewed	NADH oxidoreductase HCR (EC 1.-.-.-)	hcr ybjV b0872 JW5117	COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601;  Note=Binds 1 [2Fe-2S] cluster.; COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; 	HCR_ECOLI	GO:0009055; GO:0016651; GO:0046872; GO:0050660; GO:0051537	2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]		35,740	METAL 273;  /note="Iron-sulfur (2Fe-2S)";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00465"; METAL 278;  /note="Iron-sulfur (2Fe-2S)";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00465"; METAL 281;  /note="Iron-sulfur (2Fe-2S)";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00465"; METAL 311;  /note="Iron-sulfur (2Fe-2S)";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00465"	KW-0001; KW-0249; KW-0274; KW-0285; KW-0408; KW-0411; KW-0479; KW-0520; KW-0560; KW-0813; KW-1185	4 out of 5	FUNCTION: NADH oxidoreductase acting in concert with HCP.
P69931	reviewed	DnaA regulatory inactivator Hda (DnaA paralog) (Dp)	hda idaB yfgE b2496 JW5397 f248c		HDA_ECOLI	GO:0005829; GO:0005886; GO:0006260; GO:0006270; GO:0016020; GO:0032297; GO:0042802; GO:0043531	cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ADP binding [GO:0043531]; identical protein binding [GO:0042802]; DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; negative regulation of DNA-dependent DNA replication initiation [GO:0032297]	DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; negative regulation of DNA-dependent DNA replication initiation [GO:0032297]	26,633		KW-0235; KW-0236; KW-0472; KW-0547; KW-0903; KW-0997; KW-1003; KW-1185	5 out of 5	FUNCTION: Mediates the interactions of DNA replication initiator protein DnaA with DNA polymerase subunit beta sliding clamp (dnaN). Stimulates hydrolysis of ATP-DnaA to ADP-DnaA, rendering DnaA inactive for reinitiation, a process called regulatory inhibition of DnaA or RIDA. ADP-binding activates Hda to hydrolyze DnaA-ATP; Hda monomers bind to ADP with about 200-fold greater affinity than for ATP. RIDA function can be genetically separated from viability, suggesting this protein has another function as well.; FUNCTION: Suppresses the toxic effect of overexpressing a TrfA N-terminal 163 residue fragment. Inhibits inner membrane-associated plasmid IncP-alpha RK2 replication probably by interacting with plasmid-encoded TrfA.
P0AES9	reviewed	Acid stress chaperone HdeA (10K-S protein)	hdeA yhhC yhiB b3510 JW3478		HDEA_ECOLI	GO:0030288; GO:0042802; GO:0051087; GO:0071468; GO:1990451	outer membrane-bounded periplasmic space [GO:0030288]; chaperone binding [GO:0051087]; identical protein binding [GO:0042802]; cellular response to acidic pH [GO:0071468]; cellular stress response to acidic pH [GO:1990451]	cellular response to acidic pH [GO:0071468]; cellular stress response to acidic pH [GO:1990451]	11,858		KW-0002; KW-0143; KW-0574; KW-0732; KW-0903; KW-1015; KW-1185	5 out of 5	FUNCTION: Required for optimal acid stress protection. Exhibits a chaperone-like activity only at pH below 3 by suppressing non-specifically the aggregation of denaturated periplasmic proteins. Important for survival of enteric bacteria in the acidic environment of the host stomach. Also promotes the solubilization at neutral pH of proteins that had aggregated in their presence at acidic pHs. May cooperate with other periplasmic chaperones such as DegP and SurA. {ECO:0000269|PubMed:15911614, ECO:0000269|PubMed:17085547, ECO:0000269|PubMed:18359765, ECO:0000269|PubMed:21892184}.
P0AET2	reviewed	Acid stress chaperone HdeB (10K-L protein)	hdeB yhhD yhiC b3509 JW5669		HDEB_ECOLI	GO:0010447; GO:0030288; GO:0051082; GO:1990451	outer membrane-bounded periplasmic space [GO:0030288]; unfolded protein binding [GO:0051082]; cellular stress response to acidic pH [GO:1990451]; response to acidic pH [GO:0010447]	cellular stress response to acidic pH [GO:1990451]; response to acidic pH [GO:0010447]	12,043		KW-0002; KW-0007; KW-0143; KW-0574; KW-0732; KW-0903; KW-1185	5 out of 5	FUNCTION: Required for optimal acid stress protection, which is important for survival of enteric bacteria in the acidic environment of the host stomach. Exhibits a chaperone-like activity at acidic pH by preventing the aggregation of many different periplasmic proteins. {ECO:0000255|HAMAP-Rule:MF_00947, ECO:0000269|PubMed:17085547}.
P0AET5	reviewed	Protein HdeD	hdeD yhiA b3511 JW3479		HDED_ECOLI	GO:0005886; GO:0009268; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; response to pH [GO:0009268]	response to pH [GO:0009268]	20,903		KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	2 out of 5	
P0A8R9	reviewed	HTH-type transcriptional regulator HdfR (H-NS-dependent flhDC regulator)	hdfR pssR yifA yifD b4480 JW5607		HDFR_ECOLI	GO:0003677; GO:0003700; GO:0006355; GO:0045892	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of transcription, DNA-templated [GO:0045892]; regulation of transcription, DNA-templated [GO:0006355]	negative regulation of transcription, DNA-templated [GO:0045892]; regulation of transcription, DNA-templated [GO:0006355]	31,746		KW-0238; KW-0678; KW-0804; KW-0805; KW-1185	3 out of 5	FUNCTION: Negatively regulates the transcription of the flagellar master operon flhDC by binding to the upstream region of the operon. {ECO:0000269|PubMed:10913108}.
P0AET8	reviewed	7-alpha-hydroxysteroid dehydrogenase (7-alpha-HSDH) (EC 1.1.1.159)	hdhA hsdH b1619 JW1611		HDHA_ECOLI	GO:0005829; GO:0008709; GO:0016042; GO:0030573; GO:0042802; GO:0051287; GO:0051289	cytosol [GO:0005829]; cholate 7-alpha-dehydrogenase activity [GO:0008709]; identical protein binding [GO:0042802]; NAD binding [GO:0051287]; bile acid catabolic process [GO:0030573]; lipid catabolic process [GO:0016042]; protein homotetramerization [GO:0051289]	bile acid catabolic process [GO:0030573]; lipid catabolic process [GO:0016042]; protein homotetramerization [GO:0051289]	26,779		KW-0002; KW-0088; KW-0442; KW-0443; KW-0520; KW-0560; KW-0753; KW-0903; KW-1185	5 out of 5	FUNCTION: Catalyzes the oxidation of the 7-alpha-hydroxy group of primary bile acids such as cholate, chenodeoxycholate and taurochenodeoxycholate (PubMed:2007545, PubMed:9722677). To a lesser extent, also able to use taurocholate and glycocholate (PubMed:2007545). {ECO:0000269|PubMed:2007545, ECO:0000269|PubMed:9722677}.
P15038	reviewed	DNA helicase IV (EC 3.6.4.12) (75 kDa helicase)	helD b0962 JW0945		HELD_ECOLI	GO:0000725; GO:0003677; GO:0005524; GO:0005829; GO:0006281; GO:0006310; GO:0033202; GO:0043138	cytosol [GO:0005829]; DNA helicase complex [GO:0033202]; 3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; recombinational repair [GO:0000725]	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; recombinational repair [GO:0000725]	77,976		KW-0067; KW-0238; KW-0347; KW-0378; KW-0547; KW-0903; KW-1185	4 out of 5	FUNCTION: Helicase IV catalyzes the unwinding of duplex DNA in the 3' to 5' direction with respect to the bound single strand in a reaction that is dependent upon the hydrolysis of ATP.
P0A6X1	reviewed	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	hemA b1210 JW1201		HEM1_ECOLI	GO:0008883; GO:0019353; GO:0042802; GO:0050661	glutamyl-tRNA reductase activity [GO:0008883]; identical protein binding [GO:0042802]; NADP binding [GO:0050661]; protoporphyrinogen IX biosynthetic process from glutamate [GO:0019353]	protoporphyrinogen IX biosynthetic process from glutamate [GO:0019353]	46,307		KW-0521; KW-0560; KW-0627; KW-0903; KW-1185	5 out of 5	FUNCTION: Catalyzes the NADPH-dependent reduction of glutamyl-tRNA(Glu) to glutamate 1-semialdehyde (GSA). In the absence of NADPH, exhibits substrate esterase activity, leading to the release of glutamate from tRNA. {ECO:0000269|PubMed:12370189, ECO:0000269|PubMed:1569081}.
P0ACB2	reviewed	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	hemB ncf b0369 JW0361	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000269|PubMed:10194344, ECO:0000269|PubMed:11444968, ECO:0000269|PubMed:11909869, ECO:0000269|PubMed:7592604};  Note=Binds 1 zinc ion per monomer. {ECO:0000269|PubMed:10194344, ECO:0000269|PubMed:11444968, ECO:0000269|PubMed:11909869, ECO:0000269|PubMed:7592604};	HEM2_ECOLI	GO:0000287; GO:0004655; GO:0005829; GO:0006782; GO:0006783; GO:0008270	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; porphobilinogen synthase activity [GO:0004655]; zinc ion binding [GO:0008270]; heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]	heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]	35,625	METAL 120;  /note="Zinc; catalytic";  /evidence="ECO:0000269|PubMed:11444968, ECO:0000269|PubMed:11909869"; METAL 122;  /note="Zinc; catalytic";  /evidence="ECO:0000269|PubMed:11444968, ECO:0000269|PubMed:11909869"; METAL 130;  /note="Zinc; catalytic";  /evidence="ECO:0000269|PubMed:11444968, ECO:0000269|PubMed:11909869"; METAL 232;  /note="Magnesium";  /evidence="ECO:0000269|PubMed:11444968, ECO:0000269|PubMed:11909869"	KW-0002; KW-0021; KW-0350; KW-0456; KW-0460; KW-0479; KW-0627; KW-0862; KW-0903; KW-1185	5 out of 5	FUNCTION: Catalyzes an early step in the biosynthesis of tetrapyrroles. Binds two molecules of 5-aminolevulinate per subunit, each at a distinct site, and catalyzes their condensation to form porphobilinogen.
P06983	reviewed	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	hemC popE b3805 JW5932	COFACTOR: Name=dipyrromethane; Xref=ChEBI:CHEBI:60342;  Note=Binds 1 dipyrromethane group covalently.;	HEM3_ECOLI	GO:0004418; GO:0005737; GO:0005829; GO:0006782; GO:0006783; GO:0018160; GO:0033014	cytoplasm [GO:0005737]; cytosol [GO:0005829]; hydroxymethylbilane synthase activity [GO:0004418]; heme biosynthetic process [GO:0006783]; peptidyl-pyrromethane cofactor linkage [GO:0018160]; protoporphyrinogen IX biosynthetic process [GO:0006782]; tetrapyrrole biosynthetic process [GO:0033014]	heme biosynthetic process [GO:0006783]; peptidyl-pyrromethane cofactor linkage [GO:0018160]; protoporphyrinogen IX biosynthetic process [GO:0006782]; tetrapyrrole biosynthetic process [GO:0033014]	33,852		KW-0002; KW-0627; KW-0808; KW-0903; KW-1185	5 out of 5	FUNCTION: Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps. {ECO:0000269|PubMed:3529035}.
P09126	reviewed	Uroporphyrinogen-III synthase (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	hemD b3804 JW3776		HEM4_ECOLI	GO:0004852; GO:0006780; GO:0006782	uroporphyrinogen-III synthase activity [GO:0004852]; protoporphyrinogen IX biosynthetic process [GO:0006782]; uroporphyrinogen III biosynthetic process [GO:0006780]	protoporphyrinogen IX biosynthetic process [GO:0006782]; uroporphyrinogen III biosynthetic process [GO:0006780]	27,798		KW-0456; KW-0627; KW-1185	3 out of 5	FUNCTION: Catalyzes cyclization of the linear tetrapyrrole, hydroxymethylbilane, to the macrocyclic uroporphyrinogen III. {ECO:0000250}.
P29680	reviewed	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	hemE b3997 JW3961		DCUP_ECOLI	GO:0004853; GO:0005829; GO:0006779; GO:0006780; GO:0006783; GO:0019353	cytosol [GO:0005829]; uroporphyrinogen decarboxylase activity [GO:0004853]; heme biosynthetic process [GO:0006783]; porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process from glutamate [GO:0019353]; uroporphyrinogen III biosynthetic process [GO:0006780]	heme biosynthetic process [GO:0006783]; porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process from glutamate [GO:0019353]; uroporphyrinogen III biosynthetic process [GO:0006780]	39,248		KW-0210; KW-0456; KW-0627; KW-0963; KW-1185	4 out of 5	FUNCTION: Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III. {ECO:0000255|HAMAP-Rule:MF_00218}.
P36553	reviewed	Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	hemF b2436 JW2429	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000255|HAMAP-Rule:MF_00333, ECO:0000269|PubMed:12975365}; 	HEM6_ECOLI	GO:0004109; GO:0005737; GO:0006782; GO:0006783; GO:0030145; GO:0042803; GO:0046906	cytoplasm [GO:0005737]; coproporphyrinogen oxidase activity [GO:0004109]; manganese ion binding [GO:0030145]; protein homodimerization activity [GO:0042803]; tetrapyrrole binding [GO:0046906]; heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]	heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]	34,323	METAL 96;  /note="Manganese";  /evidence="ECO:0000305"; METAL 106;  /note="Manganese";  /evidence="ECO:0000305"; METAL 145;  /note="Manganese";  /evidence="ECO:0000305"; METAL 175;  /note="Manganese";  /evidence="ECO:0000305"	KW-0350; KW-0464; KW-0479; KW-0560; KW-0627; KW-0903; KW-0963; KW-1185	5 out of 5	FUNCTION: Involved in the heme biosynthesis. Catalyzes the aerobic oxidative decarboxylation of propionate groups of rings A and B of coproporphyrinogen-III to yield the vinyl groups in protoporphyrinogen-IX. {ECO:0000255|HAMAP-Rule:MF_00333, ECO:0000269|PubMed:12975365, ECO:0000269|PubMed:13129604}.
P0ACB4	reviewed	Protoporphyrinogen IX dehydrogenase [menaquinone] (EC 1.3.5.3)	hemG yihB b3850 JW3827		HEMG_ECOLI	GO:0004729; GO:0005829; GO:0006779; GO:0006782; GO:0006783; GO:0009055; GO:0010181; GO:0070819	cytosol [GO:0005829]; electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; menaquinone-dependent protoporphyrinogen oxidase activity [GO:0070819]; oxygen-dependent protoporphyrinogen oxidase activity [GO:0004729]; heme biosynthetic process [GO:0006783]; porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process [GO:0006782]	heme biosynthetic process [GO:0006783]; porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process [GO:0006782]	21,226		KW-0560; KW-0627; KW-0903; KW-1185	5 out of 5	FUNCTION: Catalyzes the 6-electron oxidation of protoporphyrinogen-IX to form protoporphyrin-IX using menaquinone as electron acceptor.
P23871	reviewed	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	hemH popA visA b0475 JW0464		HEMH_ECOLI	GO:0004325; GO:0005737; GO:0006783; GO:0009416; GO:0046501; GO:0046872	cytoplasm [GO:0005737]; ferrochelatase activity [GO:0004325]; metal ion binding [GO:0046872]; heme biosynthetic process [GO:0006783]; protoporphyrinogen IX metabolic process [GO:0046501]; response to light stimulus [GO:0009416]	heme biosynthetic process [GO:0006783]; protoporphyrinogen IX metabolic process [GO:0046501]; response to light stimulus [GO:0009416]	35,884	METAL 194;  /note="Iron";  /evidence="ECO:0000250"; METAL 275;  /note="Iron";  /evidence="ECO:0000250"	KW-0350; KW-0408; KW-0456; KW-0479; KW-0627; KW-0903; KW-0963; KW-1185	5 out of 5	FUNCTION: Catalyzes the ferrous insertion into protoporphyrin IX.
